SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 994, 'shrink': 934, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0365642, PRECISION: 0.0069951, PRECISION_RECALL_MIN_DEN: 0.0233171, RECALL: 0.0233171, MAP: 0.0078547, MRR: 0.0227348, NDCG: 0.0159039, F1: 0.0107617, HIT_RATE: 0.0699513, ARHR: 0.0231494, RMSE: 0.9649139, NOVELTY: 0.0050818, AVERAGE_POPULARITY: 0.7126360, DIVERSITY_MEAN_INTER_LIST: 0.7524640, DIVERSITY_HERFINDAHL: 0.9752428, COVERAGE_ITEM: 0.0255204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0928309, SHANNON_ENTROPY: 5.8437886, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385907, PRECISION: 0.0073519, PRECISION_RECALL_MIN_DEN: 0.0245063, RECALL: 0.0245063, MAP: 0.0081271, MRR: 0.0236512, NDCG: 0.0166099, F1: 0.0113106, HIT_RATE: 0.0735188, ARHR: 0.0240162, RMSE: 0.9676366, NOVELTY: 0.0050147, AVERAGE_POPULARITY: 0.7677655, DIVERSITY_MEAN_INTER_LIST: 0.7256606, DIVERSITY_HERFINDAHL: 0.9725626, COVERAGE_ITEM: 0.0222763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0964676, SHANNON_ENTROPY: 5.6916062, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 990, 'shrink': 22, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0381233, PRECISION: 0.0071735, PRECISION_RECALL_MIN_DEN: 0.0239117, RECALL: 0.0239117, MAP: 0.0081166, MRR: 0.0236064, NDCG: 0.0164024, F1: 0.0110362, HIT_RATE: 0.0717350, ARHR: 0.0239781, RMSE: 0.8379815, NOVELTY: 0.0050203, AVERAGE_POPULARITY: 0.7606593, DIVERSITY_MEAN_INTER_LIST: 0.7365341, DIVERSITY_HERFINDAHL: 0.9736499, COVERAGE_ITEM: 0.0202217, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1134511, SHANNON_ENTROPY: 5.7826983, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 14, 'shrink': 973, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0022337, PRECISION: 0.0004146, PRECISION_RECALL_MIN_DEN: 0.0013820, RECALL: 0.0013820, MAP: 0.0004561, MRR: 0.0013683, NDCG: 0.0009404, F1: 0.0006378, HIT_RATE: 0.0041460, ARHR: 0.0013683, RMSE: 0.9998472, NOVELTY: 0.0059370, AVERAGE_POPULARITY: 0.0533631, DIVERSITY_MEAN_INTER_LIST: 0.4184561, DIVERSITY_HERFINDAHL: 0.9418436, COVERAGE_ITEM: 0.1373344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0329280, SHANNON_ENTROPY: 5.0106889, 
SearchBayesianSkopt: New best config found. Config 15: {'topK': 998, 'shrink': 10, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0391548, PRECISION: 0.0074820, PRECISION_RECALL_MIN_DEN: 0.0249401, RECALL: 0.0249401, MAP: 0.0082600, MRR: 0.0239239, NDCG: 0.0168720, F1: 0.0115108, HIT_RATE: 0.0748204, ARHR: 0.0243519, RMSE: 3.7459494, NOVELTY: 0.0050060, AVERAGE_POPULARITY: 0.7717137, DIVERSITY_MEAN_INTER_LIST: 0.7182834, DIVERSITY_HERFINDAHL: 0.9718249, COVERAGE_ITEM: 0.0165991, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1211771, SHANNON_ENTROPY: 5.6116964, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 999, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0385488, PRECISION: 0.0073278, PRECISION_RECALL_MIN_DEN: 0.0244259, RECALL: 0.0244259, MAP: 0.0080997, MRR: 0.0235777, NDCG: 0.0165548, F1: 0.0112735, HIT_RATE: 0.0732777, ARHR: 0.0239383, RMSE: 2.5624471, NOVELTY: 0.0050134, AVERAGE_POPULARITY: 0.7686970, DIVERSITY_MEAN_INTER_LIST: 0.7257883, DIVERSITY_HERFINDAHL: 0.9725753, COVERAGE_ITEM: 0.0213031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0999686, SHANNON_ENTROPY: 5.6792327, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 996, 'shrink': 977, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0365358, PRECISION: 0.0070048, PRECISION_RECALL_MIN_DEN: 0.0233492, RECALL: 0.0233492, MAP: 0.0078371, MRR: 0.0226781, NDCG: 0.0158939, F1: 0.0107766, HIT_RATE: 0.0700477, ARHR: 0.0230947, RMSE: 0.9663734, NOVELTY: 0.0050811, AVERAGE_POPULARITY: 0.7132169, DIVERSITY_MEAN_INTER_LIST: 0.7520730, DIVERSITY_HERFINDAHL: 0.9752037, COVERAGE_ITEM: 0.0249797, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0946756, SHANNON_ENTROPY: 5.8411922, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 994, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0382191, PRECISION: 0.0071494, PRECISION_RECALL_MIN_DEN: 0.0238313, RECALL: 0.0238313, MAP: 0.0081397, MRR: 0.0236785, NDCG: 0.0164050, F1: 0.0109991, HIT_RATE: 0.0714940, ARHR: 0.0240488, RMSE: 2.0741898, NOVELTY: 0.0050192, AVERAGE_POPULARITY: 0.7614482, DIVERSITY_MEAN_INTER_LIST: 0.7357207, DIVERSITY_HERFINDAHL: 0.9735685, COVERAGE_ITEM: 0.0205461, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1113343, SHANNON_ENTROPY: 5.7778488, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 991, 'shrink': 993, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0383198, PRECISION: 0.0073037, PRECISION_RECALL_MIN_DEN: 0.0243456, RECALL: 0.0243456, MAP: 0.0080919, MRR: 0.0235159, NDCG: 0.0165145, F1: 0.0112364, HIT_RATE: 0.0730367, ARHR: 0.0238958, RMSE: 0.9676233, NOVELTY: 0.0050165, AVERAGE_POPULARITY: 0.7664941, DIVERSITY_MEAN_INTER_LIST: 0.7270928, DIVERSITY_HERFINDAHL: 0.9727058, COVERAGE_ITEM: 0.0225466, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0962408, SHANNON_ENTROPY: 5.7046179, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 994, 'shrink': 25, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0362632, PRECISION: 0.0067830, PRECISION_RECALL_MIN_DEN: 0.0226100, RECALL: 0.0226100, MAP: 0.0076794, MRR: 0.0223847, NDCG: 0.0155259, F1: 0.0104354, HIT_RATE: 0.0678301, ARHR: 0.0227115, RMSE: 0.8565645, NOVELTY: 0.0050694, AVERAGE_POPULARITY: 0.7210471, DIVERSITY_MEAN_INTER_LIST: 0.7588710, DIVERSITY_HERFINDAHL: 0.9758834, COVERAGE_ITEM: 0.0238443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1088583, SHANNON_ENTROPY: 5.9573083, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0013552, PRECISION: 0.0002700, PRECISION_RECALL_MIN_DEN: 0.0008999, RECALL: 0.0008999, MAP: 0.0002901, MRR: 0.0008704, NDCG: 0.0006035, F1: 0.0004153, HIT_RATE: 0.0026997, ARHR: 0.0008704, RMSE: 1.0026520, NOVELTY: 0.0059661, AVERAGE_POPULARITY: 0.0342711, DIVERSITY_MEAN_INTER_LIST: 0.3847104, DIVERSITY_HERFINDAHL: 0.9384692, COVERAGE_ITEM: 0.1706948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0335369, SHANNON_ENTROPY: 4.8653748, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 999, 'shrink': 964, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0386057, PRECISION: 0.0072988, PRECISION_RECALL_MIN_DEN: 0.0243295, RECALL: 0.0243295, MAP: 0.0081592, MRR: 0.0237002, NDCG: 0.0165821, F1: 0.0112290, HIT_RATE: 0.0729885, ARHR: 0.0240889, RMSE: 0.9662029, NOVELTY: 0.0050128, AVERAGE_POPULARITY: 0.7692924, DIVERSITY_MEAN_INTER_LIST: 0.7249599, DIVERSITY_HERFINDAHL: 0.9724925, COVERAGE_ITEM: 0.0213031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1000241, SHANNON_ENTROPY: 5.6786567, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 997, 'shrink': 20, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0391333, PRECISION: 0.0074820, PRECISION_RECALL_MIN_DEN: 0.0249401, RECALL: 0.0249401, MAP: 0.0082588, MRR: 0.0239203, NDCG: 0.0168703, F1: 0.0115108, HIT_RATE: 0.0748204, ARHR: 0.0243484, RMSE: 1.8009730, NOVELTY: 0.0050061, AVERAGE_POPULARITY: 0.7715712, DIVERSITY_MEAN_INTER_LIST: 0.7184976, DIVERSITY_HERFINDAHL: 0.9718463, COVERAGE_ITEM: 0.0164909, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1220706, SHANNON_ENTROPY: 5.6129550, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 991, 'shrink': 966, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0362395, PRECISION: 0.0067685, PRECISION_RECALL_MIN_DEN: 0.0225618, RECALL: 0.0225618, MAP: 0.0076748, MRR: 0.0223757, NDCG: 0.0155058, F1: 0.0104132, HIT_RATE: 0.0676855, ARHR: 0.0227001, RMSE: 0.9907031, NOVELTY: 0.0050696, AVERAGE_POPULARITY: 0.7207914, DIVERSITY_MEAN_INTER_LIST: 0.7588980, DIVERSITY_HERFINDAHL: 0.9758861, COVERAGE_ITEM: 0.0235739, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1100950, SHANNON_ENTROPY: 5.9577198, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385907, PRECISION: 0.0073519, PRECISION_RECALL_MIN_DEN: 0.0245063, RECALL: 0.0245063, MAP: 0.0081271, MRR: 0.0236512, NDCG: 0.0166099, F1: 0.0113106, HIT_RATE: 0.0735188, ARHR: 0.0240162, RMSE: 0.9676366, NOVELTY: 0.0050147, AVERAGE_POPULARITY: 0.7677655, DIVERSITY_MEAN_INTER_LIST: 0.7256606, DIVERSITY_HERFINDAHL: 0.9725626, COVERAGE_ITEM: 0.0222763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0964676, SHANNON_ENTROPY: 5.6916062, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385907, PRECISION: 0.0073519, PRECISION_RECALL_MIN_DEN: 0.0245063, RECALL: 0.0245063, MAP: 0.0081271, MRR: 0.0236512, NDCG: 0.0166099, F1: 0.0113106, HIT_RATE: 0.0735188, ARHR: 0.0240162, RMSE: 0.9676366, NOVELTY: 0.0050147, AVERAGE_POPULARITY: 0.7677655, DIVERSITY_MEAN_INTER_LIST: 0.7256606, DIVERSITY_HERFINDAHL: 0.9725626, COVERAGE_ITEM: 0.0222763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0964676, SHANNON_ENTROPY: 5.6916062, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 999, 'shrink': 990, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0365327, PRECISION: 0.0069951, PRECISION_RECALL_MIN_DEN: 0.0233171, RECALL: 0.0233171, MAP: 0.0078246, MRR: 0.0226502, NDCG: 0.0158729, F1: 0.0107617, HIT_RATE: 0.0699513, ARHR: 0.0230620, RMSE: 0.9667344, NOVELTY: 0.0050804, AVERAGE_POPULARITY: 0.7136989, DIVERSITY_MEAN_INTER_LIST: 0.7516413, DIVERSITY_HERFINDAHL: 0.9751605, COVERAGE_ITEM: 0.0247094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0954578, SHANNON_ENTROPY: 5.8379178, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 999, 'shrink': 18, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0380085, PRECISION: 0.0071446, PRECISION_RECALL_MIN_DEN: 0.0238153, RECALL: 0.0238153, MAP: 0.0081331, MRR: 0.0236374, NDCG: 0.0163852, F1: 0.0109917, HIT_RATE: 0.0714458, ARHR: 0.0240184, RMSE: 0.8573467, NOVELTY: 0.0050180, AVERAGE_POPULARITY: 0.7624280, DIVERSITY_MEAN_INTER_LIST: 0.7347322, DIVERSITY_HERFINDAHL: 0.9734697, COVERAGE_ITEM: 0.0205461, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1106489, SHANNON_ENTROPY: 5.7688292, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0381414, PRECISION: 0.0071349, PRECISION_RECALL_MIN_DEN: 0.0237831, RECALL: 0.0237831, MAP: 0.0081251, MRR: 0.0236516, NDCG: 0.0163763, F1: 0.0109768, HIT_RATE: 0.0713494, ARHR: 0.0240135, RMSE: 0.9909648, NOVELTY: 0.0050187, AVERAGE_POPULARITY: 0.7619735, DIVERSITY_MEAN_INTER_LIST: 0.7353753, DIVERSITY_HERFINDAHL: 0.9735340, COVERAGE_ITEM: 0.0202758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1123137, SHANNON_ENTROPY: 5.7730249, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 994, 'shrink': 43, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0384387, PRECISION: 0.0072603, PRECISION_RECALL_MIN_DEN: 0.0242009, RECALL: 0.0242009, MAP: 0.0081068, MRR: 0.0235527, NDCG: 0.0164862, F1: 0.0111697, HIT_RATE: 0.0726028, ARHR: 0.0239366, RMSE: 0.8953607, NOVELTY: 0.0050139, AVERAGE_POPULARITY: 0.7686462, DIVERSITY_MEAN_INTER_LIST: 0.7254687, DIVERSITY_HERFINDAHL: 0.9725434, COVERAGE_ITEM: 0.0222222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0964615, SHANNON_ENTROPY: 5.6852736, 
SearchBayesianSkopt: New best config found. Config 31: {'topK': 992, 'shrink': 24, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0391953, PRECISION: 0.0074772, PRECISION_RECALL_MIN_DEN: 0.0249241, RECALL: 0.0249241, MAP: 0.0082604, MRR: 0.0239185, NDCG: 0.0168672, F1: 0.0115034, HIT_RATE: 0.0747722, ARHR: 0.0243499, RMSE: 1.5079490, NOVELTY: 0.0050070, AVERAGE_POPULARITY: 0.7708437, DIVERSITY_MEAN_INTER_LIST: 0.7192779, DIVERSITY_HERFINDAHL: 0.9719243, COVERAGE_ITEM: 0.0163287, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1238038, SHANNON_ENTROPY: 5.6192912, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 18, 'shrink': 968, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0033214, PRECISION: 0.0005930, PRECISION_RECALL_MIN_DEN: 0.0019766, RECALL: 0.0019766, MAP: 0.0007122, MRR: 0.0021162, NDCG: 0.0014087, F1: 0.0009123, HIT_RATE: 0.0059297, ARHR: 0.0021264, RMSE: 0.9992022, NOVELTY: 0.0059183, AVERAGE_POPULARITY: 0.0623557, DIVERSITY_MEAN_INTER_LIST: 0.4298346, DIVERSITY_HERFINDAHL: 0.9429814, COVERAGE_ITEM: 0.1138145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0331463, SHANNON_ENTROPY: 5.0353439, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 993, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0385046, PRECISION: 0.0073181, PRECISION_RECALL_MIN_DEN: 0.0243938, RECALL: 0.0243938, MAP: 0.0080477, MRR: 0.0233654, NDCG: 0.0164838, F1: 0.0112587, HIT_RATE: 0.0731813, ARHR: 0.0237543, RMSE: 4.2911497, NOVELTY: 0.0050173, AVERAGE_POPULARITY: 0.7654648, DIVERSITY_MEAN_INTER_LIST: 0.7307389, DIVERSITY_HERFINDAHL: 0.9730704, COVERAGE_ITEM: 0.0202758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1074354, SHANNON_ENTROPY: 5.7168170, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385907, PRECISION: 0.0073519, PRECISION_RECALL_MIN_DEN: 0.0245063, RECALL: 0.0245063, MAP: 0.0081271, MRR: 0.0236512, NDCG: 0.0166099, F1: 0.0113106, HIT_RATE: 0.0735188, ARHR: 0.0240162, RMSE: 0.9676366, NOVELTY: 0.0050147, AVERAGE_POPULARITY: 0.7677655, DIVERSITY_MEAN_INTER_LIST: 0.7256606, DIVERSITY_HERFINDAHL: 0.9725626, COVERAGE_ITEM: 0.0222763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0964676, SHANNON_ENTROPY: 5.6916062, 
SearchBayesianSkopt: Search complete. Best config is 31: {'topK': 992, 'shrink': 24, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'}
