SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 77, 'shrink': 243, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0066000, PRECISION: 0.0010755, PRECISION_RECALL_MIN_DEN: 0.0035850, RECALL: 0.0035850, MAP: 0.0014310, MRR: 0.0042198, NDCG: 0.0027094, F1: 0.0016546, HIT_RATE: 0.0107550, ARHR: 0.0042564, RMSE: 0.9996084, NOVELTY: 0.0062992, AVERAGE_POPULARITY: 0.1293107, DIVERSITY_MEAN_INTER_LIST: 0.8607155, DIVERSITY_HERFINDAHL: 0.9860527, COVERAGE_ITEM: 0.0797513, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3336261, SHANNON_ENTROPY: 8.4584691, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 2998, 'shrink': 127, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0468598, PRECISION: 0.0090650, PRECISION_RECALL_MIN_DEN: 0.0302166, RECALL: 0.0302166, MAP: 0.0101036, MRR: 0.0288917, NDCG: 0.0204781, F1: 0.0139461, HIT_RATE: 0.0906497, ARHR: 0.0296012, RMSE: 0.9453798, NOVELTY: 0.0050398, AVERAGE_POPULARITY: 0.7431207, DIVERSITY_MEAN_INTER_LIST: 0.7146887, DIVERSITY_HERFINDAHL: 0.9714532, COVERAGE_ITEM: 0.0044336, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4304320, SHANNON_ENTROPY: 5.5391494, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 3000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0425401, PRECISION: 0.0078358, PRECISION_RECALL_MIN_DEN: 0.0261194, RECALL: 0.0261194, MAP: 0.0092819, MRR: 0.0265727, NDCG: 0.0183045, F1: 0.0120551, HIT_RATE: 0.0783582, ARHR: 0.0272092, RMSE: 0.9962500, NOVELTY: 0.0050877, AVERAGE_POPULARITY: 0.7243650, DIVERSITY_MEAN_INTER_LIST: 0.7075781, DIVERSITY_HERFINDAHL: 0.9707423, COVERAGE_ITEM: 0.0195729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1392680, SHANNON_ENTROPY: 5.8951900, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 2976, 'shrink': 120, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0302425, PRECISION: 0.0060140, PRECISION_RECALL_MIN_DEN: 0.0200468, RECALL: 0.0200468, MAP: 0.0068950, MRR: 0.0197188, NDCG: 0.0137550, F1: 0.0092524, HIT_RATE: 0.0601405, ARHR: 0.0202019, RMSE: 0.8585859, NOVELTY: 0.0055063, AVERAGE_POPULARITY: 0.5353605, DIVERSITY_MEAN_INTER_LIST: 0.8645478, DIVERSITY_HERFINDAHL: 0.9864358, COVERAGE_ITEM: 0.0771019, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1530870, SHANNON_ENTROPY: 7.5983517, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 2994, 'shrink': 1968, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0454422, PRECISION: 0.0088235, PRECISION_RECALL_MIN_DEN: 0.0294118, RECALL: 0.0294118, MAP: 0.0100531, MRR: 0.0283612, NDCG: 0.0200997, F1: 0.0135747, HIT_RATE: 0.0882353, ARHR: 0.0292602, RMSE: 0.9116237, NOVELTY: 0.0051134, AVERAGE_POPULARITY: 0.6952961, DIVERSITY_MEAN_INTER_LIST: 0.7723730, DIVERSITY_HERFINDAHL: 0.9772203, COVERAGE_ITEM: 0.0064342, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3895987, SHANNON_ENTROPY: 5.9381612, 
SearchBayesianSkopt: New best config found. Config 16: {'topK': 2960, 'shrink': 26, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0488077, PRECISION: 0.0093284, PRECISION_RECALL_MIN_DEN: 0.0310945, RECALL: 0.0310945, MAP: 0.0103664, MRR: 0.0298453, NDCG: 0.0210751, F1: 0.0143513, HIT_RATE: 0.0932836, ARHR: 0.0304722, RMSE: 3.5175790, NOVELTY: 0.0050184, AVERAGE_POPULARITY: 0.7611096, DIVERSITY_MEAN_INTER_LIST: 0.6733504, DIVERSITY_HERFINDAHL: 0.9673203, COVERAGE_ITEM: 0.0042174, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4066036, SHANNON_ENTROPY: 5.3778148, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2992, 'shrink': 1944, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0393300, PRECISION: 0.0073749, PRECISION_RECALL_MIN_DEN: 0.0245830, RECALL: 0.0245830, MAP: 0.0084306, MRR: 0.0242667, NDCG: 0.0169236, F1: 0.0113460, HIT_RATE: 0.0737489, ARHR: 0.0247793, RMSE: 0.9958326, NOVELTY: 0.0053203, AVERAGE_POPULARITY: 0.6045114, DIVERSITY_MEAN_INTER_LIST: 0.8522623, DIVERSITY_HERFINDAHL: 0.9852075, COVERAGE_ITEM: 0.0443904, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1370748, SHANNON_ENTROPY: 7.0339939, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2986, 'shrink': 11, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0314649, PRECISION: 0.0057287, PRECISION_RECALL_MIN_DEN: 0.0190957, RECALL: 0.0190957, MAP: 0.0069889, MRR: 0.0200649, NDCG: 0.0136177, F1: 0.0088134, HIT_RATE: 0.0572871, ARHR: 0.0205158, RMSE: 4.3748020, NOVELTY: 0.0058312, AVERAGE_POPULARITY: 0.4363299, DIVERSITY_MEAN_INTER_LIST: 0.9222016, DIVERSITY_HERFINDAHL: 0.9921999, COVERAGE_ITEM: 0.0425520, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2465060, SHANNON_ENTROPY: 7.9176046, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 2995, 'shrink': 1822, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0482621, PRECISION: 0.0091308, PRECISION_RECALL_MIN_DEN: 0.0304361, RECALL: 0.0304361, MAP: 0.0102670, MRR: 0.0293753, NDCG: 0.0207372, F1: 0.0140474, HIT_RATE: 0.0913082, ARHR: 0.0300882, RMSE: 0.9782265, NOVELTY: 0.0050219, AVERAGE_POPULARITY: 0.7573338, DIVERSITY_MEAN_INTER_LIST: 0.7037798, DIVERSITY_HERFINDAHL: 0.9703625, COVERAGE_ITEM: 0.0046499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3950188, SHANNON_ENTROPY: 5.4887848, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 2997, 'shrink': 242, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385267, PRECISION: 0.0072871, PRECISION_RECALL_MIN_DEN: 0.0242903, RECALL: 0.0242903, MAP: 0.0084778, MRR: 0.0244354, NDCG: 0.0168666, F1: 0.0112109, HIT_RATE: 0.0728709, ARHR: 0.0249344, RMSE: 0.8551161, NOVELTY: 0.0052878, AVERAGE_POPULARITY: 0.6484168, DIVERSITY_MEAN_INTER_LIST: 0.7697767, DIVERSITY_HERFINDAHL: 0.9769608, COVERAGE_ITEM: 0.0322790, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1449718, SHANNON_ENTROPY: 6.4925569, 
