SearchBayesianSkopt: Config 11 is suboptimal. Config: {'UCM_age': 1.2377773974061759, 'UCM_region': 1.093694816332639, 'UCM_user_act': 0.7107169228873226, 'UCM_sub_class': 1.3422975639530934, 'UCM_item_pop': 0.40240613719065255, 'UCM_asset': 0.659483655358413, 'UCM_price': 0.44987348638348734} - results: ROC_AUC: 0.1118072, PRECISION: 0.0186631, PRECISION_RECALL_MIN_DEN: 0.0622104, RECALL: 0.0622104, MAP: 0.0284746, MRR: 0.0782464, NDCG: 0.0498668, F1: 0.0287125, HIT_RATE: 0.1866312, ARHR: 0.0817709, RMSE: 3.5251271, NOVELTY: 0.0057167, AVERAGE_POPULARITY: 0.4541709, DIVERSITY_MEAN_INTER_LIST: 0.9543967, DIVERSITY_HERFINDAHL: 0.9954338, COVERAGE_ITEM: 0.3482022, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1365533, SHANNON_ENTROPY: 9.4575136, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'UCM_age': 1.6847543140245533, 'UCM_region': 1.598149898518296, 'UCM_user_act': 0.3968976782781338, 'UCM_sub_class': 1.9642072664893822, 'UCM_item_pop': 0.10683884828801185, 'UCM_asset': 1.3057829845433206, 'UCM_price': 0.9018995435650903} - results: ROC_AUC: 0.1058158, PRECISION: 0.0177179, PRECISION_RECALL_MIN_DEN: 0.0590597, RECALL: 0.0590597, MAP: 0.0267994, MRR: 0.0739381, NDCG: 0.0471475, F1: 0.0272583, HIT_RATE: 0.1771792, ARHR: 0.0771162, RMSE: 5.3737725, NOVELTY: 0.0058298, AVERAGE_POPULARITY: 0.4218521, DIVERSITY_MEAN_INTER_LIST: 0.9627869, DIVERSITY_HERFINDAHL: 0.9962727, COVERAGE_ITEM: 0.4072993, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1514694, SHANNON_ENTROPY: 9.8252462, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'UCM_age': 1.5872575743491302, 'UCM_region': 0.3148052451647128, 'UCM_user_act': 1.5823965790999501, 'UCM_sub_class': 0.1411557786706126, 'UCM_item_pop': 0.3408638419594377, 'UCM_asset': 0.2079520547983989, 'UCM_price': 0.3748290428084076} - results: ROC_AUC: 0.1086832, PRECISION: 0.0176685, PRECISION_RECALL_MIN_DEN: 0.0588950, RECALL: 0.0588950, MAP: 0.0286989, MRR: 0.0784698, NDCG: 0.0489528, F1: 0.0271823, HIT_RATE: 0.1766850, ARHR: 0.0822195, RMSE: 1.4161116, NOVELTY: 0.0053157, AVERAGE_POPULARITY: 0.6187111, DIVERSITY_MEAN_INTER_LIST: 0.8808152, DIVERSITY_HERFINDAHL: 0.9880761, COVERAGE_ITEM: 0.2589348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0708692, SHANNON_ENTROPY: 7.7799746, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'UCM_age': 0.0050668663723711935, 'UCM_region': 1.3662211210058242, 'UCM_user_act': 1.5018305079464804, 'UCM_sub_class': 1.5240500681097842, 'UCM_item_pop': 1.751282993207513, 'UCM_asset': 1.2770323941195107, 'UCM_price': 0.8265490464067404} - results: ROC_AUC: 0.1032253, PRECISION: 0.0168407, PRECISION_RECALL_MIN_DEN: 0.0561356, RECALL: 0.0561356, MAP: 0.0263292, MRR: 0.0726434, NDCG: 0.0457343, F1: 0.0259087, HIT_RATE: 0.1684067, ARHR: 0.0757752, RMSE: 5.7794183, NOVELTY: 0.0058344, AVERAGE_POPULARITY: 0.4261972, DIVERSITY_MEAN_INTER_LIST: 0.9626801, DIVERSITY_HERFINDAHL: 0.9962621, COVERAGE_ITEM: 0.4483915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1483093, SHANNON_ENTROPY: 9.8291614, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'UCM_age': 1.2924190490082799, 'UCM_region': 1.472080407897802, 'UCM_user_act': 0.9328877778661246, 'UCM_sub_class': 0.6523128583207393, 'UCM_item_pop': 0.10101651179946394, 'UCM_asset': 1.7601887567154677, 'UCM_price': 0.9045627950070905} - results: ROC_AUC: 0.1018623, PRECISION: 0.0166121, PRECISION_RECALL_MIN_DEN: 0.0553737, RECALL: 0.0553737, MAP: 0.0263319, MRR: 0.0723683, NDCG: 0.0454328, F1: 0.0255571, HIT_RATE: 0.1661210, ARHR: 0.0756286, RMSE: 3.9701707, NOVELTY: 0.0056582, AVERAGE_POPULARITY: 0.4801876, DIVERSITY_MEAN_INTER_LIST: 0.9473167, DIVERSITY_HERFINDAHL: 0.9947258, COVERAGE_ITEM: 0.4028116, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1180865, SHANNON_ENTROPY: 9.2548288, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'UCM_age': 0.8348990183101599, 'UCM_region': 0.12183050722387215, 'UCM_user_act': 0.6149763253860502, 'UCM_sub_class': 0.1589386730218654, 'UCM_item_pop': 1.032084503182786, 'UCM_asset': 1.1982627895911695, 'UCM_price': 1.6289273181032133} - results: ROC_AUC: 0.0865378, PRECISION: 0.0140730, PRECISION_RECALL_MIN_DEN: 0.0469101, RECALL: 0.0469101, MAP: 0.0223308, MRR: 0.0616056, NDCG: 0.0385500, F1: 0.0216508, HIT_RATE: 0.1407302, ARHR: 0.0642667, RMSE: 4.1191911, NOVELTY: 0.0057245, AVERAGE_POPULARITY: 0.4656773, DIVERSITY_MEAN_INTER_LIST: 0.9519281, DIVERSITY_HERFINDAHL: 0.9951869, COVERAGE_ITEM: 0.4549338, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1260394, SHANNON_ENTROPY: 9.4223924, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'UCM_age': 0.8148893381907525, 'UCM_region': 1.616926568445068, 'UCM_user_act': 0.9430258176843649, 'UCM_sub_class': 0.11566516752117242, 'UCM_item_pop': 1.5866780972695096, 'UCM_asset': 0.08574934799757018, 'UCM_price': 0.3012915267528911} - results: ROC_AUC: 0.0870397, PRECISION: 0.0148391, PRECISION_RECALL_MIN_DEN: 0.0494636, RECALL: 0.0494636, MAP: 0.0223440, MRR: 0.0613641, NDCG: 0.0392991, F1: 0.0228293, HIT_RATE: 0.1483907, ARHR: 0.0641534, RMSE: 2.1841857, NOVELTY: 0.0054940, AVERAGE_POPULARITY: 0.5307251, DIVERSITY_MEAN_INTER_LIST: 0.9366577, DIVERSITY_HERFINDAHL: 0.9936600, COVERAGE_ITEM: 0.3620979, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0926389, SHANNON_ENTROPY: 8.6591775, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'UCM_age': 0.03731399425691118, 'UCM_region': 1.5741680605490522, 'UCM_user_act': 0.2628520527551819, 'UCM_sub_class': 0.5659583390815063, 'UCM_item_pop': 1.3607660930968857, 'UCM_asset': 1.9273999071404289, 'UCM_price': 0.5035651298067997} - results: ROC_AUC: 0.0952972, PRECISION: 0.0153951, PRECISION_RECALL_MIN_DEN: 0.0513169, RECALL: 0.0513169, MAP: 0.0247184, MRR: 0.0680971, NDCG: 0.0424673, F1: 0.0236847, HIT_RATE: 0.1539507, ARHR: 0.0710922, RMSE: 4.3545257, NOVELTY: 0.0057095, AVERAGE_POPULARITY: 0.4667599, DIVERSITY_MEAN_INTER_LIST: 0.9531701, DIVERSITY_HERFINDAHL: 0.9953111, COVERAGE_ITEM: 0.4486618, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257948, SHANNON_ENTROPY: 9.4266954, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'UCM_age': 0.07486141632357747, 'UCM_region': 0.689706183925961, 'UCM_user_act': 1.6991633523173058, 'UCM_sub_class': 0.6327614725705212, 'UCM_item_pop': 1.9879282594169585, 'UCM_asset': 0.0035551351768507997, 'UCM_price': 0.27127200296912896} - results: ROC_AUC: 0.0963840, PRECISION: 0.0161117, PRECISION_RECALL_MIN_DEN: 0.0537056, RECALL: 0.0537056, MAP: 0.0246792, MRR: 0.0679197, NDCG: 0.0431570, F1: 0.0247872, HIT_RATE: 0.1611169, ARHR: 0.0709308, RMSE: 2.9808283, NOVELTY: 0.0056358, AVERAGE_POPULARITY: 0.4815011, DIVERSITY_MEAN_INTER_LIST: 0.9510493, DIVERSITY_HERFINDAHL: 0.9950991, COVERAGE_ITEM: 0.3891322, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1153458, SHANNON_ENTROPY: 9.1854824, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'UCM_age': 1.6597411203957098, 'UCM_region': 0.1504455723372751, 'UCM_user_act': 1.867353091051608, 'UCM_sub_class': 0.11456675809109676, 'UCM_item_pop': 1.9305654584686947, 'UCM_asset': 1.9986128401712469, 'UCM_price': 1.918967247256636} - results: ROC_AUC: 0.0733360, PRECISION: 0.0118552, PRECISION_RECALL_MIN_DEN: 0.0395173, RECALL: 0.0395173, MAP: 0.0186182, MRR: 0.0515546, NDCG: 0.0323175, F1: 0.0182388, HIT_RATE: 0.1185519, ARHR: 0.0536802, RMSE: 5.9431411, NOVELTY: 0.0059053, AVERAGE_POPULARITY: 0.4210621, DIVERSITY_MEAN_INTER_LIST: 0.9633848, DIVERSITY_HERFINDAHL: 0.9963325, COVERAGE_ITEM: 0.5138145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1592452, SHANNON_ENTROPY: 9.9374229, 
