SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.5998278891185965, 'S_PURE_SVD': 0.6842610921313181, 'S_IALS': 0.2473259823742769, 'USER_CBF_CF': 0.6604659042962128, 'USER_CF': 0.9213789165729998} - results: ROC_AUC: 0.1453564, PRECISION: 0.0234344, PRECISION_RECALL_MIN_DEN: 0.0781147, RECALL: 0.0781147, MAP: 0.0402388, MRR: 0.1080497, NDCG: 0.0668454, F1: 0.0360529, HIT_RATE: 0.2343441, ARHR: 0.1142363, RMSE: 2.8784085, NOVELTY: 0.0053734, AVERAGE_POPULARITY: 0.5938387, DIVERSITY_MEAN_INTER_LIST: 0.8991665, DIVERSITY_HERFINDAHL: 0.9899123, COVERAGE_ITEM: 0.3103001, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0719098, SHANNON_ENTROPY: 8.0836950, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.8316079583406626, 'S_PURE_SVD': 0.6728938152141971, 'S_IALS': 0.2392024561966531, 'USER_CBF_CF': 0.9163517918528887, 'USER_CF': 0.6676144872860023} - results: ROC_AUC: 0.1469838, PRECISION: 0.0238153, PRECISION_RECALL_MIN_DEN: 0.0793842, RECALL: 0.0793842, MAP: 0.0407209, MRR: 0.1092325, NDCG: 0.0677306, F1: 0.0366389, HIT_RATE: 0.2381526, ARHR: 0.1155490, RMSE: 2.8784085, NOVELTY: 0.0053834, AVERAGE_POPULARITY: 0.5891212, DIVERSITY_MEAN_INTER_LIST: 0.9016649, DIVERSITY_HERFINDAHL: 0.9901621, COVERAGE_ITEM: 0.3096513, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0734127, SHANNON_ENTROPY: 8.1298881, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.6166485692030151, 'S_PURE_SVD': 0.7459891555105456, 'S_IALS': 0.8865988939148438, 'USER_CBF_CF': 0.8008487182936479, 'USER_CF': 0.08973958733709499} - results: ROC_AUC: 0.1490223, PRECISION: 0.0239213, PRECISION_RECALL_MIN_DEN: 0.0797377, RECALL: 0.0797377, MAP: 0.0411276, MRR: 0.1103676, NDCG: 0.0682846, F1: 0.0368020, HIT_RATE: 0.2392132, ARHR: 0.1167134, RMSE: 2.8784085, NOVELTY: 0.0054567, AVERAGE_POPULARITY: 0.5611340, DIVERSITY_MEAN_INTER_LIST: 0.9131111, DIVERSITY_HERFINDAHL: 0.9913067, COVERAGE_ITEM: 0.3038659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0889579, SHANNON_ENTROPY: 8.4320196, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'WEIGHTED_AVG_ITEM': 0.7549667424471936, 'S_PURE_SVD': 0.33133744827440575, 'S_IALS': 0.7495145150917344, 'USER_CBF_CF': 0.6969167346629798, 'USER_CF': 0.9536332068016171} - results: ROC_AUC: 0.1451403, PRECISION: 0.0235549, PRECISION_RECALL_MIN_DEN: 0.0785164, RECALL: 0.0785164, MAP: 0.0402461, MRR: 0.1081297, NDCG: 0.0669773, F1: 0.0362384, HIT_RATE: 0.2355493, ARHR: 0.1142888, RMSE: 2.8784085, NOVELTY: 0.0053769, AVERAGE_POPULARITY: 0.5927637, DIVERSITY_MEAN_INTER_LIST: 0.8994371, DIVERSITY_HERFINDAHL: 0.9899394, COVERAGE_ITEM: 0.3105704, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0728502, SHANNON_ENTROPY: 8.0988342, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'WEIGHTED_AVG_ITEM': 0.02059660132225505, 'S_PURE_SVD': 0.870315127026147, 'S_IALS': 0.811102817856747, 'USER_CBF_CF': 0.7766934115587272, 'USER_CF': 0.9327667615443351} - results: ROC_AUC: 0.1456521, PRECISION: 0.0235983, PRECISION_RECALL_MIN_DEN: 0.0786611, RECALL: 0.0786611, MAP: 0.0402788, MRR: 0.1080515, NDCG: 0.0670383, F1: 0.0363051, HIT_RATE: 0.2359832, ARHR: 0.1142894, RMSE: 2.8784085, NOVELTY: 0.0053789, AVERAGE_POPULARITY: 0.5894420, DIVERSITY_MEAN_INTER_LIST: 0.9024488, DIVERSITY_HERFINDAHL: 0.9902405, COVERAGE_ITEM: 0.3066775, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0724660, SHANNON_ENTROPY: 8.1195912, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.3189381444075043, 'S_PURE_SVD': 0.62186403795132, 'S_IALS': 0.28364051214308134, 'USER_CBF_CF': 0.32736349775646584, 'USER_CF': 0.520892225773732} - results: ROC_AUC: 0.1458204, PRECISION: 0.0236706, PRECISION_RECALL_MIN_DEN: 0.0789021, RECALL: 0.0789021, MAP: 0.0402412, MRR: 0.1079488, NDCG: 0.0670792, F1: 0.0364164, HIT_RATE: 0.2367064, ARHR: 0.1141865, RMSE: 2.8784085, NOVELTY: 0.0053858, AVERAGE_POPULARITY: 0.5852228, DIVERSITY_MEAN_INTER_LIST: 0.9054819, DIVERSITY_HERFINDAHL: 0.9905438, COVERAGE_ITEM: 0.3082455, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0732294, SHANNON_ENTROPY: 8.1565966, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'WEIGHTED_AVG_ITEM': 0.1416791690452959, 'S_PURE_SVD': 0.33824716035116914, 'S_IALS': 0.783816627309264, 'USER_CBF_CF': 0.16166070027696636, 'USER_CF': 0.03272921243707572} - results: ROC_AUC: 0.1534102, PRECISION: 0.0250205, PRECISION_RECALL_MIN_DEN: 0.0834016, RECALL: 0.0834016, MAP: 0.0423547, MRR: 0.1130695, NDCG: 0.0706297, F1: 0.0384931, HIT_RATE: 0.2502049, ARHR: 0.1198982, RMSE: 2.8784085, NOVELTY: 0.0055099, AVERAGE_POPULARITY: 0.5110090, DIVERSITY_MEAN_INTER_LIST: 0.9441666, DIVERSITY_HERFINDAHL: 0.9944121, COVERAGE_ITEM: 0.2845634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0924103, SHANNON_ENTROPY: 8.7686478, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.855971517267436, 'S_PURE_SVD': 0.3088788159862877, 'S_IALS': 0.5841351595247174, 'USER_CBF_CF': 0.9895875824074559, 'USER_CF': 0.908303762202679} - results: ROC_AUC: 0.1458435, PRECISION: 0.0236080, PRECISION_RECALL_MIN_DEN: 0.0786932, RECALL: 0.0786932, MAP: 0.0404816, MRR: 0.1086669, NDCG: 0.0672660, F1: 0.0363199, HIT_RATE: 0.2360796, ARHR: 0.1149080, RMSE: 2.8784085, NOVELTY: 0.0053803, AVERAGE_POPULARITY: 0.5919766, DIVERSITY_MEAN_INTER_LIST: 0.8993408, DIVERSITY_HERFINDAHL: 0.9899297, COVERAGE_ITEM: 0.3105704, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0733899, SHANNON_ENTROPY: 8.1083698, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'WEIGHTED_AVG_ITEM': 0.6734994512002003, 'S_PURE_SVD': 0.0813358415730533, 'S_IALS': 0.862627792407513, 'USER_CBF_CF': 0.0979287730819163, 'USER_CF': 0.20477262003682778} - results: ROC_AUC: 0.1486148, PRECISION: 0.0236417, PRECISION_RECALL_MIN_DEN: 0.0788057, RECALL: 0.0788057, MAP: 0.0410965, MRR: 0.1101745, NDCG: 0.0679525, F1: 0.0363719, HIT_RATE: 0.2364171, ARHR: 0.1165832, RMSE: 2.8784085, NOVELTY: 0.0053916, AVERAGE_POPULARITY: 0.5823877, DIVERSITY_MEAN_INTER_LIST: 0.9065444, DIVERSITY_HERFINDAHL: 0.9906501, COVERAGE_ITEM: 0.3119762, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0743652, SHANNON_ENTROPY: 8.1960716, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'WEIGHTED_AVG_ITEM': 0.4958908989391626, 'S_PURE_SVD': 0.3744007156982084, 'S_IALS': 0.9380911764292788, 'USER_CBF_CF': 0.4046236768754584, 'USER_CF': 0.20853756902940218} - results: ROC_AUC: 0.1504059, PRECISION: 0.0245577, PRECISION_RECALL_MIN_DEN: 0.0818589, RECALL: 0.0818589, MAP: 0.0416000, MRR: 0.1113652, NDCG: 0.0693872, F1: 0.0377810, HIT_RATE: 0.2455768, ARHR: 0.1179215, RMSE: 2.8784085, NOVELTY: 0.0054306, AVERAGE_POPULARITY: 0.5614429, DIVERSITY_MEAN_INTER_LIST: 0.9185251, DIVERSITY_HERFINDAHL: 0.9918481, COVERAGE_ITEM: 0.3038118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0799330, SHANNON_ENTROPY: 8.3755349, 
