SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.5998278891185965, 'S_PURE_SVD': 0.6842610921313181, 'S_IALS': 0.2473259823742769, 'USER_CBF_CF': 0.6604659042962128, 'USER_CF': 0.9213789165729998} - results: ROC_AUC: 0.1457147, PRECISION: 0.0239454, PRECISION_RECALL_MIN_DEN: 0.0798181, RECALL: 0.0798181, MAP: 0.0404425, MRR: 0.1095754, NDCG: 0.0676999, F1: 0.0368391, HIT_RATE: 0.2394543, ARHR: 0.1153141, RMSE: 2.8784085, NOVELTY: 0.0055731, AVERAGE_POPULARITY: 0.4667765, DIVERSITY_MEAN_INTER_LIST: 0.9603679, DIVERSITY_HERFINDAHL: 0.9960322, COVERAGE_ITEM: 0.3032171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0956290, SHANNON_ENTROPY: 9.0389556, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.8316079583406626, 'S_PURE_SVD': 0.6728938152141971, 'S_IALS': 0.2392024561966531, 'USER_CBF_CF': 0.9163517918528887, 'USER_CF': 0.6676144872860023} - results: ROC_AUC: 0.1495280, PRECISION: 0.0247939, PRECISION_RECALL_MIN_DEN: 0.0826464, RECALL: 0.0826464, MAP: 0.0413833, MRR: 0.1115183, NDCG: 0.0694995, F1: 0.0381445, HIT_RATE: 0.2479391, ARHR: 0.1176920, RMSE: 2.8784085, NOVELTY: 0.0056298, AVERAGE_POPULARITY: 0.4472363, DIVERSITY_MEAN_INTER_LIST: 0.9643994, DIVERSITY_HERFINDAHL: 0.9964353, COVERAGE_ITEM: 0.3253312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1038838, SHANNON_ENTROPY: 9.2509783, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.6166485692030151, 'S_PURE_SVD': 0.7459891555105456, 'S_IALS': 0.8865988939148438, 'USER_CBF_CF': 0.8008487182936479, 'USER_CF': 0.08973958733709499} - results: ROC_AUC: 0.1523944, PRECISION: 0.0261148, PRECISION_RECALL_MIN_DEN: 0.0870494, RECALL: 0.0870494, MAP: 0.0416418, MRR: 0.1108340, NDCG: 0.0709437, F1: 0.0401767, HIT_RATE: 0.2611483, ARHR: 0.1177084, RMSE: 2.8784085, NOVELTY: 0.0056662, AVERAGE_POPULARITY: 0.4355886, DIVERSITY_MEAN_INTER_LIST: 0.9642025, DIVERSITY_HERFINDAHL: 0.9964156, COVERAGE_ITEM: 0.3391187, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1142205, SHANNON_ENTROPY: 9.4583068, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'WEIGHTED_AVG_ITEM': 0.7549667424471936, 'S_PURE_SVD': 0.33133744827440575, 'S_IALS': 0.7495145150917344, 'USER_CBF_CF': 0.6969167346629798, 'USER_CF': 0.9536332068016171} - results: ROC_AUC: 0.1283140, PRECISION: 0.0214434, PRECISION_RECALL_MIN_DEN: 0.0714779, RECALL: 0.0714779, MAP: 0.0366163, MRR: 0.1026720, NDCG: 0.0614955, F1: 0.0329898, HIT_RATE: 0.2144338, ARHR: 0.1062093, RMSE: 2.8784085, NOVELTY: 0.0057738, AVERAGE_POPULARITY: 0.3706873, DIVERSITY_MEAN_INTER_LIST: 0.9791848, DIVERSITY_HERFINDAHL: 0.9979138, COVERAGE_ITEM: 0.3154366, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1313052, SHANNON_ENTROPY: 9.7911348, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 4, 'WEIGHTED_AVG_ITEM': 0.02059660132225505, 'S_PURE_SVD': 0.870315127026147, 'S_IALS': 0.811102817856747, 'USER_CBF_CF': 0.7766934115587272, 'USER_CF': 0.9327667615443351} - results: ROC_AUC: 0.1399976, PRECISION: 0.0224365, PRECISION_RECALL_MIN_DEN: 0.0747883, RECALL: 0.0747883, MAP: 0.0391384, MRR: 0.1069821, NDCG: 0.0648949, F1: 0.0345177, HIT_RATE: 0.2243648, ARHR: 0.1120758, RMSE: 2.8784085, NOVELTY: 0.0055451, AVERAGE_POPULARITY: 0.4593254, DIVERSITY_MEAN_INTER_LIST: 0.9634366, DIVERSITY_HERFINDAHL: 0.9963390, COVERAGE_ITEM: 0.2170857, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1071979, SHANNON_ENTROPY: 8.9502035, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.3189381444075043, 'S_PURE_SVD': 0.62186403795132, 'S_IALS': 0.28364051214308134, 'USER_CBF_CF': 0.32736349775646584, 'USER_CF': 0.520892225773732} - results: ROC_AUC: 0.1321965, PRECISION: 0.0214145, PRECISION_RECALL_MIN_DEN: 0.0713815, RECALL: 0.0713815, MAP: 0.0372697, MRR: 0.1035062, NDCG: 0.0620594, F1: 0.0329453, HIT_RATE: 0.2141445, ARHR: 0.1075695, RMSE: 2.8784085, NOVELTY: 0.0056390, AVERAGE_POPULARITY: 0.4162454, DIVERSITY_MEAN_INTER_LIST: 0.9719134, DIVERSITY_HERFINDAHL: 0.9971867, COVERAGE_ITEM: 0.3033793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1013614, SHANNON_ENTROPY: 9.3075463, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'WEIGHTED_AVG_ITEM': 0.1416791690452959, 'S_PURE_SVD': 0.33824716035116914, 'S_IALS': 0.783816627309264, 'USER_CBF_CF': 0.16166070027696636, 'USER_CF': 0.03272921243707572} - results: ROC_AUC: 0.1227447, PRECISION: 0.0196452, PRECISION_RECALL_MIN_DEN: 0.0654839, RECALL: 0.0654839, MAP: 0.0352525, MRR: 0.0995450, NDCG: 0.0582801, F1: 0.0302234, HIT_RATE: 0.1964518, ARHR: 0.1025995, RMSE: 2.8784085, NOVELTY: 0.0057217, AVERAGE_POPULARITY: 0.3781161, DIVERSITY_MEAN_INTER_LIST: 0.9782985, DIVERSITY_HERFINDAHL: 0.9978251, COVERAGE_ITEM: 0.3190592, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1154878, SHANNON_ENTROPY: 9.6378262, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.855971517267436, 'S_PURE_SVD': 0.3088788159862877, 'S_IALS': 0.5841351595247174, 'USER_CBF_CF': 0.9895875824074559, 'USER_CF': 0.908303762202679} - results: ROC_AUC: 0.1368620, PRECISION: 0.0227739, PRECISION_RECALL_MIN_DEN: 0.0759132, RECALL: 0.0759132, MAP: 0.0383793, MRR: 0.1060495, NDCG: 0.0645688, F1: 0.0350368, HIT_RATE: 0.2277395, ARHR: 0.1105038, RMSE: 2.8784085, NOVELTY: 0.0057267, AVERAGE_POPULARITY: 0.3933486, DIVERSITY_MEAN_INTER_LIST: 0.9756140, DIVERSITY_HERFINDAHL: 0.9975567, COVERAGE_ITEM: 0.3231144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1188909, SHANNON_ENTROPY: 9.6140091, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'WEIGHTED_AVG_ITEM': 0.6734994512002003, 'S_PURE_SVD': 0.0813358415730533, 'S_IALS': 0.862627792407513, 'USER_CBF_CF': 0.0979287730819163, 'USER_CF': 0.20477262003682778} - results: ROC_AUC: 0.1555717, PRECISION: 0.0256183, PRECISION_RECALL_MIN_DEN: 0.0853943, RECALL: 0.0853943, MAP: 0.0427502, MRR: 0.1144797, NDCG: 0.0717196, F1: 0.0394127, HIT_RATE: 0.2561828, ARHR: 0.1211878, RMSE: 2.8784085, NOVELTY: 0.0058067, AVERAGE_POPULARITY: 0.3649491, DIVERSITY_MEAN_INTER_LIST: 0.9796229, DIVERSITY_HERFINDAHL: 0.9979576, COVERAGE_ITEM: 0.2884023, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1487826, SHANNON_ENTROPY: 9.8837814, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'WEIGHTED_AVG_ITEM': 0.4958908989391626, 'S_PURE_SVD': 0.3744007156982084, 'S_IALS': 0.9380911764292788, 'USER_CBF_CF': 0.4046236768754584, 'USER_CF': 0.20853756902940218} - results: ROC_AUC: 0.1324590, PRECISION: 0.0220846, PRECISION_RECALL_MIN_DEN: 0.0736152, RECALL: 0.0736152, MAP: 0.0374730, MRR: 0.1041538, NDCG: 0.0629502, F1: 0.0339762, HIT_RATE: 0.2208456, ARHR: 0.1081937, RMSE: 2.8784085, NOVELTY: 0.0057798, AVERAGE_POPULARITY: 0.3647624, DIVERSITY_MEAN_INTER_LIST: 0.9798513, DIVERSITY_HERFINDAHL: 0.9979804, COVERAGE_ITEM: 0.3077048, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1359753, SHANNON_ENTROPY: 9.8256774, 
