CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 506, 'shrink': 972, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036716±0.0025, PRECISION: 0.005650±0.0003, PRECISION_RECALL_MIN_DEN: 0.056504±0.0026, RECALL: 0.056504±0.0026, MAP: 0.024492±0.0008, MRR: 0.024492±0.0008, NDCG: 0.031968±0.0013, F1: 0.010273±0.0005, HIT_RATE: 0.056504±0.0026, ARHR: 0.024492±0.0008, RMSE: 0.970363±0.0003, NOVELTY: 0.005408±0.0000, AVERAGE_POPULARITY: 0.566196±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.908943±0.0008, DIVERSITY_HERFINDAHL: 0.990874±0.0001, COVERAGE_ITEM: 0.109284±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.149460±0.0011, SHANNON_ENTROPY: 8.135200±0.0071, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 271, 'shrink': 1124, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032274±0.0014, PRECISION: 0.005009±0.0002, PRECISION_RECALL_MIN_DEN: 0.050090±0.0021, RECALL: 0.050090±0.0021, MAP: 0.022163±0.0010, MRR: 0.022163±0.0010, NDCG: 0.028657±0.0011, F1: 0.009107±0.0004, HIT_RATE: 0.050090±0.0021, ARHR: 0.022163±0.0010, RMSE: 2.157592±0.0554, NOVELTY: 0.005276±0.0000, AVERAGE_POPULARITY: 0.613471±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.887010±0.0006, DIVERSITY_HERFINDAHL: 0.988681±0.0001, COVERAGE_ITEM: 0.089300±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130465±0.0005, SHANNON_ENTROPY: 7.685271±0.0073, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 324, 'shrink': 1433, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.031361±0.0027, PRECISION: 0.004828±0.0004, PRECISION_RECALL_MIN_DEN: 0.048284±0.0036, RECALL: 0.048284±0.0036, MAP: 0.021335±0.0014, MRR: 0.021335±0.0014, NDCG: 0.027616±0.0019, F1: 0.008779±0.0007, HIT_RATE: 0.048284±0.0036, ARHR: 0.021335±0.0014, RMSE: 0.988152±0.0002, NOVELTY: 0.005146±0.0000, AVERAGE_POPULARITY: 0.667839±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.854848±0.0002, DIVERSITY_HERFINDAHL: 0.985465±0.0000, COVERAGE_ITEM: 0.052425±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124934±0.0016, SHANNON_ENTROPY: 7.079529±0.0068, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 581, 'shrink': 283, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037484±0.0021, PRECISION: 0.005836±0.0003, PRECISION_RECALL_MIN_DEN: 0.058356±0.0030, RECALL: 0.058356±0.0030, MAP: 0.025638±0.0012, MRR: 0.025638±0.0012, NDCG: 0.033242±0.0015, F1: 0.010610±0.0005, HIT_RATE: 0.058356±0.0030, ARHR: 0.025638±0.0012, RMSE: 0.970187±0.0003, NOVELTY: 0.005354±0.0000, AVERAGE_POPULARITY: 0.586833±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.897701±0.0011, DIVERSITY_HERFINDAHL: 0.989750±0.0001, COVERAGE_ITEM: 0.090479±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146807±0.0008, SHANNON_ENTROPY: 7.896489±0.0093, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 2183, 'shrink': 1875, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037223±0.0024, PRECISION: 0.005632±0.0003, PRECISION_RECALL_MIN_DEN: 0.056323±0.0025, RECALL: 0.056323±0.0025, MAP: 0.024948±0.0013, MRR: 0.024948±0.0013, NDCG: 0.032285±0.0016, F1: 0.010241±0.0005, HIT_RATE: 0.056323±0.0025, ARHR: 0.024948±0.0013, RMSE: 0.753453±0.0065, NOVELTY: 0.005059±0.0000, AVERAGE_POPULARITY: 0.733325±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.768361±0.0015, DIVERSITY_HERFINDAHL: 0.976819±0.0002, COVERAGE_ITEM: 0.026807±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129426±0.0014, SHANNON_ENTROPY: 6.253819±0.0075, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1005, 'shrink': 1735, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039019±0.0025, PRECISION: 0.006007±0.0002, PRECISION_RECALL_MIN_DEN: 0.060072±0.0025, RECALL: 0.060072±0.0025, MAP: 0.026248±0.0016, MRR: 0.026248±0.0016, NDCG: 0.034138±0.0017, F1: 0.010922±0.0004, HIT_RATE: 0.060072±0.0025, ARHR: 0.026248±0.0016, RMSE: 0.969169±0.0003, NOVELTY: 0.005197±0.0000, AVERAGE_POPULARITY: 0.656092±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.850371±0.0016, DIVERSITY_HERFINDAHL: 0.985018±0.0002, COVERAGE_ITEM: 0.046802±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146044±0.0008, SHANNON_ENTROPY: 7.111118±0.0139, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2225, 'shrink': 1780, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036972±0.0023, PRECISION: 0.005587±0.0002, PRECISION_RECALL_MIN_DEN: 0.055872±0.0022, RECALL: 0.055872±0.0022, MAP: 0.024840±0.0012, MRR: 0.024840±0.0012, NDCG: 0.032098±0.0015, F1: 0.010158±0.0004, HIT_RATE: 0.055872±0.0022, ARHR: 0.024840±0.0012, RMSE: 0.966442±0.0002, NOVELTY: 0.005056±0.0000, AVERAGE_POPULARITY: 0.734856±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.766206±0.0017, DIVERSITY_HERFINDAHL: 0.976603±0.0002, COVERAGE_ITEM: 0.026559±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129025±0.0013, SHANNON_ENTROPY: 6.237107±0.0065, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 843, 'shrink': 258, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032555±0.0023, PRECISION: 0.005032±0.0003, PRECISION_RECALL_MIN_DEN: 0.050316±0.0031, RECALL: 0.050316±0.0031, MAP: 0.021850±0.0014, MRR: 0.021850±0.0014, NDCG: 0.028485±0.0017, F1: 0.009148±0.0006, HIT_RATE: 0.050316±0.0031, ARHR: 0.021850±0.0014, RMSE: 20.079808±0.3327, NOVELTY: 0.005060±0.0000, AVERAGE_POPULARITY: 0.730460±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.766731±0.0004, DIVERSITY_HERFINDAHL: 0.976656±0.0000, COVERAGE_ITEM: 0.034517±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111542±0.0005, SHANNON_ENTROPY: 6.309504±0.0027, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1800, 'shrink': 253, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038176±0.0024, PRECISION: 0.005854±0.0002, PRECISION_RECALL_MIN_DEN: 0.058537±0.0021, RECALL: 0.058537±0.0021, MAP: 0.025786±0.0016, MRR: 0.025786±0.0016, NDCG: 0.033423±0.0017, F1: 0.010643±0.0004, HIT_RATE: 0.058537±0.0021, ARHR: 0.025786±0.0016, RMSE: 5.008912±0.0453, NOVELTY: 0.005086±0.0000, AVERAGE_POPULARITY: 0.716960±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.790022±0.0014, DIVERSITY_HERFINDAHL: 0.978984±0.0001, COVERAGE_ITEM: 0.029673±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134761±0.0019, SHANNON_ENTROPY: 6.438376±0.0081, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1490, 'shrink': 369, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028400±0.0013, PRECISION: 0.004309±0.0001, PRECISION_RECALL_MIN_DEN: 0.043089±0.0012, RECALL: 0.043089±0.0012, MAP: 0.019709±0.0011, MRR: 0.019709±0.0011, NDCG: 0.025156±0.0010, F1: 0.007834±0.0002, HIT_RATE: 0.043089±0.0012, ARHR: 0.019709±0.0011, RMSE: 0.986213±0.0001, NOVELTY: 0.004966±0.0000, AVERAGE_POPULARITY: 0.789948±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.671230±0.0010, DIVERSITY_HERFINDAHL: 0.967108±0.0001, COVERAGE_ITEM: 0.017843±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115526±0.0010, SHANNON_ENTROPY: 5.568658±0.0040, 
