SearchBayesianSkoptObject: New best config found. Config 11: {'ITEM_CF': 0.9823765566577694, 'USER_CF': 0.6337990554154437, 'ITEM_CBF_NUM': 0.9171963633865725, 'ITEM_CBF_CAT': 0.0932799577207304, 'SLIM_BPR': 0.2556532921938029, 'P3ALPHA': 0.9683274267528558, 'RP3BETA': 0.9950181062856966} - results: ROC_AUC: 0.0993528, PRECISION: 0.0159138, PRECISION_RECALL_MIN_DEN: 0.0530460, RECALL: 0.0530460, MAP: 0.0260500, MRR: 0.0709602, NDCG: 0.0443023, F1: 0.0244828, HIT_RATE: 0.1591380, ARHR: 0.0744916, RMSE: nan, NOVELTY: 0.0059162, AVERAGE_POPULARITY: 0.2695973, DIVERSITY_MEAN_INTER_LIST: 0.9394576, DIVERSITY_HERFINDAHL: 0.9939412, COVERAGE_ITEM: 0.4480130, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1254143, SHANNON_ENTROPY: 9.4982806, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'ITEM_CF': 0.10530978788917958, 'USER_CF': 0.0865328915517626, 'ITEM_CBF_NUM': 0.05038814533154447, 'ITEM_CBF_CAT': 0.6965688971441747, 'SLIM_BPR': 0.06048802453277159, 'P3ALPHA': 0.9626200334193561, 'RP3BETA': 0.9764189311906429} - results: ROC_AUC: 0.0977057, PRECISION: 0.0154221, PRECISION_RECALL_MIN_DEN: 0.0514069, RECALL: 0.0514069, MAP: 0.0256917, MRR: 0.0698842, NDCG: 0.0433950, F1: 0.0237263, HIT_RATE: 0.1542207, ARHR: 0.0734151, RMSE: nan, NOVELTY: 0.0062286, AVERAGE_POPULARITY: 0.2138187, DIVERSITY_MEAN_INTER_LIST: 0.9435826, DIVERSITY_HERFINDAHL: 0.9943537, COVERAGE_ITEM: 0.5641525, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1691520, SHANNON_ENTROPY: 10.1253157, 
SearchBayesianSkoptObject: New best config found. Config 13: {'ITEM_CF': 1.0, 'USER_CF': 1.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0993384, PRECISION: 0.0158511, PRECISION_RECALL_MIN_DEN: 0.0528371, RECALL: 0.0528371, MAP: 0.0261752, MRR: 0.0710202, NDCG: 0.0443222, F1: 0.0243864, HIT_RATE: 0.1585113, ARHR: 0.0747020, RMSE: nan, NOVELTY: 0.0061521, AVERAGE_POPULARITY: 0.2256001, DIVERSITY_MEAN_INTER_LIST: 0.9426921, DIVERSITY_HERFINDAHL: 0.9942647, COVERAGE_ITEM: 0.5400919, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1642293, SHANNON_ENTROPY: 10.0021039, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'ITEM_CF': 0.0, 'USER_CF': 1.0, 'ITEM_CBF_NUM': 1.0, 'ITEM_CBF_CAT': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0942033, PRECISION: 0.0149737, PRECISION_RECALL_MIN_DEN: 0.0499124, RECALL: 0.0499124, MAP: 0.0247441, MRR: 0.0677776, NDCG: 0.0419856, F1: 0.0230365, HIT_RATE: 0.1497373, ARHR: 0.0709513, RMSE: nan, NOVELTY: 0.0058658, AVERAGE_POPULARITY: 0.2817447, DIVERSITY_MEAN_INTER_LIST: 0.9381263, DIVERSITY_HERFINDAHL: 0.9938081, COVERAGE_ITEM: 0.3990268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1243580, SHANNON_ENTROPY: 9.3725328, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'ITEM_CF': 0.9785900741353172, 'USER_CF': 0.03517779432749813, 'ITEM_CBF_NUM': 0.804011300166034, 'ITEM_CBF_CAT': 0.42566710248259565, 'SLIM_BPR': 0.9935506591219406, 'P3ALPHA': 0.054055914347581294, 'RP3BETA': 0.9323185192063111} - results: ROC_AUC: 0.0968891, PRECISION: 0.0154558, PRECISION_RECALL_MIN_DEN: 0.0515194, RECALL: 0.0515194, MAP: 0.0253382, MRR: 0.0689180, NDCG: 0.0430597, F1: 0.0237782, HIT_RATE: 0.1545582, ARHR: 0.0724109, RMSE: nan, NOVELTY: 0.0059527, AVERAGE_POPULARITY: 0.2641251, DIVERSITY_MEAN_INTER_LIST: 0.9399538, DIVERSITY_HERFINDAHL: 0.9939909, COVERAGE_ITEM: 0.4812652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1314041, SHANNON_ENTROPY: 9.5976615, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'ITEM_CF': 0.025307198736945875, 'USER_CF': 0.7300516637331728, 'ITEM_CBF_NUM': 0.9978938562525649, 'ITEM_CBF_CAT': 0.10597741070540437, 'SLIM_BPR': 0.06031388008071882, 'P3ALPHA': 0.06502384621285341, 'RP3BETA': 0.027484841945632395} - results: ROC_AUC: 0.0640235, PRECISION: 0.0094924, PRECISION_RECALL_MIN_DEN: 0.0316412, RECALL: 0.0316412, MAP: 0.0169546, MRR: 0.0471631, NDCG: 0.0280831, F1: 0.0146036, HIT_RATE: 0.0949236, ARHR: 0.0489860, RMSE: nan, NOVELTY: 0.0058745, AVERAGE_POPULARITY: 0.2754544, DIVERSITY_MEAN_INTER_LIST: 0.9374791, DIVERSITY_HERFINDAHL: 0.9937434, COVERAGE_ITEM: 0.4378481, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1289653, SHANNON_ENTROPY: 9.4173275, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'ITEM_CF': 0.9697839259800611, 'USER_CF': 0.01953546622239333, 'ITEM_CBF_NUM': 0.04061889299911826, 'ITEM_CBF_CAT': 0.8850868341978759, 'SLIM_BPR': 0.936076022764127, 'P3ALPHA': 0.9426502516267614, 'RP3BETA': 0.9546536693961631} - results: ROC_AUC: 0.0986199, PRECISION: 0.0156920, PRECISION_RECALL_MIN_DEN: 0.0523068, RECALL: 0.0523068, MAP: 0.0259062, MRR: 0.0700993, NDCG: 0.0438468, F1: 0.0241416, HIT_RATE: 0.1569204, ARHR: 0.0738345, RMSE: nan, NOVELTY: 0.0062615, AVERAGE_POPULARITY: 0.2041845, DIVERSITY_MEAN_INTER_LIST: 0.9441201, DIVERSITY_HERFINDAHL: 0.9944075, COVERAGE_ITEM: 0.5965937, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1777270, SHANNON_ENTROPY: 10.2235323, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'ITEM_CF': 0.0, 'USER_CF': 1.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0947363, PRECISION: 0.0148677, PRECISION_RECALL_MIN_DEN: 0.0495589, RECALL: 0.0495589, MAP: 0.0249626, MRR: 0.0680229, NDCG: 0.0420593, F1: 0.0228733, HIT_RATE: 0.1486767, ARHR: 0.0713981, RMSE: nan, NOVELTY: 0.0062421, AVERAGE_POPULARITY: 0.2148620, DIVERSITY_MEAN_INTER_LIST: 0.9432764, DIVERSITY_HERFINDAHL: 0.9943231, COVERAGE_ITEM: 0.5471208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1764303, SHANNON_ENTROPY: 10.1348965, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'ITEM_CF': 0.0008583491073917984, 'USER_CF': 0.059695368118334105, 'ITEM_CBF_NUM': 0.9974615290486211, 'ITEM_CBF_CAT': 0.7748504600175685, 'SLIM_BPR': 0.07700149748034137, 'P3ALPHA': 0.38885541837597515, 'RP3BETA': 0.98191375025584} - results: ROC_AUC: 0.0881163, PRECISION: 0.0138360, PRECISION_RECALL_MIN_DEN: 0.0461200, RECALL: 0.0461200, MAP: 0.0231213, MRR: 0.0637125, NDCG: 0.0391395, F1: 0.0212861, HIT_RATE: 0.1383599, ARHR: 0.0665046, RMSE: nan, NOVELTY: 0.0059163, AVERAGE_POPULARITY: 0.2725478, DIVERSITY_MEAN_INTER_LIST: 0.9392184, DIVERSITY_HERFINDAHL: 0.9939173, COVERAGE_ITEM: 0.4626115, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1296057, SHANNON_ENTROPY: 9.5345585, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'ITEM_CF': 0.9690354533707746, 'USER_CF': 0.8704587453541589, 'ITEM_CBF_NUM': 0.9851741802774125, 'ITEM_CBF_CAT': 0.05323808855496827, 'SLIM_BPR': 0.9768410125669021, 'P3ALPHA': 0.2281658789248206, 'RP3BETA': 0.9943338197408735} - results: ROC_AUC: 0.0967206, PRECISION: 0.0155185, PRECISION_RECALL_MIN_DEN: 0.0517283, RECALL: 0.0517283, MAP: 0.0254104, MRR: 0.0692514, NDCG: 0.0432094, F1: 0.0238746, HIT_RATE: 0.1551849, ARHR: 0.0726846, RMSE: nan, NOVELTY: 0.0058979, AVERAGE_POPULARITY: 0.2760961, DIVERSITY_MEAN_INTER_LIST: 0.9388821, DIVERSITY_HERFINDAHL: 0.9938837, COVERAGE_ITEM: 0.4384969, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1252601, SHANNON_ENTROPY: 9.4591595, 
