SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0865468, PRECISION: 0.0135294, PRECISION_RECALL_MIN_DEN: 0.0450979, RECALL: 0.0450979, MAP: 0.0214777, MRR: 0.0600078, NDCG: 0.0372568, F1: 0.0208144, HIT_RATE: 0.1352938, ARHR: 0.0621928, RMSE: 0.9975426, NOVELTY: 0.0068533, AVERAGE_POPULARITY: 0.1264913, DIVERSITY_MEAN_INTER_LIST: 0.9731718, DIVERSITY_HERFINDAHL: 0.9973112, COVERAGE_ITEM: 0.5250608, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2202949, SHANNON_ENTROPY: 10.6740791, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1393, 'user_shrink': 1958, 'item_topK': 2, 'item_shrink': 1015} - results: ROC_AUC: 0.0986166, PRECISION: 0.0162970, PRECISION_RECALL_MIN_DEN: 0.0543234, RECALL: 0.0543234, MAP: 0.0250589, MRR: 0.0681849, NDCG: 0.0436523, F1: 0.0250724, HIT_RATE: 0.1629703, ARHR: 0.0716151, RMSE: 0.9953797, NOVELTY: 0.0064723, AVERAGE_POPULARITY: 0.2032182, DIVERSITY_MEAN_INTER_LIST: 0.9423974, DIVERSITY_HERFINDAHL: 0.9942339, COVERAGE_ITEM: 0.5635036, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2333119, SHANNON_ENTROPY: 10.5083252, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1049250, PRECISION: 0.0155433, PRECISION_RECALL_MIN_DEN: 0.0518111, RECALL: 0.0518111, MAP: 0.0279106, MRR: 0.0773782, NDCG: 0.0461178, F1: 0.0239128, HIT_RATE: 0.1554334, ARHR: 0.0805227, RMSE: 0.9873577, NOVELTY: 0.0062785, AVERAGE_POPULARITY: 0.2787804, DIVERSITY_MEAN_INTER_LIST: 0.9648040, DIVERSITY_HERFINDAHL: 0.9964744, COVERAGE_ITEM: 0.4350906, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2097877, SHANNON_ENTROPY: 10.5474524, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1049250, PRECISION: 0.0155433, PRECISION_RECALL_MIN_DEN: 0.0518111, RECALL: 0.0518111, MAP: 0.0279106, MRR: 0.0773782, NDCG: 0.0461178, F1: 0.0239128, HIT_RATE: 0.1554334, ARHR: 0.0805227, RMSE: 0.9873577, NOVELTY: 0.0062785, AVERAGE_POPULARITY: 0.2787804, DIVERSITY_MEAN_INTER_LIST: 0.9648040, DIVERSITY_HERFINDAHL: 0.9964744, COVERAGE_ITEM: 0.4350906, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2097877, SHANNON_ENTROPY: 10.5474524, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 100, 'item_shrink': 2000} - results: ROC_AUC: 0.1083138, PRECISION: 0.0174399, PRECISION_RECALL_MIN_DEN: 0.0581331, RECALL: 0.0581331, MAP: 0.0288045, MRR: 0.0791457, NDCG: 0.0488861, F1: 0.0268306, HIT_RATE: 0.1743992, ARHR: 0.0827148, RMSE: 0.9085289, NOVELTY: 0.0053570, AVERAGE_POPULARITY: 0.5897198, DIVERSITY_MEAN_INTER_LIST: 0.8697655, DIVERSITY_HERFINDAHL: 0.9869712, COVERAGE_ITEM: 0.2426061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0773712, SHANNON_ENTROPY: 7.8337141, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 923, 'user_shrink': 1846, 'item_topK': 3, 'item_shrink': 1056} - results: ROC_AUC: 0.1167539, PRECISION: 0.0181133, PRECISION_RECALL_MIN_DEN: 0.0603777, RECALL: 0.0603777, MAP: 0.0312077, MRR: 0.0848385, NDCG: 0.0520253, F1: 0.0278666, HIT_RATE: 0.1811330, ARHR: 0.0891387, RMSE: 0.9518842, NOVELTY: 0.0059790, AVERAGE_POPULARITY: 0.3554141, DIVERSITY_MEAN_INTER_LIST: 0.9171054, DIVERSITY_HERFINDAHL: 0.9917049, COVERAGE_ITEM: 0.4179508, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1524973, SHANNON_ENTROPY: 9.5844108, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_topK': 720, 'user_shrink': 1092, 'item_topK': 89, 'item_shrink': 1107} - results: ROC_AUC: 0.0520181, PRECISION: 0.0091184, PRECISION_RECALL_MIN_DEN: 0.0303948, RECALL: 0.0303948, MAP: 0.0127151, MRR: 0.0361786, NDCG: 0.0232733, F1: 0.0140284, HIT_RATE: 0.0911843, ARHR: 0.0371365, RMSE: 8.6524517, NOVELTY: 0.0049119, AVERAGE_POPULARITY: 0.8558482, DIVERSITY_MEAN_INTER_LIST: 0.3213191, DIVERSITY_HERFINDAHL: 0.9321299, COVERAGE_ITEM: 0.0153555, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0557946, SHANNON_ENTROPY: 4.2256648, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1997, 'user_shrink': 1760, 'item_topK': 1, 'item_shrink': 1266} - results: ROC_AUC: 0.0866096, PRECISION: 0.0129301, PRECISION_RECALL_MIN_DEN: 0.0431004, RECALL: 0.0431004, MAP: 0.0226918, MRR: 0.0641628, NDCG: 0.0380031, F1: 0.0198925, HIT_RATE: 0.1293013, ARHR: 0.0661051, RMSE: 0.9975504, NOVELTY: 0.0059344, AVERAGE_POPULARITY: 0.3704944, DIVERSITY_MEAN_INTER_LIST: 0.9360191, DIVERSITY_HERFINDAHL: 0.9935961, COVERAGE_ITEM: 0.3154907, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1781764, SHANNON_ENTROPY: 9.7519340, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1062778, PRECISION: 0.0156422, PRECISION_RECALL_MIN_DEN: 0.0521406, RECALL: 0.0521406, MAP: 0.0282886, MRR: 0.0784595, NDCG: 0.0466356, F1: 0.0240649, HIT_RATE: 0.1564218, ARHR: 0.0816313, RMSE: 0.9895318, NOVELTY: 0.0063231, AVERAGE_POPULARITY: 0.2656923, DIVERSITY_MEAN_INTER_LIST: 0.9719138, DIVERSITY_HERFINDAHL: 0.9971854, COVERAGE_ITEM: 0.4456340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2209307, SHANNON_ENTROPY: 10.7264520, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1064099, PRECISION: 0.0156236, PRECISION_RECALL_MIN_DEN: 0.0520788, RECALL: 0.0520788, MAP: 0.0283370, MRR: 0.0786097, NDCG: 0.0466713, F1: 0.0240364, HIT_RATE: 0.1562365, ARHR: 0.0817789, RMSE: 0.9893701, NOVELTY: 0.0063280, AVERAGE_POPULARITY: 0.2623607, DIVERSITY_MEAN_INTER_LIST: 0.9746248, DIVERSITY_HERFINDAHL: 0.9974565, COVERAGE_ITEM: 0.4460665, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2207417, SHANNON_ENTROPY: 10.7558520, 
