SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_topK': 974, 'user_shrink': 1939, 'item_topK': 99, 'item_shrink': 1921} - results: ROC_AUC: 0.0845383, PRECISION: 0.0137147, PRECISION_RECALL_MIN_DEN: 0.0457157, RECALL: 0.0457157, MAP: 0.0215639, MRR: 0.0606033, NDCG: 0.0375360, F1: 0.0210996, HIT_RATE: 0.1371471, ARHR: 0.0626079, RMSE: 1.0512731, NOVELTY: 0.0050709, AVERAGE_POPULARITY: 0.7487924, DIVERSITY_MEAN_INTER_LIST: 0.6948329, DIVERSITY_HERFINDAHL: 0.9694790, COVERAGE_ITEM: 0.1253852, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0453198, SHANNON_ENTROPY: 6.1496574, 
SearchBayesianSkopt: New best config found. Config 12: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1914, 'user_shrink': 1893, 'item_topK': 8, 'item_shrink': 1083} - results: ROC_AUC: 0.1261627, PRECISION: 0.0202261, PRECISION_RECALL_MIN_DEN: 0.0674204, RECALL: 0.0674204, MAP: 0.0335136, MRR: 0.0907554, NDCG: 0.0566129, F1: 0.0311171, HIT_RATE: 0.2022611, ARHR: 0.0955377, RMSE: 0.9708607, NOVELTY: 0.0061144, AVERAGE_POPULARITY: 0.2978995, DIVERSITY_MEAN_INTER_LIST: 0.9813968, DIVERSITY_HERFINDAHL: 0.9981336, COVERAGE_ITEM: 0.5318735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1724687, SHANNON_ENTROPY: 10.5782080, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0888733, PRECISION: 0.0131340, PRECISION_RECALL_MIN_DEN: 0.0437800, RECALL: 0.0437800, MAP: 0.0230980, MRR: 0.0650905, NDCG: 0.0386390, F1: 0.0202061, HIT_RATE: 0.1313400, ARHR: 0.0671723, RMSE: 0.9976600, NOVELTY: 0.0061396, AVERAGE_POPULARITY: 0.3067307, DIVERSITY_MEAN_INTER_LIST: 0.9774579, DIVERSITY_HERFINDAHL: 0.9977398, COVERAGE_ITEM: 0.3506353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2129743, SHANNON_ENTROPY: 10.4676012, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0860986, PRECISION: 0.0129919, PRECISION_RECALL_MIN_DEN: 0.0433064, RECALL: 0.0433064, MAP: 0.0224885, MRR: 0.0634868, NDCG: 0.0378289, F1: 0.0199875, HIT_RATE: 0.1299191, ARHR: 0.0654592, RMSE: 0.9984519, NOVELTY: 0.0060452, AVERAGE_POPULARITY: 0.3328170, DIVERSITY_MEAN_INTER_LIST: 0.9672441, DIVERSITY_HERFINDAHL: 0.9967184, COVERAGE_ITEM: 0.3274939, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1972693, SHANNON_ENTROPY: 10.1822709, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.1094405, PRECISION: 0.0162661, PRECISION_RECALL_MIN_DEN: 0.0542205, RECALL: 0.0542205, MAP: 0.0289696, MRR: 0.0801962, NDCG: 0.0479941, F1: 0.0250248, HIT_RATE: 0.1626614, ARHR: 0.0835191, RMSE: 0.9883797, NOVELTY: 0.0062653, AVERAGE_POPULARITY: 0.2955336, DIVERSITY_MEAN_INTER_LIST: 0.9470071, DIVERSITY_HERFINDAHL: 0.9946949, COVERAGE_ITEM: 0.4571506, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2043862, SHANNON_ENTROPY: 10.3321691, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_topK': 734, 'user_shrink': 1009, 'item_topK': 11, 'item_shrink': 1816} - results: ROC_AUC: 0.0998554, PRECISION: 0.0156916, PRECISION_RECALL_MIN_DEN: 0.0523053, RECALL: 0.0523053, MAP: 0.0259957, MRR: 0.0718383, NDCG: 0.0441859, F1: 0.0241409, HIT_RATE: 0.1569160, ARHR: 0.0748781, RMSE: 0.9672877, NOVELTY: 0.0054299, AVERAGE_POPULARITY: 0.5527237, DIVERSITY_MEAN_INTER_LIST: 0.8975707, DIVERSITY_HERFINDAHL: 0.9897515, COVERAGE_ITEM: 0.2734793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0891542, SHANNON_ENTROPY: 8.2837326, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 707, 'user_shrink': 1179, 'item_topK': 99, 'item_shrink': 1065} - results: ROC_AUC: 0.1173744, PRECISION: 0.0188732, PRECISION_RECALL_MIN_DEN: 0.0629106, RECALL: 0.0629106, MAP: 0.0313365, MRR: 0.0856399, NDCG: 0.0530023, F1: 0.0290356, HIT_RATE: 0.1887317, ARHR: 0.0897448, RMSE: 0.9234659, NOVELTY: 0.0056161, AVERAGE_POPULARITY: 0.4896395, DIVERSITY_MEAN_INTER_LIST: 0.9301624, DIVERSITY_HERFINDAHL: 0.9930105, COVERAGE_ITEM: 0.4457962, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1076613, SHANNON_ENTROPY: 9.0048908, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1908, 'user_shrink': 1857, 'item_topK': 6, 'item_shrink': 1993} - results: ROC_AUC: 0.1243318, PRECISION: 0.0198369, PRECISION_RECALL_MIN_DEN: 0.0661230, RECALL: 0.0661230, MAP: 0.0328867, MRR: 0.0893056, NDCG: 0.0555957, F1: 0.0305183, HIT_RATE: 0.1983691, ARHR: 0.0938812, RMSE: 0.9750124, NOVELTY: 0.0060539, AVERAGE_POPULARITY: 0.3086686, DIVERSITY_MEAN_INTER_LIST: 0.9807894, DIVERSITY_HERFINDAHL: 0.9980729, COVERAGE_ITEM: 0.4632063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1662551, SHANNON_ENTROPY: 10.4257136, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0864662, PRECISION: 0.0129363, PRECISION_RECALL_MIN_DEN: 0.0431210, RECALL: 0.0431210, MAP: 0.0225664, MRR: 0.0636575, NDCG: 0.0378559, F1: 0.0199020, HIT_RATE: 0.1293631, ARHR: 0.0656611, RMSE: 0.9986810, NOVELTY: 0.0061254, AVERAGE_POPULARITY: 0.3118211, DIVERSITY_MEAN_INTER_LIST: 0.9764154, DIVERSITY_HERFINDAHL: 0.9976355, COVERAGE_ITEM: 0.3447418, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2112034, SHANNON_ENTROPY: 10.4247086, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0888733, PRECISION: 0.0131340, PRECISION_RECALL_MIN_DEN: 0.0437800, RECALL: 0.0437800, MAP: 0.0230980, MRR: 0.0650905, NDCG: 0.0386390, F1: 0.0202061, HIT_RATE: 0.1313400, ARHR: 0.0671723, RMSE: 0.9976600, NOVELTY: 0.0061396, AVERAGE_POPULARITY: 0.3067307, DIVERSITY_MEAN_INTER_LIST: 0.9774579, DIVERSITY_HERFINDAHL: 0.9977398, COVERAGE_ITEM: 0.3506353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2129743, SHANNON_ENTROPY: 10.4676012, 
