SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0892577, PRECISION: 0.0132884, PRECISION_RECALL_MIN_DEN: 0.0442948, RECALL: 0.0442948, MAP: 0.0232188, MRR: 0.0654113, NDCG: 0.0389225, F1: 0.0204438, HIT_RATE: 0.1328844, ARHR: 0.0675140, RMSE: 0.9987941, NOVELTY: 0.0061247, AVERAGE_POPULARITY: 0.3088246, DIVERSITY_MEAN_INTER_LIST: 0.9771930, DIVERSITY_HERFINDAHL: 0.9977133, COVERAGE_ITEM: 0.3610165, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2120555, SHANNON_ENTROPY: 10.4873520, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 1942, 'user_shrink': 1998, 'item_topK': 93, 'item_shrink': 1946} - results: ROC_AUC: 0.0768885, PRECISION: 0.0125409, PRECISION_RECALL_MIN_DEN: 0.0418031, RECALL: 0.0418031, MAP: 0.0194374, MRR: 0.0546549, NDCG: 0.0340257, F1: 0.0192937, HIT_RATE: 0.1254093, ARHR: 0.0564526, RMSE: 0.9838151, NOVELTY: 0.0050339, AVERAGE_POPULARITY: 0.7650056, DIVERSITY_MEAN_INTER_LIST: 0.6323732, DIVERSITY_HERFINDAHL: 0.9632334, COVERAGE_ITEM: 0.0771560, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0461964, SHANNON_ENTROPY: 5.7649792, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0930396, PRECISION: 0.0137950, PRECISION_RECALL_MIN_DEN: 0.0459834, RECALL: 0.0459834, MAP: 0.0241629, MRR: 0.0680019, NDCG: 0.0404615, F1: 0.0212231, HIT_RATE: 0.1379502, ARHR: 0.0702226, RMSE: 0.9979896, NOVELTY: 0.0061342, AVERAGE_POPULARITY: 0.3000310, DIVERSITY_MEAN_INTER_LIST: 0.9793888, DIVERSITY_HERFINDAHL: 0.9979328, COVERAGE_ITEM: 0.3818329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2158658, SHANNON_ENTROPY: 10.6045539, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0887396, PRECISION: 0.0133935, PRECISION_RECALL_MIN_DEN: 0.0446449, RECALL: 0.0446449, MAP: 0.0231331, MRR: 0.0652121, NDCG: 0.0389336, F1: 0.0206053, HIT_RATE: 0.1339346, ARHR: 0.0672883, RMSE: 0.9985925, NOVELTY: 0.0060553, AVERAGE_POPULARITY: 0.3276753, DIVERSITY_MEAN_INTER_LIST: 0.9689843, DIVERSITY_HERFINDAHL: 0.9968924, COVERAGE_ITEM: 0.3454447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1986975, SHANNON_ENTROPY: 10.2661301, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0892577, PRECISION: 0.0132884, PRECISION_RECALL_MIN_DEN: 0.0442948, RECALL: 0.0442948, MAP: 0.0232188, MRR: 0.0654113, NDCG: 0.0389225, F1: 0.0204438, HIT_RATE: 0.1328844, ARHR: 0.0675140, RMSE: 0.9987941, NOVELTY: 0.0061247, AVERAGE_POPULARITY: 0.3088246, DIVERSITY_MEAN_INTER_LIST: 0.9771930, DIVERSITY_HERFINDAHL: 0.9977133, COVERAGE_ITEM: 0.3610165, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2120555, SHANNON_ENTROPY: 10.4873520, 
SearchBayesianSkopt: New best config found. Config 16: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 1880, 'user_shrink': 1038, 'item_topK': 3, 'item_shrink': 1060} - results: ROC_AUC: 0.1013368, PRECISION: 0.0157843, PRECISION_RECALL_MIN_DEN: 0.0526142, RECALL: 0.0526142, MAP: 0.0263383, MRR: 0.0727347, NDCG: 0.0446509, F1: 0.0242835, HIT_RATE: 0.1578427, ARHR: 0.0758361, RMSE: 0.9946945, NOVELTY: 0.0056004, AVERAGE_POPULARITY: 0.4679652, DIVERSITY_MEAN_INTER_LIST: 0.9072853, DIVERSITY_HERFINDAHL: 0.9907229, COVERAGE_ITEM: 0.2808327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1145867, SHANNON_ENTROPY: 8.8018745, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1976, 'user_shrink': 1070, 'item_topK': 2, 'item_shrink': 1016} - results: ROC_AUC: 0.0992288, PRECISION: 0.0151850, PRECISION_RECALL_MIN_DEN: 0.0506168, RECALL: 0.0506168, MAP: 0.0259727, MRR: 0.0722676, NDCG: 0.0437201, F1: 0.0233616, HIT_RATE: 0.1518503, ARHR: 0.0750704, RMSE: 0.9956297, NOVELTY: 0.0056722, AVERAGE_POPULARITY: 0.4411484, DIVERSITY_MEAN_INTER_LIST: 0.9057260, DIVERSITY_HERFINDAHL: 0.9905670, COVERAGE_ITEM: 0.2993782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257631, SHANNON_ENTROPY: 9.0001584, 
SearchBayesianSkopt: New best config found. Config 18: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1980, 'user_shrink': 1956, 'item_topK': 2, 'item_shrink': 1018} - results: ROC_AUC: 0.1023508, PRECISION: 0.0157101, PRECISION_RECALL_MIN_DEN: 0.0523671, RECALL: 0.0523671, MAP: 0.0266929, MRR: 0.0742143, NDCG: 0.0450331, F1: 0.0241694, HIT_RATE: 0.1571014, ARHR: 0.0771241, RMSE: 0.9964947, NOVELTY: 0.0058344, AVERAGE_POPULARITY: 0.3832669, DIVERSITY_MEAN_INTER_LIST: 0.9564258, DIVERSITY_HERFINDAHL: 0.9956367, COVERAGE_ITEM: 0.3509597, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1510506, SHANNON_ENTROPY: 9.7536068, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0926556, PRECISION: 0.0139309, PRECISION_RECALL_MIN_DEN: 0.0464364, RECALL: 0.0464364, MAP: 0.0240717, MRR: 0.0677162, NDCG: 0.0404927, F1: 0.0214322, HIT_RATE: 0.1393093, ARHR: 0.0699484, RMSE: 0.9976698, NOVELTY: 0.0059898, AVERAGE_POPULARITY: 0.3426357, DIVERSITY_MEAN_INTER_LIST: 0.9544379, DIVERSITY_HERFINDAHL: 0.9954379, COVERAGE_ITEM: 0.3532306, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1887575, SHANNON_ENTROPY: 10.1003840, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0922661, PRECISION: 0.0138444, PRECISION_RECALL_MIN_DEN: 0.0461481, RECALL: 0.0461481, MAP: 0.0239548, MRR: 0.0674349, NDCG: 0.0402846, F1: 0.0212991, HIT_RATE: 0.1384444, ARHR: 0.0696268, RMSE: 0.9976732, NOVELTY: 0.0060894, AVERAGE_POPULARITY: 0.3126039, DIVERSITY_MEAN_INTER_LIST: 0.9743413, DIVERSITY_HERFINDAHL: 0.9974281, COVERAGE_ITEM: 0.3729116, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2064133, SHANNON_ENTROPY: 10.4592877, 
