SearchBayesianSkopt: New best config found. Config 11: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1003358, PRECISION: 0.0159287, PRECISION_RECALL_MIN_DEN: 0.0530958, RECALL: 0.0530958, MAP: 0.0265827, MRR: 0.0727276, NDCG: 0.0448953, F1: 0.0245058, HIT_RATE: 0.1592874, ARHR: 0.0761289, RMSE: 0.9865680, NOVELTY: 0.0062565, AVERAGE_POPULARITY: 0.1743634, DIVERSITY_MEAN_INTER_LIST: 0.9267139, DIVERSITY_HERFINDAHL: 0.9926554, COVERAGE_ITEM: 0.3485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2208907, SHANNON_ENTROPY: 9.8549434, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1003358, PRECISION: 0.0159287, PRECISION_RECALL_MIN_DEN: 0.0530958, RECALL: 0.0530958, MAP: 0.0265827, MRR: 0.0727276, NDCG: 0.0448953, F1: 0.0245058, HIT_RATE: 0.1592874, ARHR: 0.0761289, RMSE: 0.9865680, NOVELTY: 0.0062565, AVERAGE_POPULARITY: 0.1743634, DIVERSITY_MEAN_INTER_LIST: 0.9267139, DIVERSITY_HERFINDAHL: 0.9926554, COVERAGE_ITEM: 0.3485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2208907, SHANNON_ENTROPY: 9.8549434, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0982733, PRECISION: 0.0155655, PRECISION_RECALL_MIN_DEN: 0.0518852, RECALL: 0.0518852, MAP: 0.0258851, MRR: 0.0711792, NDCG: 0.0438412, F1: 0.0239470, HIT_RATE: 0.1556555, ARHR: 0.0743192, RMSE: 0.9879789, NOVELTY: 0.0061401, AVERAGE_POPULARITY: 0.1965503, DIVERSITY_MEAN_INTER_LIST: 0.9306321, DIVERSITY_HERFINDAHL: 0.9930471, COVERAGE_ITEM: 0.3039740, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2099761, SHANNON_ENTROPY: 9.7186968, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 493, 'shrink': 1037, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0919373, PRECISION: 0.0141992, PRECISION_RECALL_MIN_DEN: 0.0473308, RECALL: 0.0473308, MAP: 0.0248741, MRR: 0.0683647, NDCG: 0.0413047, F1: 0.0218450, HIT_RATE: 0.1419924, ARHR: 0.0714051, RMSE: 0.9389789, NOVELTY: 0.0057617, AVERAGE_POPULARITY: 0.3444743, DIVERSITY_MEAN_INTER_LIST: 0.9153085, DIVERSITY_HERFINDAHL: 0.9915150, COVERAGE_ITEM: 0.2939173, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1550975, SHANNON_ENTROPY: 8.8372755, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1003358, PRECISION: 0.0159287, PRECISION_RECALL_MIN_DEN: 0.0530958, RECALL: 0.0530958, MAP: 0.0265827, MRR: 0.0727276, NDCG: 0.0448953, F1: 0.0245058, HIT_RATE: 0.1592874, ARHR: 0.0761289, RMSE: 0.9865680, NOVELTY: 0.0062565, AVERAGE_POPULARITY: 0.1743634, DIVERSITY_MEAN_INTER_LIST: 0.9267139, DIVERSITY_HERFINDAHL: 0.9926554, COVERAGE_ITEM: 0.3485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2208907, SHANNON_ENTROPY: 9.8549434, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 9, 'shrink': 1995, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0797832, PRECISION: 0.0123833, PRECISION_RECALL_MIN_DEN: 0.0412775, RECALL: 0.0412775, MAP: 0.0214257, MRR: 0.0596451, NDCG: 0.0358563, F1: 0.0190512, HIT_RATE: 0.1238326, ARHR: 0.0619164, RMSE: 0.9723644, NOVELTY: 0.0058578, AVERAGE_POPULARITY: 0.2998869, DIVERSITY_MEAN_INTER_LIST: 0.9243132, DIVERSITY_HERFINDAHL: 0.9924153, COVERAGE_ITEM: 0.3111111, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1683673, SHANNON_ENTROPY: 9.1612301, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 22, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0794725, PRECISION: 0.0121065, PRECISION_RECALL_MIN_DEN: 0.0403551, RECALL: 0.0403551, MAP: 0.0212847, MRR: 0.0592094, NDCG: 0.0354283, F1: 0.0186254, HIT_RATE: 0.1210654, ARHR: 0.0614882, RMSE: 0.9945836, NOVELTY: 0.0057388, AVERAGE_POPULARITY: 0.3357079, DIVERSITY_MEAN_INTER_LIST: 0.9208582, DIVERSITY_HERFINDAHL: 0.9920699, COVERAGE_ITEM: 0.2665585, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1529271, SHANNON_ENTROPY: 8.8693978, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 494, 'shrink': 1035, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0706491, PRECISION: 0.0112591, PRECISION_RECALL_MIN_DEN: 0.0375303, RECALL: 0.0375303, MAP: 0.0190021, MRR: 0.0530280, NDCG: 0.0320985, F1: 0.0173217, HIT_RATE: 0.1125908, ARHR: 0.0549709, RMSE: 1.1924366, NOVELTY: 0.0053196, AVERAGE_POPULARITY: 0.5408738, DIVERSITY_MEAN_INTER_LIST: 0.8147986, DIVERSITY_HERFINDAHL: 0.9814658, COVERAGE_ITEM: 0.1197080, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0750428, SHANNON_ENTROPY: 6.7796271, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 496, 'shrink': 1994, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0904722, PRECISION: 0.0140782, PRECISION_RECALL_MIN_DEN: 0.0469272, RECALL: 0.0469272, MAP: 0.0245900, MRR: 0.0675342, NDCG: 0.0408601, F1: 0.0216587, HIT_RATE: 0.1407817, ARHR: 0.0705736, RMSE: 0.9428382, NOVELTY: 0.0056293, AVERAGE_POPULARITY: 0.3826401, DIVERSITY_MEAN_INTER_LIST: 0.9073052, DIVERSITY_HERFINDAHL: 0.9907148, COVERAGE_ITEM: 0.2146526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1311193, SHANNON_ENTROPY: 8.3947181, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 13, 'shrink': 1961, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0789222, PRECISION: 0.0119336, PRECISION_RECALL_MIN_DEN: 0.0397786, RECALL: 0.0397786, MAP: 0.0212130, MRR: 0.0592683, NDCG: 0.0352057, F1: 0.0183594, HIT_RATE: 0.1193359, ARHR: 0.0614101, RMSE: 0.9975162, NOVELTY: 0.0058120, AVERAGE_POPULARITY: 0.3121914, DIVERSITY_MEAN_INTER_LIST: 0.9220376, DIVERSITY_HERFINDAHL: 0.9921878, COVERAGE_ITEM: 0.2751014, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1636360, SHANNON_ENTROPY: 9.0229846, 
