SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0972367, PRECISION: 0.0160552, PRECISION_RECALL_MIN_DEN: 0.0535174, RECALL: 0.0535174, MAP: 0.0236417, MRR: 0.0652572, NDCG: 0.0420829, F1: 0.0247003, HIT_RATE: 0.1605523, ARHR: 0.0680035, RMSE: 0.9236135, NOVELTY: 0.0057290, AVERAGE_POPULARITY: 0.3788267, DIVERSITY_MEAN_INTER_LIST: 0.9678572, DIVERSITY_HERFINDAHL: 0.9967475, COVERAGE_ITEM: 0.0816978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2740303, SHANNON_ENTROPY: 9.0494000, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 9, 'shrink': 993, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1093798, PRECISION: 0.0181460, PRECISION_RECALL_MIN_DEN: 0.0604865, RECALL: 0.0604865, MAP: 0.0264193, MRR: 0.0736110, NDCG: 0.0473571, F1: 0.0279169, HIT_RATE: 0.1814596, ARHR: 0.0763688, RMSE: 1.1735811, NOVELTY: 0.0061489, AVERAGE_POPULARITY: 0.2936336, DIVERSITY_MEAN_INTER_LIST: 0.9751570, DIVERSITY_HERFINDAHL: 0.9974772, COVERAGE_ITEM: 0.1397134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2472716, SHANNON_ENTROPY: 9.5654567, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 29, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0130534, PRECISION: 0.0019329, PRECISION_RECALL_MIN_DEN: 0.0064431, RECALL: 0.0064431, MAP: 0.0028502, MRR: 0.0084520, NDCG: 0.0051906, F1: 0.0029738, HIT_RATE: 0.0193294, ARHR: 0.0085013, RMSE: 0.9787380, NOVELTY: 0.0094070, AVERAGE_POPULARITY: 0.0066494, DIVERSITY_MEAN_INTER_LIST: 0.9972893, DIVERSITY_HERFINDAHL: 0.9996896, COVERAGE_ITEM: 0.3292782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5280285, SHANNON_ENTROPY: 12.0370760, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 973, 'shrink': 998, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0761627, PRECISION: 0.0128994, PRECISION_RECALL_MIN_DEN: 0.0429980, RECALL: 0.0429980, MAP: 0.0194133, MRR: 0.0542068, NDCG: 0.0342546, F1: 0.0198452, HIT_RATE: 0.1289941, ARHR: 0.0561620, RMSE: 4.1551388, NOVELTY: 0.0051978, AVERAGE_POPULARITY: 0.6796593, DIVERSITY_MEAN_INTER_LIST: 0.7708933, DIVERSITY_HERFINDAHL: 0.9770589, COVERAGE_ITEM: 0.0587186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1048066, SHANNON_ENTROPY: 6.6152301, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 9, 'shrink': 998, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0805873, PRECISION: 0.0140434, PRECISION_RECALL_MIN_DEN: 0.0468113, RECALL: 0.0468113, MAP: 0.0203119, MRR: 0.0562922, NDCG: 0.0363868, F1: 0.0216052, HIT_RATE: 0.1404339, ARHR: 0.0585943, RMSE: 27.2223432, NOVELTY: 0.0053045, AVERAGE_POPULARITY: 0.5731814, DIVERSITY_MEAN_INTER_LIST: 0.9171211, DIVERSITY_HERFINDAHL: 0.9916759, COVERAGE_ITEM: 0.0381725, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2128796, SHANNON_ENTROPY: 7.6034452, 
SearchBayesianSkopt: New best config found. Config 16: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 997, 'shrink': 14, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0652234, PRECISION: 0.0110848, PRECISION_RECALL_MIN_DEN: 0.0369494, RECALL: 0.0369494, MAP: 0.0169895, MRR: 0.0471414, NDCG: 0.0297136, F1: 0.0170536, HIT_RATE: 0.1108481, ARHR: 0.0490057, RMSE: 4.3586591, NOVELTY: 0.0066368, AVERAGE_POPULARITY: 0.4494111, DIVERSITY_MEAN_INTER_LIST: 0.8713174, DIVERSITY_HERFINDAHL: 0.9870974, COVERAGE_ITEM: 0.1485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1638564, SHANNON_ENTROPY: 8.0245216, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 417, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0766057, PRECISION: 0.0132544, PRECISION_RECALL_MIN_DEN: 0.0441815, RECALL: 0.0441815, MAP: 0.0197035, MRR: 0.0541874, NDCG: 0.0348226, F1: 0.0203914, HIT_RATE: 0.1325444, ARHR: 0.0565613, RMSE: 2.6356683, NOVELTY: 0.0053444, AVERAGE_POPULARITY: 0.6360810, DIVERSITY_MEAN_INTER_LIST: 0.8264417, DIVERSITY_HERFINDAHL: 0.9826116, COVERAGE_ITEM: 0.0898081, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1165634, SHANNON_ENTROPY: 7.1329213, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
