SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.9094641811844423, 'RP3BETA': 0.588248734825418, 'USERCBFCF': 0.8031168963075757, 'ITEM_CBF': 0.19619955847601817} - results: ROC_AUC: 0.1337078, PRECISION: 0.0221042, PRECISION_RECALL_MIN_DEN: 0.0736805, RECALL: 0.0736805, MAP: 0.0344499, MRR: 0.0943118, NDCG: 0.0597718, F1: 0.0340064, HIT_RATE: 0.2210416, ARHR: 0.0987555, RMSE: 0.9069302, NOVELTY: 0.0058399, AVERAGE_POPULARITY: 0.3819368, DIVERSITY_MEAN_INTER_LIST: 0.9701887, DIVERSITY_HERFINDAHL: 0.9970129, COVERAGE_ITEM: 0.4246553, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1402803, SHANNON_ENTROPY: 9.8776298, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.7993374311737532, 'RP3BETA': 0.031218018733125914, 'USERCBFCF': 0.18011629575630897, 'ITEM_CBF': 0.8045592855864329} - results: ROC_AUC: 0.1305782, PRECISION: 0.0216099, PRECISION_RECALL_MIN_DEN: 0.0720331, RECALL: 0.0720331, MAP: 0.0336724, MRR: 0.0920506, NDCG: 0.0584028, F1: 0.0332461, HIT_RATE: 0.2160993, ARHR: 0.0964496, RMSE: 0.9508753, NOVELTY: 0.0057015, AVERAGE_POPULARITY: 0.4349866, DIVERSITY_MEAN_INTER_LIST: 0.9555512, DIVERSITY_HERFINDAHL: 0.9955492, COVERAGE_ITEM: 0.3533928, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1240592, SHANNON_ENTROPY: 9.3605339, 
SearchBayesianSkoptObject: New best config found. Config 13: {'FUSION_ITEM_CBF_CF': 0.7047641983474467, 'RP3BETA': 0.33153070794077893, 'USERCBFCF': 0.14404583196387113, 'ITEM_CBF': 0.865024528554584} - results: ROC_AUC: 0.1356407, PRECISION: 0.0223822, PRECISION_RECALL_MIN_DEN: 0.0746072, RECALL: 0.0746072, MAP: 0.0350132, MRR: 0.0957604, NDCG: 0.0606461, F1: 0.0344341, HIT_RATE: 0.2238216, ARHR: 0.1003185, RMSE: 0.9435067, NOVELTY: 0.0059338, AVERAGE_POPULARITY: 0.3500055, DIVERSITY_MEAN_INTER_LIST: 0.9760503, DIVERSITY_HERFINDAHL: 0.9975990, COVERAGE_ITEM: 0.4836983, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1517722, SHANNON_ENTROPY: 10.1924912, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.326455445180965, 'RP3BETA': 0.41657401167615515, 'USERCBFCF': 0.9079567315877343, 'ITEM_CBF': 0.4938161410438099} - results: ROC_AUC: 0.1320131, PRECISION: 0.0219250, PRECISION_RECALL_MIN_DEN: 0.0730833, RECALL: 0.0730833, MAP: 0.0340106, MRR: 0.0931123, NDCG: 0.0591149, F1: 0.0337308, HIT_RATE: 0.2192500, ARHR: 0.0974991, RMSE: 0.8749575, NOVELTY: 0.0057559, AVERAGE_POPULARITY: 0.4130456, DIVERSITY_MEAN_INTER_LIST: 0.9626074, DIVERSITY_HERFINDAHL: 0.9962548, COVERAGE_ITEM: 0.3791836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1303404, SHANNON_ENTROPY: 9.5717307, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.7837917759082091, 'RP3BETA': 0.6551754732948888, 'USERCBFCF': 0.18440590684719996, 'ITEM_CBF': 0.8187970865726738} - results: ROC_AUC: 0.1353725, PRECISION: 0.0224316, PRECISION_RECALL_MIN_DEN: 0.0747719, RECALL: 0.0747719, MAP: 0.0349733, MRR: 0.0956827, NDCG: 0.0606554, F1: 0.0345101, HIT_RATE: 0.2243158, ARHR: 0.1002181, RMSE: 0.9602380, NOVELTY: 0.0059399, AVERAGE_POPULARITY: 0.3483147, DIVERSITY_MEAN_INTER_LIST: 0.9762534, DIVERSITY_HERFINDAHL: 0.9976193, COVERAGE_ITEM: 0.4902406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1522667, SHANNON_ENTROPY: 10.2101686, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.8712109107317094, 'RP3BETA': 0.6174350210030017, 'USERCBFCF': 0.9406626520170679, 'ITEM_CBF': 0.7328071594304834} - results: ROC_AUC: 0.1331681, PRECISION: 0.0221289, PRECISION_RECALL_MIN_DEN: 0.0737629, RECALL: 0.0737629, MAP: 0.0342977, MRR: 0.0938007, NDCG: 0.0596190, F1: 0.0340444, HIT_RATE: 0.2212887, ARHR: 0.0982711, RMSE: 0.9070624, NOVELTY: 0.0058222, AVERAGE_POPULARITY: 0.3882599, DIVERSITY_MEAN_INTER_LIST: 0.9687992, DIVERSITY_HERFINDAHL: 0.9968739, COVERAGE_ITEM: 0.4147607, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1378902, SHANNON_ENTROPY: 9.8135549, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.9860982793098861, 'RP3BETA': 0.974737499754659, 'USERCBFCF': 0.6601475195148321, 'ITEM_CBF': 0.9518593331918872} - results: ROC_AUC: 0.1347121, PRECISION: 0.0223327, PRECISION_RECALL_MIN_DEN: 0.0744425, RECALL: 0.0744425, MAP: 0.0348343, MRR: 0.0953793, NDCG: 0.0604104, F1: 0.0343581, HIT_RATE: 0.2233274, ARHR: 0.0998620, RMSE: 0.9799787, NOVELTY: 0.0059072, AVERAGE_POPULARITY: 0.3591218, DIVERSITY_MEAN_INTER_LIST: 0.9745687, DIVERSITY_HERFINDAHL: 0.9974508, COVERAGE_ITEM: 0.4692620, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1484946, SHANNON_ENTROPY: 10.1098714, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.036671380584430875, 'RP3BETA': 0.17697719235084355, 'USERCBFCF': 0.9899087153570444, 'ITEM_CBF': 0.11500317059185719} - results: ROC_AUC: 0.1247629, PRECISION: 0.0205844, PRECISION_RECALL_MIN_DEN: 0.0686147, RECALL: 0.0686147, MAP: 0.0322154, MRR: 0.0885096, NDCG: 0.0558474, F1: 0.0316683, HIT_RATE: 0.2058442, ARHR: 0.0925049, RMSE: 0.8412728, NOVELTY: 0.0056223, AVERAGE_POPULARITY: 0.4679647, DIVERSITY_MEAN_INTER_LIST: 0.9439622, DIVERSITY_HERFINDAHL: 0.9943904, COVERAGE_ITEM: 0.3329549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1136392, SHANNON_ENTROPY: 9.0575127, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.25109447170886984, 'RP3BETA': 0.5611918381827578, 'USERCBFCF': 0.7202864004685644, 'ITEM_CBF': 0.7440891585709226} - results: ROC_AUC: 0.1335508, PRECISION: 0.0220733, PRECISION_RECALL_MIN_DEN: 0.0735776, RECALL: 0.0735776, MAP: 0.0343941, MRR: 0.0941954, NDCG: 0.0596858, F1: 0.0339589, HIT_RATE: 0.2207327, ARHR: 0.0986136, RMSE: 0.9048027, NOVELTY: 0.0058418, AVERAGE_POPULARITY: 0.3812999, DIVERSITY_MEAN_INTER_LIST: 0.9703397, DIVERSITY_HERFINDAHL: 0.9970280, COVERAGE_ITEM: 0.4273047, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1405550, SHANNON_ENTROPY: 9.8865812, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.31462357500842836, 'RP3BETA': 0.6144956033388522, 'USERCBFCF': 0.5320027560217723, 'ITEM_CBF': 0.45659078423480515} - results: ROC_AUC: 0.1342744, PRECISION: 0.0223204, PRECISION_RECALL_MIN_DEN: 0.0744013, RECALL: 0.0744013, MAP: 0.0347512, MRR: 0.0951619, NDCG: 0.0603057, F1: 0.0343390, HIT_RATE: 0.2232038, ARHR: 0.0996273, RMSE: 0.9243051, NOVELTY: 0.0058875, AVERAGE_POPULARITY: 0.3656281, DIVERSITY_MEAN_INTER_LIST: 0.9734395, DIVERSITY_HERFINDAHL: 0.9973379, COVERAGE_ITEM: 0.4571506, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1461245, SHANNON_ENTROPY: 10.0462658, 
