SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0806296, PRECISION: 0.0110942, PRECISION_RECALL_MIN_DEN: 0.0369806, RECALL: 0.0369806, MAP: 0.0225066, MRR: 0.0622380, NDCG: 0.0356336, F1: 0.0170680, HIT_RATE: 0.1109418, ARHR: 0.0648636, RMSE: 0.9999734, NOVELTY: 0.0069759, AVERAGE_POPULARITY: 0.1465030, DIVERSITY_MEAN_INTER_LIST: 0.8997884, DIVERSITY_HERFINDAHL: 0.9899514, COVERAGE_ITEM: 0.3175453, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3094531, SHANNON_ENTROPY: 9.9468445, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 999, 'shrink': 74, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0532422, PRECISION: 0.0077720, PRECISION_RECALL_MIN_DEN: 0.0259067, RECALL: 0.0259067, MAP: 0.0142081, MRR: 0.0405147, NDCG: 0.0235054, F1: 0.0119570, HIT_RATE: 0.0777202, ARHR: 0.0415695, RMSE: 0.9951981, NOVELTY: 0.0074413, AVERAGE_POPULARITY: 0.1162400, DIVERSITY_MEAN_INTER_LIST: 0.9972949, DIVERSITY_HERFINDAHL: 0.9996991, COVERAGE_ITEM: 0.5956204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5672590, SHANNON_ENTROPY: 12.7964901, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0781508, PRECISION: 0.0107894, PRECISION_RECALL_MIN_DEN: 0.0359646, RECALL: 0.0359646, MAP: 0.0219888, MRR: 0.0605205, NDCG: 0.0347117, F1: 0.0165991, HIT_RATE: 0.1078939, ARHR: 0.0632266, RMSE: 0.9999733, NOVELTY: 0.0070030, AVERAGE_POPULARITY: 0.1427574, DIVERSITY_MEAN_INTER_LIST: 0.8983555, DIVERSITY_HERFINDAHL: 0.9898082, COVERAGE_ITEM: 0.3295485, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3107634, SHANNON_ENTROPY: 9.9741116, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 20, 'shrink': 1487, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0815748, PRECISION: 0.0121609, PRECISION_RECALL_MIN_DEN: 0.0405364, RECALL: 0.0405364, MAP: 0.0226301, MRR: 0.0622475, NDCG: 0.0367834, F1: 0.0187091, HIT_RATE: 0.1216093, ARHR: 0.0650368, RMSE: 0.9999554, NOVELTY: 0.0066572, AVERAGE_POPULARITY: 0.1922369, DIVERSITY_MEAN_INTER_LIST: 0.9936950, DIVERSITY_HERFINDAHL: 0.9993392, COVERAGE_ITEM: 0.4665045, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4317033, SHANNON_ENTROPY: 11.9627192, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 8, 'shrink': 1446, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0812464, PRECISION: 0.0116733, PRECISION_RECALL_MIN_DEN: 0.0389109, RECALL: 0.0389109, MAP: 0.0226165, MRR: 0.0623413, NDCG: 0.0363118, F1: 0.0179589, HIT_RATE: 0.1167327, ARHR: 0.0650953, RMSE: 0.9999682, NOVELTY: 0.0067709, AVERAGE_POPULARITY: 0.1716430, DIVERSITY_MEAN_INTER_LIST: 0.9740801, DIVERSITY_HERFINDAHL: 0.9973783, COVERAGE_ITEM: 0.3849148, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3796019, SHANNON_ENTROPY: 11.1970064, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 9, 'shrink': 100, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0810450, PRECISION: 0.0113990, PRECISION_RECALL_MIN_DEN: 0.0379965, RECALL: 0.0379965, MAP: 0.0226720, MRR: 0.0622653, NDCG: 0.0360511, F1: 0.0175369, HIT_RATE: 0.1139896, ARHR: 0.0651254, RMSE: 0.9995251, NOVELTY: 0.0067561, AVERAGE_POPULARITY: 0.1757406, DIVERSITY_MEAN_INTER_LIST: 0.9796607, DIVERSITY_HERFINDAHL: 0.9979362, COVERAGE_ITEM: 0.4067586, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3865432, SHANNON_ENTROPY: 11.3496907, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0808697, PRECISION: 0.0109418, PRECISION_RECALL_MIN_DEN: 0.0364726, RECALL: 0.0364726, MAP: 0.0227412, MRR: 0.0627499, NDCG: 0.0357086, F1: 0.0168335, HIT_RATE: 0.1094179, ARHR: 0.0654868, RMSE: 0.9999733, NOVELTY: 0.0070059, AVERAGE_POPULARITY: 0.1433935, DIVERSITY_MEAN_INTER_LIST: 0.8979375, DIVERSITY_HERFINDAHL: 0.9897664, COVERAGE_ITEM: 0.3298729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3116362, SHANNON_ENTROPY: 9.9710947, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0781508, PRECISION: 0.0107894, PRECISION_RECALL_MIN_DEN: 0.0359646, RECALL: 0.0359646, MAP: 0.0219888, MRR: 0.0605205, NDCG: 0.0347117, F1: 0.0165991, HIT_RATE: 0.1078939, ARHR: 0.0632266, RMSE: 0.9999733, NOVELTY: 0.0070030, AVERAGE_POPULARITY: 0.1427574, DIVERSITY_MEAN_INTER_LIST: 0.8983555, DIVERSITY_HERFINDAHL: 0.9898082, COVERAGE_ITEM: 0.3295485, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3107634, SHANNON_ENTROPY: 9.9741116, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 990, 'shrink': 1372, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0659902, PRECISION: 0.0094788, PRECISION_RECALL_MIN_DEN: 0.0315961, RECALL: 0.0315961, MAP: 0.0176897, MRR: 0.0498817, NDCG: 0.0289764, F1: 0.0145828, HIT_RATE: 0.0947882, ARHR: 0.0514754, RMSE: 0.9995834, NOVELTY: 0.0065991, AVERAGE_POPULARITY: 0.1833507, DIVERSITY_MEAN_INTER_LIST: 0.9948849, DIVERSITY_HERFINDAHL: 0.9994582, COVERAGE_ITEM: 0.4567180, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4156071, SHANNON_ENTROPY: 11.9543479, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 34, 'shrink': 1487, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0784964, PRECISION: 0.0119171, PRECISION_RECALL_MIN_DEN: 0.0397237, RECALL: 0.0397237, MAP: 0.0221335, MRR: 0.0602492, NDCG: 0.0358862, F1: 0.0183340, HIT_RATE: 0.1191710, ARHR: 0.0633080, RMSE: 0.9999514, NOVELTY: 0.0074210, AVERAGE_POPULARITY: 0.1226485, DIVERSITY_MEAN_INTER_LIST: 0.9965458, DIVERSITY_HERFINDAHL: 0.9996242, COVERAGE_ITEM: 0.5651798, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5298372, SHANNON_ENTROPY: 12.6077625, 
SearchBayesianSkopt: New best config found. Config 21: {'topK': 14, 'shrink': 46, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0855996, PRECISION: 0.0127095, PRECISION_RECALL_MIN_DEN: 0.0423651, RECALL: 0.0423651, MAP: 0.0241979, MRR: 0.0662190, NDCG: 0.0389439, F1: 0.0195531, HIT_RATE: 0.1270954, ARHR: 0.0693476, RMSE: 0.9989230, NOVELTY: 0.0070841, AVERAGE_POPULARITY: 0.1403377, DIVERSITY_MEAN_INTER_LIST: 0.9688904, DIVERSITY_HERFINDAHL: 0.9968595, COVERAGE_ITEM: 0.4563396, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3988065, SHANNON_ENTROPY: 11.3051087, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 19, 'shrink': 12, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0822303, PRECISION: 0.0121609, PRECISION_RECALL_MIN_DEN: 0.0405364, RECALL: 0.0405364, MAP: 0.0227486, MRR: 0.0626563, NDCG: 0.0369276, F1: 0.0187091, HIT_RATE: 0.1216093, ARHR: 0.0654172, RMSE: 0.9946795, NOVELTY: 0.0066614, AVERAGE_POPULARITY: 0.1915360, DIVERSITY_MEAN_INTER_LIST: 0.9936619, DIVERSITY_HERFINDAHL: 0.9993359, COVERAGE_ITEM: 0.4651527, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4304133, SHANNON_ENTROPY: 11.9540160, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 25, 'shrink': 10, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0805389, PRECISION: 0.0119476, PRECISION_RECALL_MIN_DEN: 0.0398253, RECALL: 0.0398253, MAP: 0.0219213, MRR: 0.0601255, NDCG: 0.0358136, F1: 0.0183809, HIT_RATE: 0.1194758, ARHR: 0.0629077, RMSE: 0.9938110, NOVELTY: 0.0067202, AVERAGE_POPULARITY: 0.1878025, DIVERSITY_MEAN_INTER_LIST: 0.9942186, DIVERSITY_HERFINDAHL: 0.9993916, COVERAGE_ITEM: 0.4809408, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4452537, SHANNON_ENTROPY: 12.0669761, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 987, 'shrink': 1478, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0680632, PRECISION: 0.0098446, PRECISION_RECALL_MIN_DEN: 0.0328152, RECALL: 0.0328152, MAP: 0.0183025, MRR: 0.0514719, NDCG: 0.0299846, F1: 0.0151455, HIT_RATE: 0.0984456, ARHR: 0.0531680, RMSE: 0.9996120, NOVELTY: 0.0066367, AVERAGE_POPULARITY: 0.1831923, DIVERSITY_MEAN_INTER_LIST: 0.9948178, DIVERSITY_HERFINDAHL: 0.9994515, COVERAGE_ITEM: 0.4551500, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4204960, SHANNON_ENTROPY: 11.9594261, 
