SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 16, 'shrink': 1016, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0385392, PRECISION: 0.0067462, PRECISION_RECALL_MIN_DEN: 0.0224872, RECALL: 0.0224872, MAP: 0.0089287, MRR: 0.0253310, NDCG: 0.0167265, F1: 0.0103787, HIT_RATE: 0.0674615, ARHR: 0.0260457, RMSE: 0.9998178, NOVELTY: 0.0067051, AVERAGE_POPULARITY: 0.1240429, DIVERSITY_MEAN_INTER_LIST: 0.9965289, DIVERSITY_HERFINDAHL: 0.9996467, COVERAGE_ITEM: 0.8032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3506453, SHANNON_ENTROPY: 12.6091838, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 15, 'shrink': 1007, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0392608, PRECISION: 0.0069686, PRECISION_RECALL_MIN_DEN: 0.0232285, RECALL: 0.0232285, MAP: 0.0088311, MRR: 0.0249445, NDCG: 0.0168523, F1: 0.0107209, HIT_RATE: 0.0696856, ARHR: 0.0257112, RMSE: 0.9998031, NOVELTY: 0.0068667, AVERAGE_POPULARITY: 0.1134372, DIVERSITY_MEAN_INTER_LIST: 0.9968281, DIVERSITY_HERFINDAHL: 0.9996766, COVERAGE_ITEM: 0.7479319, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3528789, SHANNON_ENTROPY: 12.5511353, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 8, 'shrink': 1008, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0350287, PRECISION: 0.0063508, PRECISION_RECALL_MIN_DEN: 0.0211693, RECALL: 0.0211693, MAP: 0.0078780, MRR: 0.0224263, NDCG: 0.0151888, F1: 0.0097704, HIT_RATE: 0.0635078, ARHR: 0.0230147, RMSE: 0.9998745, NOVELTY: 0.0067584, AVERAGE_POPULARITY: 0.1014783, DIVERSITY_MEAN_INTER_LIST: 0.9961471, DIVERSITY_HERFINDAHL: 0.9996086, COVERAGE_ITEM: 0.8377940, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3662059, SHANNON_ENTROPY: 12.7023912, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 15, 'shrink': 1977, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0375565, PRECISION: 0.0065052, PRECISION_RECALL_MIN_DEN: 0.0216841, RECALL: 0.0216841, MAP: 0.0084806, MRR: 0.0238972, NDCG: 0.0159885, F1: 0.0100080, HIT_RATE: 0.0650522, ARHR: 0.0246618, RMSE: 0.9998956, NOVELTY: 0.0067013, AVERAGE_POPULARITY: 0.1185644, DIVERSITY_MEAN_INTER_LIST: 0.9967768, DIVERSITY_HERFINDAHL: 0.9996715, COVERAGE_ITEM: 0.8007029, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3578525, SHANNON_ENTROPY: 12.6487493, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 17, 'shrink': 1995, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0395110, PRECISION: 0.0070674, PRECISION_RECALL_MIN_DEN: 0.0235580, RECALL: 0.0235580, MAP: 0.0090236, MRR: 0.0256077, NDCG: 0.0171649, F1: 0.0108729, HIT_RATE: 0.0706740, ARHR: 0.0263277, RMSE: 0.9999022, NOVELTY: 0.0068194, AVERAGE_POPULARITY: 0.1157017, DIVERSITY_MEAN_INTER_LIST: 0.9964455, DIVERSITY_HERFINDAHL: 0.9996384, COVERAGE_ITEM: 0.7204650, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3344252, SHANNON_ENTROPY: 12.4148924, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0374438, PRECISION: 0.0064867, PRECISION_RECALL_MIN_DEN: 0.0216223, RECALL: 0.0216223, MAP: 0.0087879, MRR: 0.0249445, NDCG: 0.0162957, F1: 0.0099795, HIT_RATE: 0.0648669, ARHR: 0.0256446, RMSE: 0.9999007, NOVELTY: 0.0069589, AVERAGE_POPULARITY: 0.1029364, DIVERSITY_MEAN_INTER_LIST: 0.9922525, DIVERSITY_HERFINDAHL: 0.9992191, COVERAGE_ITEM: 0.7842119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3461100, SHANNON_ENTROPY: 12.4178105, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 493, 'shrink': 1012, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0384616, PRECISION: 0.0068821, PRECISION_RECALL_MIN_DEN: 0.0229402, RECALL: 0.0229402, MAP: 0.0087407, MRR: 0.0246199, NDCG: 0.0166440, F1: 0.0105878, HIT_RATE: 0.0688207, ARHR: 0.0254175, RMSE: 0.9949153, NOVELTY: 0.0066739, AVERAGE_POPULARITY: 0.1457175, DIVERSITY_MEAN_INTER_LIST: 0.9961605, DIVERSITY_HERFINDAHL: 0.9996099, COVERAGE_ITEM: 0.6509327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3060771, SHANNON_ENTROPY: 12.1715271, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0383628, PRECISION: 0.0067956, PRECISION_RECALL_MIN_DEN: 0.0226519, RECALL: 0.0226519, MAP: 0.0087822, MRR: 0.0249302, NDCG: 0.0166253, F1: 0.0104547, HIT_RATE: 0.0679558, ARHR: 0.0256345, RMSE: 0.9999486, NOVELTY: 0.0069605, AVERAGE_POPULARITY: 0.1139946, DIVERSITY_MEAN_INTER_LIST: 0.9924428, DIVERSITY_HERFINDAHL: 0.9992382, COVERAGE_ITEM: 0.7285212, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3364976, SHANNON_ENTROPY: 12.2822736, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 497, 'shrink': 1019, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0340491, PRECISION: 0.0058874, PRECISION_RECALL_MIN_DEN: 0.0196248, RECALL: 0.0196248, MAP: 0.0078354, MRR: 0.0222752, NDCG: 0.0146593, F1: 0.0090576, HIT_RATE: 0.0588744, ARHR: 0.0228869, RMSE: 0.9983293, NOVELTY: 0.0067254, AVERAGE_POPULARITY: 0.0882731, DIVERSITY_MEAN_INTER_LIST: 0.9967145, DIVERSITY_HERFINDAHL: 0.9996653, COVERAGE_ITEM: 0.7340903, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3413649, SHANNON_ENTROPY: 12.4811126, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 30, 'shrink': 1003, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0398599, PRECISION: 0.0071230, PRECISION_RECALL_MIN_DEN: 0.0237433, RECALL: 0.0237433, MAP: 0.0092131, MRR: 0.0260362, NDCG: 0.0174106, F1: 0.0109585, HIT_RATE: 0.0712300, ARHR: 0.0268326, RMSE: 0.9997426, NOVELTY: 0.0068551, AVERAGE_POPULARITY: 0.1141408, DIVERSITY_MEAN_INTER_LIST: 0.9964899, DIVERSITY_HERFINDAHL: 0.9996428, COVERAGE_ITEM: 0.7018113, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3351764, SHANNON_ENTROPY: 12.3906380, 
