SearchBayesianSkopt: New best config found. Config 0: {'topK': 453, 'shrink': 1395, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5655459092275437, 'tversky_beta': 1.981491017221828} - results: ROC_AUC: 0.0718188, PRECISION: 0.0115064, PRECISION_RECALL_MIN_DEN: 0.0383548, RECALL: 0.0383548, MAP: 0.0178161, MRR: 0.0514659, NDCG: 0.0314288, F1: 0.0177022, HIT_RATE: 0.1150645, ARHR: 0.0524436, RMSE: 0.9499868, NOVELTY: 0.0052308, AVERAGE_POPULARITY: 0.6434711, DIVERSITY_MEAN_INTER_LIST: 0.8461450, DIVERSITY_HERFINDAHL: 0.9846007, COVERAGE_ITEM: 0.0927818, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0998672, SHANNON_ENTROPY: 7.2206752, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 731, 'shrink': 1230, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6008840132550511, 'tversky_beta': 1.3108888598419344} - results: ROC_AUC: 0.0662595, PRECISION: 0.0110005, PRECISION_RECALL_MIN_DEN: 0.0366683, RECALL: 0.0366683, MAP: 0.0161023, MRR: 0.0463058, NDCG: 0.0290041, F1: 0.0169238, HIT_RATE: 0.1100049, ARHR: 0.0472982, RMSE: 0.9173028, NOVELTY: 0.0050996, AVERAGE_POPULARITY: 0.7259618, DIVERSITY_MEAN_INTER_LIST: 0.7421429, DIVERSITY_HERFINDAHL: 0.9742022, COVERAGE_ITEM: 0.0681806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0667185, SHANNON_ENTROPY: 6.2418103, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 495, 'shrink': 794, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0189207860391145, 'tversky_beta': 1.0674935851652205} - results: ROC_AUC: 0.0717479, PRECISION: 0.0116533, PRECISION_RECALL_MIN_DEN: 0.0388445, RECALL: 0.0388445, MAP: 0.0179622, MRR: 0.0517464, NDCG: 0.0317019, F1: 0.0179282, HIT_RATE: 0.1165334, ARHR: 0.0527961, RMSE: 0.9100103, NOVELTY: 0.0052489, AVERAGE_POPULARITY: 0.6327532, DIVERSITY_MEAN_INTER_LIST: 0.8545202, DIVERSITY_HERFINDAHL: 0.9854381, COVERAGE_ITEM: 0.0972695, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1024995, SHANNON_ENTROPY: 7.3247008, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 647, 'shrink': 822, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4814229369922611, 'tversky_beta': 0.6145306715698903} - results: ROC_AUC: 0.0739849, PRECISION: 0.0120287, PRECISION_RECALL_MIN_DEN: 0.0400958, RECALL: 0.0400958, MAP: 0.0185209, MRR: 0.0529698, NDCG: 0.0326331, F1: 0.0185057, HIT_RATE: 0.1202873, ARHR: 0.0542390, RMSE: 0.8909363, NOVELTY: 0.0053389, AVERAGE_POPULARITY: 0.5809856, DIVERSITY_MEAN_INTER_LIST: 0.8871976, DIVERSITY_HERFINDAHL: 0.9887053, COVERAGE_ITEM: 0.1060287, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1258506, SHANNON_ENTROPY: 7.7859557, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 580, 'shrink': 975, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5807793228033764, 'tversky_beta': 0.9448227373427083} - results: ROC_AUC: 0.0732636, PRECISION: 0.0116207, PRECISION_RECALL_MIN_DEN: 0.0387357, RECALL: 0.0387357, MAP: 0.0183435, MRR: 0.0528003, NDCG: 0.0320827, F1: 0.0178780, HIT_RATE: 0.1162070, ARHR: 0.0538990, RMSE: 0.9147528, NOVELTY: 0.0053027, AVERAGE_POPULARITY: 0.6022830, DIVERSITY_MEAN_INTER_LIST: 0.8742926, DIVERSITY_HERFINDAHL: 0.9874150, COVERAGE_ITEM: 0.1040281, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1161677, SHANNON_ENTROPY: 7.6043676, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 88, 'shrink': 393, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.522711637085297, 'tversky_beta': 0.7361163890135823} - results: ROC_AUC: 0.0788264, PRECISION: 0.0129264, PRECISION_RECALL_MIN_DEN: 0.0430880, RECALL: 0.0430880, MAP: 0.0196634, MRR: 0.0559710, NDCG: 0.0347889, F1: 0.0198868, HIT_RATE: 0.1292639, ARHR: 0.0574704, RMSE: 0.9405429, NOVELTY: 0.0054269, AVERAGE_POPULARITY: 0.5309078, DIVERSITY_MEAN_INTER_LIST: 0.9313398, DIVERSITY_HERFINDAHL: 0.9931188, COVERAGE_ITEM: 0.1161395, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1501141, SHANNON_ENTROPY: 8.3693824, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 924, 'shrink': 392, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.21439920892427816, 'tversky_beta': 1.3254126227953995} - results: ROC_AUC: 0.0619956, PRECISION: 0.0103640, PRECISION_RECALL_MIN_DEN: 0.0345465, RECALL: 0.0345465, MAP: 0.0150718, MRR: 0.0435334, NDCG: 0.0272461, F1: 0.0159446, HIT_RATE: 0.1036396, ARHR: 0.0443744, RMSE: 0.8272752, NOVELTY: 0.0050917, AVERAGE_POPULARITY: 0.7287414, DIVERSITY_MEAN_INTER_LIST: 0.7440372, DIVERSITY_HERFINDAHL: 0.9743916, COVERAGE_ITEM: 0.0599622, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0692079, SHANNON_ENTROPY: 6.2144410, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 256, 'shrink': 121, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6443653323134823, 'tversky_beta': 0.44924944592642013} - results: ROC_AUC: 0.0750889, PRECISION: 0.0121756, PRECISION_RECALL_MIN_DEN: 0.0405854, RECALL: 0.0405854, MAP: 0.0183460, MRR: 0.0521358, NDCG: 0.0325812, F1: 0.0187317, HIT_RATE: 0.1217562, ARHR: 0.0535506, RMSE: 0.8184644, NOVELTY: 0.0055867, AVERAGE_POPULARITY: 0.4497950, DIVERSITY_MEAN_INTER_LIST: 0.9568415, DIVERSITY_HERFINDAHL: 0.9956685, COVERAGE_ITEM: 0.1387943, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1845403, SHANNON_ENTROPY: 9.0187070, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 483, 'shrink': 523, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8082911698877524, 'tversky_beta': 1.5798524827734928} - results: ROC_AUC: 0.0750353, PRECISION: 0.0119634, PRECISION_RECALL_MIN_DEN: 0.0398781, RECALL: 0.0398781, MAP: 0.0189914, MRR: 0.0543258, NDCG: 0.0330857, F1: 0.0184053, HIT_RATE: 0.1196344, ARHR: 0.0556316, RMSE: 0.9130241, NOVELTY: 0.0054634, AVERAGE_POPULARITY: 0.5087023, DIVERSITY_MEAN_INTER_LIST: 0.9332727, DIVERSITY_HERFINDAHL: 0.9933120, COVERAGE_ITEM: 0.1187348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1557846, SHANNON_ENTROPY: 8.4629596, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 256, 'shrink': 1088, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6634991136291805, 'tversky_beta': 0.4815891321677733} - results: ROC_AUC: 0.0735103, PRECISION: 0.0120287, PRECISION_RECALL_MIN_DEN: 0.0400958, RECALL: 0.0400958, MAP: 0.0173891, MRR: 0.0500920, NDCG: 0.0315314, F1: 0.0185057, HIT_RATE: 0.1202873, ARHR: 0.0511161, RMSE: 0.9365035, NOVELTY: 0.0052194, AVERAGE_POPULARITY: 0.6520673, DIVERSITY_MEAN_INTER_LIST: 0.8395317, DIVERSITY_HERFINDAHL: 0.9839395, COVERAGE_ITEM: 0.0940795, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0957813, SHANNON_ENTROPY: 7.1430942, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 925, 'shrink': 746, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9352150425381727, 'tversky_beta': 0.21697303157154973} - results: ROC_AUC: 0.0723211, PRECISION: 0.0116370, PRECISION_RECALL_MIN_DEN: 0.0387901, RECALL: 0.0387901, MAP: 0.0182188, MRR: 0.0522193, NDCG: 0.0319160, F1: 0.0179031, HIT_RATE: 0.1163702, ARHR: 0.0534106, RMSE: 0.8409207, NOVELTY: 0.0052070, AVERAGE_POPULARITY: 0.6549851, DIVERSITY_MEAN_INTER_LIST: 0.8247452, DIVERSITY_HERFINDAHL: 0.9824611, COVERAGE_ITEM: 0.0855907, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0903929, SHANNON_ENTROPY: 6.9814187, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 807, 'shrink': 1093, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5843544983803489, 'tversky_beta': 0.9724414509582102} - results: ROC_AUC: 0.0668475, PRECISION: 0.0111311, PRECISION_RECALL_MIN_DEN: 0.0371035, RECALL: 0.0371035, MAP: 0.0164611, MRR: 0.0472596, NDCG: 0.0294975, F1: 0.0171247, HIT_RATE: 0.1113106, ARHR: 0.0483113, RMSE: 0.8997587, NOVELTY: 0.0050957, AVERAGE_POPULARITY: 0.7274449, DIVERSITY_MEAN_INTER_LIST: 0.7391980, DIVERSITY_HERFINDAHL: 0.9739077, COVERAGE_ITEM: 0.0654231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0659816, SHANNON_ENTROPY: 6.2007973, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 389, 'shrink': 1404, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4012319208917314, 'tversky_beta': 1.3029965819071287} - results: ROC_AUC: 0.0718028, PRECISION: 0.0117839, PRECISION_RECALL_MIN_DEN: 0.0392797, RECALL: 0.0392797, MAP: 0.0177498, MRR: 0.0513429, NDCG: 0.0316436, F1: 0.0181291, HIT_RATE: 0.1178391, ARHR: 0.0522826, RMSE: 0.9480234, NOVELTY: 0.0052317, AVERAGE_POPULARITY: 0.6438531, DIVERSITY_MEAN_INTER_LIST: 0.8449454, DIVERSITY_HERFINDAHL: 0.9844808, COVERAGE_ITEM: 0.0947283, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0990808, SHANNON_ENTROPY: 7.2145451, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 293, 'shrink': 420, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7726422993527087, 'tversky_beta': 0.002337247890232375} - results: ROC_AUC: 0.0732258, PRECISION: 0.0115228, PRECISION_RECALL_MIN_DEN: 0.0384092, RECALL: 0.0384092, MAP: 0.0186055, MRR: 0.0526797, NDCG: 0.0321333, F1: 0.0177273, HIT_RATE: 0.1152277, ARHR: 0.0542099, RMSE: 0.8652599, NOVELTY: 0.0058744, AVERAGE_POPULARITY: 0.3248556, DIVERSITY_MEAN_INTER_LIST: 0.9776431, DIVERSITY_HERFINDAHL: 0.9977484, COVERAGE_ITEM: 0.1434442, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2761000, SHANNON_ENTROPY: 9.8040628, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 264, 'shrink': 660, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8816840313543521, 'tversky_beta': 1.649800393601305} - results: ROC_AUC: 0.0734972, PRECISION: 0.0121430, PRECISION_RECALL_MIN_DEN: 0.0404766, RECALL: 0.0404766, MAP: 0.0180150, MRR: 0.0518667, NDCG: 0.0322897, F1: 0.0186815, HIT_RATE: 0.1214297, ARHR: 0.0529442, RMSE: 0.9404805, NOVELTY: 0.0052858, AVERAGE_POPULARITY: 0.6089332, DIVERSITY_MEAN_INTER_LIST: 0.8817745, DIVERSITY_HERFINDAHL: 0.9881631, COVERAGE_ITEM: 0.0979724, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1154299, SHANNON_ENTROPY: 7.6059522, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 615, 'shrink': 954, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2129256138988684, 'tversky_beta': 0.31419854906124983} - results: ROC_AUC: 0.0724736, PRECISION: 0.0116044, PRECISION_RECALL_MIN_DEN: 0.0386812, RECALL: 0.0386812, MAP: 0.0178686, MRR: 0.0511918, NDCG: 0.0315334, F1: 0.0178529, HIT_RATE: 0.1160437, ARHR: 0.0523824, RMSE: 0.8956003, NOVELTY: 0.0052418, AVERAGE_POPULARITY: 0.6361654, DIVERSITY_MEAN_INTER_LIST: 0.8485467, DIVERSITY_HERFINDAHL: 0.9848408, COVERAGE_ITEM: 0.0946202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0994891, SHANNON_ENTROPY: 7.2448551, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 845, 'shrink': 939, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8633862459470258, 'tversky_beta': 1.4849058274136708} - results: ROC_AUC: 0.0696072, PRECISION: 0.0113922, PRECISION_RECALL_MIN_DEN: 0.0379740, RECALL: 0.0379740, MAP: 0.0171315, MRR: 0.0493180, NDCG: 0.0305364, F1: 0.0175265, HIT_RATE: 0.1139220, ARHR: 0.0503446, RMSE: 0.8997996, NOVELTY: 0.0051459, AVERAGE_POPULARITY: 0.6949421, DIVERSITY_MEAN_INTER_LIST: 0.7833040, DIVERSITY_HERFINDAHL: 0.9783176, COVERAGE_ITEM: 0.0779129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0769095, SHANNON_ENTROPY: 6.5951487, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 611, 'shrink': 1091, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8792222917106323, 'tversky_beta': 1.0269503062573901} - results: ROC_AUC: 0.0696381, PRECISION: 0.0110821, PRECISION_RECALL_MIN_DEN: 0.0369403, RECALL: 0.0369403, MAP: 0.0169790, MRR: 0.0491975, NDCG: 0.0301221, F1: 0.0170494, HIT_RATE: 0.1108210, ARHR: 0.0500571, RMSE: 0.9156158, NOVELTY: 0.0051591, AVERAGE_POPULARITY: 0.6876005, DIVERSITY_MEAN_INTER_LIST: 0.7963412, DIVERSITY_HERFINDAHL: 0.9796211, COVERAGE_ITEM: 0.0820222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0793797, SHANNON_ENTROPY: 6.7046588, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 509, 'shrink': 347, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.314470326982556, 'tversky_beta': 1.7113120042653243} - results: ROC_AUC: 0.0743484, PRECISION: 0.0118329, PRECISION_RECALL_MIN_DEN: 0.0394429, RECALL: 0.0394429, MAP: 0.0184625, MRR: 0.0531890, NDCG: 0.0324465, F1: 0.0182044, HIT_RATE: 0.1183287, ARHR: 0.0542746, RMSE: 0.8982929, NOVELTY: 0.0053931, AVERAGE_POPULARITY: 0.5480430, DIVERSITY_MEAN_INTER_LIST: 0.9168773, DIVERSITY_HERFINDAHL: 0.9916728, COVERAGE_ITEM: 0.1197080, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1326534, SHANNON_ENTROPY: 8.1412161, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 366, 'shrink': 778, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7963904464773812, 'tversky_beta': 0.17162700845991766} - results: ROC_AUC: 0.0735460, PRECISION: 0.0120124, PRECISION_RECALL_MIN_DEN: 0.0400413, RECALL: 0.0400413, MAP: 0.0181048, MRR: 0.0524775, NDCG: 0.0322855, F1: 0.0184806, HIT_RATE: 0.1201240, ARHR: 0.0533843, RMSE: 0.8963598, NOVELTY: 0.0052427, AVERAGE_POPULARITY: 0.6363734, DIVERSITY_MEAN_INTER_LIST: 0.8526341, DIVERSITY_HERFINDAHL: 0.9852495, COVERAGE_ITEM: 0.0953231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1017403, SHANNON_ENTROPY: 7.2837845, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0063177, PRECISION: 0.0013873, PRECISION_RECALL_MIN_DEN: 0.0046243, RECALL: 0.0046243, MAP: 0.0011228, MRR: 0.0032949, NDCG: 0.0026917, F1: 0.0021343, HIT_RATE: 0.0138730, ARHR: 0.0033316, RMSE: 0.9418730, NOVELTY: 0.0024831, AVERAGE_POPULARITY: 0.0064707, DIVERSITY_MEAN_INTER_LIST: 0.9878515, DIVERSITY_HERFINDAHL: 0.9987690, COVERAGE_ITEM: 0.4060557, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2917145, SHANNON_ENTROPY: 11.1793951, 
SearchBayesianSkopt: New best config found. Config 21: {'topK': 9, 'shrink': 1452, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.032996779737334066, 'tversky_beta': 0.15652888196899342} - results: ROC_AUC: 0.0930245, PRECISION: 0.0155867, PRECISION_RECALL_MIN_DEN: 0.0519558, RECALL: 0.0519558, MAP: 0.0229825, MRR: 0.0643136, NDCG: 0.0410104, F1: 0.0239796, HIT_RATE: 0.1558675, ARHR: 0.0666102, RMSE: 0.9910741, NOVELTY: 0.0055590, AVERAGE_POPULARITY: 0.4653155, DIVERSITY_MEAN_INTER_LIST: 0.9557115, DIVERSITY_HERFINDAHL: 0.9955556, COVERAGE_ITEM: 0.1306299, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1713940, SHANNON_ENTROPY: 8.8569848, 
