SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 807, 'shrink': 1093, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0360529, PRECISION: 0.0068386, PRECISION_RECALL_MIN_DEN: 0.0227953, RECALL: 0.0227953, MAP: 0.0078243, MRR: 0.0226689, NDCG: 0.0157110, F1: 0.0105209, HIT_RATE: 0.0683858, ARHR: 0.0230709, RMSE: 0.5941005, NOVELTY: 0.0049926, AVERAGE_POPULARITY: 0.7997590, DIVERSITY_MEAN_INTER_LIST: 0.6201852, DIVERSITY_HERFINDAHL: 0.9620084, COVERAGE_ITEM: 0.0206002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0830025, SHANNON_ENTROPY: 5.2967331, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 389, 'shrink': 1404, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0805511, PRECISION: 0.0135140, PRECISION_RECALL_MIN_DEN: 0.0450465, RECALL: 0.0450465, MAP: 0.0194459, MRR: 0.0552260, NDCG: 0.0351723, F1: 0.0207907, HIT_RATE: 0.1351395, ARHR: 0.0567450, RMSE: 0.7379765, NOVELTY: 0.0063075, AVERAGE_POPULARITY: 0.2594628, DIVERSITY_MEAN_INTER_LIST: 0.9871107, DIVERSITY_HERFINDAHL: 0.9986950, COVERAGE_ITEM: 0.5156529, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2994837, SHANNON_ENTROPY: 11.3775874, 
SearchBayesianSkopt: New best config found. Config 13: {'topK': 293, 'shrink': 420, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1002251, PRECISION: 0.0165171, PRECISION_RECALL_MIN_DEN: 0.0550569, RECALL: 0.0550569, MAP: 0.0250218, MRR: 0.0703934, NDCG: 0.0442047, F1: 0.0254109, HIT_RATE: 0.1651706, ARHR: 0.0726723, RMSE: 0.8334112, NOVELTY: 0.0055094, AVERAGE_POPULARITY: 0.5128882, DIVERSITY_MEAN_INTER_LIST: 0.9238862, DIVERSITY_HERFINDAHL: 0.9923735, COVERAGE_ITEM: 0.2247094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1274543, SHANNON_ENTROPY: 8.5630798, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 264, 'shrink': 660, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0834415, PRECISION: 0.0136935, PRECISION_RECALL_MIN_DEN: 0.0456450, RECALL: 0.0456450, MAP: 0.0208805, MRR: 0.0583908, NDCG: 0.0367529, F1: 0.0210669, HIT_RATE: 0.1369349, ARHR: 0.0604833, RMSE: 0.7789534, NOVELTY: 0.0061262, AVERAGE_POPULARITY: 0.1327853, DIVERSITY_MEAN_INTER_LIST: 0.9943387, DIVERSITY_HERFINDAHL: 0.9994176, COVERAGE_ITEM: 0.6973777, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3887557, SHANNON_ENTROPY: 12.3239222, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 615, 'shrink': 954, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0860760, PRECISION: 0.0142321, PRECISION_RECALL_MIN_DEN: 0.0474403, RECALL: 0.0474403, MAP: 0.0215385, MRR: 0.0592794, NDCG: 0.0378847, F1: 0.0218955, HIT_RATE: 0.1423209, ARHR: 0.0619312, RMSE: 0.9023528, NOVELTY: 0.0062435, AVERAGE_POPULARITY: 0.1892235, DIVERSITY_MEAN_INTER_LIST: 0.9911036, DIVERSITY_HERFINDAHL: 0.9990942, COVERAGE_ITEM: 0.6000000, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3311492, SHANNON_ENTROPY: 11.7959138, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 845, 'shrink': 939, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0876006, PRECISION: 0.0141994, PRECISION_RECALL_MIN_DEN: 0.0473315, RECALL: 0.0473315, MAP: 0.0219386, MRR: 0.0609824, NDCG: 0.0383777, F1: 0.0218453, HIT_RATE: 0.1419945, ARHR: 0.0633855, RMSE: 0.6408103, NOVELTY: 0.0062710, AVERAGE_POPULARITY: 0.1999255, DIVERSITY_MEAN_INTER_LIST: 0.9905189, DIVERSITY_HERFINDAHL: 0.9990357, COVERAGE_ITEM: 0.5509597, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3143473, SHANNON_ENTROPY: 11.6264578, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 611, 'shrink': 1091, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0287922, PRECISION: 0.0046842, PRECISION_RECALL_MIN_DEN: 0.0156139, RECALL: 0.0156139, MAP: 0.0070490, MRR: 0.0201020, NDCG: 0.0125428, F1: 0.0072064, HIT_RATE: 0.0468418, ARHR: 0.0206245, RMSE: 0.7990620, NOVELTY: 0.0058309, AVERAGE_POPULARITY: 0.0170123, DIVERSITY_MEAN_INTER_LIST: 0.9991338, DIVERSITY_HERFINDAHL: 0.9998971, COVERAGE_ITEM: 0.8529873, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6129773, SHANNON_ENTROPY: 13.5799893, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 509, 'shrink': 347, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0866500, PRECISION: 0.0141668, PRECISION_RECALL_MIN_DEN: 0.0472227, RECALL: 0.0472227, MAP: 0.0215602, MRR: 0.0593644, NDCG: 0.0378522, F1: 0.0217951, HIT_RATE: 0.1416680, ARHR: 0.0619877, RMSE: 1.3033195, NOVELTY: 0.0062277, AVERAGE_POPULARITY: 0.1786464, DIVERSITY_MEAN_INTER_LIST: 0.9917181, DIVERSITY_HERFINDAHL: 0.9991556, COVERAGE_ITEM: 0.6226548, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3441039, SHANNON_ENTROPY: 11.9107840, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 366, 'shrink': 778, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0845401, PRECISION: 0.0141505, PRECISION_RECALL_MIN_DEN: 0.0471683, RECALL: 0.0471683, MAP: 0.0210598, MRR: 0.0583203, NDCG: 0.0373294, F1: 0.0217700, HIT_RATE: 0.1415048, ARHR: 0.0607158, RMSE: 0.9394299, NOVELTY: 0.0055872, AVERAGE_POPULARITY: 0.2171975, DIVERSITY_MEAN_INTER_LIST: 0.9875446, DIVERSITY_HERFINDAHL: 0.9987383, COVERAGE_ITEM: 0.6508786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3404098, SHANNON_ENTROPY: 11.7337635, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0928725, PRECISION: 0.0173494, PRECISION_RECALL_MIN_DEN: 0.0578315, RECALL: 0.0578315, MAP: 0.0223532, MRR: 0.0616833, NDCG: 0.0420104, F1: 0.0266914, HIT_RATE: 0.1734944, ARHR: 0.0643461, RMSE: 1.0236960, NOVELTY: 0.0061487, AVERAGE_POPULARITY: 0.1488778, DIVERSITY_MEAN_INTER_LIST: 0.9930435, DIVERSITY_HERFINDAHL: 0.9992881, COVERAGE_ITEM: 0.5798324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3853965, SHANNON_ENTROPY: 12.0486232, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0824776, PRECISION: 0.0140689, PRECISION_RECALL_MIN_DEN: 0.0468963, RECALL: 0.0468963, MAP: 0.0200050, MRR: 0.0558081, NDCG: 0.0362170, F1: 0.0216444, HIT_RATE: 0.1406888, ARHR: 0.0579035, RMSE: 0.9589441, NOVELTY: 0.0062508, AVERAGE_POPULARITY: 0.0751331, DIVERSITY_MEAN_INTER_LIST: 0.9966854, DIVERSITY_HERFINDAHL: 0.9996523, COVERAGE_ITEM: 0.6360097, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4417933, SHANNON_ENTROPY: 12.5722019, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0928725, PRECISION: 0.0173494, PRECISION_RECALL_MIN_DEN: 0.0578315, RECALL: 0.0578315, MAP: 0.0223532, MRR: 0.0616833, NDCG: 0.0420104, F1: 0.0266914, HIT_RATE: 0.1734944, ARHR: 0.0643461, RMSE: 1.0236960, NOVELTY: 0.0061487, AVERAGE_POPULARITY: 0.1488778, DIVERSITY_MEAN_INTER_LIST: 0.9930435, DIVERSITY_HERFINDAHL: 0.9992881, COVERAGE_ITEM: 0.5798324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3853965, SHANNON_ENTROPY: 12.0486232, 
SearchBayesianSkopt: New best config found. Config 23: {'topK': 11, 'shrink': 4, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1290220, PRECISION: 0.0216582, PRECISION_RECALL_MIN_DEN: 0.0721941, RECALL: 0.0721941, MAP: 0.0321701, MRR: 0.0898412, NDCG: 0.0572200, F1: 0.0333204, HIT_RATE: 0.2165823, ARHR: 0.0931471, RMSE: 115.9437202, NOVELTY: 0.0060517, AVERAGE_POPULARITY: 0.3102205, DIVERSITY_MEAN_INTER_LIST: 0.9787775, DIVERSITY_HERFINDAHL: 0.9978618, COVERAGE_ITEM: 0.3358205, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2032425, SHANNON_ENTROPY: 10.2265954, 
