SearchBayesianSkopt: New best config found. Config 0: {'topK': 453, 'shrink': 1395, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0701593, PRECISION: 0.0115717, PRECISION_RECALL_MIN_DEN: 0.0385724, RECALL: 0.0385724, MAP: 0.0173528, MRR: 0.0501726, NDCG: 0.0309846, F1: 0.0178027, HIT_RATE: 0.1157173, ARHR: 0.0511019, RMSE: 0.9391357, NOVELTY: 0.0051731, AVERAGE_POPULARITY: 0.6792416, DIVERSITY_MEAN_INTER_LIST: 0.8069910, DIVERSITY_HERFINDAHL: 0.9806859, COVERAGE_ITEM: 0.0854826, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0834673, SHANNON_ENTROPY: 6.8124864, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 784, 'shrink': 1486, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0684854, PRECISION: 0.0113759, PRECISION_RECALL_MIN_DEN: 0.0379196, RECALL: 0.0379196, MAP: 0.0168033, MRR: 0.0481905, NDCG: 0.0301249, F1: 0.0175013, HIT_RATE: 0.1137588, ARHR: 0.0492784, RMSE: 0.9238525, NOVELTY: 0.0051159, AVERAGE_POPULARITY: 0.7142442, DIVERSITY_MEAN_INTER_LIST: 0.7591587, DIVERSITY_HERFINDAHL: 0.9759035, COVERAGE_ITEM: 0.0702352, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0701449, SHANNON_ENTROPY: 6.3609165, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 494, 'shrink': 352, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0739401, PRECISION: 0.0117676, PRECISION_RECALL_MIN_DEN: 0.0392253, RECALL: 0.0392253, MAP: 0.0184907, MRR: 0.0529946, NDCG: 0.0323701, F1: 0.0181040, HIT_RATE: 0.1176759, ARHR: 0.0542198, RMSE: 0.8673466, NOVELTY: 0.0054049, AVERAGE_POPULARITY: 0.5405688, DIVERSITY_MEAN_INTER_LIST: 0.9188098, DIVERSITY_HERFINDAHL: 0.9918660, COVERAGE_ITEM: 0.1123006, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424095, SHANNON_ENTROPY: 8.1982287, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 495, 'shrink': 794, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0717866, PRECISION: 0.0115391, PRECISION_RECALL_MIN_DEN: 0.0384636, RECALL: 0.0384636, MAP: 0.0177756, MRR: 0.0512771, NDCG: 0.0314109, F1: 0.0177524, HIT_RATE: 0.1153909, ARHR: 0.0522856, RMSE: 0.9081973, NOVELTY: 0.0052468, AVERAGE_POPULARITY: 0.6342138, DIVERSITY_MEAN_INTER_LIST: 0.8529256, DIVERSITY_HERFINDAHL: 0.9852786, COVERAGE_ITEM: 0.0972155, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1018559, SHANNON_ENTROPY: 7.3083712, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 512, 'shrink': 801, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0714964, PRECISION: 0.0116207, PRECISION_RECALL_MIN_DEN: 0.0387357, RECALL: 0.0387357, MAP: 0.0176874, MRR: 0.0510876, NDCG: 0.0314059, F1: 0.0178780, HIT_RATE: 0.1162070, ARHR: 0.0520586, RMSE: 0.9069563, NOVELTY: 0.0052437, AVERAGE_POPULARITY: 0.6359587, DIVERSITY_MEAN_INTER_LIST: 0.8502205, DIVERSITY_HERFINDAHL: 0.9850082, COVERAGE_ITEM: 0.0966207, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1009890, SHANNON_ENTROPY: 7.2832838, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 227, 'shrink': 1358, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0748165, PRECISION: 0.0121756, PRECISION_RECALL_MIN_DEN: 0.0405854, RECALL: 0.0405854, MAP: 0.0180811, MRR: 0.0519616, NDCG: 0.0324141, F1: 0.0187317, HIT_RATE: 0.1217562, ARHR: 0.0530942, RMSE: 0.9560726, NOVELTY: 0.0052546, AVERAGE_POPULARITY: 0.6317709, DIVERSITY_MEAN_INTER_LIST: 0.8589048, DIVERSITY_HERFINDAHL: 0.9858765, COVERAGE_ITEM: 0.0997026, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1057512, SHANNON_ENTROPY: 7.3814386, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 580, 'shrink': 975, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0697714, PRECISION: 0.0112616, PRECISION_RECALL_MIN_DEN: 0.0375388, RECALL: 0.0375388, MAP: 0.0173189, MRR: 0.0500470, NDCG: 0.0306355, F1: 0.0173256, HIT_RATE: 0.1126163, ARHR: 0.0509856, RMSE: 0.9118306, NOVELTY: 0.0051995, AVERAGE_POPULARITY: 0.6630051, DIVERSITY_MEAN_INTER_LIST: 0.8225513, DIVERSITY_HERFINDAHL: 0.9822417, COVERAGE_ITEM: 0.0913760, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0885811, SHANNON_ENTROPY: 6.9830577, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 791, 'shrink': 709, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0720345, PRECISION: 0.0114412, PRECISION_RECALL_MIN_DEN: 0.0381372, RECALL: 0.0381372, MAP: 0.0178349, MRR: 0.0512620, NDCG: 0.0313553, F1: 0.0176018, HIT_RATE: 0.1144116, ARHR: 0.0523629, RMSE: 0.8746104, NOVELTY: 0.0052331, AVERAGE_POPULARITY: 0.6415409, DIVERSITY_MEAN_INTER_LIST: 0.8401584, DIVERSITY_HERFINDAHL: 0.9840021, COVERAGE_ITEM: 0.0921330, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0989208, SHANNON_ENTROPY: 7.1828243, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 241, 'shrink': 602, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0769132, PRECISION: 0.0129590, PRECISION_RECALL_MIN_DEN: 0.0431968, RECALL: 0.0431968, MAP: 0.0187779, MRR: 0.0536516, NDCG: 0.0339037, F1: 0.0199370, HIT_RATE: 0.1295903, ARHR: 0.0549719, RMSE: 0.9279809, NOVELTY: 0.0053580, AVERAGE_POPULARITY: 0.5700437, DIVERSITY_MEAN_INTER_LIST: 0.9053561, DIVERSITY_HERFINDAHL: 0.9905208, COVERAGE_ITEM: 0.1075966, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1357786, SHANNON_ENTROPY: 7.9930914, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 924, 'shrink': 392, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0744632, PRECISION: 0.0116697, PRECISION_RECALL_MIN_DEN: 0.0388989, RECALL: 0.0388989, MAP: 0.0191085, MRR: 0.0546036, NDCG: 0.0328753, F1: 0.0179533, HIT_RATE: 0.1166966, ARHR: 0.0559373, RMSE: 0.8204967, NOVELTY: 0.0053824, AVERAGE_POPULARITY: 0.5534034, DIVERSITY_MEAN_INTER_LIST: 0.9030915, DIVERSITY_HERFINDAHL: 0.9902944, COVERAGE_ITEM: 0.1043525, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1383849, SHANNON_ENTROPY: 8.0048296, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 112, 'shrink': 994, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0763232, PRECISION: 0.0125020, PRECISION_RECALL_MIN_DEN: 0.0416735, RECALL: 0.0416735, MAP: 0.0191244, MRR: 0.0544712, NDCG: 0.0337740, F1: 0.0192339, HIT_RATE: 0.1250204, ARHR: 0.0559223, RMSE: 0.9632016, NOVELTY: 0.0053823, AVERAGE_POPULARITY: 0.5589053, DIVERSITY_MEAN_INTER_LIST: 0.9128784, DIVERSITY_HERFINDAHL: 0.9912729, COVERAGE_ITEM: 0.1148418, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1385164, SHANNON_ENTROPY: 8.1163929, 
