SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0600850, PRECISION: 0.0099665, PRECISION_RECALL_MIN_DEN: 0.0332216, RECALL: 0.0332216, MAP: 0.0142207, MRR: 0.0408893, NDCG: 0.0259144, F1: 0.0153330, HIT_RATE: 0.0996647, ARHR: 0.0417758, RMSE: 1.4307439, NOVELTY: 0.0050456, AVERAGE_POPULARITY: 0.7184463, DIVERSITY_MEAN_INTER_LIST: 0.7625461, DIVERSITY_HERFINDAHL: 0.9762314, COVERAGE_ITEM: 0.0300622, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0992407, SHANNON_ENTROPY: 6.0487154, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 649, 'shrink': 989, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0718422, PRECISION: 0.0111551, PRECISION_RECALL_MIN_DEN: 0.0371838, RECALL: 0.0371838, MAP: 0.0190764, MRR: 0.0520066, NDCG: 0.0319108, F1: 0.0171617, HIT_RATE: 0.1115514, ARHR: 0.0545858, RMSE: 0.9827979, NOVELTY: 0.0057059, AVERAGE_POPULARITY: 0.4119308, DIVERSITY_MEAN_INTER_LIST: 0.9671941, DIVERSITY_HERFINDAHL: 0.9966899, COVERAGE_ITEM: 0.1837794, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2295331, SHANNON_ENTROPY: 9.5981047, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 996, 'shrink': 30, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0937486, PRECISION: 0.0154221, PRECISION_RECALL_MIN_DEN: 0.0514071, RECALL: 0.0514071, MAP: 0.0243630, MRR: 0.0672139, NDCG: 0.0421121, F1: 0.0237263, HIT_RATE: 0.1542213, ARHR: 0.0701346, RMSE: 3.2841707, NOVELTY: 0.0052626, AVERAGE_POPULARITY: 0.6059167, DIVERSITY_MEAN_INTER_LIST: 0.8793908, DIVERSITY_HERFINDAHL: 0.9879123, COVERAGE_ITEM: 0.0939713, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1263097, SHANNON_ENTROPY: 7.5750042, 
SearchBayesianSkopt: New best config found. Config 14: {'topK': 415, 'shrink': 999, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0921255, PRECISION: 0.0152697, PRECISION_RECALL_MIN_DEN: 0.0508991, RECALL: 0.0508991, MAP: 0.0246547, MRR: 0.0676794, NDCG: 0.0421722, F1: 0.0234919, HIT_RATE: 0.1526973, ARHR: 0.0708049, RMSE: 0.9564290, NOVELTY: 0.0053589, AVERAGE_POPULARITY: 0.5635424, DIVERSITY_MEAN_INTER_LIST: 0.9078151, DIVERSITY_HERFINDAHL: 0.9907538, COVERAGE_ITEM: 0.1195458, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1451724, SHANNON_ENTROPY: 8.0706543, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 830, 'shrink': 979, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0937870, PRECISION: 0.0156050, PRECISION_RECALL_MIN_DEN: 0.0520167, RECALL: 0.0520167, MAP: 0.0242928, MRR: 0.0666434, NDCG: 0.0421791, F1: 0.0240077, HIT_RATE: 0.1560500, ARHR: 0.0697440, RMSE: 0.9361930, NOVELTY: 0.0052895, AVERAGE_POPULARITY: 0.5925867, DIVERSITY_MEAN_INTER_LIST: 0.8897511, DIVERSITY_HERFINDAHL: 0.9889480, COVERAGE_ITEM: 0.1000270, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1318818, SHANNON_ENTROPY: 7.7265899, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 403, 'shrink': 11, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0571808, PRECISION: 0.0089302, PRECISION_RECALL_MIN_DEN: 0.0297673, RECALL: 0.0297673, MAP: 0.0145441, MRR: 0.0410602, NDCG: 0.0250314, F1: 0.0137388, HIT_RATE: 0.0893020, ARHR: 0.0423245, RMSE: 1.7921950, NOVELTY: 0.0060208, AVERAGE_POPULARITY: 0.3247331, DIVERSITY_MEAN_INTER_LIST: 0.9827423, DIVERSITY_HERFINDAHL: 0.9982443, COVERAGE_ITEM: 0.2689376, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2911306, SHANNON_ENTROPY: 10.5387441, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 277, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0287196, PRECISION: 0.0046632, PRECISION_RECALL_MIN_DEN: 0.0155440, RECALL: 0.0155440, MAP: 0.0069705, MRR: 0.0197281, NDCG: 0.0124120, F1: 0.0071742, HIT_RATE: 0.0466321, ARHR: 0.0203197, RMSE: 0.9905122, NOVELTY: 0.0063180, AVERAGE_POPULARITY: 0.2616872, DIVERSITY_MEAN_INTER_LIST: 0.9878625, DIVERSITY_HERFINDAHL: 0.9987561, COVERAGE_ITEM: 0.3087321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3315186, SHANNON_ENTROPY: 10.9715815, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0926976, PRECISION: 0.0154526, PRECISION_RECALL_MIN_DEN: 0.0515087, RECALL: 0.0515087, MAP: 0.0239092, MRR: 0.0660133, NDCG: 0.0416657, F1: 0.0237732, HIT_RATE: 0.1545261, ARHR: 0.0688552, RMSE: 0.9387282, NOVELTY: 0.0052462, AVERAGE_POPULARITY: 0.6162901, DIVERSITY_MEAN_INTER_LIST: 0.8701972, DIVERSITY_HERFINDAHL: 0.9869932, COVERAGE_ITEM: 0.0927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214926, SHANNON_ENTROPY: 7.4678518, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 812, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0916260, PRECISION: 0.0148430, PRECISION_RECALL_MIN_DEN: 0.0494768, RECALL: 0.0494768, MAP: 0.0230995, MRR: 0.0642203, NDCG: 0.0402941, F1: 0.0228354, HIT_RATE: 0.1484304, ARHR: 0.0667594, RMSE: 0.9482389, NOVELTY: 0.0052584, AVERAGE_POPULARITY: 0.6171187, DIVERSITY_MEAN_INTER_LIST: 0.8650625, DIVERSITY_HERFINDAHL: 0.9864799, COVERAGE_ITEM: 0.1008381, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214597, SHANNON_ENTROPY: 7.4727402, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 997, 'shrink': 15, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0937148, PRECISION: 0.0153916, PRECISION_RECALL_MIN_DEN: 0.0513055, RECALL: 0.0513055, MAP: 0.0243517, MRR: 0.0671801, NDCG: 0.0420690, F1: 0.0236795, HIT_RATE: 0.1539165, ARHR: 0.0701007, RMSE: 6.7832030, NOVELTY: 0.0052623, AVERAGE_POPULARITY: 0.6060327, DIVERSITY_MEAN_INTER_LIST: 0.8793547, DIVERSITY_HERFINDAHL: 0.9879087, COVERAGE_ITEM: 0.0938091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1262308, SHANNON_ENTROPY: 7.5732052, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 497, 'shrink': 993, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0902439, PRECISION: 0.0147821, PRECISION_RECALL_MIN_DEN: 0.0492736, RECALL: 0.0492736, MAP: 0.0245906, MRR: 0.0675630, NDCG: 0.0415864, F1: 0.0227417, HIT_RATE: 0.1478208, ARHR: 0.0706505, RMSE: 0.9501589, NOVELTY: 0.0053649, AVERAGE_POPULARITY: 0.5583503, DIVERSITY_MEAN_INTER_LIST: 0.9113902, DIVERSITY_HERFINDAHL: 0.9911112, COVERAGE_ITEM: 0.1186267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1473657, SHANNON_ENTROPY: 8.1149743, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 316, 'shrink': 997, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0889401, PRECISION: 0.0147516, PRECISION_RECALL_MIN_DEN: 0.0491720, RECALL: 0.0491720, MAP: 0.0243371, MRR: 0.0671709, NDCG: 0.0413241, F1: 0.0226948, HIT_RATE: 0.1475160, ARHR: 0.0700911, RMSE: 0.9612300, NOVELTY: 0.0053955, AVERAGE_POPULARITY: 0.5467050, DIVERSITY_MEAN_INTER_LIST: 0.9175235, DIVERSITY_HERFINDAHL: 0.9917244, COVERAGE_ITEM: 0.1284672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1517999, SHANNON_ENTROPY: 8.2504620, 
