SearchBayesianSkopt: New best config found. Config 0: {'topK': 436, 'shrink': 149, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1126542, PRECISION: 0.0177488, PRECISION_RECALL_MIN_DEN: 0.0591627, RECALL: 0.0591627, MAP: 0.0302259, MRR: 0.0826770, NDCG: 0.0506656, F1: 0.0273059, HIT_RATE: 0.1774881, ARHR: 0.0865919, RMSE: 0.9578029, NOVELTY: 0.0055960, AVERAGE_POPULARITY: 0.4933439, DIVERSITY_MEAN_INTER_LIST: 0.9279572, DIVERSITY_HERFINDAHL: 0.9927900, COVERAGE_ITEM: 0.4999730, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1125771, SHANNON_ENTROPY: 9.0344044, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 953, 'shrink': 393, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1023169, PRECISION: 0.0160870, PRECISION_RECALL_MIN_DEN: 0.0536233, RECALL: 0.0536233, MAP: 0.0269428, MRR: 0.0744767, NDCG: 0.0455789, F1: 0.0247492, HIT_RATE: 0.1608698, ARHR: 0.0775830, RMSE: 0.9643006, NOVELTY: 0.0053358, AVERAGE_POPULARITY: 0.6152904, DIVERSITY_MEAN_INTER_LIST: 0.8468547, DIVERSITY_HERFINDAHL: 0.9846802, COVERAGE_ITEM: 0.3932955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0763247, SHANNON_ENTROPY: 7.7464716, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 425, 'shrink': 516, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1025474, PRECISION: 0.0163279, PRECISION_RECALL_MIN_DEN: 0.0544264, RECALL: 0.0544264, MAP: 0.0271447, MRR: 0.0748484, NDCG: 0.0460027, F1: 0.0251199, HIT_RATE: 0.1632792, ARHR: 0.0780734, RMSE: 0.9736919, NOVELTY: 0.0053636, AVERAGE_POPULARITY: 0.5958438, DIVERSITY_MEAN_INTER_LIST: 0.8734944, DIVERSITY_HERFINDAHL: 0.9873440, COVERAGE_ITEM: 0.3917275, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0801641, SHANNON_ENTROPY: 7.9851095, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 126, 'shrink': 1131, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1037181, PRECISION: 0.0164329, PRECISION_RECALL_MIN_DEN: 0.0547765, RECALL: 0.0547765, MAP: 0.0271533, MRR: 0.0751724, NDCG: 0.0461934, F1: 0.0252814, HIT_RATE: 0.1643294, ARHR: 0.0782568, RMSE: 0.9886616, NOVELTY: 0.0054259, AVERAGE_POPULARITY: 0.5583983, DIVERSITY_MEAN_INTER_LIST: 0.9065627, DIVERSITY_HERFINDAHL: 0.9906507, COVERAGE_ITEM: 0.4057313, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0900328, SHANNON_ENTROPY: 8.4289888, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 566, 'shrink': 485, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1024807, PRECISION: 0.0162538, PRECISION_RECALL_MIN_DEN: 0.0541793, RECALL: 0.0541793, MAP: 0.0270511, MRR: 0.0747310, NDCG: 0.0458537, F1: 0.0250058, HIT_RATE: 0.1625378, ARHR: 0.0778734, RMSE: 0.9708326, NOVELTY: 0.0053468, AVERAGE_POPULARITY: 0.6070001, DIVERSITY_MEAN_INTER_LIST: 0.8617580, DIVERSITY_HERFINDAHL: 0.9861705, COVERAGE_ITEM: 0.3916734, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0777511, SHANNON_ENTROPY: 7.8569366, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 10, 'shrink': 1481, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1104001, PRECISION: 0.0174523, PRECISION_RECALL_MIN_DEN: 0.0581743, RECALL: 0.0581743, MAP: 0.0289507, MRR: 0.0791695, NDCG: 0.0490374, F1: 0.0268497, HIT_RATE: 0.1745228, ARHR: 0.0829483, RMSE: 0.9966019, NOVELTY: 0.0057800, AVERAGE_POPULARITY: 0.3839645, DIVERSITY_MEAN_INTER_LIST: 0.9713054, DIVERSITY_HERFINDAHL: 0.9971245, COVERAGE_ITEM: 0.4572587, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1358998, SHANNON_ENTROPY: 9.8964575, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 989, 'shrink': 1497, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0911961, PRECISION: 0.0146661, PRECISION_RECALL_MIN_DEN: 0.0488870, RECALL: 0.0488870, MAP: 0.0238828, MRR: 0.0665147, NDCG: 0.0409073, F1: 0.0225632, HIT_RATE: 0.1466609, ARHR: 0.0690461, RMSE: 0.9844526, NOVELTY: 0.0051849, AVERAGE_POPULARITY: 0.6974351, DIVERSITY_MEAN_INTER_LIST: 0.7602497, DIVERSITY_HERFINDAHL: 0.9760203, COVERAGE_ITEM: 0.3256556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0570344, SHANNON_ENTROPY: 6.8339918, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0981104, PRECISION: 0.0168160, PRECISION_RECALL_MIN_DEN: 0.0560532, RECALL: 0.0560532, MAP: 0.0249426, MRR: 0.0675381, NDCG: 0.0439861, F1: 0.0258707, HIT_RATE: 0.1681596, ARHR: 0.0710858, RMSE: 0.9853697, NOVELTY: 0.0067635, AVERAGE_POPULARITY: 0.1419999, DIVERSITY_MEAN_INTER_LIST: 0.9860632, DIVERSITY_HERFINDAHL: 0.9986002, COVERAGE_ITEM: 0.8164369, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3436168, SHANNON_ENTROPY: 12.1152769, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0981104, PRECISION: 0.0168160, PRECISION_RECALL_MIN_DEN: 0.0560532, RECALL: 0.0560532, MAP: 0.0249426, MRR: 0.0675381, NDCG: 0.0439861, F1: 0.0258707, HIT_RATE: 0.1681596, ARHR: 0.0710858, RMSE: 0.9853697, NOVELTY: 0.0067635, AVERAGE_POPULARITY: 0.1419999, DIVERSITY_MEAN_INTER_LIST: 0.9860632, DIVERSITY_HERFINDAHL: 0.9986002, COVERAGE_ITEM: 0.8164369, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3436168, SHANNON_ENTROPY: 12.1152769, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 989, 'shrink': 1480, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0913278, PRECISION: 0.0146661, PRECISION_RECALL_MIN_DEN: 0.0488870, RECALL: 0.0488870, MAP: 0.0238987, MRR: 0.0665631, NDCG: 0.0409267, F1: 0.0225632, HIT_RATE: 0.1466609, ARHR: 0.0690943, RMSE: 0.9843178, NOVELTY: 0.0051855, AVERAGE_POPULARITY: 0.6970195, DIVERSITY_MEAN_INTER_LIST: 0.7608201, DIVERSITY_HERFINDAHL: 0.9760773, COVERAGE_ITEM: 0.3256556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0570975, SHANNON_ENTROPY: 6.8386582, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 992, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1015904, PRECISION: 0.0158893, PRECISION_RECALL_MIN_DEN: 0.0529643, RECALL: 0.0529643, MAP: 0.0272698, MRR: 0.0745648, NDCG: 0.0455807, F1: 0.0244451, HIT_RATE: 0.1588929, ARHR: 0.0781191, RMSE: 0.9285974, NOVELTY: 0.0061609, AVERAGE_POPULARITY: 0.2927352, DIVERSITY_MEAN_INTER_LIST: 0.9715776, DIVERSITY_HERFINDAHL: 0.9971518, COVERAGE_ITEM: 0.8546634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2884749, SHANNON_ENTROPY: 11.3763530, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 17, 'shrink': 1497, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1086041, PRECISION: 0.0172422, PRECISION_RECALL_MIN_DEN: 0.0574741, RECALL: 0.0574741, MAP: 0.0284728, MRR: 0.0778872, NDCG: 0.0483087, F1: 0.0265265, HIT_RATE: 0.1724223, ARHR: 0.0815898, RMSE: 0.9958583, NOVELTY: 0.0057134, AVERAGE_POPULARITY: 0.4184393, DIVERSITY_MEAN_INTER_LIST: 0.9646006, DIVERSITY_HERFINDAHL: 0.9964541, COVERAGE_ITEM: 0.4648824, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1285270, SHANNON_ENTROPY: 9.7049388, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 6, 'shrink': 1497, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1114667, PRECISION: 0.0176253, PRECISION_RECALL_MIN_DEN: 0.0587508, RECALL: 0.0587508, MAP: 0.0293042, MRR: 0.0800275, NDCG: 0.0495724, F1: 0.0271158, HIT_RATE: 0.1762525, ARHR: 0.0839010, RMSE: 0.9971787, NOVELTY: 0.0058430, AVERAGE_POPULARITY: 0.3527312, DIVERSITY_MEAN_INTER_LIST: 0.9757478, DIVERSITY_HERFINDAHL: 0.9975688, COVERAGE_ITEM: 0.4493647, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1421640, SHANNON_ENTROPY: 10.0434408, 
