SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 8, 'shrink': 4, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1018804, PRECISION: 0.0166306, PRECISION_RECALL_MIN_DEN: 0.0554354, RECALL: 0.0554354, MAP: 0.0266441, MRR: 0.0730006, NDCG: 0.0457130, F1: 0.0255856, HIT_RATE: 0.1663063, ARHR: 0.0763746, RMSE: 0.9760687, NOVELTY: 0.0063713, AVERAGE_POPULARITY: 0.1416753, DIVERSITY_MEAN_INTER_LIST: 0.9813151, DIVERSITY_HERFINDAHL: 0.9981254, COVERAGE_ITEM: 0.8112463, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3267493, SHANNON_ENTROPY: 11.8746326, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 985, 'shrink': 1487, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0882905, PRECISION: 0.0140854, PRECISION_RECALL_MIN_DEN: 0.0469513, RECALL: 0.0469513, MAP: 0.0229813, MRR: 0.0634546, NDCG: 0.0392636, F1: 0.0216698, HIT_RATE: 0.1408538, ARHR: 0.0661488, RMSE: 0.9738656, NOVELTY: 0.0059485, AVERAGE_POPULARITY: 0.0907345, DIVERSITY_MEAN_INTER_LIST: 0.9973933, DIVERSITY_HERFINDAHL: 0.9997332, COVERAGE_ITEM: 0.9556096, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4616921, SHANNON_ENTROPY: 13.1743694, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 57, 'shrink': 1475, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1031388, PRECISION: 0.0162229, PRECISION_RECALL_MIN_DEN: 0.0540763, RECALL: 0.0540763, MAP: 0.0271441, MRR: 0.0746457, NDCG: 0.0458928, F1: 0.0249583, HIT_RATE: 0.1622289, ARHR: 0.0779750, RMSE: 0.9918776, NOVELTY: 0.0055085, AVERAGE_POPULARITY: 0.5201480, DIVERSITY_MEAN_INTER_LIST: 0.9265392, DIVERSITY_HERFINDAHL: 0.9926482, COVERAGE_ITEM: 0.4391998, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1042589, SHANNON_ENTROPY: 8.8637106, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 976, 'shrink': 28, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0871614, PRECISION: 0.0138074, PRECISION_RECALL_MIN_DEN: 0.0460246, RECALL: 0.0460246, MAP: 0.0227357, MRR: 0.0624941, NDCG: 0.0386658, F1: 0.0212421, HIT_RATE: 0.1380738, ARHR: 0.0652960, RMSE: 0.8920789, NOVELTY: 0.0042547, AVERAGE_POPULARITY: 0.2364777, DIVERSITY_MEAN_INTER_LIST: 0.9788698, DIVERSITY_HERFINDAHL: 0.9978809, COVERAGE_ITEM: 0.7989186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3154826, SHANNON_ENTROPY: 11.7784194, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 35, 'shrink': 1469, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0850985, PRECISION: 0.0135973, PRECISION_RECALL_MIN_DEN: 0.0453244, RECALL: 0.0453244, MAP: 0.0220070, MRR: 0.0608629, NDCG: 0.0377327, F1: 0.0209190, HIT_RATE: 0.1359733, ARHR: 0.0633843, RMSE: 0.9893398, NOVELTY: 0.0062023, AVERAGE_POPULARITY: 0.0572363, DIVERSITY_MEAN_INTER_LIST: 0.9975916, DIVERSITY_HERFINDAHL: 0.9997530, COVERAGE_ITEM: 0.9274398, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4707119, SHANNON_ENTROPY: 13.2076344, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 8, 'shrink': 20, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1065384, PRECISION: 0.0177797, PRECISION_RECALL_MIN_DEN: 0.0592657, RECALL: 0.0592657, MAP: 0.0276410, MRR: 0.0750472, NDCG: 0.0478834, F1: 0.0273534, HIT_RATE: 0.1777970, ARHR: 0.0788917, RMSE: 0.9788877, NOVELTY: 0.0061897, AVERAGE_POPULARITY: 0.1570184, DIVERSITY_MEAN_INTER_LIST: 0.9701681, DIVERSITY_HERFINDAHL: 0.9970108, COVERAGE_ITEM: 0.7376048, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2775961, SHANNON_ENTROPY: 11.3175408, 
