SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 8, 'shrink': 1464, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0815760, PRECISION: 0.0116428, PRECISION_RECALL_MIN_DEN: 0.0388093, RECALL: 0.0388093, MAP: 0.0222749, MRR: 0.0617475, NDCG: 0.0359878, F1: 0.0179120, HIT_RATE: 0.1164279, ARHR: 0.0642643, RMSE: 0.9989727, NOVELTY: 0.0068369, AVERAGE_POPULARITY: 0.1599625, DIVERSITY_MEAN_INTER_LIST: 0.9784571, DIVERSITY_HERFINDAHL: 0.9978159, COVERAGE_ITEM: 0.3922141, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3880808, SHANNON_ENTROPY: 11.3057725, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 980, 'shrink': 18, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0916517, PRECISION: 0.0145383, PRECISION_RECALL_MIN_DEN: 0.0484608, RECALL: 0.0484608, MAP: 0.0258267, MRR: 0.0701213, NDCG: 0.0424843, F1: 0.0223665, HIT_RATE: 0.1453825, ARHR: 0.0737429, RMSE: 0.9759780, NOVELTY: 0.0062455, AVERAGE_POPULARITY: 0.2549085, DIVERSITY_MEAN_INTER_LIST: 0.9864758, DIVERSITY_HERFINDAHL: 0.9986175, COVERAGE_ITEM: 0.4234117, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3692103, SHANNON_ENTROPY: 11.3748348, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 989, 'shrink': 43, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0924621, PRECISION: 0.0146602, PRECISION_RECALL_MIN_DEN: 0.0488672, RECALL: 0.0488672, MAP: 0.0234937, MRR: 0.0656167, NDCG: 0.0405841, F1: 0.0225541, HIT_RATE: 0.1466016, ARHR: 0.0680490, RMSE: 5.7518994, NOVELTY: 0.0054272, AVERAGE_POPULARITY: 0.5546051, DIVERSITY_MEAN_INTER_LIST: 0.8962280, DIVERSITY_HERFINDAHL: 0.9895955, COVERAGE_ITEM: 0.1728575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1564450, SHANNON_ENTROPY: 8.2786003, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 36, 'shrink': 1499, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0914724, PRECISION: 0.0136544, PRECISION_RECALL_MIN_DEN: 0.0455146, RECALL: 0.0455146, MAP: 0.0240737, MRR: 0.0670039, NDCG: 0.0400889, F1: 0.0210067, HIT_RATE: 0.1365437, ARHR: 0.0695972, RMSE: 0.9759032, NOVELTY: 0.0063619, AVERAGE_POPULARITY: 0.2584689, DIVERSITY_MEAN_INTER_LIST: 0.9866149, DIVERSITY_HERFINDAHL: 0.9986314, COVERAGE_ITEM: 0.4200595, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3738507, SHANNON_ENTROPY: 11.4040321, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 993, 'shrink': 1483, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0614955, PRECISION: 0.0088083, PRECISION_RECALL_MIN_DEN: 0.0293610, RECALL: 0.0293610, MAP: 0.0175295, MRR: 0.0478197, NDCG: 0.0277950, F1: 0.0135512, HIT_RATE: 0.0880829, ARHR: 0.0501872, RMSE: 0.9948457, NOVELTY: 0.0072269, AVERAGE_POPULARITY: 0.0398080, DIVERSITY_MEAN_INTER_LIST: 0.9989478, DIVERSITY_HERFINDAHL: 0.9998643, COVERAGE_ITEM: 0.6706137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6158700, SHANNON_ENTROPY: 13.2247385, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 998, 'shrink': 85, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0965343, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0261843, MRR: 0.0717606, NDCG: 0.0438156, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0750970, RMSE: 0.9821599, NOVELTY: 0.0056764, AVERAGE_POPULARITY: 0.4108279, DIVERSITY_MEAN_INTER_LIST: 0.9602762, DIVERSITY_HERFINDAHL: 0.9959984, COVERAGE_ITEM: 0.2422276, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2271569, SHANNON_ENTROPY: 9.6844365, 
