CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 957, 'shrink': 1817, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.023141±0.0005, PRECISION: 0.003451±0.0001, PRECISION_RECALL_MIN_DEN: 0.034508±0.0012, RECALL: 0.034508±0.0012, MAP: 0.016213±0.0007, MRR: 0.016213±0.0007, NDCG: 0.020481±0.0005, F1: 0.006274±0.0002, HIT_RATE: 0.034508±0.0012, ARHR: 0.016213±0.0007, RMSE: 0.947509±0.0007, NOVELTY: 0.004912±0.0000, AVERAGE_POPULARITY: 0.832919±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.512622±0.0021, DIVERSITY_HERFINDAHL: 0.951251±0.0002, COVERAGE_ITEM: 0.008954±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130344±0.0023, SHANNON_ENTROPY: 4.785054±0.0056, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 2838, 'shrink': 1170, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032701±0.0019, PRECISION: 0.004955±0.0002, PRECISION_RECALL_MIN_DEN: 0.049548±0.0024, RECALL: 0.049548±0.0024, MAP: 0.022372±0.0012, MRR: 0.022372±0.0012, NDCG: 0.028717±0.0014, F1: 0.009009±0.0004, HIT_RATE: 0.049548±0.0024, ARHR: 0.022372±0.0012, RMSE: 1.411952±0.0127, NOVELTY: 0.004997±0.0000, AVERAGE_POPULARITY: 0.771674±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.706452±0.0018, DIVERSITY_HERFINDAHL: 0.970629±0.0002, COVERAGE_ITEM: 0.021249±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115445±0.0014, SHANNON_ENTROPY: 5.795249±0.0078, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1530, 'shrink': 1097, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026388±0.0018, PRECISION: 0.004336±0.0003, PRECISION_RECALL_MIN_DEN: 0.043360±0.0031, RECALL: 0.043360±0.0031, MAP: 0.017505±0.0008, MRR: 0.017505±0.0008, NDCG: 0.023485±0.0012, F1: 0.007884±0.0006, HIT_RATE: 0.043360±0.0031, ARHR: 0.017505±0.0008, RMSE: 1.184836±0.0147, NOVELTY: 0.005070±0.0000, AVERAGE_POPULARITY: 0.734731±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.725301±0.0011, DIVERSITY_HERFINDAHL: 0.972514±0.0001, COVERAGE_ITEM: 0.063304±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.072459±0.0003, SHANNON_ENTROPY: 6.177034±0.0070, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1160, 'shrink': 364, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032786±0.0017, PRECISION: 0.005131±0.0002, PRECISION_RECALL_MIN_DEN: 0.051310±0.0023, RECALL: 0.051310±0.0023, MAP: 0.021546±0.0014, MRR: 0.021546±0.0014, NDCG: 0.028488±0.0015, F1: 0.009329±0.0004, HIT_RATE: 0.051310±0.0023, ARHR: 0.021546±0.0014, RMSE: 0.609610±0.0025, NOVELTY: 0.005547±0.0000, AVERAGE_POPULARITY: 0.558957±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.902325±0.0006, DIVERSITY_HERFINDAHL: 0.990212±0.0001, COVERAGE_ITEM: 0.232117±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.153756±0.0003, SHANNON_ENTROPY: 8.478207±0.0049, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 981, 'shrink': 479, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.028194±0.0013, PRECISION: 0.004390±0.0002, PRECISION_RECALL_MIN_DEN: 0.043902±0.0024, RECALL: 0.043902±0.0024, MAP: 0.019654±0.0009, MRR: 0.019654±0.0009, NDCG: 0.025277±0.0011, F1: 0.007982±0.0004, HIT_RATE: 0.043902±0.0024, ARHR: 0.019654±0.0009, RMSE: 17.030897±0.1848, NOVELTY: 0.004978±0.0000, AVERAGE_POPULARITY: 0.780694±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.644186±0.0017, DIVERSITY_HERFINDAHL: 0.964404±0.0002, COVERAGE_ITEM: 0.019854±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100221±0.0011, SHANNON_ENTROPY: 5.484255±0.0059, 
CrossSearchBayesianSkopt: New best config found. Config 16: {'topK': 392, 'shrink': 1594, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038036±0.0016, PRECISION: 0.005908±0.0003, PRECISION_RECALL_MIN_DEN: 0.059079±0.0029, RECALL: 0.059079±0.0029, MAP: 0.025690±0.0013, MRR: 0.025690±0.0013, NDCG: 0.033463±0.0015, F1: 0.010742±0.0005, HIT_RATE: 0.059079±0.0029, ARHR: 0.025690±0.0013, RMSE: 0.838736±0.0065, NOVELTY: 0.005142±0.0000, AVERAGE_POPULARITY: 0.679368±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.826578±0.0012, DIVERSITY_HERFINDAHL: 0.982639±0.0001, COVERAGE_ITEM: 0.043774±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120027±0.0011, SHANNON_ENTROPY: 6.771627±0.0107, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 415, 'shrink': 1593, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024164±0.0008, PRECISION: 0.003717±0.0001, PRECISION_RECALL_MIN_DEN: 0.037173±0.0006, RECALL: 0.037173±0.0006, MAP: 0.016751±0.0009, MRR: 0.016751±0.0009, NDCG: 0.021496±0.0007, F1: 0.006759±0.0001, HIT_RATE: 0.037173±0.0006, ARHR: 0.016751±0.0009, RMSE: 0.948596±0.0007, NOVELTY: 0.004933±0.0000, AVERAGE_POPULARITY: 0.815520±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.588640±0.0019, DIVERSITY_HERFINDAHL: 0.958851±0.0002, COVERAGE_ITEM: 0.013496±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109301±0.0003, SHANNON_ENTROPY: 5.110784±0.0038, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 670, 'shrink': 253, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033404±0.0023, PRECISION: 0.005176±0.0003, PRECISION_RECALL_MIN_DEN: 0.051762±0.0030, RECALL: 0.051762±0.0030, MAP: 0.022520±0.0016, MRR: 0.022520±0.0016, NDCG: 0.029331±0.0019, F1: 0.009411±0.0005, HIT_RATE: 0.051762±0.0030, ARHR: 0.022520±0.0016, RMSE: 0.630093±0.0042, NOVELTY: 0.005922±0.0000, AVERAGE_POPULARITY: 0.447878±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.942894±0.0004, DIVERSITY_HERFINDAHL: 0.994268±0.0000, COVERAGE_ITEM: 0.331527±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.227295±0.0005, SHANNON_ENTROPY: 9.661759±0.0054, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 458, 'shrink': 243, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033865±0.0021, PRECISION: 0.005172±0.0003, PRECISION_RECALL_MIN_DEN: 0.051716±0.0028, RECALL: 0.051716±0.0028, MAP: 0.022940±0.0016, MRR: 0.022940±0.0016, NDCG: 0.029658±0.0018, F1: 0.009403±0.0005, HIT_RATE: 0.051716±0.0028, ARHR: 0.022940±0.0016, RMSE: 0.658156±0.0032, NOVELTY: 0.006233±0.0000, AVERAGE_POPULARITY: 0.364708±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.964641±0.0004, DIVERSITY_HERFINDAHL: 0.996442±0.0000, COVERAGE_ITEM: 0.398032±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.288456±0.0009, SHANNON_ENTROPY: 10.482915±0.0099, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 2316, 'shrink': 1640, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.029705±0.0012, PRECISION: 0.004702±0.0002, PRECISION_RECALL_MIN_DEN: 0.047019±0.0021, RECALL: 0.047019±0.0021, MAP: 0.019915±0.0011, MRR: 0.019915±0.0011, NDCG: 0.026214±0.0012, F1: 0.008549±0.0004, HIT_RATE: 0.047019±0.0021, ARHR: 0.019915±0.0011, RMSE: 0.623491±0.0034, NOVELTY: 0.005245±0.0000, AVERAGE_POPULARITY: 0.667366±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.840852±0.0006, DIVERSITY_HERFINDAHL: 0.984066±0.0001, COVERAGE_ITEM: 0.132566±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096515±0.0003, SHANNON_ENTROPY: 7.242825±0.0032, 
CrossSearchBayesianSkopt: New best config found. Config 21: {'topK': 79, 'shrink': 1493, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.040776±0.0015, PRECISION: 0.006274±0.0001, PRECISION_RECALL_MIN_DEN: 0.062737±0.0014, RECALL: 0.062737±0.0014, MAP: 0.028033±0.0016, MRR: 0.028033±0.0016, NDCG: 0.036105±0.0014, F1: 0.011407±0.0003, HIT_RATE: 0.062737±0.0014, ARHR: 0.028033±0.0016, RMSE: 1.980490±0.0290, NOVELTY: 0.005323±0.0000, AVERAGE_POPULARITY: 0.570658±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.909052±0.0004, DIVERSITY_HERFINDAHL: 0.990885±0.0000, COVERAGE_ITEM: 0.060622±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.161402±0.0011, SHANNON_ENTROPY: 7.726024±0.0058, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 770, 'shrink': 1836, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035823±0.0013, PRECISION: 0.005524±0.0002, PRECISION_RECALL_MIN_DEN: 0.055239±0.0019, RECALL: 0.055239±0.0019, MAP: 0.024090±0.0009, MRR: 0.024090±0.0009, NDCG: 0.031354±0.0010, F1: 0.010044±0.0003, HIT_RATE: 0.055239±0.0019, ARHR: 0.024090±0.0009, RMSE: 0.813556±0.0060, NOVELTY: 0.005069±0.0000, AVERAGE_POPULARITY: 0.724562±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.775159±0.0017, DIVERSITY_HERFINDAHL: 0.977498±0.0002, COVERAGE_ITEM: 0.033231±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112387±0.0010, SHANNON_ENTROPY: 6.315580±0.0127, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1364, 'shrink': 726, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.022689±0.0007, PRECISION: 0.003338±0.0001, PRECISION_RECALL_MIN_DEN: 0.033379±0.0009, RECALL: 0.033379±0.0009, MAP: 0.015836±0.0007, MRR: 0.015836±0.0007, NDCG: 0.019936±0.0007, F1: 0.006069±0.0002, HIT_RATE: 0.033379±0.0009, ARHR: 0.015836±0.0007, RMSE: 0.868623±0.0015, NOVELTY: 0.004907±0.0000, AVERAGE_POPULARITY: 0.836849±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.489639±0.0024, DIVERSITY_HERFINDAHL: 0.948953±0.0002, COVERAGE_ITEM: 0.007894±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139275±0.0041, SHANNON_ENTROPY: 4.697713±0.0043, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2298, 'shrink': 509, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.019557±0.0007, PRECISION: 0.003130±0.0002, PRECISION_RECALL_MIN_DEN: 0.031301±0.0019, RECALL: 0.031301±0.0019, MAP: 0.013059±0.0005, MRR: 0.013059±0.0005, NDCG: 0.017293±0.0007, F1: 0.005691±0.0004, HIT_RATE: 0.031301±0.0019, ARHR: 0.013059±0.0005, RMSE: 0.708178±0.0036, NOVELTY: 0.004913±0.0000, AVERAGE_POPULARITY: 0.832191±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.536039±0.0016, DIVERSITY_HERFINDAHL: 0.953592±0.0002, COVERAGE_ITEM: 0.011938±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104000±0.0026, SHANNON_ENTROPY: 4.847762±0.0032, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1179, 'shrink': 103, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.027426±0.0013, PRECISION: 0.004246±0.0002, PRECISION_RECALL_MIN_DEN: 0.042457±0.0021, RECALL: 0.042457±0.0021, MAP: 0.019152±0.0006, MRR: 0.019152±0.0006, NDCG: 0.024558±0.0008, F1: 0.007719±0.0004, HIT_RATE: 0.042457±0.0021, ARHR: 0.019152±0.0006, RMSE: 85.775339±0.9238, NOVELTY: 0.004969±0.0000, AVERAGE_POPULARITY: 0.787680±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.622393±0.0014, DIVERSITY_HERFINDAHL: 0.962225±0.0001, COVERAGE_ITEM: 0.018254±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100296±0.0015, SHANNON_ENTROPY: 5.373096±0.0033, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 669, 'shrink': 1237, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030041±0.0013, PRECISION: 0.004616±0.0002, PRECISION_RECALL_MIN_DEN: 0.046161±0.0018, RECALL: 0.046161±0.0018, MAP: 0.020478±0.0006, MRR: 0.020478±0.0006, NDCG: 0.026462±0.0008, F1: 0.008393±0.0003, HIT_RATE: 0.046161±0.0018, ARHR: 0.020478±0.0006, RMSE: 5.497781±0.0692, NOVELTY: 0.005003±0.0000, AVERAGE_POPULARITY: 0.762669±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.691664±0.0021, DIVERSITY_HERFINDAHL: 0.969151±0.0002, COVERAGE_ITEM: 0.024201±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100250±0.0009, SHANNON_ENTROPY: 5.745403±0.0084, 
