SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2964425, PRECISION: 0.0102348, PRECISION_RECALL_MIN_DEN: 0.0341159, RECALL: 0.0341159, MAP: 0.0208604, MRR: 0.0587959, NDCG: 0.0331792, F1: 0.0157458, HIT_RATE: 0.1023478, ARHR: 0.0606671, RMSE: nan, NOVELTY: 0.0058577, AVERAGE_POPULARITY: 0.0815948, DIVERSITY_MEAN_INTER_LIST: 0.8843846, DIVERSITY_HERFINDAHL: 0.9810073, COVERAGE_ITEM: 0.3471749, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1516685, SHANNON_ENTROPY: 8.5772512, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2964425, PRECISION: 0.0102348, PRECISION_RECALL_MIN_DEN: 0.0341159, RECALL: 0.0341159, MAP: 0.0208604, MRR: 0.0587959, NDCG: 0.0331792, F1: 0.0157458, HIT_RATE: 0.1023478, ARHR: 0.0606671, RMSE: nan, NOVELTY: 0.0058577, AVERAGE_POPULARITY: 0.0815948, DIVERSITY_MEAN_INTER_LIST: 0.8843846, DIVERSITY_HERFINDAHL: 0.9810073, COVERAGE_ITEM: 0.3471749, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1516685, SHANNON_ENTROPY: 8.5772512, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 16, 'alpha': 0.00439243536304379, 'normalize_similarity': False} - results: ROC_AUC: 0.2955226, PRECISION: 0.0120667, PRECISION_RECALL_MIN_DEN: 0.0402224, RECALL: 0.0402224, MAP: 0.0196674, MRR: 0.0544125, NDCG: 0.0336396, F1: 0.0185642, HIT_RATE: 0.1206672, ARHR: 0.0566824, RMSE: nan, NOVELTY: 0.0043768, AVERAGE_POPULARITY: 0.4033170, DIVERSITY_MEAN_INTER_LIST: 0.9579677, DIVERSITY_HERFINDAHL: 0.9930901, COVERAGE_ITEM: 0.2468235, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0900945, SHANNON_ENTROPY: 8.4113454, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 994, 'alpha': 0.46351167332549925, 'normalize_similarity': False} - results: ROC_AUC: 0.2905539, PRECISION: 0.0116087, PRECISION_RECALL_MIN_DEN: 0.0386958, RECALL: 0.0386958, MAP: 0.0185522, MRR: 0.0517412, NDCG: 0.0319959, F1: 0.0178596, HIT_RATE: 0.1160874, ARHR: 0.0536604, RMSE: nan, NOVELTY: 0.0040166, AVERAGE_POPULARITY: 0.5491312, DIVERSITY_MEAN_INTER_LIST: 0.8746146, DIVERSITY_HERFINDAHL: 0.9794030, COVERAGE_ITEM: 0.1657745, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0552036, SHANNON_ENTROPY: 6.8059912, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'alpha': 0.38648271456275474, 'normalize_similarity': True} - results: ROC_AUC: 0.3019446, PRECISION: 0.0111652, PRECISION_RECALL_MIN_DEN: 0.0372174, RECALL: 0.0372174, MAP: 0.0219639, MRR: 0.0616669, NDCG: 0.0353321, F1: 0.0171772, HIT_RATE: 0.1116521, ARHR: 0.0637572, RMSE: nan, NOVELTY: 0.0057720, AVERAGE_POPULARITY: 0.0955689, DIVERSITY_MEAN_INTER_LIST: 0.8958189, DIVERSITY_HERFINDAHL: 0.9828849, COVERAGE_ITEM: 0.3152203, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1521471, SHANNON_ENTROPY: 8.6400450, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'alpha': 0.46289889997466116, 'normalize_similarity': False} - results: ROC_AUC: 0.3113169, PRECISION: 0.0140963, PRECISION_RECALL_MIN_DEN: 0.0469877, RECALL: 0.0469877, MAP: 0.0241606, MRR: 0.0659086, NDCG: 0.0404234, F1: 0.0216866, HIT_RATE: 0.1409632, ARHR: 0.0691415, RMSE: nan, NOVELTY: 0.0052559, AVERAGE_POPULARITY: 0.2050148, DIVERSITY_MEAN_INTER_LIST: 0.9419148, DIVERSITY_HERFINDAHL: 0.9904541, COVERAGE_ITEM: 0.2898081, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1152135, SHANNON_ENTROPY: 8.7027763, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 6, 'alpha': 0.4268327949410361, 'normalize_similarity': False} - results: ROC_AUC: 0.3115886, PRECISION: 0.0145591, PRECISION_RECALL_MIN_DEN: 0.0485304, RECALL: 0.0485304, MAP: 0.0242823, MRR: 0.0661380, NDCG: 0.0409971, F1: 0.0223987, HIT_RATE: 0.1455913, ARHR: 0.0694259, RMSE: nan, NOVELTY: 0.0050359, AVERAGE_POPULARITY: 0.2500547, DIVERSITY_MEAN_INTER_LIST: 0.9555803, DIVERSITY_HERFINDAHL: 0.9926981, COVERAGE_ITEM: 0.2827791, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1090194, SHANNON_ENTROPY: 8.7660467, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 6, 'alpha': 0.9675666006137542, 'normalize_similarity': True} - results: ROC_AUC: 0.2877117, PRECISION: 0.0094972, PRECISION_RECALL_MIN_DEN: 0.0316573, RECALL: 0.0316573, MAP: 0.0179916, MRR: 0.0507740, NDCG: 0.0293329, F1: 0.0146110, HIT_RATE: 0.0949718, ARHR: 0.0523360, RMSE: nan, NOVELTY: 0.0055721, AVERAGE_POPULARITY: 0.1131261, DIVERSITY_MEAN_INTER_LIST: 0.9556157, DIVERSITY_HERFINDAHL: 0.9927039, COVERAGE_ITEM: 0.3510679, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2257175, SHANNON_ENTROPY: 9.9849806, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 5, 'alpha': 0.39496899733822854, 'normalize_similarity': True} - results: ROC_AUC: 0.3019934, PRECISION: 0.0111604, PRECISION_RECALL_MIN_DEN: 0.0372013, RECALL: 0.0372013, MAP: 0.0219650, MRR: 0.0617026, NDCG: 0.0353337, F1: 0.0171698, HIT_RATE: 0.1116039, ARHR: 0.0637766, RMSE: nan, NOVELTY: 0.0057706, AVERAGE_POPULARITY: 0.0956134, DIVERSITY_MEAN_INTER_LIST: 0.8964504, DIVERSITY_HERFINDAHL: 0.9829886, COVERAGE_ITEM: 0.3153825, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1529576, SHANNON_ENTROPY: 8.6524409, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'alpha': 0.3923709634728692, 'normalize_similarity': True} - results: ROC_AUC: 0.3019231, PRECISION: 0.0111556, PRECISION_RECALL_MIN_DEN: 0.0371852, RECALL: 0.0371852, MAP: 0.0219408, MRR: 0.0616300, NDCG: 0.0353022, F1: 0.0171624, HIT_RATE: 0.1115557, ARHR: 0.0637040, RMSE: nan, NOVELTY: 0.0057707, AVERAGE_POPULARITY: 0.0956211, DIVERSITY_MEAN_INTER_LIST: 0.8963292, DIVERSITY_HERFINDAHL: 0.9829687, COVERAGE_ITEM: 0.3155988, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1524526, SHANNON_ENTROPY: 8.6484960, 
