SearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.013324154985562688, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0792830, PRECISION: 0.0122938, PRECISION_RECALL_MIN_DEN: 0.0409794, RECALL: 0.0409794, MAP: 0.0204820, MRR: 0.0568588, NDCG: 0.0347839, F1: 0.0189136, HIT_RATE: 0.1229382, ARHR: 0.0591119, RMSE: 0.9441473, NOVELTY: 0.0066336, AVERAGE_POPULARITY: 0.1522207, DIVERSITY_MEAN_INTER_LIST: 0.9951954, DIVERSITY_HERFINDAHL: 0.9995134, COVERAGE_ITEM: 0.4640714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3179208, SHANNON_ENTROPY: 11.7800682, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.002740111148104012, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0672689, PRECISION: 0.0103231, PRECISION_RECALL_MIN_DEN: 0.0344103, RECALL: 0.0344103, MAP: 0.0175236, MRR: 0.0488103, NDCG: 0.0295701, F1: 0.0158817, HIT_RATE: 0.1032310, ARHR: 0.0506482, RMSE: 1.0279323, NOVELTY: 0.0070378, AVERAGE_POPULARITY: 0.1225232, DIVERSITY_MEAN_INTER_LIST: 0.9970699, DIVERSITY_HERFINDAHL: 0.9997008, COVERAGE_ITEM: 0.5851852, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3986684, SHANNON_ENTROPY: 12.4368105, 
SearchBayesianSkopt: New best config found. Config 13: {'num_factors': 600, 'regularization': 0.01587192092518196, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0812394, PRECISION: 0.0127757, PRECISION_RECALL_MIN_DEN: 0.0425856, RECALL: 0.0425856, MAP: 0.0208495, MRR: 0.0580521, NDCG: 0.0357089, F1: 0.0196549, HIT_RATE: 0.1277568, ARHR: 0.0602624, RMSE: 0.9353990, NOVELTY: 0.0066079, AVERAGE_POPULARITY: 0.1573837, DIVERSITY_MEAN_INTER_LIST: 0.9948148, DIVERSITY_HERFINDAHL: 0.9994753, COVERAGE_ITEM: 0.4511490, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3104680, SHANNON_ENTROPY: 11.6991702, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.0027103751573673888, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0666349, PRECISION: 0.0102119, PRECISION_RECALL_MIN_DEN: 0.0340397, RECALL: 0.0340397, MAP: 0.0171794, MRR: 0.0477384, NDCG: 0.0290848, F1: 0.0157106, HIT_RATE: 0.1021190, ARHR: 0.0496005, RMSE: 1.0245835, NOVELTY: 0.0070318, AVERAGE_POPULARITY: 0.1232486, DIVERSITY_MEAN_INTER_LIST: 0.9971025, DIVERSITY_HERFINDAHL: 0.9997041, COVERAGE_ITEM: 0.5858340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4013984, SHANNON_ENTROPY: 12.4482042, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.01758235467069695, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0804443, PRECISION: 0.0123432, PRECISION_RECALL_MIN_DEN: 0.0411441, RECALL: 0.0411441, MAP: 0.0207060, MRR: 0.0577356, NDCG: 0.0351180, F1: 0.0189896, HIT_RATE: 0.1234324, ARHR: 0.0598792, RMSE: 0.9314845, NOVELTY: 0.0066022, AVERAGE_POPULARITY: 0.1560862, DIVERSITY_MEAN_INTER_LIST: 0.9945164, DIVERSITY_HERFINDAHL: 0.9994455, COVERAGE_ITEM: 0.4484455, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3050557, SHANNON_ENTROPY: 11.6550223, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.009725226228372028, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0788254, PRECISION: 0.0123247, PRECISION_RECALL_MIN_DEN: 0.0410824, RECALL: 0.0410824, MAP: 0.0202165, MRR: 0.0561854, NDCG: 0.0345464, F1: 0.0189611, HIT_RATE: 0.1232471, ARHR: 0.0583720, RMSE: 0.9572340, NOVELTY: 0.0066706, AVERAGE_POPULARITY: 0.1505100, DIVERSITY_MEAN_INTER_LIST: 0.9957225, DIVERSITY_HERFINDAHL: 0.9995661, COVERAGE_ITEM: 0.4868343, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3295468, SHANNON_ENTROPY: 11.9099553, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.009647887152565012, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0812123, PRECISION: 0.0125780, PRECISION_RECALL_MIN_DEN: 0.0419266, RECALL: 0.0419266, MAP: 0.0206568, MRR: 0.0580212, NDCG: 0.0353975, F1: 0.0193508, HIT_RATE: 0.1257799, ARHR: 0.0599568, RMSE: 0.9589502, NOVELTY: 0.0066720, AVERAGE_POPULARITY: 0.1517115, DIVERSITY_MEAN_INTER_LIST: 0.9956759, DIVERSITY_HERFINDAHL: 0.9995614, COVERAGE_ITEM: 0.4875372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3297503, SHANNON_ENTROPY: 11.9081204, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.009628470077277964, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0796123, PRECISION: 0.0123247, PRECISION_RECALL_MIN_DEN: 0.0410824, RECALL: 0.0410824, MAP: 0.0203735, MRR: 0.0567389, NDCG: 0.0347448, F1: 0.0189611, HIT_RATE: 0.1232471, ARHR: 0.0588874, RMSE: 0.9576283, NOVELTY: 0.0066802, AVERAGE_POPULARITY: 0.1495948, DIVERSITY_MEAN_INTER_LIST: 0.9956650, DIVERSITY_HERFINDAHL: 0.9995603, COVERAGE_ITEM: 0.4899162, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3305354, SHANNON_ENTROPY: 11.9179104, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.00010039683733319327, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0350516, PRECISION: 0.0054550, PRECISION_RECALL_MIN_DEN: 0.0181833, RECALL: 0.0181833, MAP: 0.0092199, MRR: 0.0257473, NDCG: 0.0155827, F1: 0.0083923, HIT_RATE: 0.0545499, ARHR: 0.0266792, RMSE: 1.6467704, NOVELTY: 0.0075214, AVERAGE_POPULARITY: 0.0731550, DIVERSITY_MEAN_INTER_LIST: 0.9969700, DIVERSITY_HERFINDAHL: 0.9996908, COVERAGE_ITEM: 0.5169505, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5382647, SHANNON_ENTROPY: 12.6105254, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.0021981641582907185, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0653550, PRECISION: 0.0098845, PRECISION_RECALL_MIN_DEN: 0.0329483, RECALL: 0.0329483, MAP: 0.0171261, MRR: 0.0477965, NDCG: 0.0287055, F1: 0.0152069, HIT_RATE: 0.0988448, ARHR: 0.0495527, RMSE: 1.0415144, NOVELTY: 0.0071307, AVERAGE_POPULARITY: 0.1146267, DIVERSITY_MEAN_INTER_LIST: 0.9972258, DIVERSITY_HERFINDAHL: 0.9997164, COVERAGE_ITEM: 0.5914572, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4215390, SHANNON_ENTROPY: 12.5233775, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.009746865616617336, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0788119, PRECISION: 0.0122382, PRECISION_RECALL_MIN_DEN: 0.0407941, RECALL: 0.0407941, MAP: 0.0206237, MRR: 0.0569444, NDCG: 0.0348153, F1: 0.0188280, HIT_RATE: 0.1223822, ARHR: 0.0593626, RMSE: 0.9562507, NOVELTY: 0.0066725, AVERAGE_POPULARITY: 0.1502630, DIVERSITY_MEAN_INTER_LIST: 0.9957087, DIVERSITY_HERFINDAHL: 0.9995647, COVERAGE_ITEM: 0.4873750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3274034, SHANNON_ENTROPY: 11.9031319, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.009720212629981854, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0776811, PRECISION: 0.0120282, PRECISION_RECALL_MIN_DEN: 0.0400939, RECALL: 0.0400939, MAP: 0.0201594, MRR: 0.0561729, NDCG: 0.0341859, F1: 0.0185049, HIT_RATE: 0.1202817, ARHR: 0.0582760, RMSE: 0.9572285, NOVELTY: 0.0066878, AVERAGE_POPULARITY: 0.1462882, DIVERSITY_MEAN_INTER_LIST: 0.9958273, DIVERSITY_HERFINDAHL: 0.9995766, COVERAGE_ITEM: 0.4862936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3319457, SHANNON_ENTROPY: 11.9248371, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.025896685109152225, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0813006, PRECISION: 0.0127263, PRECISION_RECALL_MIN_DEN: 0.0424209, RECALL: 0.0424209, MAP: 0.0208488, MRR: 0.0577009, NDCG: 0.0356016, F1: 0.0195789, HIT_RATE: 0.1272626, ARHR: 0.0600836, RMSE: 0.9163686, NOVELTY: 0.0065847, AVERAGE_POPULARITY: 0.1608543, DIVERSITY_MEAN_INTER_LIST: 0.9937375, DIVERSITY_HERFINDAHL: 0.9993676, COVERAGE_ITEM: 0.4387132, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2864756, SHANNON_ENTROPY: 11.5155283, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.010685531967316482, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0788476, PRECISION: 0.0124606, PRECISION_RECALL_MIN_DEN: 0.0415354, RECALL: 0.0415354, MAP: 0.0206287, MRR: 0.0569440, NDCG: 0.0350403, F1: 0.0191702, HIT_RATE: 0.1246062, ARHR: 0.0593714, RMSE: 0.9536285, NOVELTY: 0.0066525, AVERAGE_POPULARITY: 0.1523858, DIVERSITY_MEAN_INTER_LIST: 0.9954620, DIVERSITY_HERFINDAHL: 0.9995401, COVERAGE_ITEM: 0.4792106, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3228496, SHANNON_ENTROPY: 11.8518039, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.027209526941977025, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0787767, PRECISION: 0.0123679, PRECISION_RECALL_MIN_DEN: 0.0412265, RECALL: 0.0412265, MAP: 0.0199792, MRR: 0.0554781, NDCG: 0.0343378, F1: 0.0190276, HIT_RATE: 0.1236795, ARHR: 0.0576615, RMSE: 0.9143758, NOVELTY: 0.0065901, AVERAGE_POPULARITY: 0.1583928, DIVERSITY_MEAN_INTER_LIST: 0.9935064, DIVERSITY_HERFINDAHL: 0.9993445, COVERAGE_ITEM: 0.4334144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2834183, SHANNON_ENTROPY: 11.4783094, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.0018010840896207042, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0601847, PRECISION: 0.0092111, PRECISION_RECALL_MIN_DEN: 0.0307037, RECALL: 0.0307037, MAP: 0.0158610, MRR: 0.0442205, NDCG: 0.0266252, F1: 0.0141709, HIT_RATE: 0.0921110, ARHR: 0.0458672, RMSE: 1.0619274, NOVELTY: 0.0072034, AVERAGE_POPULARITY: 0.1095780, DIVERSITY_MEAN_INTER_LIST: 0.9971560, DIVERSITY_HERFINDAHL: 0.9997094, COVERAGE_ITEM: 0.5954042, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4348354, SHANNON_ENTROPY: 12.5634781, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.027408467120166303, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0785241, PRECISION: 0.0124359, PRECISION_RECALL_MIN_DEN: 0.0414530, RECALL: 0.0414530, MAP: 0.0200267, MRR: 0.0558034, NDCG: 0.0344838, F1: 0.0191322, HIT_RATE: 0.1243591, ARHR: 0.0578967, RMSE: 0.9121968, NOVELTY: 0.0065980, AVERAGE_POPULARITY: 0.1583131, DIVERSITY_MEAN_INTER_LIST: 0.9937520, DIVERSITY_HERFINDAHL: 0.9993691, COVERAGE_ITEM: 0.4376859, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2850894, SHANNON_ENTROPY: 11.5057178, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.00010016198593005206, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0349629, PRECISION: 0.0054921, PRECISION_RECALL_MIN_DEN: 0.0183069, RECALL: 0.0183069, MAP: 0.0090733, MRR: 0.0253087, NDCG: 0.0154574, F1: 0.0084493, HIT_RATE: 0.0549206, ARHR: 0.0262239, RMSE: 1.6481018, NOVELTY: 0.0075341, AVERAGE_POPULARITY: 0.0716250, DIVERSITY_MEAN_INTER_LIST: 0.9962680, DIVERSITY_HERFINDAHL: 0.9996206, COVERAGE_ITEM: 0.5139227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5378395, SHANNON_ENTROPY: 12.5766371, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.02757556996550654, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0788052, PRECISION: 0.0124235, PRECISION_RECALL_MIN_DEN: 0.0414118, RECALL: 0.0414118, MAP: 0.0204638, MRR: 0.0569708, NDCG: 0.0349014, F1: 0.0191132, HIT_RATE: 0.1242355, ARHR: 0.0591385, RMSE: 0.9094681, NOVELTY: 0.0065802, AVERAGE_POPULARITY: 0.1597821, DIVERSITY_MEAN_INTER_LIST: 0.9937744, DIVERSITY_HERFINDAHL: 0.9993713, COVERAGE_ITEM: 0.4337929, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2809850, SHANNON_ENTROPY: 11.4794670, 
