SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2281827, PRECISION: 0.0015282, PRECISION_RECALL_MIN_DEN: 0.0050941, RECALL: 0.0050941, MAP: 0.0017822, MRR: 0.0052088, NDCG: 0.0035614, F1: 0.0023511, HIT_RATE: 0.0152823, ARHR: 0.0052776, RMSE: nan, NOVELTY: 0.0045852, AVERAGE_POPULARITY: 0.0337429, DIVERSITY_MEAN_INTER_LIST: 0.9970433, DIVERSITY_HERFINDAHL: 0.9995066, COVERAGE_ITEM: 0.8071371, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3679315, SHANNON_ENTROPY: 12.6412313, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2272939, PRECISION: 0.0014173, PRECISION_RECALL_MIN_DEN: 0.0047245, RECALL: 0.0047245, MAP: 0.0017011, MRR: 0.0049534, NDCG: 0.0033443, F1: 0.0021805, HIT_RATE: 0.0141735, ARHR: 0.0050284, RMSE: nan, NOVELTY: 0.0046194, AVERAGE_POPULARITY: 0.0337156, DIVERSITY_MEAN_INTER_LIST: 0.9969741, DIVERSITY_HERFINDAHL: 0.9994952, COVERAGE_ITEM: 0.8016761, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3688912, SHANNON_ENTROPY: 12.6279715, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2243916, PRECISION: 0.0009015, PRECISION_RECALL_MIN_DEN: 0.0030050, RECALL: 0.0030050, MAP: 0.0010317, MRR: 0.0029462, NDCG: 0.0020644, F1: 0.0013869, HIT_RATE: 0.0090151, ARHR: 0.0030206, RMSE: nan, NOVELTY: 0.0044686, AVERAGE_POPULARITY: 0.0396463, DIVERSITY_MEAN_INTER_LIST: 0.9985672, DIVERSITY_HERFINDAHL: 0.9997568, COVERAGE_ITEM: 0.8599622, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4032848, SHANNON_ENTROPY: 12.9696450, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2283307, PRECISION: 0.0015186, PRECISION_RECALL_MIN_DEN: 0.0050619, RECALL: 0.0050619, MAP: 0.0018487, MRR: 0.0053521, NDCG: 0.0036150, F1: 0.0023363, HIT_RATE: 0.0151858, ARHR: 0.0054491, RMSE: nan, NOVELTY: 0.0045921, AVERAGE_POPULARITY: 0.0334719, DIVERSITY_MEAN_INTER_LIST: 0.9970138, DIVERSITY_HERFINDAHL: 0.9995017, COVERAGE_ITEM: 0.7979995, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3656065, SHANNON_ENTROPY: 12.6164480, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 19, 'shrink': 52, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2276354, PRECISION: 0.0015282, PRECISION_RECALL_MIN_DEN: 0.0050941, RECALL: 0.0050941, MAP: 0.0016797, MRR: 0.0048493, NDCG: 0.0034351, F1: 0.0023511, HIT_RATE: 0.0152823, ARHR: 0.0049442, RMSE: nan, NOVELTY: 0.0045476, AVERAGE_POPULARITY: 0.0367306, DIVERSITY_MEAN_INTER_LIST: 0.9986729, DIVERSITY_HERFINDAHL: 0.9997742, COVERAGE_ITEM: 0.8128143, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4023049, SHANNON_ENTROPY: 12.9109346, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2278121, PRECISION: 0.0014222, PRECISION_RECALL_MIN_DEN: 0.0047406, RECALL: 0.0047406, MAP: 0.0017050, MRR: 0.0050186, NDCG: 0.0033734, F1: 0.0021879, HIT_RATE: 0.0142217, ARHR: 0.0050668, RMSE: nan, NOVELTY: 0.0046178, AVERAGE_POPULARITY: 0.0328204, DIVERSITY_MEAN_INTER_LIST: 0.9969517, DIVERSITY_HERFINDAHL: 0.9994915, COVERAGE_ITEM: 0.7862125, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3644736, SHANNON_ENTROPY: 12.5871427, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2282149, PRECISION: 0.0015330, PRECISION_RECALL_MIN_DEN: 0.0051102, RECALL: 0.0051102, MAP: 0.0018091, MRR: 0.0052896, NDCG: 0.0035951, F1: 0.0023585, HIT_RATE: 0.0153305, ARHR: 0.0053584, RMSE: nan, NOVELTY: 0.0045854, AVERAGE_POPULARITY: 0.0337400, DIVERSITY_MEAN_INTER_LIST: 0.9970427, DIVERSITY_HERFINDAHL: 0.9995065, COVERAGE_ITEM: 0.8065964, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3681783, SHANNON_ENTROPY: 12.6410399, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2280073, PRECISION: 0.0015138, PRECISION_RECALL_MIN_DEN: 0.0050459, RECALL: 0.0050459, MAP: 0.0017548, MRR: 0.0051880, NDCG: 0.0035229, F1: 0.0023289, HIT_RATE: 0.0151376, ARHR: 0.0052262, RMSE: nan, NOVELTY: 0.0046525, AVERAGE_POPULARITY: 0.0329836, DIVERSITY_MEAN_INTER_LIST: 0.9968741, DIVERSITY_HERFINDAHL: 0.9994788, COVERAGE_ITEM: 0.8001081, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3627396, SHANNON_ENTROPY: 12.5915571, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2283307, PRECISION: 0.0015186, PRECISION_RECALL_MIN_DEN: 0.0050619, RECALL: 0.0050619, MAP: 0.0018487, MRR: 0.0053521, NDCG: 0.0036150, F1: 0.0023363, HIT_RATE: 0.0151858, ARHR: 0.0054491, RMSE: nan, NOVELTY: 0.0045921, AVERAGE_POPULARITY: 0.0334719, DIVERSITY_MEAN_INTER_LIST: 0.9970138, DIVERSITY_HERFINDAHL: 0.9995017, COVERAGE_ITEM: 0.7979995, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3656065, SHANNON_ENTROPY: 12.6164480, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2244439, PRECISION: 0.0009642, PRECISION_RECALL_MIN_DEN: 0.0032139, RECALL: 0.0032139, MAP: 0.0010846, MRR: 0.0031285, NDCG: 0.0021863, F1: 0.0014834, HIT_RATE: 0.0096418, ARHR: 0.0031912, RMSE: nan, NOVELTY: 0.0044692, AVERAGE_POPULARITY: 0.0400780, DIVERSITY_MEAN_INTER_LIST: 0.9986656, DIVERSITY_HERFINDAHL: 0.9997730, COVERAGE_ITEM: 0.8643958, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4004798, SHANNON_ENTROPY: 12.9799397, 
