SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.2805954, PRECISION: 0.0098636, PRECISION_RECALL_MIN_DEN: 0.0328786, RECALL: 0.0328786, MAP: 0.0158086, MRR: 0.0443815, NDCG: 0.0272912, F1: 0.0151747, HIT_RATE: 0.0986357, ARHR: 0.0458756, RMSE: nan, NOVELTY: 0.0039589, AVERAGE_POPULARITY: 0.5885690, DIVERSITY_MEAN_INTER_LIST: 0.8062371, DIVERSITY_HERFINDAHL: 0.9681750, COVERAGE_ITEM: 0.1608543, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0430653, SHANNON_ENTROPY: 6.1055252, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2964425, PRECISION: 0.0102348, PRECISION_RECALL_MIN_DEN: 0.0341159, RECALL: 0.0341159, MAP: 0.0208604, MRR: 0.0587959, NDCG: 0.0331792, F1: 0.0157458, HIT_RATE: 0.1023478, ARHR: 0.0606671, RMSE: nan, NOVELTY: 0.0058577, AVERAGE_POPULARITY: 0.0815948, DIVERSITY_MEAN_INTER_LIST: 0.8843846, DIVERSITY_HERFINDAHL: 0.9810073, COVERAGE_ITEM: 0.3471749, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1516685, SHANNON_ENTROPY: 8.5772512, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 99, 'alpha': 1.9663708163623315, 'beta': 1.994921468996563, 'normalize_similarity': False} - results: ROC_AUC: 0.2208724, PRECISION: 0.0002410, PRECISION_RECALL_MIN_DEN: 0.0008035, RECALL: 0.0008035, MAP: 0.0002095, MRR: 0.0006285, NDCG: 0.0004879, F1: 0.0003708, HIT_RATE: 0.0024105, ARHR: 0.0006285, RMSE: nan, NOVELTY: 0.0072874, AVERAGE_POPULARITY: 0.0030850, DIVERSITY_MEAN_INTER_LIST: 0.9985732, DIVERSITY_HERFINDAHL: 0.9997578, COVERAGE_ITEM: 0.5584212, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4098537, SHANNON_ENTROPY: 12.4700444, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 988, 'alpha': 0.014471688598278302, 'beta': 0.003815669592723837, 'normalize_similarity': True} - results: ROC_AUC: 0.2907170, PRECISION: 0.0113773, PRECISION_RECALL_MIN_DEN: 0.0379244, RECALL: 0.0379244, MAP: 0.0186194, MRR: 0.0512259, NDCG: 0.0317354, F1: 0.0175036, HIT_RATE: 0.1137733, ARHR: 0.0534894, RMSE: nan, NOVELTY: 0.0045798, AVERAGE_POPULARITY: 0.2735432, DIVERSITY_MEAN_INTER_LIST: 0.9867816, DIVERSITY_HERFINDAHL: 0.9978215, COVERAGE_ITEM: 0.3678832, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1550112, SHANNON_ENTROPY: 10.1145192, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 855, 'alpha': 1.9108502474302715, 'beta': 0.01401133810477773, 'normalize_similarity': False} - results: ROC_AUC: 0.2329356, PRECISION: 0.0024346, PRECISION_RECALL_MIN_DEN: 0.0081152, RECALL: 0.0081152, MAP: 0.0029248, MRR: 0.0084184, NDCG: 0.0057372, F1: 0.0037455, HIT_RATE: 0.0243456, ARHR: 0.0085929, RMSE: nan, NOVELTY: 0.0053459, AVERAGE_POPULARITY: 0.1271483, DIVERSITY_MEAN_INTER_LIST: 0.9979156, DIVERSITY_HERFINDAHL: 0.9996498, COVERAGE_ITEM: 0.5977291, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3737752, SHANNON_ENTROPY: 12.3392773, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 30, 'alpha': 0.0027434821422895887, 'beta': 0.03506789402838196, 'normalize_similarity': False} - results: ROC_AUC: 0.2935184, PRECISION: 0.0115895, PRECISION_RECALL_MIN_DEN: 0.0386315, RECALL: 0.0386315, MAP: 0.0192764, MRR: 0.0533004, NDCG: 0.0327156, F1: 0.0178299, HIT_RATE: 0.1158945, ARHR: 0.0555320, RMSE: nan, NOVELTY: 0.0042566, AVERAGE_POPULARITY: 0.4290229, DIVERSITY_MEAN_INTER_LIST: 0.9542137, DIVERSITY_HERFINDAHL: 0.9924737, COVERAGE_ITEM: 0.2874290, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0830075, SHANNON_ENTROPY: 8.3732772, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 997, 'alpha': 0.014066463802579813, 'beta': 0.7063721074286203, 'normalize_similarity': True} - results: ROC_AUC: 0.2244653, PRECISION: 0.0008822, PRECISION_RECALL_MIN_DEN: 0.0029408, RECALL: 0.0029408, MAP: 0.0011815, MRR: 0.0033378, NDCG: 0.0021933, F1: 0.0013573, HIT_RATE: 0.0088223, ARHR: 0.0034411, RMSE: nan, NOVELTY: 0.0072881, AVERAGE_POPULARITY: 0.0043867, DIVERSITY_MEAN_INTER_LIST: 0.9948509, DIVERSITY_HERFINDAHL: 0.9991466, COVERAGE_ITEM: 0.6342795, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3704188, SHANNON_ENTROPY: 12.2204096, 
SearchBayesianSkopt: New best config found. Config 18: {'topK': 97, 'alpha': 0.7900697155506791, 'beta': 0.0031211469673941847, 'normalize_similarity': True} - results: ROC_AUC: 0.3054962, PRECISION: 0.0133635, PRECISION_RECALL_MIN_DEN: 0.0445451, RECALL: 0.0445451, MAP: 0.0227629, MRR: 0.0623398, NDCG: 0.0381903, F1: 0.0205593, HIT_RATE: 0.1336354, ARHR: 0.0652551, RMSE: nan, NOVELTY: 0.0049667, AVERAGE_POPULARITY: 0.1926118, DIVERSITY_MEAN_INTER_LIST: 0.9930483, DIVERSITY_HERFINDAHL: 0.9988506, COVERAGE_ITEM: 0.4783996, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2379017, SHANNON_ENTROPY: 11.1329643, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 5, 'alpha': 0.5735169455870063, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.3003142, PRECISION: 0.0110833, PRECISION_RECALL_MIN_DEN: 0.0369442, RECALL: 0.0369442, MAP: 0.0215923, MRR: 0.0605382, NDCG: 0.0348170, F1: 0.0170512, HIT_RATE: 0.1108326, ARHR: 0.0626360, RMSE: nan, NOVELTY: 0.0057224, AVERAGE_POPULARITY: 0.1004560, DIVERSITY_MEAN_INTER_LIST: 0.9130965, DIVERSITY_HERFINDAHL: 0.9857220, COVERAGE_ITEM: 0.3303596, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1732409, SHANNON_ENTROPY: 9.0082848, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 977, 'alpha': 1.1446374266313784, 'beta': 1.9764702349407313, 'normalize_similarity': True} - results: ROC_AUC: 0.2201117, PRECISION: 0.0001157, PRECISION_RECALL_MIN_DEN: 0.0003857, RECALL: 0.0003857, MAP: 0.0000980, MRR: 0.0002939, NDCG: 0.0002286, F1: 0.0001780, HIT_RATE: 0.0011570, ARHR: 0.0002939, RMSE: nan, NOVELTY: 0.0075039, AVERAGE_POPULARITY: 0.0018034, DIVERSITY_MEAN_INTER_LIST: 0.9973168, DIVERSITY_HERFINDAHL: 0.9995515, COVERAGE_ITEM: 0.3966477, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3229522, SHANNON_ENTROPY: 11.6386692, 
