SearchBayesianSkopt: New best config found. Config 11: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370010, PRECISION: 0.0027383, PRECISION_RECALL_MIN_DEN: 0.0091276, RECALL: 0.0091276, MAP: 0.0041177, MRR: 0.0120124, NDCG: 0.0073768, F1: 0.0042127, HIT_RATE: 0.0273827, ARHR: 0.0121827, RMSE: nan, NOVELTY: 0.0043978, AVERAGE_POPULARITY: 0.0470063, DIVERSITY_MEAN_INTER_LIST: 0.9831001, DIVERSITY_HERFINDAHL: 0.9972170, COVERAGE_ITEM: 0.6711544, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2614993, SHANNON_ENTROPY: 11.3280426, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2328048, PRECISION: 0.0023044, PRECISION_RECALL_MIN_DEN: 0.0076813, RECALL: 0.0076813, MAP: 0.0030135, MRR: 0.0086907, NDCG: 0.0056970, F1: 0.0035452, HIT_RATE: 0.0230439, ARHR: 0.0088657, RMSE: nan, NOVELTY: 0.0044046, AVERAGE_POPULARITY: 0.0395894, DIVERSITY_MEAN_INTER_LIST: 0.9843608, DIVERSITY_HERFINDAHL: 0.9974240, COVERAGE_ITEM: 0.7500406, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2996494, SHANNON_ENTROPY: 11.7371670, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 963, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370010, PRECISION: 0.0027383, PRECISION_RECALL_MIN_DEN: 0.0091276, RECALL: 0.0091276, MAP: 0.0041177, MRR: 0.0120124, NDCG: 0.0073768, F1: 0.0042127, HIT_RATE: 0.0273827, ARHR: 0.0121827, RMSE: nan, NOVELTY: 0.0043978, AVERAGE_POPULARITY: 0.0470063, DIVERSITY_MEAN_INTER_LIST: 0.9831001, DIVERSITY_HERFINDAHL: 0.9972170, COVERAGE_ITEM: 0.6711544, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2614993, SHANNON_ENTROPY: 11.3280426, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2364774, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037127, MRR: 0.0107594, NDCG: 0.0073756, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109487, RMSE: nan, NOVELTY: 0.0042416, AVERAGE_POPULARITY: 0.0495050, DIVERSITY_MEAN_INTER_LIST: 0.9984730, DIVERSITY_HERFINDAHL: 0.9997413, COVERAGE_ITEM: 0.8434712, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3797787, SHANNON_ENTROPY: 12.8352871, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 963, 'shrink': 13, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 20, 'shrink': 973, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2332785, PRECISION: 0.0027045, PRECISION_RECALL_MIN_DEN: 0.0090151, RECALL: 0.0090151, MAP: 0.0028958, MRR: 0.0083862, NDCG: 0.0059932, F1: 0.0041608, HIT_RATE: 0.0270453, ARHR: 0.0085368, RMSE: nan, NOVELTY: 0.0043241, AVERAGE_POPULARITY: 0.0427516, DIVERSITY_MEAN_INTER_LIST: 0.9977702, DIVERSITY_HERFINDAHL: 0.9996259, COVERAGE_ITEM: 0.7976750, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3766140, SHANNON_ENTROPY: 12.7044072, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 996, 'shrink': 40, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2365611, PRECISION: 0.0031818, PRECISION_RECALL_MIN_DEN: 0.0106060, RECALL: 0.0106060, MAP: 0.0037437, MRR: 0.0108404, NDCG: 0.0074187, F1: 0.0048951, HIT_RATE: 0.0318180, ARHR: 0.0110358, RMSE: nan, NOVELTY: 0.0042427, AVERAGE_POPULARITY: 0.0498080, DIVERSITY_MEAN_INTER_LIST: 0.9984479, DIVERSITY_HERFINDAHL: 0.9997372, COVERAGE_ITEM: 0.8421195, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3785200, SHANNON_ENTROPY: 12.8245746, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 997, 'shrink': 11, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356786, PRECISION: 0.0030565, PRECISION_RECALL_MIN_DEN: 0.0101882, RECALL: 0.0101882, MAP: 0.0034913, MRR: 0.0100556, NDCG: 0.0070066, F1: 0.0047022, HIT_RATE: 0.0305645, ARHR: 0.0102647, RMSE: nan, NOVELTY: 0.0042407, AVERAGE_POPULARITY: 0.0481576, DIVERSITY_MEAN_INTER_LIST: 0.9986445, DIVERSITY_HERFINDAHL: 0.9997695, COVERAGE_ITEM: 0.8487699, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3900475, SHANNON_ENTROPY: 12.9094485, 
