SearchBayesianSkopt: New best config found. Config 0: {'topK': 805, 'shrink': 1005, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0943755, PRECISION: 0.0149132, PRECISION_RECALL_MIN_DEN: 0.0497107, RECALL: 0.0497107, MAP: 0.0247828, MRR: 0.0687487, NDCG: 0.0420958, F1: 0.0229434, HIT_RATE: 0.1491320, ARHR: 0.0715123, RMSE: 0.9798888, NOVELTY: 0.0052300, AVERAGE_POPULARITY: 0.6714799, DIVERSITY_MEAN_INTER_LIST: 0.7951750, DIVERSITY_HERFINDAHL: 0.9795126, COVERAGE_ITEM: 0.3454447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0628975, SHANNON_ENTROPY: 7.1443216, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 841, 'shrink': 564, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0988965, PRECISION: 0.0157472, PRECISION_RECALL_MIN_DEN: 0.0524907, RECALL: 0.0524907, MAP: 0.0261263, MRR: 0.0722384, NDCG: 0.0443442, F1: 0.0242265, HIT_RATE: 0.1574720, ARHR: 0.0752524, RMSE: 0.9709583, NOVELTY: 0.0052927, AVERAGE_POPULARITY: 0.6377683, DIVERSITY_MEAN_INTER_LIST: 0.8290973, DIVERSITY_HERFINDAHL: 0.9829046, COVERAGE_ITEM: 0.3728575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0707266, SHANNON_ENTROPY: 7.5138274, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 143, 'shrink': 222, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1135322, PRECISION: 0.0181380, PRECISION_RECALL_MIN_DEN: 0.0604600, RECALL: 0.0604600, MAP: 0.0302812, MRR: 0.0829485, NDCG: 0.0511469, F1: 0.0279046, HIT_RATE: 0.1813801, ARHR: 0.0868110, RMSE: 0.9745496, NOVELTY: 0.0056171, AVERAGE_POPULARITY: 0.4674382, DIVERSITY_MEAN_INTER_LIST: 0.9468988, DIVERSITY_HERFINDAHL: 0.9946840, COVERAGE_ITEM: 0.4631522, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1125264, SHANNON_ENTROPY: 9.2594617, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 401, 'shrink': 1107, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0969287, PRECISION: 0.0155248, PRECISION_RECALL_MIN_DEN: 0.0517493, RECALL: 0.0517493, MAP: 0.0254044, MRR: 0.0702192, NDCG: 0.0433483, F1: 0.0238843, HIT_RATE: 0.1552480, ARHR: 0.0731654, RMSE: 0.9837080, NOVELTY: 0.0052850, AVERAGE_POPULARITY: 0.6387953, DIVERSITY_MEAN_INTER_LIST: 0.8382858, DIVERSITY_HERFINDAHL: 0.9838234, COVERAGE_ITEM: 0.3686942, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0707641, SHANNON_ENTROPY: 7.5480214, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 114, 'shrink': 518, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1093114, PRECISION: 0.0174337, PRECISION_RECALL_MIN_DEN: 0.0581125, RECALL: 0.0581125, MAP: 0.0287923, MRR: 0.0792303, NDCG: 0.0489004, F1: 0.0268211, HIT_RATE: 0.1743374, ARHR: 0.0827253, RMSE: 0.9829600, NOVELTY: 0.0055170, AVERAGE_POPULARITY: 0.5100458, DIVERSITY_MEAN_INTER_LIST: 0.9322678, DIVERSITY_HERFINDAHL: 0.9932210, COVERAGE_ITEM: 0.4193566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0991923, SHANNON_ENTROPY: 8.8571713, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 402, 'shrink': 1328, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0956723, PRECISION: 0.0153148, PRECISION_RECALL_MIN_DEN: 0.0510492, RECALL: 0.0510492, MAP: 0.0249827, MRR: 0.0691208, NDCG: 0.0426962, F1: 0.0235612, HIT_RATE: 0.1531476, ARHR: 0.0719893, RMSE: 0.9856744, NOVELTY: 0.0052704, AVERAGE_POPULARITY: 0.6472574, DIVERSITY_MEAN_INTER_LIST: 0.8298453, DIVERSITY_HERFINDAHL: 0.9829794, COVERAGE_ITEM: 0.3649094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0692330, SHANNON_ENTROPY: 7.4585490, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 918, 'shrink': 1050, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0938868, PRECISION: 0.0148823, PRECISION_RECALL_MIN_DEN: 0.0496077, RECALL: 0.0496077, MAP: 0.0245988, MRR: 0.0682680, NDCG: 0.0418716, F1: 0.0228959, HIT_RATE: 0.1488231, ARHR: 0.0709994, RMSE: 0.9800944, NOVELTY: 0.0052155, AVERAGE_POPULARITY: 0.6797830, DIVERSITY_MEAN_INTER_LIST: 0.7834990, DIVERSITY_HERFINDAHL: 0.9783451, COVERAGE_ITEM: 0.3385780, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0608969, SHANNON_ENTROPY: 7.0425616, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 208, 'shrink': 780, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1042633, PRECISION: 0.0164762, PRECISION_RECALL_MIN_DEN: 0.0549206, RECALL: 0.0549206, MAP: 0.0276168, MRR: 0.0760995, NDCG: 0.0466601, F1: 0.0253480, HIT_RATE: 0.1647618, ARHR: 0.0794015, RMSE: 0.9831289, NOVELTY: 0.0053901, AVERAGE_POPULARITY: 0.5767252, DIVERSITY_MEAN_INTER_LIST: 0.8931194, DIVERSITY_HERFINDAHL: 0.9893064, COVERAGE_ITEM: 0.3935118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0844835, SHANNON_ENTROPY: 8.2164693, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 405, 'shrink': 844, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0987689, PRECISION: 0.0158275, PRECISION_RECALL_MIN_DEN: 0.0527584, RECALL: 0.0527584, MAP: 0.0260820, MRR: 0.0719752, NDCG: 0.0443569, F1: 0.0243500, HIT_RATE: 0.1582752, ARHR: 0.0750577, RMSE: 0.9804479, NOVELTY: 0.0053093, AVERAGE_POPULARITY: 0.6248133, DIVERSITY_MEAN_INTER_LIST: 0.8512071, DIVERSITY_HERFINDAHL: 0.9851154, COVERAGE_ITEM: 0.3739389, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0735059, SHANNON_ENTROPY: 7.6907488, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 709, 'shrink': 1252, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0923713, PRECISION: 0.0147155, PRECISION_RECALL_MIN_DEN: 0.0490517, RECALL: 0.0490517, MAP: 0.0242401, MRR: 0.0671658, NDCG: 0.0412892, F1: 0.0226392, HIT_RATE: 0.1471551, ARHR: 0.0698940, RMSE: 0.9831256, NOVELTY: 0.0052226, AVERAGE_POPULARITY: 0.6757128, DIVERSITY_MEAN_INTER_LIST: 0.7925265, DIVERSITY_HERFINDAHL: 0.9792478, COVERAGE_ITEM: 0.3447959, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0621475, SHANNON_ENTROPY: 7.1046336, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 827, 'shrink': 914, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0948633, PRECISION: 0.0149935, PRECISION_RECALL_MIN_DEN: 0.0499784, RECALL: 0.0499784, MAP: 0.0249204, MRR: 0.0691347, NDCG: 0.0423274, F1: 0.0230669, HIT_RATE: 0.1499351, ARHR: 0.0719118, RMSE: 0.9784724, NOVELTY: 0.0052364, AVERAGE_POPULARITY: 0.6679586, DIVERSITY_MEAN_INTER_LIST: 0.7986862, DIVERSITY_HERFINDAHL: 0.9798637, COVERAGE_ITEM: 0.3488510, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0636097, SHANNON_ENTROPY: 7.1823109, 
