SearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_models': 36, 'topK': 1014} - results: ROC_AUC: 0.1727811, PRECISION: 0.0276021, PRECISION_RECALL_MIN_DEN: 0.0920068, RECALL: 0.0920068, MAP: 0.0490400, MRR: 0.1291233, NDCG: 0.0800159, F1: 0.0424647, HIT_RATE: 0.2760205, ARHR: 0.1378814, RMSE: 0.9816731, NOVELTY: 0.0062794, AVERAGE_POPULARITY: 0.2325682, DIVERSITY_MEAN_INTER_LIST: 0.9907670, DIVERSITY_HERFINDAHL: 0.9990700, COVERAGE_ITEM: 0.7260881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2394195, SHANNON_ENTROPY: 11.5746941, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_models': 85, 'topK': 492} - results: ROC_AUC: 0.1728891, PRECISION: 0.0276291, PRECISION_RECALL_MIN_DEN: 0.0920970, RECALL: 0.0920970, MAP: 0.0489994, MRR: 0.1290926, NDCG: 0.0800166, F1: 0.0425063, HIT_RATE: 0.2762909, ARHR: 0.1378092, RMSE: 0.9815863, NOVELTY: 0.0062662, AVERAGE_POPULARITY: 0.2345838, DIVERSITY_MEAN_INTER_LIST: 0.9907956, DIVERSITY_HERFINDAHL: 0.9990729, COVERAGE_ITEM: 0.7281968, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2396422, SHANNON_ENTROPY: 11.5801602, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_models': 15, 'topK': 1600} - results: ROC_AUC: 0.1728904, PRECISION: 0.0274601, PRECISION_RECALL_MIN_DEN: 0.0915337, RECALL: 0.0915337, MAP: 0.0489568, MRR: 0.1290056, NDCG: 0.0798046, F1: 0.0422463, HIT_RATE: 0.2746012, ARHR: 0.1376984, RMSE: 0.9816507, NOVELTY: 0.0063049, AVERAGE_POPULARITY: 0.2269243, DIVERSITY_MEAN_INTER_LIST: 0.9908158, DIVERSITY_HERFINDAHL: 0.9990749, COVERAGE_ITEM: 0.7339822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2425537, SHANNON_ENTROPY: 11.6040586, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_models': 57, 'topK': 1586} - results: ROC_AUC: 0.1727906, PRECISION: 0.0275885, PRECISION_RECALL_MIN_DEN: 0.0919618, RECALL: 0.0919618, MAP: 0.0490112, MRR: 0.1291156, NDCG: 0.0799829, F1: 0.0424439, HIT_RATE: 0.2758854, ARHR: 0.1378348, RMSE: 0.9817570, NOVELTY: 0.0062840, AVERAGE_POPULARITY: 0.2312621, DIVERSITY_MEAN_INTER_LIST: 0.9909276, DIVERSITY_HERFINDAHL: 0.9990861, COVERAGE_ITEM: 0.7299270, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2407119, SHANNON_ENTROPY: 11.5957425, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_models': 99, 'topK': 2460} - results: ROC_AUC: 0.1727622, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489688, MRR: 0.1289874, NDCG: 0.0799967, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377155, RMSE: 0.9815331, NOVELTY: 0.0062665, AVERAGE_POPULARITY: 0.2347861, DIVERSITY_MEAN_INTER_LIST: 0.9907658, DIVERSITY_HERFINDAHL: 0.9990699, COVERAGE_ITEM: 0.7293323, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2395551, SHANNON_ENTROPY: 11.5789812, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_models': 24, 'topK': 1329} - results: ROC_AUC: 0.1728923, PRECISION: 0.0276494, PRECISION_RECALL_MIN_DEN: 0.0921645, RECALL: 0.0921645, MAP: 0.0489625, MRR: 0.1289149, NDCG: 0.0799901, F1: 0.0425375, HIT_RATE: 0.2764936, ARHR: 0.1376668, RMSE: 0.9815372, NOVELTY: 0.0062716, AVERAGE_POPULARITY: 0.2355986, DIVERSITY_MEAN_INTER_LIST: 0.9904577, DIVERSITY_HERFINDAHL: 0.9990391, COVERAGE_ITEM: 0.7221411, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2362829, SHANNON_ENTROPY: 11.5366666, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_models': 24, 'topK': 2382} - results: ROC_AUC: 0.1728923, PRECISION: 0.0276494, PRECISION_RECALL_MIN_DEN: 0.0921645, RECALL: 0.0921645, MAP: 0.0489625, MRR: 0.1289149, NDCG: 0.0799901, F1: 0.0425375, HIT_RATE: 0.2764936, ARHR: 0.1376668, RMSE: 0.9815372, NOVELTY: 0.0062716, AVERAGE_POPULARITY: 0.2355986, DIVERSITY_MEAN_INTER_LIST: 0.9904577, DIVERSITY_HERFINDAHL: 0.9990391, COVERAGE_ITEM: 0.7221411, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2362829, SHANNON_ENTROPY: 11.5366666, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_models': 49, 'topK': 1725} - results: ROC_AUC: 0.1729878, PRECISION: 0.0275277, PRECISION_RECALL_MIN_DEN: 0.0917590, RECALL: 0.0917590, MAP: 0.0489790, MRR: 0.1290475, NDCG: 0.0798960, F1: 0.0423503, HIT_RATE: 0.2752771, ARHR: 0.1377567, RMSE: 0.9817383, NOVELTY: 0.0062844, AVERAGE_POPULARITY: 0.2313217, DIVERSITY_MEAN_INTER_LIST: 0.9908668, DIVERSITY_HERFINDAHL: 0.9990800, COVERAGE_ITEM: 0.7285212, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2403885, SHANNON_ENTROPY: 11.5885980, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_models': 95, 'topK': 2753} - results: ROC_AUC: 0.1728412, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489956, MRR: 0.1290394, NDCG: 0.0800212, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377783, RMSE: 0.9815383, NOVELTY: 0.0062666, AVERAGE_POPULARITY: 0.2349700, DIVERSITY_MEAN_INTER_LIST: 0.9907575, DIVERSITY_HERFINDAHL: 0.9990691, COVERAGE_ITEM: 0.7290619, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2394589, SHANNON_ENTROPY: 11.5778066, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_models': 62, 'topK': 2987} - results: ROC_AUC: 0.1729253, PRECISION: 0.0275547, PRECISION_RECALL_MIN_DEN: 0.0918491, RECALL: 0.0918491, MAP: 0.0490071, MRR: 0.1291768, NDCG: 0.0799578, F1: 0.0423919, HIT_RATE: 0.2755474, ARHR: 0.1378626, RMSE: 0.9817124, NOVELTY: 0.0062829, AVERAGE_POPULARITY: 0.2312054, DIVERSITY_MEAN_INTER_LIST: 0.9909252, DIVERSITY_HERFINDAHL: 0.9990858, COVERAGE_ITEM: 0.7306840, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2411155, SHANNON_ENTROPY: 11.5981957, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_models': 26, 'topK': 2424} - results: ROC_AUC: 0.1726347, PRECISION: 0.0276561, PRECISION_RECALL_MIN_DEN: 0.0921871, RECALL: 0.0921871, MAP: 0.0489368, MRR: 0.1288350, NDCG: 0.0799654, F1: 0.0425479, HIT_RATE: 0.2765612, ARHR: 0.1375845, RMSE: 0.9815291, NOVELTY: 0.0062715, AVERAGE_POPULARITY: 0.2356300, DIVERSITY_MEAN_INTER_LIST: 0.9904579, DIVERSITY_HERFINDAHL: 0.9990391, COVERAGE_ITEM: 0.7217626, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2360758, SHANNON_ENTROPY: 11.5350604, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'num_models': 32, 'topK': 889} - results: ROC_AUC: 0.1727788, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489812, MRR: 0.1289954, NDCG: 0.0800071, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377380, RMSE: 0.9815769, NOVELTY: 0.0062719, AVERAGE_POPULARITY: 0.2351886, DIVERSITY_MEAN_INTER_LIST: 0.9905696, DIVERSITY_HERFINDAHL: 0.9990503, COVERAGE_ITEM: 0.7234388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2372652, SHANNON_ENTROPY: 11.5492664, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'num_models': 96, 'topK': 59} - results: ROC_AUC: 0.1727633, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489820, MRR: 0.1290006, NDCG: 0.0800052, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377385, RMSE: 0.9815469, NOVELTY: 0.0062665, AVERAGE_POPULARITY: 0.2348166, DIVERSITY_MEAN_INTER_LIST: 0.9907682, DIVERSITY_HERFINDAHL: 0.9990701, COVERAGE_ITEM: 0.7291160, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2395874, SHANNON_ENTROPY: 11.5791508, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_models': 45, 'topK': 1561} - results: ROC_AUC: 0.1729239, PRECISION: 0.0275210, PRECISION_RECALL_MIN_DEN: 0.0917365, RECALL: 0.0917365, MAP: 0.0489647, MRR: 0.1290228, NDCG: 0.0798736, F1: 0.0423399, HIT_RATE: 0.2752095, ARHR: 0.1377194, RMSE: 0.9817857, NOVELTY: 0.0062886, AVERAGE_POPULARITY: 0.2300598, DIVERSITY_MEAN_INTER_LIST: 0.9909574, DIVERSITY_HERFINDAHL: 0.9990890, COVERAGE_ITEM: 0.7307380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2416669, SHANNON_ENTROPY: 11.6028299, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_models': 79, 'topK': 1292} - results: ROC_AUC: 0.1728170, PRECISION: 0.0276291, PRECISION_RECALL_MIN_DEN: 0.0920970, RECALL: 0.0920970, MAP: 0.0489954, MRR: 0.1290852, NDCG: 0.0800122, F1: 0.0425063, HIT_RATE: 0.2762909, ARHR: 0.1378007, RMSE: 0.9816547, NOVELTY: 0.0062714, AVERAGE_POPULARITY: 0.2330376, DIVERSITY_MEAN_INTER_LIST: 0.9909157, DIVERSITY_HERFINDAHL: 0.9990849, COVERAGE_ITEM: 0.7297648, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2409631, SHANNON_ENTROPY: 11.5957931, 
