SearchBayesianSkopt: New best config found. Config 11: {'ICM_price': 1.3014078290976527, 'ICM_asset': 0.6569321724498728, 'ICM_sub_class': 1.758728793899692, 'ICM_item_pop': 0.8837462019013107, 'ICM_user_act': 0.22191939405141575} - results: ROC_AUC: 0.1333373, PRECISION: 0.0218756, PRECISION_RECALL_MIN_DEN: 0.0729186, RECALL: 0.0729186, MAP: 0.0356122, MRR: 0.0960718, NDCG: 0.0604807, F1: 0.0336547, HIT_RATE: 0.2187558, ARHR: 0.1013479, RMSE: 0.9804677, NOVELTY: 0.0060871, AVERAGE_POPULARITY: 0.2785392, DIVERSITY_MEAN_INTER_LIST: 0.9842832, DIVERSITY_HERFINDAHL: 0.9984222, COVERAGE_ITEM: 0.6263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1778256, SHANNON_ENTROPY: 10.7968019, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'ICM_price': 1.615349801083082, 'ICM_asset': 1.5597227209155384, 'ICM_sub_class': 0.3512274697395115, 'ICM_item_pop': 0.09772478284725519, 'ICM_user_act': 0.5124192164373426} - results: ROC_AUC: 0.1290589, PRECISION: 0.0208686, PRECISION_RECALL_MIN_DEN: 0.0695620, RECALL: 0.0695620, MAP: 0.0342532, MRR: 0.0928614, NDCG: 0.0580831, F1: 0.0321055, HIT_RATE: 0.2086860, ARHR: 0.0977001, RMSE: 0.9816602, NOVELTY: 0.0059843, AVERAGE_POPULARITY: 0.3045936, DIVERSITY_MEAN_INTER_LIST: 0.9817794, DIVERSITY_HERFINDAHL: 0.9981719, COVERAGE_ITEM: 0.4718032, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1523038, SHANNON_ENTROPY: 10.3471659, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'ICM_price': 1.036189590527338, 'ICM_asset': 0.459667996617115, 'ICM_sub_class': 1.4225222970962235, 'ICM_item_pop': 0.7671888655950885, 'ICM_user_act': 0.388895762815625} - results: ROC_AUC: 0.1324492, PRECISION: 0.0216717, PRECISION_RECALL_MIN_DEN: 0.0722390, RECALL: 0.0722390, MAP: 0.0351839, MRR: 0.0951140, NDCG: 0.0598636, F1: 0.0333411, HIT_RATE: 0.2167171, ARHR: 0.1002317, RMSE: 0.9803359, NOVELTY: 0.0060621, AVERAGE_POPULARITY: 0.2909008, DIVERSITY_MEAN_INTER_LIST: 0.9838408, DIVERSITY_HERFINDAHL: 0.9983780, COVERAGE_ITEM: 0.5540416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1638855, SHANNON_ENTROPY: 10.6164778, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'ICM_price': 1.270826539814309, 'ICM_asset': 0.09556844271844026, 'ICM_sub_class': 0.6045595434663839, 'ICM_item_pop': 1.2302844410421507, 'ICM_user_act': 1.5761459532426532} - results: ROC_AUC: 0.1249128, PRECISION: 0.0200902, PRECISION_RECALL_MIN_DEN: 0.0669673, RECALL: 0.0669673, MAP: 0.0329263, MRR: 0.0893175, NDCG: 0.0558924, F1: 0.0309080, HIT_RATE: 0.2009020, ARHR: 0.0939433, RMSE: 0.9791166, NOVELTY: 0.0060290, AVERAGE_POPULARITY: 0.3004939, DIVERSITY_MEAN_INTER_LIST: 0.9836471, DIVERSITY_HERFINDAHL: 0.9983586, COVERAGE_ITEM: 0.4210868, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1630826, SHANNON_ENTROPY: 10.4051439, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'ICM_price': 0.8119883478657286, 'ICM_asset': 0.8301509834856904, 'ICM_sub_class': 0.8321599885694724, 'ICM_item_pop': 1.1171581637105206, 'ICM_user_act': 1.1784298914293903} - results: ROC_AUC: 0.1277732, PRECISION: 0.0205782, PRECISION_RECALL_MIN_DEN: 0.0685941, RECALL: 0.0685941, MAP: 0.0336670, MRR: 0.0912888, NDCG: 0.0571821, F1: 0.0316588, HIT_RATE: 0.2057824, ARHR: 0.0960420, RMSE: 0.9793190, NOVELTY: 0.0060262, AVERAGE_POPULARITY: 0.3022803, DIVERSITY_MEAN_INTER_LIST: 0.9834337, DIVERSITY_HERFINDAHL: 0.9983373, COVERAGE_ITEM: 0.4386591, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1611021, SHANNON_ENTROPY: 10.4173923, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'ICM_price': 0.2918225380393951, 'ICM_asset': 0.032748458892859496, 'ICM_sub_class': 0.27147153739567537, 'ICM_item_pop': 0.5580334219754085, 'ICM_user_act': 0.532659673459101} - results: ROC_AUC: 0.1277366, PRECISION: 0.0206709, PRECISION_RECALL_MIN_DEN: 0.0689030, RECALL: 0.0689030, MAP: 0.0337923, MRR: 0.0916993, NDCG: 0.0574147, F1: 0.0318014, HIT_RATE: 0.2067091, ARHR: 0.0964347, RMSE: 0.9817323, NOVELTY: 0.0060518, AVERAGE_POPULARITY: 0.3103319, DIVERSITY_MEAN_INTER_LIST: 0.9828606, DIVERSITY_HERFINDAHL: 0.9982800, COVERAGE_ITEM: 0.4531495, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1625218, SHANNON_ENTROPY: 10.4287800, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'ICM_price': 0.0800602712674985, 'ICM_asset': 0.3537044907069296, 'ICM_sub_class': 1.679457950600157, 'ICM_item_pop': 1.5248421328451887, 'ICM_user_act': 0.5615482179297479} - results: ROC_AUC: 0.1317029, PRECISION: 0.0215543, PRECISION_RECALL_MIN_DEN: 0.0718478, RECALL: 0.0718478, MAP: 0.0351742, MRR: 0.0950473, NDCG: 0.0597069, F1: 0.0331605, HIT_RATE: 0.2155433, ARHR: 0.1001786, RMSE: 0.9797896, NOVELTY: 0.0060568, AVERAGE_POPULARITY: 0.2883077, DIVERSITY_MEAN_INTER_LIST: 0.9845935, DIVERSITY_HERFINDAHL: 0.9984533, COVERAGE_ITEM: 0.5753988, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1731684, SHANNON_ENTROPY: 10.7272583, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'ICM_price': 1.3991065110664453, 'ICM_asset': 1.063042250460387, 'ICM_sub_class': 0.6427220364857523, 'ICM_item_pop': 1.0551443391000188, 'ICM_user_act': 0.8811315056769065} - results: ROC_AUC: 0.1286640, PRECISION: 0.0207450, PRECISION_RECALL_MIN_DEN: 0.0691501, RECALL: 0.0691501, MAP: 0.0340414, MRR: 0.0923266, NDCG: 0.0577469, F1: 0.0319154, HIT_RATE: 0.2074504, ARHR: 0.0971214, RMSE: 0.9802255, NOVELTY: 0.0060186, AVERAGE_POPULARITY: 0.3051365, DIVERSITY_MEAN_INTER_LIST: 0.9827154, DIVERSITY_HERFINDAHL: 0.9982655, COVERAGE_ITEM: 0.4353068, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1579416, SHANNON_ENTROPY: 10.3669130, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'ICM_price': 1.4416087980696617, 'ICM_asset': 0.2069665822208991, 'ICM_sub_class': 1.2296056723159898, 'ICM_item_pop': 0.1765630630386086, 'ICM_user_act': 0.3764471007141942} - results: ROC_AUC: 0.1320169, PRECISION: 0.0214987, PRECISION_RECALL_MIN_DEN: 0.0716624, RECALL: 0.0716624, MAP: 0.0350428, MRR: 0.0947863, NDCG: 0.0595478, F1: 0.0330750, HIT_RATE: 0.2149873, ARHR: 0.0998565, RMSE: 0.9806560, NOVELTY: 0.0060500, AVERAGE_POPULARITY: 0.2954560, DIVERSITY_MEAN_INTER_LIST: 0.9834010, DIVERSITY_HERFINDAHL: 0.9983340, COVERAGE_ITEM: 0.5191673, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1602975, SHANNON_ENTROPY: 10.5340855, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'ICM_price': 1.2744210535527842, 'ICM_asset': 0.7896261621076646, 'ICM_sub_class': 0.1958067863607818, 'ICM_item_pop': 1.3862857143256624, 'ICM_user_act': 1.7820235314307462} - results: ROC_AUC: 0.1225211, PRECISION: 0.0196392, PRECISION_RECALL_MIN_DEN: 0.0654641, RECALL: 0.0654641, MAP: 0.0322657, MRR: 0.0877168, NDCG: 0.0547546, F1: 0.0302142, HIT_RATE: 0.1963922, ARHR: 0.0921523, RMSE: 0.9792420, NOVELTY: 0.0060217, AVERAGE_POPULARITY: 0.2996739, DIVERSITY_MEAN_INTER_LIST: 0.9836693, DIVERSITY_HERFINDAHL: 0.9983609, COVERAGE_ITEM: 0.4197351, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629716, SHANNON_ENTROPY: 10.4015800, 
