SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 664, 'shrink': 393, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0678679, PRECISION: 0.0110168, PRECISION_RECALL_MIN_DEN: 0.0367227, RECALL: 0.0367227, MAP: 0.0165571, MRR: 0.0482148, NDCG: 0.0296161, F1: 0.0169489, HIT_RATE: 0.1101681, ARHR: 0.0489430, RMSE: 0.9175107, NOVELTY: 0.0050122, AVERAGE_POPULARITY: 0.7825003, DIVERSITY_MEAN_INTER_LIST: 0.6251360, DIVERSITY_HERFINDAHL: 0.9625034, COVERAGE_ITEM: 0.0197891, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0914280, SHANNON_ENTROPY: 5.3717778, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 324, 'shrink': 516, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0982374, PRECISION: 0.0160111, PRECISION_RECALL_MIN_DEN: 0.0533703, RECALL: 0.0533703, MAP: 0.0249300, MRR: 0.0700272, NDCG: 0.0435491, F1: 0.0246325, HIT_RATE: 0.1601110, ARHR: 0.0723724, RMSE: 0.7079040, NOVELTY: 0.0061222, AVERAGE_POPULARITY: 0.3994902, DIVERSITY_MEAN_INTER_LIST: 0.9517201, DIVERSITY_HERFINDAHL: 0.9951565, COVERAGE_ITEM: 0.4437956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2291963, SHANNON_ENTROPY: 9.9968339, 
SearchBayesianSkopt: New best config found. Config 13: {'topK': 7, 'shrink': 646, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1225512, PRECISION: 0.0203362, PRECISION_RECALL_MIN_DEN: 0.0677874, RECALL: 0.0677874, MAP: 0.0304005, MRR: 0.0850360, NDCG: 0.0539503, F1: 0.0312865, HIT_RATE: 0.2033622, ARHR: 0.0880717, RMSE: 1.1436676, NOVELTY: 0.0058095, AVERAGE_POPULARITY: 0.3630574, DIVERSITY_MEAN_INTER_LIST: 0.9734657, DIVERSITY_HERFINDAHL: 0.9973307, COVERAGE_ITEM: 0.1446337, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2056027, SHANNON_ENTROPY: 9.4121741, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 810, 'shrink': 808, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0845009, PRECISION: 0.0138567, PRECISION_RECALL_MIN_DEN: 0.0461890, RECALL: 0.0461890, MAP: 0.0207881, MRR: 0.0594272, NDCG: 0.0370365, F1: 0.0213180, HIT_RATE: 0.1385670, ARHR: 0.0608693, RMSE: 0.8008425, NOVELTY: 0.0053215, AVERAGE_POPULARITY: 0.6252745, DIVERSITY_MEAN_INTER_LIST: 0.8414827, DIVERSITY_HERFINDAHL: 0.9841345, COVERAGE_ITEM: 0.1389024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0903127, SHANNON_ENTROPY: 7.3321636, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 67, 'shrink': 306, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0785016, PRECISION: 0.0123551, PRECISION_RECALL_MIN_DEN: 0.0411838, RECALL: 0.0411838, MAP: 0.0198248, MRR: 0.0558528, NDCG: 0.0342978, F1: 0.0190079, HIT_RATE: 0.1235515, ARHR: 0.0576635, RMSE: 0.8779153, NOVELTY: 0.0076905, AVERAGE_POPULARITY: 0.1453660, DIVERSITY_MEAN_INTER_LIST: 0.9925663, DIVERSITY_HERFINDAHL: 0.9992404, COVERAGE_ITEM: 0.5413896, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4410811, SHANNON_ENTROPY: 12.1487433, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 520, 'shrink': 981, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0875867, PRECISION: 0.0144443, PRECISION_RECALL_MIN_DEN: 0.0481475, RECALL: 0.0481475, MAP: 0.0216840, MRR: 0.0616430, NDCG: 0.0385611, F1: 0.0222219, HIT_RATE: 0.1444426, ARHR: 0.0633257, RMSE: 1.3034728, NOVELTY: 0.0051736, AVERAGE_POPULARITY: 0.6753396, DIVERSITY_MEAN_INTER_LIST: 0.8287052, DIVERSITY_HERFINDAHL: 0.9828570, COVERAGE_ITEM: 0.0614220, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0905643, SHANNON_ENTROPY: 6.7711606, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 385, 'shrink': 25, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0823698, PRECISION: 0.0134487, PRECISION_RECALL_MIN_DEN: 0.0448289, RECALL: 0.0448289, MAP: 0.0200136, MRR: 0.0577169, NDCG: 0.0358552, F1: 0.0206903, HIT_RATE: 0.1344867, ARHR: 0.0588652, RMSE: 97.3966108, NOVELTY: 0.0051650, AVERAGE_POPULARITY: 0.6793840, DIVERSITY_MEAN_INTER_LIST: 0.8128053, DIVERSITY_HERFINDAHL: 0.9812673, COVERAGE_ITEM: 0.0552582, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0941253, SHANNON_ENTROPY: 6.6880764, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 289, 'shrink': 140, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0808992, PRECISION: 0.0132691, PRECISION_RECALL_MIN_DEN: 0.0442305, RECALL: 0.0442305, MAP: 0.0197786, MRR: 0.0568459, NDCG: 0.0353805, F1: 0.0204141, HIT_RATE: 0.1326914, ARHR: 0.0580745, RMSE: 0.8823928, NOVELTY: 0.0051361, AVERAGE_POPULARITY: 0.6917860, DIVERSITY_MEAN_INTER_LIST: 0.8031496, DIVERSITY_HERFINDAHL: 0.9803019, COVERAGE_ITEM: 0.0401730, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1057089, SHANNON_ENTROPY: 6.5146660, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 616, 'shrink': 577, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0976094, PRECISION: 0.0161090, PRECISION_RECALL_MIN_DEN: 0.0536968, RECALL: 0.0536968, MAP: 0.0246328, MRR: 0.0690716, NDCG: 0.0433338, F1: 0.0247831, HIT_RATE: 0.1610903, ARHR: 0.0714571, RMSE: 0.6395990, NOVELTY: 0.0057243, AVERAGE_POPULARITY: 0.4882457, DIVERSITY_MEAN_INTER_LIST: 0.9243026, DIVERSITY_HERFINDAHL: 0.9924152, COVERAGE_ITEM: 0.3068397, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1613230, SHANNON_ENTROPY: 9.0071540, 
SearchBayesianSkopt: New best config found. Config 20: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1245857, PRECISION: 0.0207279, PRECISION_RECALL_MIN_DEN: 0.0690931, RECALL: 0.0690931, MAP: 0.0306016, MRR: 0.0858108, NDCG: 0.0546257, F1: 0.0318891, HIT_RATE: 0.2072793, ARHR: 0.0887783, RMSE: 0.9799927, NOVELTY: 0.0059241, AVERAGE_POPULARITY: 0.3356108, DIVERSITY_MEAN_INTER_LIST: 0.9757939, DIVERSITY_HERFINDAHL: 0.9975635, COVERAGE_ITEM: 0.1883212, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1928779, SHANNON_ENTROPY: 9.6299158, 
