SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 578, 'shrink': 473, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0728177, PRECISION: 0.0116044, PRECISION_RECALL_MIN_DEN: 0.0386812, RECALL: 0.0386812, MAP: 0.0176260, MRR: 0.0512437, NDCG: 0.0314075, F1: 0.0178529, HIT_RATE: 0.1160437, ARHR: 0.0520506, RMSE: 0.9443321, NOVELTY: 0.0050522, AVERAGE_POPULARITY: 0.7510503, DIVERSITY_MEAN_INTER_LIST: 0.6965599, DIVERSITY_HERFINDAHL: 0.9696446, COVERAGE_ITEM: 0.0264936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0923942, SHANNON_ENTROPY: 5.7740814, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 148, 'shrink': 832, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0786489, PRECISION: 0.0129590, PRECISION_RECALL_MIN_DEN: 0.0431968, RECALL: 0.0431968, MAP: 0.0193587, MRR: 0.0555665, NDCG: 0.0345812, F1: 0.0199370, HIT_RATE: 0.1295903, ARHR: 0.0568213, RMSE: 0.9739743, NOVELTY: 0.0051348, AVERAGE_POPULARITY: 0.6929080, DIVERSITY_MEAN_INTER_LIST: 0.8059999, DIVERSITY_HERFINDAHL: 0.9805868, COVERAGE_ITEM: 0.0435793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1003457, SHANNON_ENTROPY: 6.5373553, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 692, 'shrink': 149, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0805497, PRECISION: 0.0127469, PRECISION_RECALL_MIN_DEN: 0.0424895, RECALL: 0.0424895, MAP: 0.0199355, MRR: 0.0571580, NDCG: 0.0349768, F1: 0.0196106, HIT_RATE: 0.1274686, ARHR: 0.0584543, RMSE: 0.9035882, NOVELTY: 0.0051307, AVERAGE_POPULARITY: 0.6954057, DIVERSITY_MEAN_INTER_LIST: 0.7770470, DIVERSITY_HERFINDAHL: 0.9776920, COVERAGE_ITEM: 0.0401730, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0976437, SHANNON_ENTROPY: 6.3725616, 
SearchBayesianSkopt: New best config found. Config 14: {'topK': 396, 'shrink': 8, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0951097, PRECISION: 0.0153746, PRECISION_RECALL_MIN_DEN: 0.0512486, RECALL: 0.0512486, MAP: 0.0240975, MRR: 0.0682545, NDCG: 0.0420783, F1: 0.0236532, HIT_RATE: 0.1537457, ARHR: 0.0702388, RMSE: 0.8896731, NOVELTY: 0.0054969, AVERAGE_POPULARITY: 0.5392867, DIVERSITY_MEAN_INTER_LIST: 0.9048731, DIVERSITY_HERFINDAHL: 0.9904725, COVERAGE_ITEM: 0.1819411, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1125603, SHANNON_ENTROPY: 8.1373810, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 324, 'shrink': 516, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0761183, PRECISION: 0.0125510, PRECISION_RECALL_MIN_DEN: 0.0418367, RECALL: 0.0418367, MAP: 0.0188689, MRR: 0.0544687, NDCG: 0.0336480, F1: 0.0193092, HIT_RATE: 0.1255100, ARHR: 0.0555287, RMSE: 0.9544929, NOVELTY: 0.0050878, AVERAGE_POPULARITY: 0.7250072, DIVERSITY_MEAN_INTER_LIST: 0.7519624, DIVERSITY_HERFINDAHL: 0.9751840, COVERAGE_ITEM: 0.0333604, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0956532, SHANNON_ENTROPY: 6.1258040, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 593, 'shrink': 2, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0927728, PRECISION: 0.0147380, PRECISION_RECALL_MIN_DEN: 0.0491268, RECALL: 0.0491268, MAP: 0.0232187, MRR: 0.0658344, NDCG: 0.0405128, F1: 0.0226739, HIT_RATE: 0.1473804, ARHR: 0.0677153, RMSE: 0.8660876, NOVELTY: 0.0056748, AVERAGE_POPULARITY: 0.5191887, DIVERSITY_MEAN_INTER_LIST: 0.9025489, DIVERSITY_HERFINDAHL: 0.9902402, COVERAGE_ITEM: 0.2647743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1273476, SHANNON_ENTROPY: 8.3927520, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 922, 'shrink': 973, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0674848, PRECISION: 0.0108210, PRECISION_RECALL_MIN_DEN: 0.0360699, RECALL: 0.0360699, MAP: 0.0163286, MRR: 0.0475592, NDCG: 0.0291773, F1: 0.0166476, HIT_RATE: 0.1082096, ARHR: 0.0482725, RMSE: 0.9617362, NOVELTY: 0.0050001, AVERAGE_POPULARITY: 0.7920244, DIVERSITY_MEAN_INTER_LIST: 0.5893567, DIVERSITY_HERFINDAHL: 0.9589261, COVERAGE_ITEM: 0.0170316, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0939804, SHANNON_ENTROPY: 5.2073617, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 81, 'shrink': 480, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0861473, PRECISION: 0.0139709, PRECISION_RECALL_MIN_DEN: 0.0465698, RECALL: 0.0465698, MAP: 0.0213868, MRR: 0.0607785, NDCG: 0.0377426, F1: 0.0214938, HIT_RATE: 0.1397095, ARHR: 0.0624423, RMSE: 0.9722117, NOVELTY: 0.0052556, AVERAGE_POPULARITY: 0.6154224, DIVERSITY_MEAN_INTER_LIST: 0.8845826, DIVERSITY_HERFINDAHL: 0.9884438, COVERAGE_ITEM: 0.0599081, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1276359, SHANNON_ENTROPY: 7.3498318, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 309, 'shrink': 942, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0740502, PRECISION: 0.0117676, PRECISION_RECALL_MIN_DEN: 0.0392253, RECALL: 0.0392253, MAP: 0.0179182, MRR: 0.0518256, NDCG: 0.0318579, F1: 0.0181040, HIT_RATE: 0.1176759, ARHR: 0.0527811, RMSE: 0.9694699, NOVELTY: 0.0050592, AVERAGE_POPULARITY: 0.7464018, DIVERSITY_MEAN_INTER_LIST: 0.7150810, DIVERSITY_HERFINDAHL: 0.9714964, COVERAGE_ITEM: 0.0297378, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0899856, SHANNON_ENTROPY: 5.8805338, 
SearchBayesianSkopt: New best config found. Config 20: {'topK': 16, 'shrink': 6, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1140607, PRECISION: 0.0183614, PRECISION_RECALL_MIN_DEN: 0.0612045, RECALL: 0.0612045, MAP: 0.0288218, MRR: 0.0809594, NDCG: 0.0502364, F1: 0.0282482, HIT_RATE: 0.1836135, ARHR: 0.0836920, RMSE: 0.9742249, NOVELTY: 0.0063933, AVERAGE_POPULARITY: 0.2994849, DIVERSITY_MEAN_INTER_LIST: 0.9801029, DIVERSITY_HERFINDAHL: 0.9979943, COVERAGE_ITEM: 0.3922682, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2250618, SHANNON_ENTROPY: 10.4491742, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0905108, PRECISION: 0.0159132, PRECISION_RECALL_MIN_DEN: 0.0530439, RECALL: 0.0530439, MAP: 0.0221242, MRR: 0.0616941, NDCG: 0.0403849, F1: 0.0244818, HIT_RATE: 0.1591317, ARHR: 0.0640197, RMSE: 0.9819940, NOVELTY: 0.0074915, AVERAGE_POPULARITY: 0.1573371, DIVERSITY_MEAN_INTER_LIST: 0.9923215, DIVERSITY_HERFINDAHL: 0.9992160, COVERAGE_ITEM: 0.4993241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4123282, SHANNON_ENTROPY: 11.9282248, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0905108, PRECISION: 0.0159132, PRECISION_RECALL_MIN_DEN: 0.0530439, RECALL: 0.0530439, MAP: 0.0221242, MRR: 0.0616941, NDCG: 0.0403849, F1: 0.0244818, HIT_RATE: 0.1591317, ARHR: 0.0640197, RMSE: 0.9819940, NOVELTY: 0.0074915, AVERAGE_POPULARITY: 0.1573371, DIVERSITY_MEAN_INTER_LIST: 0.9923215, DIVERSITY_HERFINDAHL: 0.9992160, COVERAGE_ITEM: 0.4993241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4123282, SHANNON_ENTROPY: 11.9282248, 
