SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'USER_CBF_CF': 0.8464544706327267, 'USER_CF': 0.9339237002875481, 'TOP_POP': 0.2488833305964337} - results: ROC_AUC: 0.0404503, PRECISION: 0.0075944, PRECISION_RECALL_MIN_DEN: 0.0253146, RECALL: 0.0253146, MAP: 0.0081461, MRR: 0.0238853, NDCG: 0.0169416, F1: 0.0116837, HIT_RATE: 0.0759438, ARHR: 0.0241618, RMSE: 12.3362572, NOVELTY: 0.0048702, AVERAGE_POPULARITY: 0.8970264, DIVERSITY_MEAN_INTER_LIST: 0.0161658, DIVERSITY_HERFINDAHL: 0.9016162, COVERAGE_ITEM: 0.0005948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.9181446, SHANNON_ENTROPY: 3.3651310, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'USER_CBF_CF': 0.8852235762351517, 'USER_CF': 0.5095276536661747, 'TOP_POP': 0.953175892606644} - results: ROC_AUC: 0.0398970, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080443, MRR: 0.0236379, NDCG: 0.0166994, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238853, RMSE: 46.7501068, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'USER_CBF_CF': 0.9459789425792744, 'USER_CF': 0.1792892724595925, 'TOP_POP': 0.7100107003316969} - results: ROC_AUC: 0.0401302, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080874, MRR: 0.0237672, NDCG: 0.0167507, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0240146, RMSE: 34.9440773, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'USER_CBF_CF': 0.49048973507302995, 'USER_CF': 0.9274936649003119, 'TOP_POP': 0.48473054890295453} - results: ROC_AUC: 0.0398970, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080479, MRR: 0.0236488, NDCG: 0.0167034, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238963, RMSE: 23.4329183, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'USER_CBF_CF': 0.03134671996887329, 'USER_CF': 0.7662598037079035, 'TOP_POP': 0.03883222088089989} - results: ROC_AUC: 0.0398239, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080296, MRR: 0.0235940, NDCG: 0.0166820, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238414, RMSE: 1.4876336, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'USER_CBF_CF': 0.5015946197117702, 'USER_CF': 0.6698706881890074, 'TOP_POP': 0.05710875057700106} - results: ROC_AUC: 0.0420081, PRECISION: 0.0083845, PRECISION_RECALL_MIN_DEN: 0.0279485, RECALL: 0.0279485, MAP: 0.0083659, MRR: 0.0242984, NDCG: 0.0179656, F1: 0.0128993, HIT_RATE: 0.0838455, ARHR: 0.0246980, RMSE: 2.7381687, NOVELTY: 0.0048761, AVERAGE_POPULARITY: 0.8909801, DIVERSITY_MEAN_INTER_LIST: 0.1295575, DIVERSITY_HERFINDAHL: 0.9129529, COVERAGE_ITEM: 0.0010273, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5806738, SHANNON_ENTROPY: 3.6686830, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'USER_CBF_CF': 0.8204191625554211, 'USER_CF': 0.49915874766843094, 'TOP_POP': 0.12361115778175882} - results: ROC_AUC: 0.0414853, PRECISION: 0.0080334, PRECISION_RECALL_MIN_DEN: 0.0267779, RECALL: 0.0267779, MAP: 0.0084172, MRR: 0.0244447, NDCG: 0.0176514, F1: 0.0123590, HIT_RATE: 0.0803336, ARHR: 0.0248482, RMSE: 6.2343127, NOVELTY: 0.0048739, AVERAGE_POPULARITY: 0.8932018, DIVERSITY_MEAN_INTER_LIST: 0.0949786, DIVERSITY_HERFINDAHL: 0.9094958, COVERAGE_ITEM: 0.0009192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6317749, SHANNON_ENTROPY: 3.5833112, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'USER_CBF_CF': 0.27377543309801095, 'USER_CF': 0.05263328461055418, 'TOP_POP': 0.6329771363465908} - results: ROC_AUC: 0.0396775, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079930, MRR: 0.0234842, NDCG: 0.0166392, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237317, RMSE: 30.4245796, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'USER_CBF_CF': 0.4525214198232189, 'USER_CF': 0.813419182281141, 'TOP_POP': 0.7394838269732865} - results: ROC_AUC: 0.0397751, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080174, MRR: 0.0235574, NDCG: 0.0166677, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238048, RMSE: 35.8263125, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'USER_CBF_CF': 0.002626117059695954, 'USER_CF': 0.42085885984274085, 'TOP_POP': 0.2929532330186811} - results: ROC_AUC: 0.0396150, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079747, MRR: 0.0234293, NDCG: 0.0166177, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0236768, RMSE: 13.5342970, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
