SearchBayesianSkopt: New best config found. Config 11: {'topK': 1808, 'shrink': 942, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1041904, PRECISION: 0.0168839, PRECISION_RECALL_MIN_DEN: 0.0562797, RECALL: 0.0562797, MAP: 0.0275154, MRR: 0.0757854, NDCG: 0.0469642, F1: 0.0259753, HIT_RATE: 0.1688392, ARHR: 0.0791042, RMSE: 1.6860216, NOVELTY: 0.0052422, AVERAGE_POPULARITY: 0.6596093, DIVERSITY_MEAN_INTER_LIST: 0.8423638, DIVERSITY_HERFINDAHL: 0.9842312, COVERAGE_ITEM: 0.2360097, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0623588, SHANNON_ENTROPY: 7.3528759, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 542, 'shrink': 1023, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1021343, PRECISION: 0.0167233, PRECISION_RECALL_MIN_DEN: 0.0557443, RECALL: 0.0557443, MAP: 0.0266893, MRR: 0.0734627, NDCG: 0.0459088, F1: 0.0257281, HIT_RATE: 0.1672330, ARHR: 0.0766868, RMSE: 0.8162659, NOVELTY: 0.0055103, AVERAGE_POPULARITY: 0.5465506, DIVERSITY_MEAN_INTER_LIST: 0.9191175, DIVERSITY_HERFINDAHL: 0.9919061, COVERAGE_ITEM: 0.3742092, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0987771, SHANNON_ENTROPY: 8.6074040, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 931, 'shrink': 165, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1045815, PRECISION: 0.0171928, PRECISION_RECALL_MIN_DEN: 0.0573094, RECALL: 0.0573094, MAP: 0.0274288, MRR: 0.0758298, NDCG: 0.0472329, F1: 0.0264505, HIT_RATE: 0.1719281, ARHR: 0.0789989, RMSE: 1.6850859, NOVELTY: 0.0052669, AVERAGE_POPULARITY: 0.6390447, DIVERSITY_MEAN_INTER_LIST: 0.8683132, DIVERSITY_HERFINDAHL: 0.9868260, COVERAGE_ITEM: 0.2226007, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0652958, SHANNON_ENTROPY: 7.5438701, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1757, 'shrink': 959, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1011440, PRECISION: 0.0164885, PRECISION_RECALL_MIN_DEN: 0.0549618, RECALL: 0.0549618, MAP: 0.0265480, MRR: 0.0732170, NDCG: 0.0455416, F1: 0.0253670, HIT_RATE: 0.1648854, ARHR: 0.0763695, RMSE: 1.2923612, NOVELTY: 0.0051855, AVERAGE_POPULARITY: 0.6839597, DIVERSITY_MEAN_INTER_LIST: 0.8197601, DIVERSITY_HERFINDAHL: 0.9819709, COVERAGE_ITEM: 0.1838875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0567832, SHANNON_ENTROPY: 7.0430103, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1526, 'shrink': 1004, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1043500, PRECISION: 0.0170693, PRECISION_RECALL_MIN_DEN: 0.0568975, RECALL: 0.0568975, MAP: 0.0273898, MRR: 0.0748856, NDCG: 0.0469410, F1: 0.0262604, HIT_RATE: 0.1706925, ARHR: 0.0784452, RMSE: 0.8080681, NOVELTY: 0.0052653, AVERAGE_POPULARITY: 0.6471203, DIVERSITY_MEAN_INTER_LIST: 0.8533958, DIVERSITY_HERFINDAHL: 0.9853343, COVERAGE_ITEM: 0.2520681, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0625814, SHANNON_ENTROPY: 7.4224579, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1921, 'shrink': 860, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0705248, PRECISION: 0.0119540, PRECISION_RECALL_MIN_DEN: 0.0398468, RECALL: 0.0398468, MAP: 0.0173974, MRR: 0.0493645, NDCG: 0.0312946, F1: 0.0183908, HIT_RATE: 0.1195404, ARHR: 0.0507631, RMSE: 0.9679503, NOVELTY: 0.0049898, AVERAGE_POPULARITY: 0.7871785, DIVERSITY_MEAN_INTER_LIST: 0.6974555, DIVERSITY_HERFINDAHL: 0.9697412, COVERAGE_ITEM: 0.0295215, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0743709, SHANNON_ENTROPY: 5.6507501, 
SearchBayesianSkopt: New best config found. Config 17: {'topK': 1286, 'shrink': 1307, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1050805, PRECISION: 0.0171557, PRECISION_RECALL_MIN_DEN: 0.0571858, RECALL: 0.0571858, MAP: 0.0276755, MRR: 0.0758377, NDCG: 0.0473514, F1: 0.0263934, HIT_RATE: 0.1715574, ARHR: 0.0793490, RMSE: 0.8082049, NOVELTY: 0.0053028, AVERAGE_POPULARITY: 0.6321211, DIVERSITY_MEAN_INTER_LIST: 0.8646871, DIVERSITY_HERFINDAHL: 0.9864634, COVERAGE_ITEM: 0.2799135, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0675010, SHANNON_ENTROPY: 7.6138297, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 23, 'shrink': 536, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0432008, PRECISION: 0.0072527, PRECISION_RECALL_MIN_DEN: 0.0241758, RECALL: 0.0241758, MAP: 0.0099825, MRR: 0.0285240, NDCG: 0.0184437, F1: 0.0111581, HIT_RATE: 0.0725273, ARHR: 0.0292230, RMSE: 0.9789175, NOVELTY: 0.0059400, AVERAGE_POPULARITY: 0.3575026, DIVERSITY_MEAN_INTER_LIST: 0.9801844, DIVERSITY_HERFINDAHL: 0.9980124, COVERAGE_ITEM: 0.4526088, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1823081, SHANNON_ENTROPY: 10.4777661, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1430, 'shrink': 708, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0806683, PRECISION: 0.0131464, PRECISION_RECALL_MIN_DEN: 0.0438212, RECALL: 0.0438212, MAP: 0.0203230, MRR: 0.0572084, NDCG: 0.0356324, F1: 0.0202252, HIT_RATE: 0.1314635, ARHR: 0.0590654, RMSE: 0.8821309, NOVELTY: 0.0051411, AVERAGE_POPULARITY: 0.6874053, DIVERSITY_MEAN_INTER_LIST: 0.8357509, DIVERSITY_HERFINDAHL: 0.9835699, COVERAGE_ITEM: 0.1124628, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582490, SHANNON_ENTROPY: 6.8745964, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1945, 'shrink': 1986, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1057582, PRECISION: 0.0170260, PRECISION_RECALL_MIN_DEN: 0.0567534, RECALL: 0.0567534, MAP: 0.0275820, MRR: 0.0760193, NDCG: 0.0472087, F1: 0.0261939, HIT_RATE: 0.1702601, ARHR: 0.0793123, RMSE: 0.8431530, NOVELTY: 0.0052000, AVERAGE_POPULARITY: 0.6775784, DIVERSITY_MEAN_INTER_LIST: 0.8280931, DIVERSITY_HERFINDAHL: 0.9828042, COVERAGE_ITEM: 0.2033523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0559553, SHANNON_ENTROPY: 7.1069984, 
