SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 986, 'shrink': 1495, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0869885, PRECISION: 0.0140360, PRECISION_RECALL_MIN_DEN: 0.0467865, RECALL: 0.0467865, MAP: 0.0224313, MRR: 0.0626699, NDCG: 0.0387367, F1: 0.0215938, HIT_RATE: 0.1403595, ARHR: 0.0649398, RMSE: 1.0826374, NOVELTY: 0.0050962, AVERAGE_POPULARITY: 0.7422335, DIVERSITY_MEAN_INTER_LIST: 0.7177381, DIVERSITY_HERFINDAHL: 0.9717694, COVERAGE_ITEM: 0.1906461, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0447529, SHANNON_ENTROPY: 6.3305521, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 12, 'shrink': 1496, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1054798, PRECISION: 0.0164577, PRECISION_RECALL_MIN_DEN: 0.0548588, RECALL: 0.0548588, MAP: 0.0275370, MRR: 0.0757623, NDCG: 0.0465802, F1: 0.0253195, HIT_RATE: 0.1645765, ARHR: 0.0791345, RMSE: 0.9692319, NOVELTY: 0.0057894, AVERAGE_POPULARITY: 0.4181067, DIVERSITY_MEAN_INTER_LIST: 0.9639882, DIVERSITY_HERFINDAHL: 0.9963929, COVERAGE_ITEM: 0.5334415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1386150, SHANNON_ENTROPY: 9.8458921, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 19, 'shrink': 8, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0998684, PRECISION: 0.0157040, PRECISION_RECALL_MIN_DEN: 0.0523465, RECALL: 0.0523465, MAP: 0.0260184, MRR: 0.0717037, NDCG: 0.0441841, F1: 0.0241599, HIT_RATE: 0.1570396, ARHR: 0.0748261, RMSE: 1.9639204, NOVELTY: 0.0057026, AVERAGE_POPULARITY: 0.4451488, DIVERSITY_MEAN_INTER_LIST: 0.9554307, DIVERSITY_HERFINDAHL: 0.9955372, COVERAGE_ITEM: 0.5004055, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1326334, SHANNON_ENTROPY: 9.6255422, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 15, 'shrink': 1493, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0894821, PRECISION: 0.0141842, PRECISION_RECALL_MIN_DEN: 0.0472807, RECALL: 0.0472807, MAP: 0.0233590, MRR: 0.0641326, NDCG: 0.0397159, F1: 0.0218219, HIT_RATE: 0.1418422, ARHR: 0.0670452, RMSE: 0.9941332, NOVELTY: 0.0062705, AVERAGE_POPULARITY: 0.0645970, DIVERSITY_MEAN_INTER_LIST: 0.9963214, DIVERSITY_HERFINDAHL: 0.9996260, COVERAGE_ITEM: 0.8508786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4484297, SHANNON_ENTROPY: 12.9648043, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1040461, PRECISION: 0.0162723, PRECISION_RECALL_MIN_DEN: 0.0542411, RECALL: 0.0542411, MAP: 0.0273972, MRR: 0.0751865, NDCG: 0.0461951, F1: 0.0250343, HIT_RATE: 0.1627232, ARHR: 0.0786376, RMSE: 0.9870897, NOVELTY: 0.0059424, AVERAGE_POPULARITY: 0.3582720, DIVERSITY_MEAN_INTER_LIST: 0.9758953, DIVERSITY_HERFINDAHL: 0.9975835, COVERAGE_ITEM: 0.5408489, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1551944, SHANNON_ENTROPY: 10.2512368, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 973, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0806483, PRECISION: 0.0127633, PRECISION_RECALL_MIN_DEN: 0.0425444, RECALL: 0.0425444, MAP: 0.0214908, MRR: 0.0590133, NDCG: 0.0362091, F1: 0.0196359, HIT_RATE: 0.1276333, ARHR: 0.0616974, RMSE: 0.8791786, NOVELTY: 0.0041781, AVERAGE_POPULARITY: 0.2096010, DIVERSITY_MEAN_INTER_LIST: 0.9829487, DIVERSITY_HERFINDAHL: 0.9982888, COVERAGE_ITEM: 0.8037307, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3386418, SHANNON_ENTROPY: 12.0233254, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 14, 'shrink': 53, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1005271, PRECISION: 0.0157040, PRECISION_RECALL_MIN_DEN: 0.0523465, RECALL: 0.0523465, MAP: 0.0263128, MRR: 0.0723804, NDCG: 0.0444789, F1: 0.0241599, HIT_RATE: 0.1570396, ARHR: 0.0756132, RMSE: 0.9421008, NOVELTY: 0.0057530, AVERAGE_POPULARITY: 0.4224876, DIVERSITY_MEAN_INTER_LIST: 0.9620581, DIVERSITY_HERFINDAHL: 0.9961999, COVERAGE_ITEM: 0.5178156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1387826, SHANNON_ENTROPY: 9.8115907, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1288465, PRECISION: 0.0207018, PRECISION_RECALL_MIN_DEN: 0.0690060, RECALL: 0.0690060, MAP: 0.0342004, MRR: 0.0925177, NDCG: 0.0578192, F1: 0.0318489, HIT_RATE: 0.2070180, ARHR: 0.0974407, RMSE: 0.9831414, NOVELTY: 0.0062764, AVERAGE_POPULARITY: 0.2446092, DIVERSITY_MEAN_INTER_LIST: 0.9882131, DIVERSITY_HERFINDAHL: 0.9988152, COVERAGE_ITEM: 0.5118681, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1926009, SHANNON_ENTROPY: 10.9189018, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 26, 'shrink': 34, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0810136, PRECISION: 0.0127819, PRECISION_RECALL_MIN_DEN: 0.0426062, RECALL: 0.0426062, MAP: 0.0218007, MRR: 0.0599315, NDCG: 0.0365497, F1: 0.0196644, HIT_RATE: 0.1278186, ARHR: 0.0626052, RMSE: 0.9728992, NOVELTY: 0.0043319, AVERAGE_POPULARITY: 0.0948130, DIVERSITY_MEAN_INTER_LIST: 0.9964532, DIVERSITY_HERFINDAHL: 0.9996392, COVERAGE_ITEM: 0.7539876, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3940551, SHANNON_ENTROPY: 12.6738659, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1040461, PRECISION: 0.0162723, PRECISION_RECALL_MIN_DEN: 0.0542411, RECALL: 0.0542411, MAP: 0.0273972, MRR: 0.0751865, NDCG: 0.0461951, F1: 0.0250343, HIT_RATE: 0.1627232, ARHR: 0.0786376, RMSE: 0.9870897, NOVELTY: 0.0059424, AVERAGE_POPULARITY: 0.3582720, DIVERSITY_MEAN_INTER_LIST: 0.9758953, DIVERSITY_HERFINDAHL: 0.9975835, COVERAGE_ITEM: 0.5408489, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1551944, SHANNON_ENTROPY: 10.2512368, 
