SearchBayesianSkopt: New best config found. Config 11: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 42, 'shrink': 18, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0352806, PRECISION: 0.0060604, PRECISION_RECALL_MIN_DEN: 0.0202014, RECALL: 0.0202014, MAP: 0.0077089, MRR: 0.0222563, NDCG: 0.0147842, F1: 0.0093237, HIT_RATE: 0.0606042, ARHR: 0.0226876, RMSE: 0.9342424, NOVELTY: 0.0051649, AVERAGE_POPULARITY: 0.0634732, DIVERSITY_MEAN_INTER_LIST: 0.9972854, DIVERSITY_HERFINDAHL: 0.9997224, COVERAGE_ITEM: 0.8109759, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3732730, SHANNON_ENTROPY: 12.7605251, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 994, 'shrink': 1498, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0293432, PRECISION: 0.0046148, PRECISION_RECALL_MIN_DEN: 0.0153827, RECALL: 0.0153827, MAP: 0.0067599, MRR: 0.0194503, NDCG: 0.0122167, F1: 0.0070997, HIT_RATE: 0.0461481, ARHR: 0.0198612, RMSE: 0.9988613, NOVELTY: 0.0063293, AVERAGE_POPULARITY: 0.0605891, DIVERSITY_MEAN_INTER_LIST: 0.9974448, DIVERSITY_HERFINDAHL: 0.9997383, COVERAGE_ITEM: 0.8401190, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3828350, SHANNON_ENTROPY: 12.8443443, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 982, 'shrink': 1462, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0435941, PRECISION: 0.0073392, PRECISION_RECALL_MIN_DEN: 0.0244641, RECALL: 0.0244641, MAP: 0.0099072, MRR: 0.0286550, NDCG: 0.0185135, F1: 0.0112911, HIT_RATE: 0.0733922, ARHR: 0.0291819, RMSE: 0.9789488, NOVELTY: 0.0057439, AVERAGE_POPULARITY: 0.1159788, DIVERSITY_MEAN_INTER_LIST: 0.9961749, DIVERSITY_HERFINDAHL: 0.9996113, COVERAGE_ITEM: 0.7995675, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3104741, SHANNON_ENTROPY: 12.4076468, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 9, 'shrink': 14, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0367559, PRECISION: 0.0063570, PRECISION_RECALL_MIN_DEN: 0.0211898, RECALL: 0.0211898, MAP: 0.0080827, MRR: 0.0232485, NDCG: 0.0154866, F1: 0.0097799, HIT_RATE: 0.0635695, ARHR: 0.0237448, RMSE: 0.9883390, NOVELTY: 0.0050030, AVERAGE_POPULARITY: 0.0535131, DIVERSITY_MEAN_INTER_LIST: 0.9927162, DIVERSITY_HERFINDAHL: 0.9992655, COVERAGE_ITEM: 0.7928629, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3199635, SHANNON_ENTROPY: 12.2541854, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 999, 'shrink': 1434, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0416752, PRECISION: 0.0070365, PRECISION_RECALL_MIN_DEN: 0.0234550, RECALL: 0.0234550, MAP: 0.0094164, MRR: 0.0272470, NDCG: 0.0176650, F1: 0.0108254, HIT_RATE: 0.0703651, ARHR: 0.0277442, RMSE: 0.9772556, NOVELTY: 0.0050338, AVERAGE_POPULARITY: 0.1108443, DIVERSITY_MEAN_INTER_LIST: 0.9961617, DIVERSITY_HERFINDAHL: 0.9996100, COVERAGE_ITEM: 0.7839957, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3088013, SHANNON_ENTROPY: 12.3863967, 
