SearchBayesianSkopt: New best config found. Config 0: {'topK': 350, 'shrink': 953, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0318201, PRECISION: 0.0052264, PRECISION_RECALL_MIN_DEN: 0.0174214, RECALL: 0.0174214, MAP: 0.0072043, MRR: 0.0207304, NDCG: 0.0133413, F1: 0.0080406, HIT_RATE: 0.0522642, ARHR: 0.0211647, RMSE: 0.9990261, NOVELTY: 0.0054670, AVERAGE_POPULARITY: 0.0554292, DIVERSITY_MEAN_INTER_LIST: 0.9970104, DIVERSITY_HERFINDAHL: 0.9996949, COVERAGE_ITEM: 0.8329278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3671756, SHANNON_ENTROPY: 12.7446644, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 590, 'shrink': 851, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0323144, PRECISION: 0.0052511, PRECISION_RECALL_MIN_DEN: 0.0175038, RECALL: 0.0175038, MAP: 0.0073172, MRR: 0.0210950, NDCG: 0.0134973, F1: 0.0080787, HIT_RATE: 0.0525113, ARHR: 0.0215160, RMSE: 0.9987075, NOVELTY: 0.0055553, AVERAGE_POPULARITY: 0.0555779, DIVERSITY_MEAN_INTER_LIST: 0.9970957, DIVERSITY_HERFINDAHL: 0.9997034, COVERAGE_ITEM: 0.8386591, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3771443, SHANNON_ENTROPY: 12.7884735, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 879, 'shrink': 1123, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0320761, PRECISION: 0.0052079, PRECISION_RECALL_MIN_DEN: 0.0173596, RECALL: 0.0173596, MAP: 0.0072309, MRR: 0.0208765, NDCG: 0.0133667, F1: 0.0080121, HIT_RATE: 0.0520788, ARHR: 0.0212807, RMSE: 0.9987513, NOVELTY: 0.0056599, AVERAGE_POPULARITY: 0.0554567, DIVERSITY_MEAN_INTER_LIST: 0.9972008, DIVERSITY_HERFINDAHL: 0.9997139, COVERAGE_ITEM: 0.8396864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3864080, SHANNON_ENTROPY: 12.8239736, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 522, 'shrink': 853, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0327887, PRECISION: 0.0053685, PRECISION_RECALL_MIN_DEN: 0.0178950, RECALL: 0.0178950, MAP: 0.0074108, MRR: 0.0214247, NDCG: 0.0137323, F1: 0.0082592, HIT_RATE: 0.0536851, ARHR: 0.0218247, RMSE: 0.9987848, NOVELTY: 0.0055496, AVERAGE_POPULARITY: 0.0552429, DIVERSITY_MEAN_INTER_LIST: 0.9970882, DIVERSITY_HERFINDAHL: 0.9997027, COVERAGE_ITEM: 0.8376318, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3754505, SHANNON_ENTROPY: 12.7820491, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 107, 'shrink': 399, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0345283, PRECISION: 0.0056898, PRECISION_RECALL_MIN_DEN: 0.0189658, RECALL: 0.0189658, MAP: 0.0078665, MRR: 0.0227129, NDCG: 0.0145558, F1: 0.0087535, HIT_RATE: 0.0568975, ARHR: 0.0231523, RMSE: 0.9983692, NOVELTY: 0.0048722, AVERAGE_POPULARITY: 0.0611830, DIVERSITY_MEAN_INTER_LIST: 0.9964694, DIVERSITY_HERFINDAHL: 0.9996408, COVERAGE_ITEM: 0.8295756, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3672240, SHANNON_ENTROPY: 12.6876828, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 987, 'shrink': 33, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0325193, PRECISION: 0.0052882, PRECISION_RECALL_MIN_DEN: 0.0176273, RECALL: 0.0176273, MAP: 0.0074859, MRR: 0.0215306, NDCG: 0.0137057, F1: 0.0081357, HIT_RATE: 0.0528819, ARHR: 0.0219902, RMSE: 0.9639731, NOVELTY: 0.0056637, AVERAGE_POPULARITY: 0.0552493, DIVERSITY_MEAN_INTER_LIST: 0.9972180, DIVERSITY_HERFINDAHL: 0.9997156, COVERAGE_ITEM: 0.8351446, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3871131, SHANNON_ENTROPY: 12.8220756, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1500, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0378596, PRECISION: 0.0064434, PRECISION_RECALL_MIN_DEN: 0.0214781, RECALL: 0.0214781, MAP: 0.0083849, MRR: 0.0240875, NDCG: 0.0159056, F1: 0.0099130, HIT_RATE: 0.0644344, ARHR: 0.0246211, RMSE: 0.9998686, NOVELTY: 0.0051965, AVERAGE_POPULARITY: 0.0525786, DIVERSITY_MEAN_INTER_LIST: 0.9863056, DIVERSITY_HERFINDAHL: 0.9986245, COVERAGE_ITEM: 0.7793998, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3079927, SHANNON_ENTROPY: 12.0024926, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0379767, PRECISION: 0.0064434, PRECISION_RECALL_MIN_DEN: 0.0214781, RECALL: 0.0214781, MAP: 0.0084273, MRR: 0.0241944, NDCG: 0.0159495, F1: 0.0099130, HIT_RATE: 0.0644344, ARHR: 0.0247381, RMSE: 0.9782538, NOVELTY: 0.0052094, AVERAGE_POPULARITY: 0.0522550, DIVERSITY_MEAN_INTER_LIST: 0.9863033, DIVERSITY_HERFINDAHL: 0.9986242, COVERAGE_ITEM: 0.7776696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3079218, SHANNON_ENTROPY: 12.0003063, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 997, 'shrink': 1496, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0328106, PRECISION: 0.0052882, PRECISION_RECALL_MIN_DEN: 0.0176273, RECALL: 0.0176273, MAP: 0.0075659, MRR: 0.0217791, NDCG: 0.0137948, F1: 0.0081357, HIT_RATE: 0.0528819, ARHR: 0.0222345, RMSE: 0.9989861, NOVELTY: 0.0056678, AVERAGE_POPULARITY: 0.0552477, DIVERSITY_MEAN_INTER_LIST: 0.9972176, DIVERSITY_HERFINDAHL: 0.9997156, COVERAGE_ITEM: 0.8341714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3874309, SHANNON_ENTROPY: 12.8216181, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 989, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0328951, PRECISION: 0.0053500, PRECISION_RECALL_MIN_DEN: 0.0178332, RECALL: 0.0178332, MAP: 0.0075154, MRR: 0.0216155, NDCG: 0.0138036, F1: 0.0082307, HIT_RATE: 0.0534997, ARHR: 0.0220770, RMSE: 0.9222612, NOVELTY: 0.0056238, AVERAGE_POPULARITY: 0.0546633, DIVERSITY_MEAN_INTER_LIST: 0.9971808, DIVERSITY_HERFINDAHL: 0.9997119, COVERAGE_ITEM: 0.8339551, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3869179, SHANNON_ENTROPY: 12.8165915, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0378596, PRECISION: 0.0064434, PRECISION_RECALL_MIN_DEN: 0.0214781, RECALL: 0.0214781, MAP: 0.0083849, MRR: 0.0240875, NDCG: 0.0159056, F1: 0.0099130, HIT_RATE: 0.0644344, ARHR: 0.0246211, RMSE: 0.9998686, NOVELTY: 0.0051965, AVERAGE_POPULARITY: 0.0525786, DIVERSITY_MEAN_INTER_LIST: 0.9863056, DIVERSITY_HERFINDAHL: 0.9986245, COVERAGE_ITEM: 0.7793998, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3079927, SHANNON_ENTROPY: 12.0024926, 
