SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 350, 'shrink': 1842, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0002927, PRECISION: 0.0001756, PRECISION_RECALL_MIN_DEN: 0.0005853, RECALL: 0.0005853, MAP: 0.0000707, MRR: 0.0002122, NDCG: 0.0002560, F1: 0.0002701, HIT_RATE: 0.0017559, ARHR: 0.0002122, RMSE: 0.9999168, NOVELTY: 0.0078110, AVERAGE_POPULARITY: 0.0337401, DIVERSITY_MEAN_INTER_LIST: 0.9781109, DIVERSITY_HERFINDAHL: 0.9977896, COVERAGE_ITEM: 0.1651798, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3987534, SHANNON_ENTROPY: 10.4268454, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1905, 'shrink': 1222, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0231166, PRECISION: 0.0044118, PRECISION_RECALL_MIN_DEN: 0.0147059, RECALL: 0.0147059, MAP: 0.0047518, MRR: 0.0139627, NDCG: 0.0098519, F1: 0.0067873, HIT_RATE: 0.0441176, ARHR: 0.0141090, RMSE: 0.9347705, NOVELTY: 0.0056922, AVERAGE_POPULARITY: 0.4544932, DIVERSITY_MEAN_INTER_LIST: 0.9188314, DIVERSITY_HERFINDAHL: 0.9918630, COVERAGE_ITEM: 0.0238443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3368056, SHANNON_ENTROPY: 7.5901392, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 35, 'shrink': 1304, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0001951, PRECISION: 0.0000219, PRECISION_RECALL_MIN_DEN: 0.0000732, RECALL: 0.0000732, MAP: 0.0000366, MRR: 0.0001097, NDCG: 0.0000650, F1: 0.0000338, HIT_RATE: 0.0002195, ARHR: 0.0001097, RMSE: 0.9999989, NOVELTY: 0.0068807, AVERAGE_POPULARITY: 0.0176748, DIVERSITY_MEAN_INTER_LIST: 0.4563193, DIVERSITY_HERFINDAHL: 0.9456219, COVERAGE_ITEM: 0.0469316, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1604590, SHANNON_ENTROPY: 5.7459626, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 890, 'shrink': 1333, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0017925, PRECISION: 0.0002853, PRECISION_RECALL_MIN_DEN: 0.0009511, RECALL: 0.0009511, MAP: 0.0003605, MRR: 0.0010267, NDCG: 0.0006954, F1: 0.0004390, HIT_RATE: 0.0028534, ARHR: 0.0010542, RMSE: 0.9986161, NOVELTY: 0.0083463, AVERAGE_POPULARITY: 0.0321849, DIVERSITY_MEAN_INTER_LIST: 0.9840167, DIVERSITY_HERFINDAHL: 0.9983801, COVERAGE_ITEM: 0.0957556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3684047, SHANNON_ENTROPY: 9.7728537, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1167, 'shrink': 1742, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0028290, PRECISION: 0.0004829, PRECISION_RECALL_MIN_DEN: 0.0016096, RECALL: 0.0016096, MAP: 0.0005076, MRR: 0.0015227, NDCG: 0.0010771, F1: 0.0007429, HIT_RATE: 0.0048288, ARHR: 0.0015227, RMSE: 0.9974977, NOVELTY: 0.0080850, AVERAGE_POPULARITY: 0.0577846, DIVERSITY_MEAN_INTER_LIST: 0.9809594, DIVERSITY_HERFINDAHL: 0.9980744, COVERAGE_ITEM: 0.0758583, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3830718, SHANNON_ENTROPY: 9.4931276, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 865, 'shrink': 1394, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0041703, PRECISION: 0.0006365, PRECISION_RECALL_MIN_DEN: 0.0021217, RECALL: 0.0021217, MAP: 0.0007998, MRR: 0.0023994, NDCG: 0.0015668, F1: 0.0009793, HIT_RATE: 0.0063652, ARHR: 0.0023994, RMSE: 0.9895732, NOVELTY: 0.0077526, AVERAGE_POPULARITY: 0.0889772, DIVERSITY_MEAN_INTER_LIST: 0.9795046, DIVERSITY_HERFINDAHL: 0.9979290, COVERAGE_ITEM: 0.0663423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3975543, SHANNON_ENTROPY: 9.3535058, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 902, 'shrink': 1130, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0044386, PRECISION: 0.0007243, PRECISION_RECALL_MIN_DEN: 0.0024144, RECALL: 0.0024144, MAP: 0.0008828, MRR: 0.0026485, NDCG: 0.0017493, F1: 0.0011143, HIT_RATE: 0.0072432, ARHR: 0.0026485, RMSE: 0.9899836, NOVELTY: 0.0077470, AVERAGE_POPULARITY: 0.0939141, DIVERSITY_MEAN_INTER_LIST: 0.9810155, DIVERSITY_HERFINDAHL: 0.9980800, COVERAGE_ITEM: 0.0731549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3916073, SHANNON_ENTROPY: 9.4733753, 
SearchBayesianSkopt: New best config found. Config 18: {'topK': 1019, 'shrink': 10, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0336202, PRECISION: 0.0068262, PRECISION_RECALL_MIN_DEN: 0.0227539, RECALL: 0.0227539, MAP: 0.0072843, MRR: 0.0212508, NDCG: 0.0151075, F1: 0.0105018, HIT_RATE: 0.0682616, ARHR: 0.0215519, RMSE: 0.7779474, NOVELTY: 0.0049778, AVERAGE_POPULARITY: 0.7942138, DIVERSITY_MEAN_INTER_LIST: 0.6479417, DIVERSITY_HERFINDAHL: 0.9647799, COVERAGE_ITEM: 0.0097864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1609277, SHANNON_ENTROPY: 5.2528398, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 632, 'shrink': 1422, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0039752, PRECISION: 0.0007243, PRECISION_RECALL_MIN_DEN: 0.0024144, RECALL: 0.0024144, MAP: 0.0007596, MRR: 0.0022788, NDCG: 0.0016064, F1: 0.0011143, HIT_RATE: 0.0072432, ARHR: 0.0022788, RMSE: 0.9924196, NOVELTY: 0.0077624, AVERAGE_POPULARITY: 0.0913008, DIVERSITY_MEAN_INTER_LIST: 0.9813995, DIVERSITY_HERFINDAHL: 0.9981184, COVERAGE_ITEM: 0.0744526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3983273, SHANNON_ENTROPY: 9.5183601, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1944, 'shrink': 4, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0275629, PRECISION: 0.0050263, PRECISION_RECALL_MIN_DEN: 0.0167545, RECALL: 0.0167545, MAP: 0.0055571, MRR: 0.0164805, NDCG: 0.0114223, F1: 0.0077328, HIT_RATE: 0.0502634, ARHR: 0.0165759, RMSE: 3.5507784, NOVELTY: 0.0053889, AVERAGE_POPULARITY: 0.5497837, DIVERSITY_MEAN_INTER_LIST: 0.8954044, DIVERSITY_HERFINDAHL: 0.9895208, COVERAGE_ITEM: 0.0207624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2987835, SHANNON_ENTROPY: 7.2246991, 
