SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 616, 'shrink': 981, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0667467, PRECISION: 0.0112616, PRECISION_RECALL_MIN_DEN: 0.0375388, RECALL: 0.0375388, MAP: 0.0164077, MRR: 0.0464914, NDCG: 0.0294935, F1: 0.0173256, HIT_RATE: 0.1126163, ARHR: 0.0478344, RMSE: 0.9888530, NOVELTY: 0.0051383, AVERAGE_POPULARITY: 0.6834755, DIVERSITY_MEAN_INTER_LIST: 0.8457656, DIVERSITY_HERFINDAHL: 0.9845725, COVERAGE_ITEM: 0.1161936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0548474, SHANNON_ENTROPY: 6.9050766, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0796104, PRECISION: 0.0135805, PRECISION_RECALL_MIN_DEN: 0.0452683, RECALL: 0.0452683, MAP: 0.0199112, MRR: 0.0556278, NDCG: 0.0355643, F1: 0.0208931, HIT_RATE: 0.1358048, ARHR: 0.0576482, RMSE: 0.9035834, NOVELTY: 0.0050777, AVERAGE_POPULARITY: 0.7335216, DIVERSITY_MEAN_INTER_LIST: 0.7792554, DIVERSITY_HERFINDAHL: 0.9779218, COVERAGE_ITEM: 0.1093268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0457473, SHANNON_ENTROPY: 6.4109049, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 994, 'shrink': 983, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0710190, PRECISION: 0.0117485, PRECISION_RECALL_MIN_DEN: 0.0391618, RECALL: 0.0391618, MAP: 0.0182598, MRR: 0.0509491, NDCG: 0.0318523, F1: 0.0180747, HIT_RATE: 0.1174854, ARHR: 0.0528382, RMSE: 0.9877637, NOVELTY: 0.0053456, AVERAGE_POPULARITY: 0.6016163, DIVERSITY_MEAN_INTER_LIST: 0.8797017, DIVERSITY_HERFINDAHL: 0.9879659, COVERAGE_ITEM: 0.1958367, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0888480, SHANNON_ENTROPY: 7.9164533, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0796104, PRECISION: 0.0135805, PRECISION_RECALL_MIN_DEN: 0.0452683, RECALL: 0.0452683, MAP: 0.0199112, MRR: 0.0556278, NDCG: 0.0355643, F1: 0.0208931, HIT_RATE: 0.1358048, ARHR: 0.0576482, RMSE: 0.9035834, NOVELTY: 0.0050777, AVERAGE_POPULARITY: 0.7335216, DIVERSITY_MEAN_INTER_LIST: 0.7792554, DIVERSITY_HERFINDAHL: 0.9779218, COVERAGE_ITEM: 0.1093268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0457473, SHANNON_ENTROPY: 6.4109049, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 998, 'shrink': 938, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0769643, PRECISION: 0.0128718, PRECISION_RECALL_MIN_DEN: 0.0429060, RECALL: 0.0429060, MAP: 0.0195504, MRR: 0.0547314, NDCG: 0.0344487, F1: 0.0198028, HIT_RATE: 0.1287181, ARHR: 0.0566587, RMSE: 0.8943307, NOVELTY: 0.0051679, AVERAGE_POPULARITY: 0.6789694, DIVERSITY_MEAN_INTER_LIST: 0.8302363, DIVERSITY_HERFINDAHL: 0.9830196, COVERAGE_ITEM: 0.0997026, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0675597, SHANNON_ENTROPY: 6.9679246, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 993, 'shrink': 41, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0642883, PRECISION: 0.0108760, PRECISION_RECALL_MIN_DEN: 0.0362532, RECALL: 0.0362532, MAP: 0.0157152, MRR: 0.0447913, NDCG: 0.0283843, F1: 0.0167322, HIT_RATE: 0.1087596, ARHR: 0.0459460, RMSE: 0.9996135, NOVELTY: 0.0051638, AVERAGE_POPULARITY: 0.6786201, DIVERSITY_MEAN_INTER_LIST: 0.8369200, DIVERSITY_HERFINDAHL: 0.9836880, COVERAGE_ITEM: 0.1558259, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0531861, SHANNON_ENTROPY: 6.9943652, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 644, 'shrink': 6, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0776636, PRECISION: 0.0133876, PRECISION_RECALL_MIN_DEN: 0.0446255, RECALL: 0.0446255, MAP: 0.0193752, MRR: 0.0538354, NDCG: 0.0347459, F1: 0.0205964, HIT_RATE: 0.1338765, ARHR: 0.0559479, RMSE: 0.8691701, NOVELTY: 0.0051253, AVERAGE_POPULARITY: 0.7019380, DIVERSITY_MEAN_INTER_LIST: 0.8221218, DIVERSITY_HERFINDAHL: 0.9822082, COVERAGE_ITEM: 0.1261422, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0526021, SHANNON_ENTROPY: 6.7928839, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 693, 'shrink': 996, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0773832, PRECISION: 0.0131514, PRECISION_RECALL_MIN_DEN: 0.0438381, RECALL: 0.0438381, MAP: 0.0197441, MRR: 0.0548646, NDCG: 0.0348766, F1: 0.0202330, HIT_RATE: 0.1315142, ARHR: 0.0570174, RMSE: 0.9011594, NOVELTY: 0.0052027, AVERAGE_POPULARITY: 0.6651272, DIVERSITY_MEAN_INTER_LIST: 0.8421130, DIVERSITY_HERFINDAHL: 0.9842072, COVERAGE_ITEM: 0.1178697, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0665153, SHANNON_ENTROPY: 7.1206556, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 793, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0801318, PRECISION: 0.0135082, PRECISION_RECALL_MIN_DEN: 0.0450272, RECALL: 0.0450272, MAP: 0.0202727, MRR: 0.0563925, NDCG: 0.0358356, F1: 0.0207818, HIT_RATE: 0.1350817, ARHR: 0.0585694, RMSE: 0.9177209, NOVELTY: 0.0051423, AVERAGE_POPULARITY: 0.6932956, DIVERSITY_MEAN_INTER_LIST: 0.8222362, DIVERSITY_HERFINDAHL: 0.9822197, COVERAGE_ITEM: 0.1070560, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574752, SHANNON_ENTROPY: 6.8175611, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0804824, PRECISION: 0.0135949, PRECISION_RECALL_MIN_DEN: 0.0453165, RECALL: 0.0453165, MAP: 0.0203676, MRR: 0.0568232, NDCG: 0.0360489, F1: 0.0209153, HIT_RATE: 0.1359495, ARHR: 0.0589250, RMSE: 0.9072397, NOVELTY: 0.0050972, AVERAGE_POPULARITY: 0.7185260, DIVERSITY_MEAN_INTER_LIST: 0.7977489, DIVERSITY_HERFINDAHL: 0.9797710, COVERAGE_ITEM: 0.0970533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513612, SHANNON_ENTROPY: 6.5385272, 
