SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2922, 'shrink': 2977, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0414326, PRECISION: 0.0076860, PRECISION_RECALL_MIN_DEN: 0.0290978, RECALL: 0.0290978, MAP: 0.0101366, MRR: 0.0254945, NDCG: 0.0192471, F1: 0.0121599, HIT_RATE: 0.0768595, ARHR: 0.0261073, RMSE: 0.9742406, NOVELTY: 0.0049346, AVERAGE_POPULARITY: 0.8353989, DIVERSITY_MEAN_INTER_LIST: 0.6080409, DIVERSITY_HERFINDAHL: 0.9607915, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4439920, SHANNON_ENTROPY: 4.9812730, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 2389, 'shrink': 429, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0399992, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0297521, RECALL: 0.0297521, MAP: 0.0100662, MRR: 0.0250637, NDCG: 0.0192769, F1: 0.0123981, HIT_RATE: 0.0783058, ARHR: 0.0256901, RMSE: 0.7662662, NOVELTY: 0.0049828, AVERAGE_POPULARITY: 0.7924397, DIVERSITY_MEAN_INTER_LIST: 0.7122285, DIVERSITY_HERFINDAHL: 0.9712081, COVERAGE_ITEM: 0.0039470, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4519282, SHANNON_ENTROPY: 5.4243867, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1911, 'shrink': 2900, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0402405, PRECISION: 0.0074793, PRECISION_RECALL_MIN_DEN: 0.0285124, RECALL: 0.0285124, MAP: 0.0100412, MRR: 0.0251304, NDCG: 0.0189305, F1: 0.0118502, HIT_RATE: 0.0747934, ARHR: 0.0256119, RMSE: 0.9785732, NOVELTY: 0.0051726, AVERAGE_POPULARITY: 0.7210868, DIVERSITY_MEAN_INTER_LIST: 0.7846743, DIVERSITY_HERFINDAHL: 0.9784512, COVERAGE_ITEM: 0.0111381, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2453210, SHANNON_ENTROPY: 6.0632831, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 456, 'shrink': 1592, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0317866, PRECISION: 0.0059711, PRECISION_RECALL_MIN_DEN: 0.0227961, RECALL: 0.0227961, MAP: 0.0083875, MRR: 0.0210249, NDCG: 0.0154662, F1: 0.0094634, HIT_RATE: 0.0597107, ARHR: 0.0214992, RMSE: 0.9889039, NOVELTY: 0.0056098, AVERAGE_POPULARITY: 0.5823291, DIVERSITY_MEAN_INTER_LIST: 0.8417212, DIVERSITY_HERFINDAHL: 0.9841547, COVERAGE_ITEM: 0.0270343, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1490897, SHANNON_ENTROPY: 6.5697231, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 612, 'shrink': 1656, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0342746, PRECISION: 0.0065083, PRECISION_RECALL_MIN_DEN: 0.0247245, RECALL: 0.0247245, MAP: 0.0087522, MRR: 0.0221090, NDCG: 0.0164646, F1: 0.0103042, HIT_RATE: 0.0650826, ARHR: 0.0225511, RMSE: 0.9861500, NOVELTY: 0.0053958, AVERAGE_POPULARITY: 0.6527375, DIVERSITY_MEAN_INTER_LIST: 0.8189238, DIVERSITY_HERFINDAHL: 0.9818755, COVERAGE_ITEM: 0.0261152, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1355136, SHANNON_ENTROPY: 6.3873820, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1585, 'shrink': 1415, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0416267, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0296488, RECALL: 0.0296488, MAP: 0.0104294, MRR: 0.0262419, NDCG: 0.0196861, F1: 0.0123891, HIT_RATE: 0.0783058, ARHR: 0.0269053, RMSE: 0.9640639, NOVELTY: 0.0049556, AVERAGE_POPULARITY: 0.8151341, DIVERSITY_MEAN_INTER_LIST: 0.6772536, DIVERSITY_HERFINDAHL: 0.9677114, COVERAGE_ITEM: 0.0041092, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3867736, SHANNON_ENTROPY: 5.2596613, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2810, 'shrink': 160, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0401370, PRECISION: 0.0076446, PRECISION_RECALL_MIN_DEN: 0.0293388, RECALL: 0.0293388, MAP: 0.0102975, MRR: 0.0257231, NDCG: 0.0193853, F1: 0.0121289, HIT_RATE: 0.0764463, ARHR: 0.0263179, RMSE: 0.8966143, NOVELTY: 0.0049404, AVERAGE_POPULARITY: 0.8295995, DIVERSITY_MEAN_INTER_LIST: 0.6372702, DIVERSITY_HERFINDAHL: 0.9637139, COVERAGE_ITEM: 0.0042174, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3440287, SHANNON_ENTROPY: 5.1361758, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 689, 'shrink': 1485, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0337451, PRECISION: 0.0065083, PRECISION_RECALL_MIN_DEN: 0.0245868, RECALL: 0.0245868, MAP: 0.0086637, MRR: 0.0217343, NDCG: 0.0163207, F1: 0.0102921, HIT_RATE: 0.0650826, ARHR: 0.0222625, RMSE: 0.9823616, NOVELTY: 0.0056796, AVERAGE_POPULARITY: 0.5855397, DIVERSITY_MEAN_INTER_LIST: 0.7975132, DIVERSITY_HERFINDAHL: 0.9797348, COVERAGE_ITEM: 0.0141119, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1870344, SHANNON_ENTROPY: 6.0042366, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1154, 'shrink': 2438, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0399875, PRECISION: 0.0074380, PRECISION_RECALL_MIN_DEN: 0.0280992, RECALL: 0.0280992, MAP: 0.0099343, MRR: 0.0251190, NDCG: 0.0187431, F1: 0.0117624, HIT_RATE: 0.0743802, ARHR: 0.0256703, RMSE: 0.9257434, NOVELTY: 0.0051323, AVERAGE_POPULARITY: 0.7196303, DIVERSITY_MEAN_INTER_LIST: 0.8003325, DIVERSITY_HERFINDAHL: 0.9800167, COVERAGE_ITEM: 0.0226548, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1418680, SHANNON_ENTROPY: 6.2600907, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 2116, 'shrink': 2302, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0410009, PRECISION: 0.0077066, PRECISION_RECALL_MIN_DEN: 0.0293044, RECALL: 0.0293044, MAP: 0.0106098, MRR: 0.0266425, NDCG: 0.0197581, F1: 0.0122038, HIT_RATE: 0.0770661, ARHR: 0.0271414, RMSE: 0.9938219, NOVELTY: 0.0051020, AVERAGE_POPULARITY: 0.7694085, DIVERSITY_MEAN_INTER_LIST: 0.7118616, DIVERSITY_HERFINDAHL: 0.9711714, COVERAGE_ITEM: 0.0067586, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2893257, SHANNON_ENTROPY: 5.5769037, 
