SearchBayesianSkopt: New best config found. Config 11: {'ICM_price': 1.8474248499810804, 'ICM_asset': 1.2232716972721878, 'ICM_sub_class': 1.662671860026709, 'ICM_item_pop': 0.886528360392298} - results: ROC_AUC: 0.1345767, PRECISION: 0.0219991, PRECISION_RECALL_MIN_DEN: 0.0733305, RECALL: 0.0733305, MAP: 0.0359203, MRR: 0.0970503, NDCG: 0.0609558, F1: 0.0338448, HIT_RATE: 0.2199914, ARHR: 0.1022900, RMSE: 0.9812856, NOVELTY: 0.0060944, AVERAGE_POPULARITY: 0.2741746, DIVERSITY_MEAN_INTER_LIST: 0.9837677, DIVERSITY_HERFINDAHL: 0.9983707, COVERAGE_ITEM: 0.6441200, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1783336, SHANNON_ENTROPY: 10.8016383, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'ICM_price': 1.6101454489866278, 'ICM_asset': 1.6028757969189587, 'ICM_sub_class': 0.7278853944317879, 'ICM_item_pop': 0.9522585488332618} - results: ROC_AUC: 0.1328510, PRECISION: 0.0215729, PRECISION_RECALL_MIN_DEN: 0.0719096, RECALL: 0.0719096, MAP: 0.0353723, MRR: 0.0955478, NDCG: 0.0599448, F1: 0.0331890, HIT_RATE: 0.2157287, ARHR: 0.1007198, RMSE: 0.9824377, NOVELTY: 0.0060170, AVERAGE_POPULARITY: 0.2965225, DIVERSITY_MEAN_INTER_LIST: 0.9817298, DIVERSITY_HERFINDAHL: 0.9981669, COVERAGE_ITEM: 0.5270614, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1586541, SHANNON_ENTROPY: 10.4665367, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'ICM_price': 1.91010392092802, 'ICM_asset': 0.806447184251369, 'ICM_sub_class': 0.49942118948229763, 'ICM_item_pop': 0.5937821669846873} - results: ROC_AUC: 0.1320259, PRECISION: 0.0214061, PRECISION_RECALL_MIN_DEN: 0.0713536, RECALL: 0.0713536, MAP: 0.0352138, MRR: 0.0951892, NDCG: 0.0596073, F1: 0.0329324, HIT_RATE: 0.2140607, ARHR: 0.1002952, RMSE: 0.9827642, NOVELTY: 0.0060258, AVERAGE_POPULARITY: 0.3025239, DIVERSITY_MEAN_INTER_LIST: 0.9812857, DIVERSITY_HERFINDAHL: 0.9981225, COVERAGE_ITEM: 0.4812652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1543442, SHANNON_ENTROPY: 10.3670003, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'ICM_price': 0.3137570087366806, 'ICM_asset': 1.719769358196296, 'ICM_sub_class': 0.5514843506029624, 'ICM_item_pop': 0.204338042595766} - results: ROC_AUC: 0.1321566, PRECISION: 0.0215173, PRECISION_RECALL_MIN_DEN: 0.0717242, RECALL: 0.0717242, MAP: 0.0351971, MRR: 0.0950074, NDCG: 0.0596885, F1: 0.0331035, HIT_RATE: 0.2151727, ARHR: 0.1001843, RMSE: 0.9824777, NOVELTY: 0.0060575, AVERAGE_POPULARITY: 0.3031926, DIVERSITY_MEAN_INTER_LIST: 0.9821533, DIVERSITY_HERFINDAHL: 0.9982093, COVERAGE_ITEM: 0.4741281, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1589914, SHANNON_ENTROPY: 10.4166890, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'ICM_price': 1.4449905830197738, 'ICM_asset': 0.4528299890469315, 'ICM_sub_class': 1.4764656632044282, 'ICM_item_pop': 1.1524553375982436} - results: ROC_AUC: 0.1338188, PRECISION: 0.0219559, PRECISION_RECALL_MIN_DEN: 0.0731863, RECALL: 0.0731863, MAP: 0.0357091, MRR: 0.0964101, NDCG: 0.0606792, F1: 0.0337783, HIT_RATE: 0.2195589, ARHR: 0.1016553, RMSE: 0.9813382, NOVELTY: 0.0060909, AVERAGE_POPULARITY: 0.2836781, DIVERSITY_MEAN_INTER_LIST: 0.9838436, DIVERSITY_HERFINDAHL: 0.9983783, COVERAGE_ITEM: 0.6012976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1713873, SHANNON_ENTROPY: 10.7158315, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'ICM_price': 0.20456558919161544, 'ICM_asset': 0.15616852650049665, 'ICM_sub_class': 0.3292469682670763, 'ICM_item_pop': 0.5367045525535977} - results: ROC_AUC: 0.1297404, PRECISION: 0.0210045, PRECISION_RECALL_MIN_DEN: 0.0700150, RECALL: 0.0700150, MAP: 0.0346218, MRR: 0.0937027, NDCG: 0.0585797, F1: 0.0323146, HIT_RATE: 0.2100451, ARHR: 0.0986720, RMSE: 0.9829522, NOVELTY: 0.0060798, AVERAGE_POPULARITY: 0.3075927, DIVERSITY_MEAN_INTER_LIST: 0.9825969, DIVERSITY_HERFINDAHL: 0.9982536, COVERAGE_ITEM: 0.4808327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1632738, SHANNON_ENTROPY: 10.4705181, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'ICM_price': 0.011106800101400085, 'ICM_asset': 0.9398322545578679, 'ICM_sub_class': 1.7131886114155928, 'ICM_item_pop': 1.3605244189856407} - results: ROC_AUC: 0.1340534, PRECISION: 0.0218570, PRECISION_RECALL_MIN_DEN: 0.0728568, RECALL: 0.0728568, MAP: 0.0357473, MRR: 0.0965588, NDCG: 0.0606305, F1: 0.0336262, HIT_RATE: 0.2185705, ARHR: 0.1017947, RMSE: 0.9811875, NOVELTY: 0.0060977, AVERAGE_POPULARITY: 0.2775098, DIVERSITY_MEAN_INTER_LIST: 0.9846393, DIVERSITY_HERFINDAHL: 0.9984578, COVERAGE_ITEM: 0.6316842, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1847815, SHANNON_ENTROPY: 10.8571699, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'ICM_price': 1.710301374682588, 'ICM_asset': 1.5845430129423939, 'ICM_sub_class': 0.05711810394992335, 'ICM_item_pop': 1.0258594068996725} - results: ROC_AUC: 0.1302723, PRECISION: 0.0210848, PRECISION_RECALL_MIN_DEN: 0.0702827, RECALL: 0.0702827, MAP: 0.0347832, MRR: 0.0941915, NDCG: 0.0588383, F1: 0.0324382, HIT_RATE: 0.2108482, ARHR: 0.0991498, RMSE: 0.9833452, NOVELTY: 0.0059942, AVERAGE_POPULARITY: 0.3020879, DIVERSITY_MEAN_INTER_LIST: 0.9809972, DIVERSITY_HERFINDAHL: 0.9980937, COVERAGE_ITEM: 0.5071641, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1565425, SHANNON_ENTROPY: 10.3918621, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'ICM_price': 0.6370786188541168, 'ICM_asset': 0.7303700217161938, 'ICM_sub_class': 0.9119744109000234, 'ICM_item_pop': 0.5017486238718135} - results: ROC_AUC: 0.1327467, PRECISION: 0.0217088, PRECISION_RECALL_MIN_DEN: 0.0723626, RECALL: 0.0723626, MAP: 0.0353007, MRR: 0.0954519, NDCG: 0.0600298, F1: 0.0333981, HIT_RATE: 0.2170878, ARHR: 0.1005716, RMSE: 0.9819697, NOVELTY: 0.0060628, AVERAGE_POPULARITY: 0.2999617, DIVERSITY_MEAN_INTER_LIST: 0.9829568, DIVERSITY_HERFINDAHL: 0.9982896, COVERAGE_ITEM: 0.4969992, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1610439, SHANNON_ENTROPY: 10.4962329, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'ICM_price': 0.04800416687457677, 'ICM_asset': 0.031173150369703036, 'ICM_sub_class': 1.9033536395606263, 'ICM_item_pop': 1.9506932980276368} - results: ROC_AUC: 0.1325953, PRECISION: 0.0216038, PRECISION_RECALL_MIN_DEN: 0.0720125, RECALL: 0.0720125, MAP: 0.0354383, MRR: 0.0955733, NDCG: 0.0600169, F1: 0.0332365, HIT_RATE: 0.2160376, ARHR: 0.1008411, RMSE: 0.9813298, NOVELTY: 0.0061105, AVERAGE_POPULARITY: 0.2700347, DIVERSITY_MEAN_INTER_LIST: 0.9855679, DIVERSITY_HERFINDAHL: 0.9985507, COVERAGE_ITEM: 0.6416329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2005185, SHANNON_ENTROPY: 10.9993786, 
