CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 590, 'shrink': 39, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.009917±0.0010, PRECISION: 0.001658±0.0002, PRECISION_RECALL_MIN_DEN: 0.016576±0.0018, RECALL: 0.016576±0.0018, MAP: 0.006499±0.0006, MRR: 0.006499±0.0006, NDCG: 0.008829±0.0009, F1: 0.003014±0.0003, HIT_RATE: 0.016576±0.0018, ARHR: 0.006499±0.0006, RMSE: 0.665848±0.0034, NOVELTY: 0.005280±0.0000, AVERAGE_POPULARITY: 0.064312±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.994714±0.0000, DIVERSITY_HERFINDAHL: 0.999449±0.0000, COVERAGE_ITEM: 0.450770±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.395078±0.0007, SHANNON_ENTROPY: 11.925156±0.0037, 
CrossSearchBayesianSkopt: New best config found. Config 12: {'topK': 757, 'shrink': 138, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013786±0.0013, PRECISION: 0.002267±0.0002, PRECISION_RECALL_MIN_DEN: 0.022674±0.0024, RECALL: 0.022674±0.0024, MAP: 0.009137±0.0009, MRR: 0.009137±0.0009, NDCG: 0.012269±0.0012, F1: 0.004123±0.0004, HIT_RATE: 0.022674±0.0024, ARHR: 0.009137±0.0009, RMSE: 0.643382±0.0069, NOVELTY: 0.005657±0.0000, AVERAGE_POPULARITY: 0.102572±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.993539±0.0000, DIVERSITY_HERFINDAHL: 0.999332±0.0000, COVERAGE_ITEM: 0.419238±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.364951±0.0003, SHANNON_ENTROPY: 11.687481±0.0029, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 919, 'shrink': 481, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.011743±0.0012, PRECISION: 0.001911±0.0002, PRECISION_RECALL_MIN_DEN: 0.019106±0.0019, RECALL: 0.019106±0.0019, MAP: 0.007652±0.0008, MRR: 0.007652±0.0008, NDCG: 0.010310±0.0010, F1: 0.003474±0.0003, HIT_RATE: 0.019106±0.0019, ARHR: 0.007652±0.0008, RMSE: 0.862794±0.0015, NOVELTY: 0.005264±0.0000, AVERAGE_POPULARITY: 0.083239±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.994140±0.0000, DIVERSITY_HERFINDAHL: 0.999392±0.0000, COVERAGE_ITEM: 0.435966±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.380429±0.0008, SHANNON_ENTROPY: 11.812980±0.0012, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 411, 'shrink': 1572, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013615±0.0010, PRECISION: 0.002218±0.0002, PRECISION_RECALL_MIN_DEN: 0.022177±0.0023, RECALL: 0.022177±0.0023, MAP: 0.009042±0.0007, MRR: 0.009042±0.0007, NDCG: 0.012085±0.0011, F1: 0.004032±0.0004, HIT_RATE: 0.022177±0.0023, ARHR: 0.009042±0.0007, RMSE: 0.949088±0.0007, NOVELTY: 0.005424±0.0000, AVERAGE_POPULARITY: 0.104861±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.993100±0.0000, DIVERSITY_HERFINDAHL: 0.999288±0.0000, COVERAGE_ITEM: 0.427283±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.361951±0.0005, SHANNON_ENTROPY: 11.670671±0.0025, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 876, 'shrink': 992, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.008240±0.0012, PRECISION: 0.001350±0.0001, PRECISION_RECALL_MIN_DEN: 0.013505±0.0014, RECALL: 0.013505±0.0014, MAP: 0.005483±0.0009, MRR: 0.005483±0.0009, NDCG: 0.007338±0.0010, F1: 0.002455±0.0003, HIT_RATE: 0.013505±0.0014, ARHR: 0.005483±0.0009, RMSE: 0.994460±0.0001, NOVELTY: 0.006098±0.0000, AVERAGE_POPULARITY: 0.062616±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994054±0.0000, DIVERSITY_HERFINDAHL: 0.999383±0.0000, COVERAGE_ITEM: 0.411484±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.368232±0.0005, SHANNON_ENTROPY: 11.694195±0.0013, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 125, 'shrink': 26, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.010273±0.0009, PRECISION: 0.001653±0.0002, PRECISION_RECALL_MIN_DEN: 0.016531±0.0020, RECALL: 0.016531±0.0020, MAP: 0.006459±0.0007, MRR: 0.006459±0.0007, NDCG: 0.008807±0.0009, F1: 0.003006±0.0004, HIT_RATE: 0.016531±0.0020, ARHR: 0.006459±0.0007, RMSE: 0.941070±0.0013, NOVELTY: 0.005264±0.0000, AVERAGE_POPULARITY: 0.065195±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.991483±0.0000, DIVERSITY_HERFINDAHL: 0.999126±0.0000, COVERAGE_ITEM: 0.479503±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.370566±0.0006, SHANNON_ENTROPY: 11.749629±0.0056, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 690, 'shrink': 1772, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.012642±0.0011, PRECISION: 0.002132±0.0002, PRECISION_RECALL_MIN_DEN: 0.021319±0.0021, RECALL: 0.021319±0.0021, MAP: 0.008300±0.0007, MRR: 0.008300±0.0007, NDCG: 0.011305±0.0010, F1: 0.003876±0.0004, HIT_RATE: 0.021319±0.0021, ARHR: 0.008300±0.0007, RMSE: 0.952249±0.0005, NOVELTY: 0.005085±0.0000, AVERAGE_POPULARITY: 0.093484±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.993650±0.0000, DIVERSITY_HERFINDAHL: 0.999343±0.0000, COVERAGE_ITEM: 0.430192±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.369101±0.0005, SHANNON_ENTROPY: 11.735456±0.0021, 
CrossSearchBayesianSkopt: New best config found. Config 18: {'topK': 346, 'shrink': 1080, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013846±0.0010, PRECISION: 0.002285±0.0003, PRECISION_RECALL_MIN_DEN: 0.022855±0.0026, RECALL: 0.022855±0.0026, MAP: 0.009339±0.0005, MRR: 0.009339±0.0005, NDCG: 0.012463±0.0009, F1: 0.004155±0.0005, HIT_RATE: 0.022855±0.0026, ARHR: 0.009339±0.0005, RMSE: 0.929883±0.0009, NOVELTY: 0.005347±0.0000, AVERAGE_POPULARITY: 0.104017±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.992889±0.0000, DIVERSITY_HERFINDAHL: 0.999267±0.0000, COVERAGE_ITEM: 0.429305±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.361397±0.0005, SHANNON_ENTROPY: 11.664970±0.0042, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 293, 'shrink': 1363, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.012205±0.0006, PRECISION: 0.002037±0.0002, PRECISION_RECALL_MIN_DEN: 0.020370±0.0016, RECALL: 0.020370±0.0016, MAP: 0.007769±0.0005, MRR: 0.007769±0.0005, NDCG: 0.010688±0.0006, F1: 0.003704±0.0003, HIT_RATE: 0.020370±0.0016, ARHR: 0.007769±0.0005, RMSE: 0.957273±0.0006, NOVELTY: 0.004697±0.0000, AVERAGE_POPULARITY: 0.088022±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.992624±0.0000, DIVERSITY_HERFINDAHL: 0.999240±0.0000, COVERAGE_ITEM: 0.434723±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.361459±0.0006, SHANNON_ENTROPY: 11.668535±0.0040, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 264, 'shrink': 849, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013395±0.0005, PRECISION: 0.002168±0.0001, PRECISION_RECALL_MIN_DEN: 0.021680±0.0013, RECALL: 0.021680±0.0013, MAP: 0.008830±0.0004, MRR: 0.008830±0.0004, NDCG: 0.011808±0.0005, F1: 0.003942±0.0002, HIT_RATE: 0.021680±0.0013, ARHR: 0.008830±0.0004, RMSE: 0.933655±0.0010, NOVELTY: 0.005195±0.0000, AVERAGE_POPULARITY: 0.093867±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.992831±0.0000, DIVERSITY_HERFINDAHL: 0.999261±0.0000, COVERAGE_ITEM: 0.439297±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.365681±0.0007, SHANNON_ENTROPY: 11.703684±0.0043, 
