SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 966, 'shrink': 1059, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0313067, PRECISION: 0.0055692, PRECISION_RECALL_MIN_DEN: 0.0185641, RECALL: 0.0185641, MAP: 0.0065169, MRR: 0.0192742, NDCG: 0.0130435, F1: 0.0085680, HIT_RATE: 0.0556922, ARHR: 0.0194124, RMSE: 0.8887158, NOVELTY: 0.0056026, AVERAGE_POPULARITY: 0.2037419, DIVERSITY_MEAN_INTER_LIST: 0.9839669, DIVERSITY_HERFINDAHL: 0.9983747, COVERAGE_ITEM: 0.3238172, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2366415, SHANNON_ENTROPY: 10.4659551, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 183, 'shrink': 1197, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0133825, PRECISION: 0.0025721, PRECISION_RECALL_MIN_DEN: 0.0085738, RECALL: 0.0085738, MAP: 0.0026391, MRR: 0.0078613, NDCG: 0.0056208, F1: 0.0039571, HIT_RATE: 0.0257213, ARHR: 0.0078893, RMSE: 0.9739566, NOVELTY: 0.0036936, AVERAGE_POPULARITY: 0.0464748, DIVERSITY_MEAN_INTER_LIST: 0.9952308, DIVERSITY_HERFINDAHL: 0.9995008, COVERAGE_ITEM: 0.5477156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4158196, SHANNON_ENTROPY: 12.2323911, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 146, 'shrink': 890, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0292860, PRECISION: 0.0057705, PRECISION_RECALL_MIN_DEN: 0.0192351, RECALL: 0.0192351, MAP: 0.0060821, MRR: 0.0177388, NDCG: 0.0127037, F1: 0.0088777, HIT_RATE: 0.0577052, ARHR: 0.0179926, RMSE: 0.6578656, NOVELTY: 0.0049155, AVERAGE_POPULARITY: 0.8503579, DIVERSITY_MEAN_INTER_LIST: 0.3146647, DIVERSITY_HERFINDAHL: 0.9314594, COVERAGE_ITEM: 0.0275210, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0440624, SHANNON_ENTROPY: 4.3861797, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 725, 'shrink': 516, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0291679, PRECISION: 0.0060613, PRECISION_RECALL_MIN_DEN: 0.0202043, RECALL: 0.0202043, MAP: 0.0059934, MRR: 0.0172604, NDCG: 0.0128733, F1: 0.0093251, HIT_RATE: 0.0606128, ARHR: 0.0176203, RMSE: 2.0591828, NOVELTY: 0.0048736, AVERAGE_POPULARITY: 0.8727112, DIVERSITY_MEAN_INTER_LIST: 0.2210530, DIVERSITY_HERFINDAHL: 0.9221004, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1561081, SHANNON_ENTROPY: 3.8933368, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 571, 'shrink': 297, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0305829, PRECISION: 0.0063744, PRECISION_RECALL_MIN_DEN: 0.0212480, RECALL: 0.0212480, MAP: 0.0064488, MRR: 0.0188493, NDCG: 0.0137230, F1: 0.0098068, HIT_RATE: 0.0637441, ARHR: 0.0190978, RMSE: 2.4074457, NOVELTY: 0.0048844, AVERAGE_POPULARITY: 0.8618502, DIVERSITY_MEAN_INTER_LIST: 0.3539744, DIVERSITY_HERFINDAHL: 0.9353895, COVERAGE_ITEM: 0.0064882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1327316, SHANNON_ENTROPY: 4.2978161, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 262, 'shrink': 48, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0441121, PRECISION: 0.0077164, PRECISION_RECALL_MIN_DEN: 0.0257213, RECALL: 0.0257213, MAP: 0.0098048, MRR: 0.0285210, NDCG: 0.0188185, F1: 0.0118714, HIT_RATE: 0.0771639, ARHR: 0.0289537, RMSE: 4.1408589, NOVELTY: 0.0055766, AVERAGE_POPULARITY: 0.4305108, DIVERSITY_MEAN_INTER_LIST: 0.9593401, DIVERSITY_HERFINDAHL: 0.9959126, COVERAGE_ITEM: 0.1104082, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2035057, SHANNON_ENTROPY: 8.9641384, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 212, 'shrink': 778, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0445681, PRECISION: 0.0080072, PRECISION_RECALL_MIN_DEN: 0.0266905, RECALL: 0.0266905, MAP: 0.0095134, MRR: 0.0278144, NDCG: 0.0188483, F1: 0.0123187, HIT_RATE: 0.0800716, ARHR: 0.0281773, RMSE: 0.8078239, NOVELTY: 0.0055927, AVERAGE_POPULARITY: 0.4238413, DIVERSITY_MEAN_INTER_LIST: 0.9611669, DIVERSITY_HERFINDAHL: 0.9960952, COVERAGE_ITEM: 0.1197621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1988715, SHANNON_ENTROPY: 9.0317819, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 964, 'shrink': 242, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0341755, PRECISION: 0.0062178, PRECISION_RECALL_MIN_DEN: 0.0207262, RECALL: 0.0207262, MAP: 0.0072190, MRR: 0.0212209, NDCG: 0.0144687, F1: 0.0095659, HIT_RATE: 0.0621785, ARHR: 0.0214389, RMSE: 0.6461685, NOVELTY: 0.0058390, AVERAGE_POPULARITY: 0.2442071, DIVERSITY_MEAN_INTER_LIST: 0.9830346, DIVERSITY_HERFINDAHL: 0.9982815, COVERAGE_ITEM: 0.2575291, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2208694, SHANNON_ENTROPY: 10.1827548, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 403, 'shrink': 813, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0438585, PRECISION: 0.0080295, PRECISION_RECALL_MIN_DEN: 0.0267651, RECALL: 0.0267651, MAP: 0.0092214, MRR: 0.0269075, NDCG: 0.0185477, F1: 0.0123531, HIT_RATE: 0.0802952, ARHR: 0.0272746, RMSE: 0.7669193, NOVELTY: 0.0055818, AVERAGE_POPULARITY: 0.4306555, DIVERSITY_MEAN_INTER_LIST: 0.9593684, DIVERSITY_HERFINDAHL: 0.9959154, COVERAGE_ITEM: 0.1010003, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2197445, SHANNON_ENTROPY: 8.9577741, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 714, 'shrink': 669, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0287097, PRECISION: 0.0055469, PRECISION_RECALL_MIN_DEN: 0.0184895, RECALL: 0.0184895, MAP: 0.0063495, MRR: 0.0185026, NDCG: 0.0127561, F1: 0.0085336, HIT_RATE: 0.0554686, ARHR: 0.0187756, RMSE: 0.8696767, NOVELTY: 0.0053081, AVERAGE_POPULARITY: 0.2215273, DIVERSITY_MEAN_INTER_LIST: 0.9817752, DIVERSITY_HERFINDAHL: 0.9981556, COVERAGE_ITEM: 0.3663152, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2510290, SHANNON_ENTROPY: 10.5702967, 
