CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 859, 'shrink': 1152, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.055654±0.0012, PRECISION: 0.007575±0.0001, PRECISION_RECALL_MIN_DEN: 0.075749±0.0013, RECALL: 0.075749±0.0013, MAP: 0.041292±0.0009, MRR: 0.041292±0.0009, NDCG: 0.049421±0.0010, F1: 0.013773±0.0002, HIT_RATE: 0.075749±0.0013, ARHR: 0.041292±0.0009, RMSE: 0.987606±0.0001, NOVELTY: 0.005607±0.0000, AVERAGE_POPULARITY: 0.482083±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.949804±0.0001, DIVERSITY_HERFINDAHL: 0.994975±0.0000, COVERAGE_ITEM: 0.379151±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117204±0.0002, SHANNON_ENTROPY: 9.254852±0.0030, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 145, 'shrink': 747, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.057917±0.0013, PRECISION: 0.007731±0.0001, PRECISION_RECALL_MIN_DEN: 0.077309±0.0010, RECALL: 0.077309±0.0010, MAP: 0.042888±0.0013, MRR: 0.042888±0.0013, NDCG: 0.051046±0.0012, F1: 0.014056±0.0002, HIT_RATE: 0.077309±0.0010, ARHR: 0.042888±0.0013, RMSE: 0.948655±0.0005, NOVELTY: 0.006264±0.0000, AVERAGE_POPULARITY: 0.327108±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.980507±0.0002, DIVERSITY_HERFINDAHL: 0.998045±0.0000, COVERAGE_ITEM: 0.566067±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.241596±0.0012, SHANNON_ENTROPY: 11.007774±0.0133, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 2046, 'shrink': 790, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070766±0.0008, PRECISION: 0.009590±0.0001, PRECISION_RECALL_MIN_DEN: 0.095899±0.0012, RECALL: 0.095899±0.0012, MAP: 0.051984±0.0005, MRR: 0.051984±0.0005, NDCG: 0.062369±0.0006, F1: 0.017436±0.0002, HIT_RATE: 0.095899±0.0012, ARHR: 0.051984±0.0005, RMSE: 0.922668±0.0004, NOVELTY: 0.005430±0.0000, AVERAGE_POPULARITY: 0.570947±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.904953±0.0002, DIVERSITY_HERFINDAHL: 0.990490±0.0000, COVERAGE_ITEM: 0.329678±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.088389±0.0004, SHANNON_ENTROPY: 8.386602±0.0033, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 2708, 'shrink': 623, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.071910±0.0018, PRECISION: 0.009805±0.0002, PRECISION_RECALL_MIN_DEN: 0.098052±0.0019, RECALL: 0.098052±0.0019, MAP: 0.052382±0.0013, MRR: 0.052382±0.0013, NDCG: 0.063182±0.0014, F1: 0.017828±0.0004, HIT_RATE: 0.098052±0.0019, ARHR: 0.052382±0.0013, RMSE: 1.861836±0.0091, NOVELTY: 0.005473±0.0000, AVERAGE_POPULARITY: 0.573443±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.898097±0.0004, DIVERSITY_HERFINDAHL: 0.989805±0.0000, COVERAGE_ITEM: 0.415723±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.093052±0.0002, SHANNON_ENTROPY: 8.393618±0.0062, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1157, 'shrink': 722, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.068513±0.0010, PRECISION: 0.009350±0.0002, PRECISION_RECALL_MIN_DEN: 0.093496±0.0015, RECALL: 0.093496±0.0015, MAP: 0.050560±0.0010, MRR: 0.050560±0.0010, NDCG: 0.060688±0.0010, F1: 0.016999±0.0003, HIT_RATE: 0.093496±0.0015, ARHR: 0.050560±0.0010, RMSE: 0.931398±0.0003, NOVELTY: 0.005649±0.0000, AVERAGE_POPULARITY: 0.489265±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.942022±0.0002, DIVERSITY_HERFINDAHL: 0.994197±0.0000, COVERAGE_ITEM: 0.440552±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119936±0.0003, SHANNON_ENTROPY: 9.292653±0.0054, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 513, 'shrink': 1080, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.055005±0.0013, PRECISION: 0.007460±0.0001, PRECISION_RECALL_MIN_DEN: 0.074598±0.0011, RECALL: 0.074598±0.0011, MAP: 0.040817±0.0014, MRR: 0.040817±0.0014, NDCG: 0.048793±0.0013, F1: 0.013563±0.0002, HIT_RATE: 0.074598±0.0011, ARHR: 0.040817±0.0014, RMSE: 0.879604±0.0037, NOVELTY: 0.006249±0.0000, AVERAGE_POPULARITY: 0.335690±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.979384±0.0001, DIVERSITY_HERFINDAHL: 0.997933±0.0000, COVERAGE_ITEM: 0.712030±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.215967±0.0009, SHANNON_ENTROPY: 11.032660±0.0081, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2760, 'shrink': 318, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.071898±0.0018, PRECISION: 0.009797±0.0002, PRECISION_RECALL_MIN_DEN: 0.097972±0.0020, RECALL: 0.097972±0.0020, MAP: 0.052378±0.0013, MRR: 0.052378±0.0013, NDCG: 0.063161±0.0014, F1: 0.017813±0.0004, HIT_RATE: 0.097972±0.0020, ARHR: 0.052378±0.0013, RMSE: 0.941084±0.0005, NOVELTY: 0.005472±0.0000, AVERAGE_POPULARITY: 0.573879±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.897797±0.0005, DIVERSITY_HERFINDAHL: 0.989775±0.0000, COVERAGE_ITEM: 0.415647±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092965±0.0002, SHANNON_ENTROPY: 8.389498±0.0063, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 862, 'shrink': 726, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.055631±0.0012, PRECISION: 0.007570±0.0002, PRECISION_RECALL_MIN_DEN: 0.075703±0.0015, RECALL: 0.075703±0.0015, MAP: 0.041215±0.0009, MRR: 0.041215±0.0009, NDCG: 0.049354±0.0010, F1: 0.013764±0.0003, HIT_RATE: 0.075703±0.0015, ARHR: 0.041215±0.0009, RMSE: 0.991554±0.0001, NOVELTY: 0.005606±0.0000, AVERAGE_POPULARITY: 0.482453±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.949718±0.0001, DIVERSITY_HERFINDAHL: 0.994966±0.0000, COVERAGE_ITEM: 0.378351±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117137±0.0002, SHANNON_ENTROPY: 9.251437±0.0029, 
CrossSearchBayesianSkopt: New best config found. Config 19: {'topK': 692, 'shrink': 798, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.073521±0.0014, PRECISION: 0.010019±0.0002, PRECISION_RECALL_MIN_DEN: 0.100194±0.0016, RECALL: 0.100194±0.0016, MAP: 0.053542±0.0011, MRR: 0.053542±0.0011, NDCG: 0.064573±0.0011, F1: 0.018217±0.0003, HIT_RATE: 0.100194±0.0016, ARHR: 0.053542±0.0011, RMSE: 1.100480±0.0051, NOVELTY: 0.005626±0.0000, AVERAGE_POPULARITY: 0.508849±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.932003±0.0003, DIVERSITY_HERFINDAHL: 0.993195±0.0000, COVERAGE_ITEM: 0.443298±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113708±0.0003, SHANNON_ENTROPY: 9.052923±0.0077, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1896, 'shrink': 1158, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059818±0.0015, PRECISION: 0.008206±0.0002, PRECISION_RECALL_MIN_DEN: 0.082059±0.0020, RECALL: 0.082059±0.0020, MAP: 0.043715±0.0012, MRR: 0.043715±0.0012, NDCG: 0.052764±0.0014, F1: 0.014920±0.0004, HIT_RATE: 0.082059±0.0020, ARHR: 0.043715±0.0012, RMSE: 0.984374±0.0001, NOVELTY: 0.005290±0.0000, AVERAGE_POPULARITY: 0.616622±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.886292±0.0002, DIVERSITY_HERFINDAHL: 0.988624±0.0000, COVERAGE_ITEM: 0.234150±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.075010±0.0002, SHANNON_ENTROPY: 7.857249±0.0037, 
CrossSearchBayesianSkopt: New best config found. Config 21: {'topK': 989, 'shrink': 1228, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.073776±0.0017, PRECISION: 0.010076±0.0002, PRECISION_RECALL_MIN_DEN: 0.100763±0.0019, RECALL: 0.100763±0.0019, MAP: 0.053759±0.0012, MRR: 0.053759±0.0012, NDCG: 0.064871±0.0012, F1: 0.018321±0.0003, HIT_RATE: 0.100763±0.0019, ARHR: 0.053759±0.0012, RMSE: 0.943035±0.0005, NOVELTY: 0.005564±0.0000, AVERAGE_POPULARITY: 0.532794±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.920776±0.0004, DIVERSITY_HERFINDAHL: 0.992072±0.0000, COVERAGE_ITEM: 0.429489±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104416±0.0002, SHANNON_ENTROPY: 8.800789±0.0059, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 525, 'shrink': 805, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.072784±0.0013, PRECISION: 0.009877±0.0002, PRECISION_RECALL_MIN_DEN: 0.098770±0.0017, RECALL: 0.098770±0.0017, MAP: 0.053108±0.0011, MRR: 0.053108±0.0011, NDCG: 0.063913±0.0011, F1: 0.017958±0.0003, HIT_RATE: 0.098770±0.0017, ARHR: 0.053108±0.0011, RMSE: 1.027738±0.0045, NOVELTY: 0.005688±0.0000, AVERAGE_POPULARITY: 0.486555±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.940978±0.0003, DIVERSITY_HERFINDAHL: 0.994092±0.0000, COVERAGE_ITEM: 0.457724±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124014±0.0004, SHANNON_ENTROPY: 9.292361±0.0092, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 136, 'shrink': 1644, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.021627±0.0005, PRECISION: 0.003062±0.0000, PRECISION_RECALL_MIN_DEN: 0.030619±0.0002, RECALL: 0.030619±0.0002, MAP: 0.015408±0.0003, MRR: 0.015408±0.0003, NDCG: 0.018984±0.0003, F1: 0.005567±0.0000, HIT_RATE: 0.030619±0.0002, ARHR: 0.015408±0.0003, RMSE: 0.999584±0.0000, NOVELTY: 0.006656±0.0000, AVERAGE_POPULARITY: 0.205491±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.981114±0.0001, DIVERSITY_HERFINDAHL: 0.998106±0.0000, COVERAGE_ITEM: 0.590722±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.250021±0.0008, SHANNON_ENTROPY: 11.283136±0.0071, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1376, 'shrink': 403, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059532±0.0018, PRECISION: 0.008097±0.0003, PRECISION_RECALL_MIN_DEN: 0.080966±0.0029, RECALL: 0.080966±0.0029, MAP: 0.043815±0.0013, MRR: 0.043815±0.0013, NDCG: 0.052590±0.0016, F1: 0.014721±0.0005, HIT_RATE: 0.080966±0.0029, ARHR: 0.043815±0.0013, RMSE: 0.985764±0.0001, NOVELTY: 0.005401±0.0000, AVERAGE_POPULARITY: 0.564526±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.916636±0.0003, DIVERSITY_HERFINDAHL: 0.991658±0.0000, COVERAGE_ITEM: 0.287148±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.088878±0.0002, SHANNON_ENTROPY: 8.402736±0.0046, 
