CrossSearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'Fusion': 2, 'ItemDotCF': 18, 'ItemCBF_CF': 1, 'ItemCF': 6, 'ItemCBF_FW': 18, 'RP3betaSide': 13} - results: ROC_AUC: 0.076973±0.0006, PRECISION: 0.010468±0.0000, PRECISION_RECALL_MIN_DEN: 0.104682±0.0005, RECALL: 0.104682±0.0005, MAP: 0.055717±0.0004, MRR: 0.055717±0.0004, NDCG: 0.067317±0.0003, F1: 0.019033±0.0001, HIT_RATE: 0.104682±0.0005, ARHR: 0.055717±0.0004, RMSE: 0.975520±0.0001, NOVELTY: 0.005947±0.0000, AVERAGE_POPULARITY: 0.219443±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.990649±0.0004, DIVERSITY_HERFINDAHL: 0.999059±0.0000, COVERAGE_ITEM: 0.733896±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240580±0.0015, SHANNON_ENTROPY: 11.652166±0.0247, 
CrossSearchBayesianSkoptObject: New best config found. Config 12: {'Fusion': 22, 'ItemDotCF': 22, 'ItemCBF_CF': 23, 'ItemCF': 15, 'ItemCBF_FW': 1, 'RP3betaSide': 11} - results: ROC_AUC: 0.086441±0.0005, PRECISION: 0.011706±0.0001, PRECISION_RECALL_MIN_DEN: 0.117063±0.0010, RECALL: 0.117063±0.0010, MAP: 0.062268±0.0005, MRR: 0.062268±0.0005, NDCG: 0.075264±0.0004, F1: 0.021284±0.0002, HIT_RATE: 0.117063±0.0010, ARHR: 0.062268±0.0005, RMSE: 0.951413±0.0002, NOVELTY: 0.006293±0.0000, AVERAGE_POPULARITY: 0.243659±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.990404±0.0001, DIVERSITY_HERFINDAHL: 0.999035±0.0000, COVERAGE_ITEM: 0.745326±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.223418±0.0003, SHANNON_ENTROPY: 11.518871±0.0059, 
CrossSearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'Fusion': 19, 'ItemDotCF': 1, 'ItemCBF_CF': 22, 'ItemCF': 16, 'ItemCBF_FW': 13, 'RP3betaSide': 8} - results: ROC_AUC: 0.085051±0.0005, PRECISION: 0.011490±0.0000, PRECISION_RECALL_MIN_DEN: 0.114899±0.0004, RECALL: 0.114899±0.0004, MAP: 0.061273±0.0007, MRR: 0.061273±0.0007, NDCG: 0.074001±0.0005, F1: 0.020891±0.0001, HIT_RATE: 0.114899±0.0004, ARHR: 0.061273±0.0007, RMSE: 0.955703±0.0002, NOVELTY: 0.006190±0.0000, AVERAGE_POPULARITY: 0.228912±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.991310±0.0001, DIVERSITY_HERFINDAHL: 0.999125±0.0000, COVERAGE_ITEM: 0.757005±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235872±0.0004, SHANNON_ENTROPY: 11.660050±0.0098, 
CrossSearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'Fusion': 5, 'ItemDotCF': 1, 'ItemCBF_CF': 3, 'ItemCF': 8, 'ItemCBF_FW': 15, 'RP3betaSide': 19} - results: ROC_AUC: 0.081728±0.0004, PRECISION: 0.011022±0.0000, PRECISION_RECALL_MIN_DEN: 0.110218±0.0004, RECALL: 0.110218±0.0004, MAP: 0.058735±0.0006, MRR: 0.058735±0.0006, NDCG: 0.070965±0.0005, F1: 0.020040±0.0001, HIT_RATE: 0.110218±0.0004, ARHR: 0.058735±0.0006, RMSE: 0.971846±0.0001, NOVELTY: 0.006035±0.0000, AVERAGE_POPULARITY: 0.238443±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.989890±0.0003, DIVERSITY_HERFINDAHL: 0.998983±0.0000, COVERAGE_ITEM: 0.735269±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231755±0.0010, SHANNON_ENTROPY: 11.554184±0.0164, 
CrossSearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'Fusion': 7, 'ItemDotCF': 12, 'ItemCBF_CF': 13, 'ItemCF': 9, 'ItemCBF_FW': 2, 'RP3betaSide': 11} - results: ROC_AUC: 0.086385±0.0005, PRECISION: 0.011714±0.0001, PRECISION_RECALL_MIN_DEN: 0.117143±0.0005, RECALL: 0.117143±0.0005, MAP: 0.062158±0.0005, MRR: 0.062158±0.0005, NDCG: 0.075196±0.0003, F1: 0.021299±0.0001, HIT_RATE: 0.117143±0.0005, ARHR: 0.062158±0.0005, RMSE: 0.971426±0.0001, NOVELTY: 0.006278±0.0000, AVERAGE_POPULARITY: 0.248337±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.989974±0.0001, DIVERSITY_HERFINDAHL: 0.998992±0.0000, COVERAGE_ITEM: 0.741476±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.221024±0.0002, SHANNON_ENTROPY: 11.479824±0.0049, 
CrossSearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'Fusion': 4, 'ItemDotCF': 13, 'ItemCBF_CF': 13, 'ItemCF': 24, 'ItemCBF_FW': 2, 'RP3betaSide': 16} - results: ROC_AUC: 0.085582±0.0007, PRECISION: 0.011576±0.0001, PRECISION_RECALL_MIN_DEN: 0.115765±0.0012, RECALL: 0.115765±0.0012, MAP: 0.061665±0.0006, MRR: 0.061665±0.0006, NDCG: 0.074498±0.0006, F1: 0.021048±0.0002, HIT_RATE: 0.115765±0.0012, ARHR: 0.061665±0.0006, RMSE: 0.961674±0.0002, NOVELTY: 0.006347±0.0000, AVERAGE_POPULARITY: 0.245121±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.990468±0.0001, DIVERSITY_HERFINDAHL: 0.999041±0.0000, COVERAGE_ITEM: 0.729365±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.222875±0.0004, SHANNON_ENTROPY: 11.507954±0.0043, 
CrossSearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'Fusion': 15, 'ItemDotCF': 24, 'ItemCBF_CF': 19, 'ItemCF': 0, 'ItemCBF_FW': 15, 'RP3betaSide': 6} - results: ROC_AUC: 0.083130±0.0004, PRECISION: 0.011196±0.0001, PRECISION_RECALL_MIN_DEN: 0.111960±0.0006, RECALL: 0.111960±0.0006, MAP: 0.059985±0.0006, MRR: 0.059985±0.0006, NDCG: 0.072328±0.0005, F1: 0.020356±0.0001, HIT_RATE: 0.111960±0.0006, ARHR: 0.059985±0.0006, RMSE: 0.965143±0.0001, NOVELTY: 0.006107±0.0000, AVERAGE_POPULARITY: 0.225697±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.991042±0.0002, DIVERSITY_HERFINDAHL: 0.999099±0.0000, COVERAGE_ITEM: 0.768078±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.242850±0.0009, SHANNON_ENTROPY: 11.698037±0.0163, 
CrossSearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'Fusion': 21, 'ItemDotCF': 18, 'ItemCBF_CF': 14, 'ItemCF': 18, 'ItemCBF_FW': 4, 'RP3betaSide': 1} - results: ROC_AUC: 0.086068±0.0005, PRECISION: 0.011580±0.0001, PRECISION_RECALL_MIN_DEN: 0.115799±0.0013, RECALL: 0.115799±0.0013, MAP: 0.062035±0.0004, MRR: 0.062035±0.0004, NDCG: 0.074806±0.0005, F1: 0.021054±0.0002, HIT_RATE: 0.115799±0.0013, ARHR: 0.062035±0.0004, RMSE: 0.961314±0.0002, NOVELTY: 0.006306±0.0000, AVERAGE_POPULARITY: 0.229742±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.991511±0.0001, DIVERSITY_HERFINDAHL: 0.999145±0.0000, COVERAGE_ITEM: 0.753988±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232954±0.0007, SHANNON_ENTROPY: 11.648140±0.0062, 
CrossSearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'Fusion': 7, 'ItemDotCF': 5, 'ItemCBF_CF': 1, 'ItemCF': 24, 'ItemCBF_FW': 16, 'RP3betaSide': 22} - results: ROC_AUC: 0.083463±0.0006, PRECISION: 0.011239±0.0001, PRECISION_RECALL_MIN_DEN: 0.112393±0.0008, RECALL: 0.112393±0.0008, MAP: 0.060175±0.0006, MRR: 0.060175±0.0006, NDCG: 0.072576±0.0004, F1: 0.020435±0.0001, HIT_RATE: 0.112393±0.0008, ARHR: 0.060175±0.0006, RMSE: 0.960639±0.0002, NOVELTY: 0.006164±0.0000, AVERAGE_POPULARITY: 0.236755±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.990561±0.0002, DIVERSITY_HERFINDAHL: 0.999050±0.0000, COVERAGE_ITEM: 0.735658±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232565±0.0005, SHANNON_ENTROPY: 11.589313±0.0120, 
CrossSearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'Fusion': 17, 'ItemDotCF': 15, 'ItemCBF_CF': 16, 'ItemCF': 16, 'ItemCBF_FW': 17, 'RP3betaSide': 6} - results: ROC_AUC: 0.083809±0.0004, PRECISION: 0.011292±0.0000, PRECISION_RECALL_MIN_DEN: 0.112917±0.0003, RECALL: 0.112917±0.0003, MAP: 0.060470±0.0007, MRR: 0.060470±0.0007, NDCG: 0.072925±0.0005, F1: 0.020530±0.0001, HIT_RATE: 0.112917±0.0003, ARHR: 0.060470±0.0007, RMSE: 0.958270±0.0001, NOVELTY: 0.006137±0.0000, AVERAGE_POPULARITY: 0.220984±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.991648±0.0002, DIVERSITY_HERFINDAHL: 0.999159±0.0000, COVERAGE_ITEM: 0.752333±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.241103±0.0009, SHANNON_ENTROPY: 11.711311±0.0124, 
