SearchBayesianSkopt: Config 11 is suboptimal. Config: {'UCM_age': 1.8017021344649742, 'UCM_region': 1.3596114485552588, 'UCM_user_act': 1.9859665937464788, 'UCM_sub_class': 1.7991711924633067, 'UCM_item_pop': 1.3123392480606377, 'UCM_sub_class_entropy': 1.4863264344479747} - results: ROC_AUC: 0.0862273, PRECISION: 0.0144560, PRECISION_RECALL_MIN_DEN: 0.0481868, RECALL: 0.0481868, MAP: 0.0221159, MRR: 0.0609843, NDCG: 0.0386994, F1: 0.0222401, HIT_RATE: 0.1445604, ARHR: 0.0636216, RMSE: 2.0061092, NOVELTY: 0.0054019, AVERAGE_POPULARITY: 0.5680437, DIVERSITY_MEAN_INTER_LIST: 0.9202999, DIVERSITY_HERFINDAHL: 0.9920243, COVERAGE_ITEM: 0.2953771, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0809111, SHANNON_ENTROPY: 8.2625053, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'UCM_age': 1.3531982404494913, 'UCM_region': 1.469277583098593, 'UCM_user_act': 0.6450909359123677, 'UCM_sub_class': 1.6825867693018737, 'UCM_item_pop': 1.739669913922138, 'UCM_sub_class_entropy': 0.6900698217921019} - results: ROC_AUC: 0.0826666, PRECISION: 0.0141966, PRECISION_RECALL_MIN_DEN: 0.0473219, RECALL: 0.0473219, MAP: 0.0207943, MRR: 0.0570739, NDCG: 0.0369911, F1: 0.0218409, HIT_RATE: 0.1419658, ARHR: 0.0596768, RMSE: 2.1801417, NOVELTY: 0.0055004, AVERAGE_POPULARITY: 0.5232767, DIVERSITY_MEAN_INTER_LIST: 0.9401099, DIVERSITY_HERFINDAHL: 0.9940052, COVERAGE_ITEM: 0.3395512, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0946340, SHANNON_ENTROPY: 8.7021236, 
SearchBayesianSkopt: New best config found. Config 13: {'UCM_age': 1.8397032697002274, 'UCM_region': 0.07624542431067428, 'UCM_user_act': 0.758700212396894, 'UCM_sub_class': 1.3399927498656228, 'UCM_item_pop': 0.08332477449101484, 'UCM_sub_class_entropy': 0.1431586211095646} - results: ROC_AUC: 0.1069180, PRECISION: 0.0175326, PRECISION_RECALL_MIN_DEN: 0.0584420, RECALL: 0.0584420, MAP: 0.0283689, MRR: 0.0779148, NDCG: 0.0484958, F1: 0.0269732, HIT_RATE: 0.1753259, ARHR: 0.0814416, RMSE: 1.0412053, NOVELTY: 0.0052884, AVERAGE_POPULARITY: 0.6335729, DIVERSITY_MEAN_INTER_LIST: 0.8687937, DIVERSITY_HERFINDAHL: 0.9868740, COVERAGE_ITEM: 0.2445526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0684423, SHANNON_ENTROPY: 7.6260282, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'UCM_age': 1.6500451057025678, 'UCM_region': 1.9476502254289343, 'UCM_user_act': 1.055657819909401, 'UCM_sub_class': 1.8556692865966689, 'UCM_item_pop': 0.08795451299560077, 'UCM_sub_class_entropy': 1.286535425229442} - results: ROC_AUC: 0.1036018, PRECISION: 0.0173596, PRECISION_RECALL_MIN_DEN: 0.0578654, RECALL: 0.0578654, MAP: 0.0272231, MRR: 0.0748129, NDCG: 0.0471125, F1: 0.0267071, HIT_RATE: 0.1735961, ARHR: 0.0781912, RMSE: 1.1390062, NOVELTY: 0.0052389, AVERAGE_POPULARITY: 0.6558809, DIVERSITY_MEAN_INTER_LIST: 0.8531699, DIVERSITY_HERFINDAHL: 0.9853117, COVERAGE_ITEM: 0.2109759, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0623847, SHANNON_ENTROPY: 7.3579668, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'UCM_age': 0.9393305874922058, 'UCM_region': 1.5501580871318872, 'UCM_user_act': 1.317251312598881, 'UCM_sub_class': 0.539420835489718, 'UCM_item_pop': 0.21257888986985735, 'UCM_sub_class_entropy': 1.6743785267711324} - results: ROC_AUC: 0.1000521, PRECISION: 0.0164391, PRECISION_RECALL_MIN_DEN: 0.0547971, RECALL: 0.0547971, MAP: 0.0261408, MRR: 0.0722795, NDCG: 0.0450889, F1: 0.0252910, HIT_RATE: 0.1643912, ARHR: 0.0753097, RMSE: 1.1381245, NOVELTY: 0.0052114, AVERAGE_POPULARITY: 0.6713938, DIVERSITY_MEAN_INTER_LIST: 0.8410969, DIVERSITY_HERFINDAHL: 0.9841045, COVERAGE_ITEM: 0.2173020, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0561881, SHANNON_ENTROPY: 7.1833387, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'UCM_age': 0.5951596417012331, 'UCM_region': 0.22849384418834623, 'UCM_user_act': 0.9800899776457515, 'UCM_sub_class': 0.39881020916269205, 'UCM_item_pop': 0.5342367835708327, 'UCM_sub_class_entropy': 0.01946397279205692} - results: ROC_AUC: 0.1030887, PRECISION: 0.0170137, PRECISION_RECALL_MIN_DEN: 0.0567122, RECALL: 0.0567122, MAP: 0.0272098, MRR: 0.0748192, NDCG: 0.0467490, F1: 0.0261749, HIT_RATE: 0.1701365, ARHR: 0.0781780, RMSE: 1.2011613, NOVELTY: 0.0053249, AVERAGE_POPULARITY: 0.6172076, DIVERSITY_MEAN_INTER_LIST: 0.8832554, DIVERSITY_HERFINDAHL: 0.9883201, COVERAGE_ITEM: 0.2881860, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0711001, SHANNON_ENTROPY: 7.8233525, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'UCM_age': 1.5241281003580367, 'UCM_region': 0.5031038550001, 'UCM_user_act': 1.9904917531467463, 'UCM_sub_class': 0.6579370397925012, 'UCM_item_pop': 0.3326592238152369, 'UCM_sub_class_entropy': 1.3858763156981642} - results: ROC_AUC: 0.1007575, PRECISION: 0.0166121, PRECISION_RECALL_MIN_DEN: 0.0553737, RECALL: 0.0553737, MAP: 0.0264071, MRR: 0.0726293, NDCG: 0.0454885, F1: 0.0255571, HIT_RATE: 0.1661210, ARHR: 0.0758797, RMSE: 1.2216427, NOVELTY: 0.0052357, AVERAGE_POPULARITY: 0.6581653, DIVERSITY_MEAN_INTER_LIST: 0.8531810, DIVERSITY_HERFINDAHL: 0.9853128, COVERAGE_ITEM: 0.2288727, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0596247, SHANNON_ENTROPY: 7.3395398, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'UCM_age': 1.5243699247653393, 'UCM_region': 0.16701147412293962, 'UCM_user_act': 0.32772634149959284, 'UCM_sub_class': 0.5877460173515113, 'UCM_item_pop': 0.8382794973680197, 'UCM_sub_class_entropy': 0.8689568482761898} - results: ROC_AUC: 0.0981398, PRECISION: 0.0162044, PRECISION_RECALL_MIN_DEN: 0.0540145, RECALL: 0.0540145, MAP: 0.0254627, MRR: 0.0701528, NDCG: 0.0440840, F1: 0.0249298, HIT_RATE: 0.1620436, ARHR: 0.0732103, RMSE: 1.4333464, NOVELTY: 0.0053243, AVERAGE_POPULARITY: 0.6091749, DIVERSITY_MEAN_INTER_LIST: 0.8940471, DIVERSITY_HERFINDAHL: 0.9893992, COVERAGE_ITEM: 0.2688294, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0704277, SHANNON_ENTROPY: 7.8646885, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'UCM_age': 1.5424807091267594, 'UCM_region': 0.0010102486016472236, 'UCM_user_act': 0.2395613144856113, 'UCM_sub_class': 0.3197527894267212, 'UCM_item_pop': 0.5037688447351071, 'UCM_sub_class_entropy': 0.5998643814315562} - results: ROC_AUC: 0.1032781, PRECISION: 0.0169519, PRECISION_RECALL_MIN_DEN: 0.0565062, RECALL: 0.0565062, MAP: 0.0271642, MRR: 0.0748486, NDCG: 0.0466693, F1: 0.0260798, HIT_RATE: 0.1695187, ARHR: 0.0781191, RMSE: 1.1814405, NOVELTY: 0.0052849, AVERAGE_POPULARITY: 0.6327995, DIVERSITY_MEAN_INTER_LIST: 0.8734428, DIVERSITY_HERFINDAHL: 0.9873389, COVERAGE_ITEM: 0.2519059, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0657213, SHANNON_ENTROPY: 7.6231827, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'UCM_age': 0.8149998846921798, 'UCM_region': 0.017827116946529612, 'UCM_user_act': 0.8446410561813065, 'UCM_sub_class': 1.197538794645262, 'UCM_item_pop': 0.9030185510712434, 'UCM_sub_class_entropy': 0.37154631230967433} - results: ROC_AUC: 0.0976081, PRECISION: 0.0162229, PRECISION_RECALL_MIN_DEN: 0.0540763, RECALL: 0.0540763, MAP: 0.0255219, MRR: 0.0700219, NDCG: 0.0441081, F1: 0.0249583, HIT_RATE: 0.1622289, ARHR: 0.0732433, RMSE: 1.4866077, NOVELTY: 0.0053818, AVERAGE_POPULARITY: 0.5849722, DIVERSITY_MEAN_INTER_LIST: 0.9074610, DIVERSITY_HERFINDAHL: 0.9907405, COVERAGE_ITEM: 0.2991619, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0794084, SHANNON_ENTROPY: 8.1437397, 
