SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.8070111015441208, 'S_SLIM_BPR': 0.6485460193918404, 'S_PURE_SVD': 0.9051395644987646, 'S_IALS': 0.8201497997500273, 'USER_CBF_CF': 0.8875987249515099} - results: ROC_AUC: 0.1213288, PRECISION: 0.0198493, PRECISION_RECALL_MIN_DEN: 0.0661642, RECALL: 0.0661642, MAP: 0.0317244, MRR: 0.0864444, NDCG: 0.0544283, F1: 0.0305373, HIT_RATE: 0.1984926, ARHR: 0.0907360, RMSE: 1.3760441, NOVELTY: 0.0054741, AVERAGE_POPULARITY: 0.5335176, DIVERSITY_MEAN_INTER_LIST: 0.9314983, DIVERSITY_HERFINDAHL: 0.9931441, COVERAGE_ITEM: 0.2615301, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0945431, SHANNON_ENTROPY: 8.5634971, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.969601391854216, 'S_SLIM_BPR': 0.7713821672273244, 'S_PURE_SVD': 0.09097848895779427, 'S_IALS': 0.646280700394225, 'USER_CBF_CF': 0.6575762200940706} - results: ROC_AUC: 0.1209735, PRECISION: 0.0197504, PRECISION_RECALL_MIN_DEN: 0.0658347, RECALL: 0.0658347, MAP: 0.0317516, MRR: 0.0865617, NDCG: 0.0543533, F1: 0.0303853, HIT_RATE: 0.1975042, ARHR: 0.0908377, RMSE: 1.3760441, NOVELTY: 0.0054586, AVERAGE_POPULARITY: 0.5492877, DIVERSITY_MEAN_INTER_LIST: 0.9203739, DIVERSITY_HERFINDAHL: 0.9920317, COVERAGE_ITEM: 0.2700189, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0938321, SHANNON_ENTROPY: 8.4617113, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'MIXED': 0.2804486974432388, 'S_SLIM_BPR': 0.8249368309929165, 'S_PURE_SVD': 0.6251654245899132, 'S_IALS': 0.8442259776209288, 'USER_CBF_CF': 0.7888789714079029} - results: ROC_AUC: 0.1201574, PRECISION: 0.0197875, PRECISION_RECALL_MIN_DEN: 0.0659583, RECALL: 0.0659583, MAP: 0.0315446, MRR: 0.0859482, NDCG: 0.0541644, F1: 0.0304423, HIT_RATE: 0.1978748, ARHR: 0.0902242, RMSE: 1.3760441, NOVELTY: 0.0054614, AVERAGE_POPULARITY: 0.5411565, DIVERSITY_MEAN_INTER_LIST: 0.9272853, DIVERSITY_HERFINDAHL: 0.9927228, COVERAGE_ITEM: 0.2595296, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0934111, SHANNON_ENTROPY: 8.5039154, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.12431541733364362, 'S_SLIM_BPR': 0.721155147538343, 'S_PURE_SVD': 0.11048951711634072, 'S_IALS': 0.5999655084405292, 'USER_CBF_CF': 0.599443003694463} - results: ROC_AUC: 0.1182846, PRECISION: 0.0193674, PRECISION_RECALL_MIN_DEN: 0.0645580, RECALL: 0.0645580, MAP: 0.0311302, MRR: 0.0849209, NDCG: 0.0532955, F1: 0.0297960, HIT_RATE: 0.1936739, ARHR: 0.0890895, RMSE: 1.3760441, NOVELTY: 0.0054391, AVERAGE_POPULARITY: 0.5576518, DIVERSITY_MEAN_INTER_LIST: 0.9165878, DIVERSITY_HERFINDAHL: 0.9916531, COVERAGE_ITEM: 0.2628819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0913009, SHANNON_ENTROPY: 8.3804789, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'MIXED': 0.5269423162104521, 'S_SLIM_BPR': 0.318118719618859, 'S_PURE_SVD': 0.6581756841446154, 'S_IALS': 0.9591007411601579, 'USER_CBF_CF': 0.3376352572631843} - results: ROC_AUC: 0.1232860, PRECISION: 0.0202199, PRECISION_RECALL_MIN_DEN: 0.0673998, RECALL: 0.0673998, MAP: 0.0322997, MRR: 0.0879447, NDCG: 0.0554159, F1: 0.0311076, HIT_RATE: 0.2021993, ARHR: 0.0923478, RMSE: 1.3760441, NOVELTY: 0.0055280, AVERAGE_POPULARITY: 0.4951179, DIVERSITY_MEAN_INTER_LIST: 0.9499749, DIVERSITY_HERFINDAHL: 0.9949916, COVERAGE_ITEM: 0.2519600, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1025380, SHANNON_ENTROPY: 8.8355575, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.18806001452407856, 'S_SLIM_BPR': 0.3936471250569784, 'S_PURE_SVD': 0.9272374417823653, 'S_IALS': 0.46630295194902405, 'USER_CBF_CF': 0.4333912873812701} - results: ROC_AUC: 0.1207485, PRECISION: 0.0197751, PRECISION_RECALL_MIN_DEN: 0.0659171, RECALL: 0.0659171, MAP: 0.0316303, MRR: 0.0861510, NDCG: 0.0542430, F1: 0.0304233, HIT_RATE: 0.1977513, ARHR: 0.0904476, RMSE: 1.3760441, NOVELTY: 0.0054956, AVERAGE_POPULARITY: 0.5123953, DIVERSITY_MEAN_INTER_LIST: 0.9438667, DIVERSITY_HERFINDAHL: 0.9943808, COVERAGE_ITEM: 0.2520141, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0961192, SHANNON_ENTROPY: 8.6874274, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.9435466069652257, 'S_SLIM_BPR': 0.0609835872135578, 'S_PURE_SVD': 0.9849437218666814, 'S_IALS': 0.15268534297065542, 'USER_CBF_CF': 0.6385199176386174} - results: ROC_AUC: 0.1218301, PRECISION: 0.0198987, PRECISION_RECALL_MIN_DEN: 0.0663289, RECALL: 0.0663289, MAP: 0.0319965, MRR: 0.0870624, NDCG: 0.0547460, F1: 0.0306134, HIT_RATE: 0.1989868, ARHR: 0.0914521, RMSE: 1.3760441, NOVELTY: 0.0054605, AVERAGE_POPULARITY: 0.5435101, DIVERSITY_MEAN_INTER_LIST: 0.9260026, DIVERSITY_HERFINDAHL: 0.9925945, COVERAGE_ITEM: 0.2678562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0919252, SHANNON_ENTROPY: 8.4875115, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.29114224326921595, 'S_SLIM_BPR': 0.8039258572204437, 'S_PURE_SVD': 0.9129157779152544, 'S_IALS': 0.24615804087130627, 'USER_CBF_CF': 0.20399278085702516} - results: ROC_AUC: 0.1199937, PRECISION: 0.0198863, PRECISION_RECALL_MIN_DEN: 0.0662878, RECALL: 0.0662878, MAP: 0.0314654, MRR: 0.0853629, NDCG: 0.0541174, F1: 0.0305944, HIT_RATE: 0.1988633, ARHR: 0.0897976, RMSE: 1.3760441, NOVELTY: 0.0054829, AVERAGE_POPULARITY: 0.5254416, DIVERSITY_MEAN_INTER_LIST: 0.9365201, DIVERSITY_HERFINDAHL: 0.9936462, COVERAGE_ITEM: 0.2628278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0949396, SHANNON_ENTROPY: 8.6246163, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.045967917308176405, 'S_SLIM_BPR': 0.4651887616291165, 'S_PURE_SVD': 0.3846857745057125, 'S_IALS': 0.5948198704173051, 'USER_CBF_CF': 0.7238117632284269} - results: ROC_AUC: 0.1185646, PRECISION: 0.0194539, PRECISION_RECALL_MIN_DEN: 0.0648463, RECALL: 0.0648463, MAP: 0.0311877, MRR: 0.0850546, NDCG: 0.0534421, F1: 0.0299291, HIT_RATE: 0.1945388, ARHR: 0.0892417, RMSE: 1.3760441, NOVELTY: 0.0054415, AVERAGE_POPULARITY: 0.5537403, DIVERSITY_MEAN_INTER_LIST: 0.9201453, DIVERSITY_HERFINDAHL: 0.9920088, COVERAGE_ITEM: 0.2600703, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0909020, SHANNON_ENTROPY: 8.4017127, 
SearchBayesianSkoptObject: New best config found. Config 20: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.8979686770332043, 'S_SLIM_BPR': 0.03747250668233194, 'S_PURE_SVD': 0.07271603696066177, 'S_IALS': 0.05953277297098282, 'USER_CBF_CF': 0.05634539458045641} - results: ROC_AUC: 0.1288378, PRECISION: 0.0205844, PRECISION_RECALL_MIN_DEN: 0.0686147, RECALL: 0.0686147, MAP: 0.0341646, MRR: 0.0927100, NDCG: 0.0577187, F1: 0.0316683, HIT_RATE: 0.2058442, ARHR: 0.0975022, RMSE: 1.3760441, NOVELTY: 0.0055378, AVERAGE_POPULARITY: 0.5097935, DIVERSITY_MEAN_INTER_LIST: 0.9397427, DIVERSITY_HERFINDAHL: 0.9939685, COVERAGE_ITEM: 0.3033793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1016766, SHANNON_ENTROPY: 8.8198871, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.8236661273564416, 'S_SLIM_BPR': 0.11406463283539806, 'S_PURE_SVD': 0.00043962782792505994, 'S_IALS': 0.042365184849909705, 'USER_CBF_CF': 0.9172757877840285} - results: ROC_AUC: 0.1181178, PRECISION: 0.0189597, PRECISION_RECALL_MIN_DEN: 0.0631989, RECALL: 0.0631989, MAP: 0.0310882, MRR: 0.0849177, NDCG: 0.0528543, F1: 0.0291687, HIT_RATE: 0.1895966, ARHR: 0.0890294, RMSE: 1.3760441, NOVELTY: 0.0054107, AVERAGE_POPULARITY: 0.5769536, DIVERSITY_MEAN_INTER_LIST: 0.9035398, DIVERSITY_HERFINDAHL: 0.9903484, COVERAGE_ITEM: 0.2681806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0869776, SHANNON_ENTROPY: 8.2128649, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.1997748782511512, 'S_SLIM_BPR': 0.04515962014707143, 'S_PURE_SVD': 0.05019260137830252, 'S_IALS': 0.09608178555114857, 'USER_CBF_CF': 0.9841202336396465} - results: ROC_AUC: 0.1168566, PRECISION: 0.0190523, PRECISION_RECALL_MIN_DEN: 0.0635078, RECALL: 0.0635078, MAP: 0.0307725, MRR: 0.0840141, NDCG: 0.0525959, F1: 0.0293113, HIT_RATE: 0.1905233, ARHR: 0.0881040, RMSE: 1.3760441, NOVELTY: 0.0054169, AVERAGE_POPULARITY: 0.5731536, DIVERSITY_MEAN_INTER_LIST: 0.9060512, DIVERSITY_HERFINDAHL: 0.9905995, COVERAGE_ITEM: 0.2686131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0877499, SHANNON_ENTROPY: 8.2474433, 
SearchBayesianSkoptObject: New best config found. Config 23: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.9850013409992193, 'S_SLIM_BPR': 0.004253598786769342, 'S_PURE_SVD': 0.016039224910542663, 'S_IALS': 0.9788000632906971, 'USER_CBF_CF': 0.03817496226499407} - results: ROC_AUC: 0.1341905, PRECISION: 0.0218941, PRECISION_RECALL_MIN_DEN: 0.0729804, RECALL: 0.0729804, MAP: 0.0353894, MRR: 0.0956932, NDCG: 0.0603305, F1: 0.0336833, HIT_RATE: 0.2189411, ARHR: 0.1008268, RMSE: 1.3760441, NOVELTY: 0.0057672, AVERAGE_POPULARITY: 0.3872008, DIVERSITY_MEAN_INTER_LIST: 0.9752021, DIVERSITY_HERFINDAHL: 0.9975142, COVERAGE_ITEM: 0.2833198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1466666, SHANNON_ENTROPY: 9.7407644, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.09159241097439698, 'S_SLIM_BPR': 0.8798514806643658, 'S_PURE_SVD': 0.014079547127864415, 'S_IALS': 0.8730787475289619, 'USER_CBF_CF': 0.04257281378615275} - results: ROC_AUC: 0.1230884, PRECISION: 0.0198616, PRECISION_RECALL_MIN_DEN: 0.0662054, RECALL: 0.0662054, MAP: 0.0324828, MRR: 0.0884320, NDCG: 0.0552267, F1: 0.0305563, HIT_RATE: 0.1986162, ARHR: 0.0928719, RMSE: 1.3760441, NOVELTY: 0.0055448, AVERAGE_POPULARITY: 0.5066313, DIVERSITY_MEAN_INTER_LIST: 0.9366029, DIVERSITY_HERFINDAHL: 0.9936545, COVERAGE_ITEM: 0.2699108, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1138946, SHANNON_ENTROPY: 8.8943607, 
SearchBayesianSkoptObject: New best config found. Config 25: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'S_SLIM_BPR': 0.0, 'S_PURE_SVD': 0.0, 'S_IALS': 1.0, 'USER_CBF_CF': 0.0} - results: ROC_AUC: 0.1350861, PRECISION: 0.0218756, PRECISION_RECALL_MIN_DEN: 0.0729186, RECALL: 0.0729186, MAP: 0.0355985, MRR: 0.0961654, NDCG: 0.0605269, F1: 0.0336547, HIT_RATE: 0.2187558, ARHR: 0.1013713, RMSE: 1.3760441, NOVELTY: 0.0059743, AVERAGE_POPULARITY: 0.3010717, DIVERSITY_MEAN_INTER_LIST: 0.9859105, DIVERSITY_HERFINDAHL: 0.9985850, COVERAGE_ITEM: 0.3260341, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1802292, SHANNON_ENTROPY: 10.3733787, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'S_SLIM_BPR': 0.0, 'S_PURE_SVD': 0.0, 'S_IALS': 1.0, 'USER_CBF_CF': 0.0} - results: ROC_AUC: 0.1350861, PRECISION: 0.0218756, PRECISION_RECALL_MIN_DEN: 0.0729186, RECALL: 0.0729186, MAP: 0.0355985, MRR: 0.0961654, NDCG: 0.0605269, F1: 0.0336547, HIT_RATE: 0.2187558, ARHR: 0.1013713, RMSE: 1.3760441, NOVELTY: 0.0059743, AVERAGE_POPULARITY: 0.3010717, DIVERSITY_MEAN_INTER_LIST: 0.9859105, DIVERSITY_HERFINDAHL: 0.9985850, COVERAGE_ITEM: 0.3260341, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1802292, SHANNON_ENTROPY: 10.3733787, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.8510913819145188, 'S_SLIM_BPR': 0.9694484512581777, 'S_PURE_SVD': 0.95420046170784, 'S_IALS': 0.0455756913217611, 'USER_CBF_CF': 0.11192154528946999} - results: ROC_AUC: 0.1228728, PRECISION: 0.0198678, PRECISION_RECALL_MIN_DEN: 0.0662260, RECALL: 0.0662260, MAP: 0.0320497, MRR: 0.0871845, NDCG: 0.0547889, F1: 0.0305658, HIT_RATE: 0.1986780, ARHR: 0.0915807, RMSE: 1.3760441, NOVELTY: 0.0055859, AVERAGE_POPULARITY: 0.4477898, DIVERSITY_MEAN_INTER_LIST: 0.9652361, DIVERSITY_HERFINDAHL: 0.9965176, COVERAGE_ITEM: 0.2535820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1042813, SHANNON_ENTROPY: 9.0512496, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.007698282140952363, 'S_SLIM_BPR': 0.07076375347897625, 'S_PURE_SVD': 0.2625448175790612, 'S_IALS': 0.9124994770432578, 'USER_CBF_CF': 0.9801599595847018} - results: ROC_AUC: 0.1180929, PRECISION: 0.0193241, PRECISION_RECALL_MIN_DEN: 0.0644138, RECALL: 0.0644138, MAP: 0.0310391, MRR: 0.0846970, NDCG: 0.0531584, F1: 0.0297295, HIT_RATE: 0.1932415, ARHR: 0.0888409, RMSE: 1.3760441, NOVELTY: 0.0054343, AVERAGE_POPULARITY: 0.5592714, DIVERSITY_MEAN_INTER_LIST: 0.9162843, DIVERSITY_HERFINDAHL: 0.9916228, COVERAGE_ITEM: 0.2609895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0904523, SHANNON_ENTROPY: 8.3608813, 
