SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'MIXED': 0.7357612170829105, 'S_SLIM_BPR': 0.6536893322745285, 'S_PURE_SVD': 0.13865036030843206, 'S_IALS': 0.8659466499569458, 'USER_CBF_CF': 0.8855718042504943} - results: ROC_AUC: 0.1318740, PRECISION: 0.0219806, PRECISION_RECALL_MIN_DEN: 0.0732687, RECALL: 0.0732687, MAP: 0.0347545, MRR: 0.0936826, NDCG: 0.0596871, F1: 0.0338163, HIT_RATE: 0.2198060, ARHR: 0.0988623, RMSE: 1.3760441, NOVELTY: 0.0057671, AVERAGE_POPULARITY: 0.3952960, DIVERSITY_MEAN_INTER_LIST: 0.9729063, DIVERSITY_HERFINDAHL: 0.9972846, COVERAGE_ITEM: 0.3434982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1320365, SHANNON_ENTROPY: 9.7286656, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'MIXED': 0.3704593853278199, 'S_SLIM_BPR': 0.6974718290706499, 'S_PURE_SVD': 0.44771920994072123, 'S_IALS': 0.9184788469796968, 'USER_CBF_CF': 0.055459186433531885} - results: ROC_AUC: 0.1294915, PRECISION: 0.0209922, PRECISION_RECALL_MIN_DEN: 0.0699738, RECALL: 0.0699738, MAP: 0.0337596, MRR: 0.0915232, NDCG: 0.0577313, F1: 0.0322956, HIT_RATE: 0.2099215, ARHR: 0.0963009, RMSE: 1.3760441, NOVELTY: 0.0058295, AVERAGE_POPULARITY: 0.3469049, DIVERSITY_MEAN_INTER_LIST: 0.9812277, DIVERSITY_HERFINDAHL: 0.9981167, COVERAGE_ITEM: 0.3194918, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1438090, SHANNON_ENTROPY: 9.9533542, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'MIXED': 0.2819179070913525, 'S_SLIM_BPR': 0.7736265244335522, 'S_PURE_SVD': 0.10495461660095365, 'S_IALS': 0.8955581525869419, 'USER_CBF_CF': 0.4520216572281197} - results: ROC_AUC: 0.1307961, PRECISION: 0.0213875, PRECISION_RECALL_MIN_DEN: 0.0712918, RECALL: 0.0712918, MAP: 0.0341592, MRR: 0.0923447, NDCG: 0.0585154, F1: 0.0329039, HIT_RATE: 0.2138753, ARHR: 0.0973147, RMSE: 1.3760441, NOVELTY: 0.0057987, AVERAGE_POPULARITY: 0.3734226, DIVERSITY_MEAN_INTER_LIST: 0.9772954, DIVERSITY_HERFINDAHL: 0.9977235, COVERAGE_ITEM: 0.3078129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1417083, SHANNON_ENTROPY: 9.8147570, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.6494248004964113, 'S_SLIM_BPR': 0.541711247816406, 'S_PURE_SVD': 0.3626940459396542, 'S_IALS': 0.5738196392036877, 'USER_CBF_CF': 0.034570964561756796} - results: ROC_AUC: 0.1334051, PRECISION: 0.0213628, PRECISION_RECALL_MIN_DEN: 0.0712094, RECALL: 0.0712094, MAP: 0.0346651, MRR: 0.0938660, NDCG: 0.0590791, F1: 0.0328659, HIT_RATE: 0.2136282, ARHR: 0.0988221, RMSE: 1.3760441, NOVELTY: 0.0059047, AVERAGE_POPULARITY: 0.3400160, DIVERSITY_MEAN_INTER_LIST: 0.9812171, DIVERSITY_HERFINDAHL: 0.9981156, COVERAGE_ITEM: 0.4453636, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1513749, SHANNON_ENTROPY: 10.2833910, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'MIXED': 0.7050356932443561, 'S_SLIM_BPR': 0.32876610239975806, 'S_PURE_SVD': 0.6343105125696629, 'S_IALS': 0.7559850095439437, 'USER_CBF_CF': 0.3889087773946919} - results: ROC_AUC: 0.1289640, PRECISION: 0.0211960, PRECISION_RECALL_MIN_DEN: 0.0706534, RECALL: 0.0706534, MAP: 0.0336375, MRR: 0.0912495, NDCG: 0.0578080, F1: 0.0326093, HIT_RATE: 0.2119602, ARHR: 0.0959849, RMSE: 1.3760441, NOVELTY: 0.0058048, AVERAGE_POPULARITY: 0.3561285, DIVERSITY_MEAN_INTER_LIST: 0.9798793, DIVERSITY_HERFINDAHL: 0.9979819, COVERAGE_ITEM: 0.2985672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1437631, SHANNON_ENTROPY: 9.8552967, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'MIXED': 0.43312979427742637, 'S_SLIM_BPR': 0.8311908234204811, 'S_PURE_SVD': 0.24022256119375468, 'S_IALS': 0.31470996732659046, 'USER_CBF_CF': 0.3040584751446452} - results: ROC_AUC: 0.1295645, PRECISION: 0.0212578, PRECISION_RECALL_MIN_DEN: 0.0708593, RECALL: 0.0708593, MAP: 0.0338672, MRR: 0.0914631, NDCG: 0.0580551, F1: 0.0327043, HIT_RATE: 0.2125780, ARHR: 0.0964332, RMSE: 1.3760441, NOVELTY: 0.0059738, AVERAGE_POPULARITY: 0.3314203, DIVERSITY_MEAN_INTER_LIST: 0.9805206, DIVERSITY_HERFINDAHL: 0.9980460, COVERAGE_ITEM: 0.5112733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1518278, SHANNON_ENTROPY: 10.3283204, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'MIXED': 0.24235417499231765, 'S_SLIM_BPR': 0.178121389032086, 'S_PURE_SVD': 0.13620780926189316, 'S_IALS': 0.6014444143792901, 'USER_CBF_CF': 0.7852680809476563} - results: ROC_AUC: 0.1267238, PRECISION: 0.0209180, PRECISION_RECALL_MIN_DEN: 0.0697267, RECALL: 0.0697267, MAP: 0.0336202, MRR: 0.0910212, NDCG: 0.0574329, F1: 0.0321816, HIT_RATE: 0.2091802, ARHR: 0.0958468, RMSE: 1.3760441, NOVELTY: 0.0056246, AVERAGE_POPULARITY: 0.4539440, DIVERSITY_MEAN_INTER_LIST: 0.9607231, DIVERSITY_HERFINDAHL: 0.9960664, COVERAGE_ITEM: 0.2727764, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1194703, SHANNON_ENTROPY: 9.2308697, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'MIXED': 0.032053602159457524, 'S_SLIM_BPR': 0.30317446124214903, 'S_PURE_SVD': 0.4836581918421625, 'S_IALS': 0.7126259296163868, 'USER_CBF_CF': 0.963620662419882} - results: ROC_AUC: 0.1234229, PRECISION: 0.0203991, PRECISION_RECALL_MIN_DEN: 0.0679970, RECALL: 0.0679970, MAP: 0.0324589, MRR: 0.0878840, NDCG: 0.0556882, F1: 0.0313832, HIT_RATE: 0.2039909, ARHR: 0.0925472, RMSE: 1.3760441, NOVELTY: 0.0055890, AVERAGE_POPULARITY: 0.4607680, DIVERSITY_MEAN_INTER_LIST: 0.9605804, DIVERSITY_HERFINDAHL: 0.9960521, COVERAGE_ITEM: 0.2508245, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1143235, SHANNON_ENTROPY: 9.1113383, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 0.8584117732248097, 'S_SLIM_BPR': 0.5979208876855608, 'S_PURE_SVD': 0.48800777299856746, 'S_IALS': 0.18935222026840964, 'USER_CBF_CF': 0.5868172243426611} - results: ROC_AUC: 0.1302297, PRECISION: 0.0216346, PRECISION_RECALL_MIN_DEN: 0.0721155, RECALL: 0.0721155, MAP: 0.0340794, MRR: 0.0919882, NDCG: 0.0586521, F1: 0.0332841, HIT_RATE: 0.2163465, ARHR: 0.0970079, RMSE: 1.3760441, NOVELTY: 0.0059102, AVERAGE_POPULARITY: 0.3442560, DIVERSITY_MEAN_INTER_LIST: 0.9798137, DIVERSITY_HERFINDAHL: 0.9979753, COVERAGE_ITEM: 0.4574750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1428672, SHANNON_ENTROPY: 10.1675513, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'MIXED': 0.9461717342756432, 'S_SLIM_BPR': 0.9207912605546718, 'S_PURE_SVD': 0.010233307805671667, 'S_IALS': 0.009374441533418489, 'USER_CBF_CF': 0.015640017307754887} - results: ROC_AUC: 0.1275243, PRECISION: 0.0203497, PRECISION_RECALL_MIN_DEN: 0.0678322, RECALL: 0.0678322, MAP: 0.0338093, MRR: 0.0914577, NDCG: 0.0570566, F1: 0.0313072, HIT_RATE: 0.2034966, ARHR: 0.0963367, RMSE: 1.3760441, NOVELTY: 0.0062622, AVERAGE_POPULARITY: 0.2679003, DIVERSITY_MEAN_INTER_LIST: 0.9827581, DIVERSITY_HERFINDAHL: 0.9982697, COVERAGE_ITEM: 0.5989186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1807124, SHANNON_ENTROPY: 10.7059774, 
