SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'MIXED': 0.6177699763283533, 'S_SLIM_BPR': 0.661566537397122, 'S_PURE_SVD': 0.8875692537468912, 'S_IALS': 0.449200710308054, 'USER_CBF_CF': 0.44713304185874336} - results: ROC_AUC: 0.1134372, PRECISION: 0.0186631, PRECISION_RECALL_MIN_DEN: 0.0622104, RECALL: 0.0622104, MAP: 0.0306946, MRR: 0.0846524, NDCG: 0.0521607, F1: 0.0287125, HIT_RATE: 0.1866312, ARHR: 0.0883099, RMSE: 1.3760441, NOVELTY: 0.0058409, AVERAGE_POPULARITY: 0.3370585, DIVERSITY_MEAN_INTER_LIST: 0.9821282, DIVERSITY_HERFINDAHL: 0.9982067, COVERAGE_ITEM: 0.3362530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1413072, SHANNON_ENTROPY: 9.9901417, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'MIXED': 0.7616321463470618, 'S_SLIM_BPR': 0.8876865109100841, 'S_PURE_SVD': 0.5407862580506752, 'S_IALS': 0.6486877293238771, 'USER_CBF_CF': 0.35228827777974375} - results: ROC_AUC: 0.1266557, PRECISION: 0.0209057, PRECISION_RECALL_MIN_DEN: 0.0696856, RECALL: 0.0696856, MAP: 0.0333590, MRR: 0.0906078, NDCG: 0.0571929, F1: 0.0321626, HIT_RATE: 0.2090567, ARHR: 0.0952519, RMSE: 1.3760441, NOVELTY: 0.0059463, AVERAGE_POPULARITY: 0.3258855, DIVERSITY_MEAN_INTER_LIST: 0.9821413, DIVERSITY_HERFINDAHL: 0.9982081, COVERAGE_ITEM: 0.4978102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1494319, SHANNON_ENTROPY: 10.3505885, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'MIXED': 0.0013229396034665222, 'S_SLIM_BPR': 0.785088804957554, 'S_PURE_SVD': 0.0783777972760097, 'S_IALS': 0.9313157882917926, 'USER_CBF_CF': 0.4680521332807912} - results: ROC_AUC: 0.1228270, PRECISION: 0.0201087, PRECISION_RECALL_MIN_DEN: 0.0670291, RECALL: 0.0670291, MAP: 0.0324063, MRR: 0.0888269, NDCG: 0.0554779, F1: 0.0309365, HIT_RATE: 0.2010873, ARHR: 0.0929451, RMSE: 1.3760441, NOVELTY: 0.0057703, AVERAGE_POPULARITY: 0.3686246, DIVERSITY_MEAN_INTER_LIST: 0.9786848, DIVERSITY_HERFINDAHL: 0.9978624, COVERAGE_ITEM: 0.2210327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1690523, SHANNON_ENTROPY: 9.7293312, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'MIXED': 0.4775645929990533, 'S_SLIM_BPR': 0.7644158159178973, 'S_PURE_SVD': 0.2651234618184097, 'S_IALS': 0.026324668601922625, 'USER_CBF_CF': 0.6035091696147021} - results: ROC_AUC: 0.1185520, PRECISION: 0.0197010, PRECISION_RECALL_MIN_DEN: 0.0656700, RECALL: 0.0656700, MAP: 0.0316485, MRR: 0.0867260, NDCG: 0.0542046, F1: 0.0303092, HIT_RATE: 0.1970099, ARHR: 0.0907688, RMSE: 1.3760441, NOVELTY: 0.0059377, AVERAGE_POPULARITY: 0.3420560, DIVERSITY_MEAN_INTER_LIST: 0.9801020, DIVERSITY_HERFINDAHL: 0.9980041, COVERAGE_ITEM: 0.4351987, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1422607, SHANNON_ENTROPY: 10.1241077, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'MIXED': 0.984092310059241, 'S_SLIM_BPR': 0.557935854888979, 'S_PURE_SVD': 0.1419545263473885, 'S_IALS': 0.7887507560404122, 'USER_CBF_CF': 0.8182684255535592} - results: ROC_AUC: 0.1191883, PRECISION: 0.0199419, PRECISION_RECALL_MIN_DEN: 0.0664731, RECALL: 0.0664731, MAP: 0.0317687, MRR: 0.0873418, NDCG: 0.0546174, F1: 0.0306799, HIT_RATE: 0.1994193, ARHR: 0.0912598, RMSE: 1.3760441, NOVELTY: 0.0059003, AVERAGE_POPULARITY: 0.3327348, DIVERSITY_MEAN_INTER_LIST: 0.9826537, DIVERSITY_HERFINDAHL: 0.9982593, COVERAGE_ITEM: 0.3526358, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1565582, SHANNON_ENTROPY: 10.1654683, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 4, 'MIXED': 0.5827243092840626, 'S_SLIM_BPR': 0.8531000525287173, 'S_PURE_SVD': 0.8668934425733055, 'S_IALS': 0.25146074981183836, 'USER_CBF_CF': 0.4886077119303496} - results: ROC_AUC: 0.1215064, PRECISION: 0.0203435, PRECISION_RECALL_MIN_DEN: 0.0678116, RECALL: 0.0678116, MAP: 0.0321072, MRR: 0.0875455, NDCG: 0.0553094, F1: 0.0312977, HIT_RATE: 0.2034349, ARHR: 0.0918484, RMSE: 1.3760441, NOVELTY: 0.0058099, AVERAGE_POPULARITY: 0.3615323, DIVERSITY_MEAN_INTER_LIST: 0.9783431, DIVERSITY_HERFINDAHL: 0.9978283, COVERAGE_ITEM: 0.4195729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1248866, SHANNON_ENTROPY: 9.8939642, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'MIXED': 0.5959989282596014, 'S_SLIM_BPR': 0.6365661407332437, 'S_PURE_SVD': 0.2902871054980308, 'S_IALS': 0.789608814617492, 'USER_CBF_CF': 0.0010640204802937483} - results: ROC_AUC: 0.1181727, PRECISION: 0.0197751, PRECISION_RECALL_MIN_DEN: 0.0659171, RECALL: 0.0659171, MAP: 0.0316159, MRR: 0.0869533, NDCG: 0.0542830, F1: 0.0304233, HIT_RATE: 0.1977513, ARHR: 0.0908286, RMSE: 1.3760441, NOVELTY: 0.0059589, AVERAGE_POPULARITY: 0.3052464, DIVERSITY_MEAN_INTER_LIST: 0.9853357, DIVERSITY_HERFINDAHL: 0.9985275, COVERAGE_ITEM: 0.3544201, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1682860, SHANNON_ENTROPY: 10.3456063, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'MIXED': 0.9854890531430637, 'S_SLIM_BPR': 0.910344420784028, 'S_PURE_SVD': 0.27886489758153993, 'S_IALS': 0.1366441045543453, 'USER_CBF_CF': 0.670868235131825} - results: ROC_AUC: 0.1195501, PRECISION: 0.0198246, PRECISION_RECALL_MIN_DEN: 0.0660818, RECALL: 0.0660818, MAP: 0.0318130, MRR: 0.0873604, NDCG: 0.0545388, F1: 0.0304993, HIT_RATE: 0.1982455, ARHR: 0.0913371, RMSE: 1.3760441, NOVELTY: 0.0059885, AVERAGE_POPULARITY: 0.3244892, DIVERSITY_MEAN_INTER_LIST: 0.9817675, DIVERSITY_HERFINDAHL: 0.9981707, COVERAGE_ITEM: 0.4640714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1464644, SHANNON_ENTROPY: 10.2595859, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'MIXED': 0.5121198848600235, 'S_SLIM_BPR': 0.28158136369723713, 'S_PURE_SVD': 0.9683791742345841, 'S_IALS': 0.8187309315793467, 'USER_CBF_CF': 0.14985810608420094} - results: ROC_AUC: 0.1175420, PRECISION: 0.0185025, PRECISION_RECALL_MIN_DEN: 0.0616750, RECALL: 0.0616750, MAP: 0.0311620, MRR: 0.0858408, NDCG: 0.0525564, F1: 0.0284654, HIT_RATE: 0.1850250, ARHR: 0.0895962, RMSE: 1.3760441, NOVELTY: 0.0057455, AVERAGE_POPULARITY: 0.3667422, DIVERSITY_MEAN_INTER_LIST: 0.9791450, DIVERSITY_HERFINDAHL: 0.9979085, COVERAGE_ITEM: 0.2590430, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1359647, SHANNON_ENTROPY: 9.6407475, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'MIXED': 0.20190464968403282, 'S_SLIM_BPR': 0.011843122577129165, 'S_PURE_SVD': 0.9963348835939626, 'S_IALS': 0.7750228972312279, 'USER_CBF_CF': 0.9531648272767134} - results: ROC_AUC: 0.1126074, PRECISION: 0.0182183, PRECISION_RECALL_MIN_DEN: 0.0607277, RECALL: 0.0607277, MAP: 0.0306271, MRR: 0.0843509, NDCG: 0.0516130, F1: 0.0280282, HIT_RATE: 0.1821832, ARHR: 0.0880556, RMSE: 1.3760441, NOVELTY: 0.0057370, AVERAGE_POPULARITY: 0.3672680, DIVERSITY_MEAN_INTER_LIST: 0.9790773, DIVERSITY_HERFINDAHL: 0.9979017, COVERAGE_ITEM: 0.2557989, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1356471, SHANNON_ENTROPY: 9.6246529, 
SearchBayesianSkoptObject: New best config found. Config 21: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.933220551679891, 'S_SLIM_BPR': 0.9820610531689027, 'S_PURE_SVD': 0.9397893341204905, 'S_IALS': 0.8695914941276393, 'USER_CBF_CF': 0.08222925199368049} - results: ROC_AUC: 0.1297988, PRECISION: 0.0208748, PRECISION_RECALL_MIN_DEN: 0.0695826, RECALL: 0.0695826, MAP: 0.0334757, MRR: 0.0906592, NDCG: 0.0573180, F1: 0.0321150, HIT_RATE: 0.2087478, ARHR: 0.0954424, RMSE: 1.3760441, NOVELTY: 0.0058603, AVERAGE_POPULARITY: 0.3610110, DIVERSITY_MEAN_INTER_LIST: 0.9777066, DIVERSITY_HERFINDAHL: 0.9977646, COVERAGE_ITEM: 0.4391998, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424269, SHANNON_ENTROPY: 10.0858337, 
