SearchBayesianSkoptObject: New best config found. Config 11: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'MIXED': 0.775589999167187, 'S_SLIM_BPR': 0.23450010734278554, 'S_PURE_SVD': 0.4758366071812288, 'S_IALS': 0.17753400390762022, 'USER_CBF_CF': 0.019033861790156318} - results: ROC_AUC: 0.1352360, PRECISION: 0.0221906, PRECISION_RECALL_MIN_DEN: 0.0739688, RECALL: 0.0739688, MAP: 0.0353190, MRR: 0.0953509, NDCG: 0.0605611, F1: 0.0341395, HIT_RATE: 0.2219065, ARHR: 0.1005336, RMSE: 1.3760441, NOVELTY: 0.0059122, AVERAGE_POPULARITY: 0.3289333, DIVERSITY_MEAN_INTER_LIST: 0.9822883, DIVERSITY_HERFINDAHL: 0.9982228, COVERAGE_ITEM: 0.4999730, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1453334, SHANNON_ENTROPY: 10.3169575, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'MIXED': 0.6099250315641778, 'S_SLIM_BPR': 0.4633750546805354, 'S_PURE_SVD': 0.9149999801390771, 'S_IALS': 0.4808874906161744, 'USER_CBF_CF': 0.9876991957916508} - results: ROC_AUC: 0.1310705, PRECISION: 0.0214061, PRECISION_RECALL_MIN_DEN: 0.0713536, RECALL: 0.0713536, MAP: 0.0341950, MRR: 0.0926262, NDCG: 0.0585967, F1: 0.0329324, HIT_RATE: 0.2140607, ARHR: 0.0975040, RMSE: 1.3760441, NOVELTY: 0.0056458, AVERAGE_POPULARITY: 0.4328042, DIVERSITY_MEAN_INTER_LIST: 0.9667283, DIVERSITY_HERFINDAHL: 0.9966669, COVERAGE_ITEM: 0.3332252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1111205, SHANNON_ENTROPY: 9.3726530, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.5561049894347058, 'S_SLIM_BPR': 0.8630119671135144, 'S_PURE_SVD': 0.14539467165757705, 'S_IALS': 0.9207918896810057, 'USER_CBF_CF': 0.018072590861769936} - results: ROC_AUC: 0.1323611, PRECISION: 0.0211713, PRECISION_RECALL_MIN_DEN: 0.0705710, RECALL: 0.0705710, MAP: 0.0348127, MRR: 0.0942128, NDCG: 0.0589969, F1: 0.0325712, HIT_RATE: 0.2117131, ARHR: 0.0992229, RMSE: 1.3760441, NOVELTY: 0.0059164, AVERAGE_POPULARITY: 0.3325837, DIVERSITY_MEAN_INTER_LIST: 0.9820956, DIVERSITY_HERFINDAHL: 0.9982035, COVERAGE_ITEM: 0.4260070, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1530868, SHANNON_ENTROPY: 10.2884276, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.8179449563302745, 'S_SLIM_BPR': 0.6793030289661375, 'S_PURE_SVD': 0.5340670251263765, 'S_IALS': 0.2881307799115474, 'USER_CBF_CF': 0.6357753632198432} - results: ROC_AUC: 0.1346453, PRECISION: 0.0220362, PRECISION_RECALL_MIN_DEN: 0.0734540, RECALL: 0.0734540, MAP: 0.0352739, MRR: 0.0952477, NDCG: 0.0603416, F1: 0.0339018, HIT_RATE: 0.2203620, ARHR: 0.1004208, RMSE: 1.3760441, NOVELTY: 0.0057914, AVERAGE_POPULARITY: 0.3879107, DIVERSITY_MEAN_INTER_LIST: 0.9735126, DIVERSITY_HERFINDAHL: 0.9973452, COVERAGE_ITEM: 0.4410381, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1304085, SHANNON_ENTROPY: 9.8753265, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.19318107217879382, 'S_SLIM_BPR': 0.32556210838901883, 'S_PURE_SVD': 0.1000718153979521, 'S_IALS': 0.43316057030821764, 'USER_CBF_CF': 0.4076023359515195} - results: ROC_AUC: 0.1310221, PRECISION: 0.0213505, PRECISION_RECALL_MIN_DEN: 0.0711682, RECALL: 0.0711682, MAP: 0.0344950, MRR: 0.0934773, NDCG: 0.0588501, F1: 0.0328469, HIT_RATE: 0.2135047, ARHR: 0.0983880, RMSE: 1.3760441, NOVELTY: 0.0057190, AVERAGE_POPULARITY: 0.4212695, DIVERSITY_MEAN_INTER_LIST: 0.9662873, DIVERSITY_HERFINDAHL: 0.9966228, COVERAGE_ITEM: 0.3649094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1288349, SHANNON_ENTROPY: 9.6414326, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.7299149594628483, 'S_SLIM_BPR': 0.23321713766661561, 'S_PURE_SVD': 0.20891493963618885, 'S_IALS': 0.7952327780943109, 'USER_CBF_CF': 0.7298544202868307} - results: ROC_AUC: 0.1338645, PRECISION: 0.0219991, PRECISION_RECALL_MIN_DEN: 0.0733305, RECALL: 0.0733305, MAP: 0.0351122, MRR: 0.0949369, NDCG: 0.0601509, F1: 0.0338448, HIT_RATE: 0.2199914, ARHR: 0.1000315, RMSE: 1.3760441, NOVELTY: 0.0057440, AVERAGE_POPULARITY: 0.4024215, DIVERSITY_MEAN_INTER_LIST: 0.9719786, DIVERSITY_HERFINDAHL: 0.9971919, COVERAGE_ITEM: 0.3358746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1315653, SHANNON_ENTROPY: 9.6983223, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.7946906150265428, 'S_SLIM_BPR': 0.4312237329702606, 'S_PURE_SVD': 0.6735382477340485, 'S_IALS': 0.29459704525066205, 'USER_CBF_CF': 0.3718306201538048} - results: ROC_AUC: 0.1344979, PRECISION: 0.0219497, PRECISION_RECALL_MIN_DEN: 0.0731657, RECALL: 0.0731657, MAP: 0.0352121, MRR: 0.0951471, NDCG: 0.0602022, F1: 0.0337688, HIT_RATE: 0.2194971, ARHR: 0.1002813, RMSE: 1.3760441, NOVELTY: 0.0057964, AVERAGE_POPULARITY: 0.3735465, DIVERSITY_MEAN_INTER_LIST: 0.9767512, DIVERSITY_HERFINDAHL: 0.9976691, COVERAGE_ITEM: 0.4443363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1285495, SHANNON_ENTROPY: 9.9333593, 
SearchBayesianSkoptObject: New best config found. Config 18: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.9192986699594112, 'S_SLIM_BPR': 0.4718677489360268, 'S_PURE_SVD': 0.4516251754965013, 'S_IALS': 0.15521784622221993, 'USER_CBF_CF': 0.5012511632124514} - results: ROC_AUC: 0.1359512, PRECISION: 0.0224748, PRECISION_RECALL_MIN_DEN: 0.0749161, RECALL: 0.0749161, MAP: 0.0356394, MRR: 0.0961139, NDCG: 0.0611602, F1: 0.0345767, HIT_RATE: 0.2247483, ARHR: 0.1013995, RMSE: 1.3760441, NOVELTY: 0.0058388, AVERAGE_POPULARITY: 0.3745723, DIVERSITY_MEAN_INTER_LIST: 0.9752140, DIVERSITY_HERFINDAHL: 0.9975154, COVERAGE_ITEM: 0.4864558, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1379961, SHANNON_ENTROPY: 10.0496633, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.6134738520817646, 'S_SLIM_BPR': 0.2982587628204358, 'S_PURE_SVD': 0.7657584780197461, 'S_IALS': 0.06949758227486581, 'USER_CBF_CF': 0.9021731382265182} - results: ROC_AUC: 0.1304894, PRECISION: 0.0215914, PRECISION_RECALL_MIN_DEN: 0.0719713, RECALL: 0.0719713, MAP: 0.0342138, MRR: 0.0926147, NDCG: 0.0587807, F1: 0.0332175, HIT_RATE: 0.2159140, ARHR: 0.0975285, RMSE: 1.3760441, NOVELTY: 0.0056170, AVERAGE_POPULARITY: 0.4548753, DIVERSITY_MEAN_INTER_LIST: 0.9591711, DIVERSITY_HERFINDAHL: 0.9959112, COVERAGE_ITEM: 0.3818870, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1075545, SHANNON_ENTROPY: 9.3069223, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9965675466842845, 'S_SLIM_BPR': 0.9497253441440114, 'S_PURE_SVD': 0.8889918632027742, 'S_IALS': 0.9672643212261953, 'USER_CBF_CF': 0.1224131218751279} - results: ROC_AUC: 0.1309869, PRECISION: 0.0209180, PRECISION_RECALL_MIN_DEN: 0.0697267, RECALL: 0.0697267, MAP: 0.0345265, MRR: 0.0936260, NDCG: 0.0584514, F1: 0.0321816, HIT_RATE: 0.2091802, ARHR: 0.0984885, RMSE: 1.3760441, NOVELTY: 0.0058307, AVERAGE_POPULARITY: 0.3588750, DIVERSITY_MEAN_INTER_LIST: 0.9795821, DIVERSITY_HERFINDAHL: 0.9979522, COVERAGE_ITEM: 0.4157881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1401993, SHANNON_ENTROPY: 10.0738444, 
