SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 7, 'MIXED': 0.24697666638795995, 'S_SLIM_BPR': 0.5045991463681432, 'S_PURE_SVD': 0.5679666702295337, 'S_IALS': 0.2032651503779867, 'USER_CBF_CF': 0.7243606156091482} - results: ROC_AUC: 0.1217981, PRECISION: 0.0198369, PRECISION_RECALL_MIN_DEN: 0.0661230, RECALL: 0.0661230, MAP: 0.0320639, MRR: 0.0882181, NDCG: 0.0549009, F1: 0.0305183, HIT_RATE: 0.1983691, ARHR: 0.0921480, RMSE: 1.3760441, NOVELTY: 0.0057261, AVERAGE_POPULARITY: 0.3884893, DIVERSITY_MEAN_INTER_LIST: 0.9757316, DIVERSITY_HERFINDAHL: 0.9975671, COVERAGE_ITEM: 0.3056502, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1240476, SHANNON_ENTROPY: 9.5978344, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 5, 'MIXED': 0.39245372746120155, 'S_SLIM_BPR': 0.1322897774122889, 'S_PURE_SVD': 0.7669358758139527, 'S_IALS': 0.343748887873268, 'USER_CBF_CF': 0.8483969610839006} - results: ROC_AUC: 0.1238301, PRECISION: 0.0197381, PRECISION_RECALL_MIN_DEN: 0.0657935, RECALL: 0.0657935, MAP: 0.0321604, MRR: 0.0886306, NDCG: 0.0549664, F1: 0.0303662, HIT_RATE: 0.1973806, ARHR: 0.0924895, RMSE: 1.3760441, NOVELTY: 0.0056363, AVERAGE_POPULARITY: 0.4190636, DIVERSITY_MEAN_INTER_LIST: 0.9710560, DIVERSITY_HERFINDAHL: 0.9970996, COVERAGE_ITEM: 0.2634766, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1134982, SHANNON_ENTROPY: 9.2802988, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 4, 'MIXED': 0.2033967566727823, 'S_SLIM_BPR': 0.33011754420416334, 'S_PURE_SVD': 0.6172393732524091, 'S_IALS': 0.5211329177334361, 'USER_CBF_CF': 0.05419475920502072} - results: ROC_AUC: 0.1216171, PRECISION: 0.0192253, PRECISION_RECALL_MIN_DEN: 0.0640843, RECALL: 0.0640843, MAP: 0.0314251, MRR: 0.0862251, NDCG: 0.0535997, F1: 0.0295774, HIT_RATE: 0.1922530, ARHR: 0.0901778, RMSE: 1.3760441, NOVELTY: 0.0057324, AVERAGE_POPULARITY: 0.3723989, DIVERSITY_MEAN_INTER_LIST: 0.9783155, DIVERSITY_HERFINDAHL: 0.9978255, COVERAGE_ITEM: 0.2909976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1266239, SHANNON_ENTROPY: 9.6416435, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 6, 'MIXED': 0.4168536132002453, 'S_SLIM_BPR': 0.2945052130050016, 'S_PURE_SVD': 0.21163361341853487, 'S_IALS': 0.9657827616621992, 'USER_CBF_CF': 0.43360682824966723} - results: ROC_AUC: 0.1261707, PRECISION: 0.0206771, PRECISION_RECALL_MIN_DEN: 0.0689236, RECALL: 0.0689236, MAP: 0.0329286, MRR: 0.0904705, NDCG: 0.0566912, F1: 0.0318109, HIT_RATE: 0.2067709, ARHR: 0.0945401, RMSE: 1.3760441, NOVELTY: 0.0057979, AVERAGE_POPULARITY: 0.3622272, DIVERSITY_MEAN_INTER_LIST: 0.9794988, DIVERSITY_HERFINDAHL: 0.9979438, COVERAGE_ITEM: 0.2815356, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1531258, SHANNON_ENTROPY: 9.8641275, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 9, 'MIXED': 0.2438787245464304, 'S_SLIM_BPR': 0.6962650684226588, 'S_PURE_SVD': 0.4594965038938065, 'S_IALS': 0.41772236960457754, 'USER_CBF_CF': 0.01061539589979288} - results: ROC_AUC: 0.1208643, PRECISION: 0.0196330, PRECISION_RECALL_MIN_DEN: 0.0654435, RECALL: 0.0654435, MAP: 0.0316224, MRR: 0.0867951, NDCG: 0.0541969, F1: 0.0302047, HIT_RATE: 0.1963304, ARHR: 0.0907589, RMSE: 1.3760441, NOVELTY: 0.0059163, AVERAGE_POPULARITY: 0.3210246, DIVERSITY_MEAN_INTER_LIST: 0.9836612, DIVERSITY_HERFINDAHL: 0.9983600, COVERAGE_ITEM: 0.3950798, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1477101, SHANNON_ENTROPY: 10.2263964, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 2, 'MIXED': 0.47893260010597116, 'S_SLIM_BPR': 0.5425110614379024, 'S_PURE_SVD': 0.905835459533494, 'S_IALS': 0.9149944239991855, 'USER_CBF_CF': 0.012082139021774244} - results: ROC_AUC: 0.1261812, PRECISION: 0.0204423, PRECISION_RECALL_MIN_DEN: 0.0681411, RECALL: 0.0681411, MAP: 0.0329470, MRR: 0.0897768, NDCG: 0.0563599, F1: 0.0314497, HIT_RATE: 0.2044233, ARHR: 0.0942171, RMSE: 1.3760441, NOVELTY: 0.0058020, AVERAGE_POPULARITY: 0.3520645, DIVERSITY_MEAN_INTER_LIST: 0.9807800, DIVERSITY_HERFINDAHL: 0.9980719, COVERAGE_ITEM: 0.3425250, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1341590, SHANNON_ENTROPY: 9.9096243, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 2, 'MIXED': 0.26118403729120127, 'S_SLIM_BPR': 0.16664814185441004, 'S_PURE_SVD': 0.5766769736374183, 'S_IALS': 0.11069952080631987, 'USER_CBF_CF': 0.028050230749218315} - results: ROC_AUC: 0.1214264, PRECISION: 0.0185210, PRECISION_RECALL_MIN_DEN: 0.0617368, RECALL: 0.0617368, MAP: 0.0305475, MRR: 0.0836925, NDCG: 0.0520039, F1: 0.0284939, HIT_RATE: 0.1852104, ARHR: 0.0876004, RMSE: 1.3760441, NOVELTY: 0.0056808, AVERAGE_POPULARITY: 0.3795794, DIVERSITY_MEAN_INTER_LIST: 0.9772315, DIVERSITY_HERFINDAHL: 0.9977171, COVERAGE_ITEM: 0.3356583, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1112850, SHANNON_ENTROPY: 9.5576513, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 8, 'MIXED': 0.18609303809018188, 'S_SLIM_BPR': 0.5491694895806047, 'S_PURE_SVD': 0.3101742644899053, 'S_IALS': 0.00038728899629281177, 'USER_CBF_CF': 0.36521975037497817} - results: ROC_AUC: 0.1202515, PRECISION: 0.0196454, PRECISION_RECALL_MIN_DEN: 0.0654846, RECALL: 0.0654846, MAP: 0.0314586, MRR: 0.0866927, NDCG: 0.0540950, F1: 0.0302237, HIT_RATE: 0.1964539, ARHR: 0.0904832, RMSE: 1.3760441, NOVELTY: 0.0058972, AVERAGE_POPULARITY: 0.3524016, DIVERSITY_MEAN_INTER_LIST: 0.9797043, DIVERSITY_HERFINDAHL: 0.9979644, COVERAGE_ITEM: 0.4274128, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1416993, SHANNON_ENTROPY: 10.0923732, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 4, 'MIXED': 0.6272637665117864, 'S_SLIM_BPR': 0.795205673847187, 'S_PURE_SVD': 0.7620456493944117, 'S_IALS': 0.9923710777475713, 'USER_CBF_CF': 0.7174428888043777} - results: ROC_AUC: 0.1271535, PRECISION: 0.0205968, PRECISION_RECALL_MIN_DEN: 0.0686559, RECALL: 0.0686559, MAP: 0.0333812, MRR: 0.0912247, NDCG: 0.0570006, F1: 0.0316873, HIT_RATE: 0.2059678, ARHR: 0.0955923, RMSE: 1.3760441, NOVELTY: 0.0057346, AVERAGE_POPULARITY: 0.3875593, DIVERSITY_MEAN_INTER_LIST: 0.9757544, DIVERSITY_HERFINDAHL: 0.9975694, COVERAGE_ITEM: 0.3094891, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1268835, SHANNON_ENTROPY: 9.6410943, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 10, 'MIXED': 0.9065300136662962, 'S_SLIM_BPR': 0.10384046616887124, 'S_PURE_SVD': 0.043867372417446655, 'S_IALS': 0.9806306706042227, 'USER_CBF_CF': 0.0734607963555476} - results: ROC_AUC: 0.1235869, PRECISION: 0.0200470, PRECISION_RECALL_MIN_DEN: 0.0668232, RECALL: 0.0668232, MAP: 0.0328591, MRR: 0.0904575, NDCG: 0.0559539, F1: 0.0308415, HIT_RATE: 0.2004695, ARHR: 0.0944477, RMSE: 1.3760441, NOVELTY: 0.0059131, AVERAGE_POPULARITY: 0.3216606, DIVERSITY_MEAN_INTER_LIST: 0.9840754, DIVERSITY_HERFINDAHL: 0.9984015, COVERAGE_ITEM: 0.3290619, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1676725, SHANNON_ENTROPY: 10.2309377, 
