SearchBayesianSkopt: New best config found. Config 11: {'topK': 10, 'shrink': 928, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.03226431975029188, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2432571, PRECISION: 0.0042569, PRECISION_RECALL_MIN_DEN: 0.0141895, RECALL: 0.0141895, MAP: 0.0051396, MRR: 0.0148131, NDCG: 0.0100709, F1: 0.0065490, HIT_RATE: 0.0425686, ARHR: 0.0151160, RMSE: nan, NOVELTY: 0.0068828, AVERAGE_POPULARITY: 0.0731329, DIVERSITY_MEAN_INTER_LIST: 0.9962526, DIVERSITY_HERFINDAHL: 0.9993767, COVERAGE_ITEM: 0.7792760, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3070301, SHANNON_ENTROPY: 11.9931584, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2423723, PRECISION: 0.0042858, PRECISION_RECALL_MIN_DEN: 0.0142859, RECALL: 0.0142859, MAP: 0.0051468, MRR: 0.0146622, NDCG: 0.0100571, F1: 0.0065935, HIT_RATE: 0.0428578, ARHR: 0.0150513, RMSE: nan, NOVELTY: 0.0068581, AVERAGE_POPULARITY: 0.0712729, DIVERSITY_MEAN_INTER_LIST: 0.9980080, DIVERSITY_HERFINDAHL: 0.9996650, COVERAGE_ITEM: 0.8485305, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3533460, SHANNON_ENTROPY: 12.4678531, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2417971, PRECISION: 0.0041845, PRECISION_RECALL_MIN_DEN: 0.0139485, RECALL: 0.0139485, MAP: 0.0049587, MRR: 0.0142482, NDCG: 0.0097709, F1: 0.0064378, HIT_RATE: 0.0418454, ARHR: 0.0145621, RMSE: nan, NOVELTY: 0.0068616, AVERAGE_POPULARITY: 0.0711602, DIVERSITY_MEAN_INTER_LIST: 0.9980079, DIVERSITY_HERFINDAHL: 0.9996650, COVERAGE_ITEM: 0.8495123, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3528470, SHANNON_ENTROPY: 12.4677585, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 7, 'shrink': 899, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9938456789818633, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2366900, PRECISION: 0.0031239, PRECISION_RECALL_MIN_DEN: 0.0104132, RECALL: 0.0104132, MAP: 0.0037003, MRR: 0.0106816, NDCG: 0.0073132, F1: 0.0048061, HIT_RATE: 0.0312395, ARHR: 0.0108913, RMSE: nan, NOVELTY: 0.0069597, AVERAGE_POPULARITY: 0.0619323, DIVERSITY_MEAN_INTER_LIST: 0.9954555, DIVERSITY_HERFINDAHL: 0.9992458, COVERAGE_ITEM: 0.8127905, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3328127, SHANNON_ENTROPY: 12.1714665, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 995, 'shrink': 4, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9495301657583175, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2332892, PRECISION: 0.0027672, PRECISION_RECALL_MIN_DEN: 0.0092240, RECALL: 0.0092240, MAP: 0.0029406, MRR: 0.0084177, NDCG: 0.0060883, F1: 0.0042572, HIT_RATE: 0.0276720, ARHR: 0.0086198, RMSE: nan, NOVELTY: 0.0069370, AVERAGE_POPULARITY: 0.0592470, DIVERSITY_MEAN_INTER_LIST: 0.9981415, DIVERSITY_HERFINDAHL: 0.9996869, COVERAGE_ITEM: 0.7594423, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3515898, SHANNON_ENTROPY: 12.3645307, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 8, 'shrink': 61, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.02251762109836553, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2424580, PRECISION: 0.0040013, PRECISION_RECALL_MIN_DEN: 0.0133378, RECALL: 0.0133378, MAP: 0.0050507, MRR: 0.0145386, NDCG: 0.0097022, F1: 0.0061559, HIT_RATE: 0.0400135, ARHR: 0.0148453, RMSE: nan, NOVELTY: 0.0068911, AVERAGE_POPULARITY: 0.0726308, DIVERSITY_MEAN_INTER_LIST: 0.9955691, DIVERSITY_HERFINDAHL: 0.9992645, COVERAGE_ITEM: 0.7725339, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2996019, SHANNON_ENTROPY: 11.9018240, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 897, 'shrink': 991, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.005084108213603501, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2411650, PRECISION: 0.0041556, PRECISION_RECALL_MIN_DEN: 0.0138521, RECALL: 0.0138521, MAP: 0.0048876, MRR: 0.0140347, NDCG: 0.0096528, F1: 0.0063933, HIT_RATE: 0.0415562, ARHR: 0.0143488, RMSE: nan, NOVELTY: 0.0068596, AVERAGE_POPULARITY: 0.0709365, DIVERSITY_MEAN_INTER_LIST: 0.9979589, DIVERSITY_HERFINDAHL: 0.9996569, COVERAGE_ITEM: 0.8447994, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3505088, SHANNON_ENTROPY: 12.4453821, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 920, 'shrink': 2, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.018461170312828793, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2399404, PRECISION: 0.0039483, PRECISION_RECALL_MIN_DEN: 0.0131611, RECALL: 0.0131611, MAP: 0.0045214, MRR: 0.0129081, NDCG: 0.0090320, F1: 0.0060743, HIT_RATE: 0.0394832, ARHR: 0.0132362, RMSE: nan, NOVELTY: 0.0068726, AVERAGE_POPULARITY: 0.0690833, DIVERSITY_MEAN_INTER_LIST: 0.9981322, DIVERSITY_HERFINDAHL: 0.9996854, COVERAGE_ITEM: 0.8506906, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3581327, SHANNON_ENTROPY: 12.5086629, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 17, 'shrink': 9, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.024835684596267844, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2420386, PRECISION: 0.0043099, PRECISION_RECALL_MIN_DEN: 0.0143663, RECALL: 0.0143663, MAP: 0.0049782, MRR: 0.0142781, NDCG: 0.0099170, F1: 0.0066306, HIT_RATE: 0.0430989, ARHR: 0.0146033, RMSE: nan, NOVELTY: 0.0068843, AVERAGE_POPULARITY: 0.0711247, DIVERSITY_MEAN_INTER_LIST: 0.9973399, DIVERSITY_HERFINDAHL: 0.9995553, COVERAGE_ITEM: 0.8181580, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3276766, SHANNON_ENTROPY: 12.2465325, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 17, 'shrink': 959, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.04224437764720502, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2359581, PRECISION: 0.0031963, PRECISION_RECALL_MIN_DEN: 0.0106542, RECALL: 0.0106542, MAP: 0.0034723, MRR: 0.0100100, NDCG: 0.0071334, F1: 0.0049173, HIT_RATE: 0.0319626, ARHR: 0.0102135, RMSE: nan, NOVELTY: 0.0069484, AVERAGE_POPULARITY: 0.0599825, DIVERSITY_MEAN_INTER_LIST: 0.9977903, DIVERSITY_HERFINDAHL: 0.9996292, COVERAGE_ITEM: 0.8022518, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3583995, SHANNON_ENTROPY: 12.4154864, 
