SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 983, 'shrink': 986, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2333538, PRECISION: 0.0027527, PRECISION_RECALL_MIN_DEN: 0.0091758, RECALL: 0.0091758, MAP: 0.0029435, MRR: 0.0084294, NDCG: 0.0060776, F1: 0.0042350, HIT_RATE: 0.0275274, ARHR: 0.0086299, RMSE: nan, NOVELTY: 0.0069394, AVERAGE_POPULARITY: 0.0591257, DIVERSITY_MEAN_INTER_LIST: 0.9981487, DIVERSITY_HERFINDAHL: 0.9996881, COVERAGE_ITEM: 0.7642862, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3507555, SHANNON_ENTROPY: 12.3703808, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 968, 'shrink': 11, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2414105, PRECISION: 0.0042183, PRECISION_RECALL_MIN_DEN: 0.0140610, RECALL: 0.0140610, MAP: 0.0048954, MRR: 0.0140247, NDCG: 0.0097216, F1: 0.0064897, HIT_RATE: 0.0421829, ARHR: 0.0143514, RMSE: nan, NOVELTY: 0.0068660, AVERAGE_POPULARITY: 0.0713803, DIVERSITY_MEAN_INTER_LIST: 0.9979338, DIVERSITY_HERFINDAHL: 0.9996528, COVERAGE_ITEM: 0.8458467, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3481993, SHANNON_ENTROPY: 12.4362863, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 9, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2416669, PRECISION: 0.0039049, PRECISION_RECALL_MIN_DEN: 0.0130164, RECALL: 0.0130164, MAP: 0.0050301, MRR: 0.0145021, NDCG: 0.0095663, F1: 0.0060076, HIT_RATE: 0.0390493, ARHR: 0.0147963, RMSE: nan, NOVELTY: 0.0068979, AVERAGE_POPULARITY: 0.0719530, DIVERSITY_MEAN_INTER_LIST: 0.9952692, DIVERSITY_HERFINDAHL: 0.9992153, COVERAGE_ITEM: 0.7612751, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2967454, SHANNON_ENTROPY: 11.8582111, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2409230, PRECISION: 0.0038085, PRECISION_RECALL_MIN_DEN: 0.0126950, RECALL: 0.0126950, MAP: 0.0048767, MRR: 0.0141003, NDCG: 0.0093017, F1: 0.0058593, HIT_RATE: 0.0380851, ARHR: 0.0143652, RMSE: nan, NOVELTY: 0.0069260, AVERAGE_POPULARITY: 0.0723231, DIVERSITY_MEAN_INTER_LIST: 0.9915237, DIVERSITY_HERFINDAHL: 0.9986002, COVERAGE_ITEM: 0.7364666, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2726624, SHANNON_ENTROPY: 11.5216207, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 12, 'shrink': 997, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2412511, PRECISION: 0.0040592, PRECISION_RECALL_MIN_DEN: 0.0135307, RECALL: 0.0135307, MAP: 0.0048463, MRR: 0.0138697, NDCG: 0.0095120, F1: 0.0062449, HIT_RATE: 0.0405920, ARHR: 0.0142043, RMSE: nan, NOVELTY: 0.0068819, AVERAGE_POPULARITY: 0.0722173, DIVERSITY_MEAN_INTER_LIST: 0.9969462, DIVERSITY_HERFINDAHL: 0.9994906, COVERAGE_ITEM: 0.8002880, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3162696, SHANNON_ENTROPY: 12.1307726, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 994, 'shrink': 24, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2331292, PRECISION: 0.0027383, PRECISION_RECALL_MIN_DEN: 0.0091276, RECALL: 0.0091276, MAP: 0.0028928, MRR: 0.0082978, NDCG: 0.0060084, F1: 0.0042127, HIT_RATE: 0.0273827, ARHR: 0.0084882, RMSE: nan, NOVELTY: 0.0069368, AVERAGE_POPULARITY: 0.0591933, DIVERSITY_MEAN_INTER_LIST: 0.9981342, DIVERSITY_HERFINDAHL: 0.9996857, COVERAGE_ITEM: 0.7578713, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3515034, SHANNON_ENTROPY: 12.3608329, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 992, 'shrink': 17, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2397342, PRECISION: 0.0039146, PRECISION_RECALL_MIN_DEN: 0.0130486, RECALL: 0.0130486, MAP: 0.0044937, MRR: 0.0127994, NDCG: 0.0089606, F1: 0.0060224, HIT_RATE: 0.0391457, ARHR: 0.0131403, RMSE: nan, NOVELTY: 0.0068728, AVERAGE_POPULARITY: 0.0690139, DIVERSITY_MEAN_INTER_LIST: 0.9981253, DIVERSITY_HERFINDAHL: 0.9996842, COVERAGE_ITEM: 0.8497087, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3585728, SHANNON_ENTROPY: 12.5069211, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 8, 'shrink': 12, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2413443, PRECISION: 0.0038953, PRECISION_RECALL_MIN_DEN: 0.0129843, RECALL: 0.0129843, MAP: 0.0049498, MRR: 0.0141624, NDCG: 0.0094515, F1: 0.0059928, HIT_RATE: 0.0389529, ARHR: 0.0145029, RMSE: nan, NOVELTY: 0.0069044, AVERAGE_POPULARITY: 0.0721628, DIVERSITY_MEAN_INTER_LIST: 0.9947072, DIVERSITY_HERFINDAHL: 0.9991230, COVERAGE_ITEM: 0.7561694, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2921449, SHANNON_ENTROPY: 11.7938245, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 987, 'shrink': 992, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2411650, PRECISION: 0.0041363, PRECISION_RECALL_MIN_DEN: 0.0137878, RECALL: 0.0137878, MAP: 0.0047954, MRR: 0.0137964, NDCG: 0.0095439, F1: 0.0063636, HIT_RATE: 0.0413634, ARHR: 0.0140913, RMSE: nan, NOVELTY: 0.0068581, AVERAGE_POPULARITY: 0.0708797, DIVERSITY_MEAN_INTER_LIST: 0.9979603, DIVERSITY_HERFINDAHL: 0.9996572, COVERAGE_ITEM: 0.8466977, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3499872, SHANNON_ENTROPY: 12.4466155, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2409230, PRECISION: 0.0038085, PRECISION_RECALL_MIN_DEN: 0.0126950, RECALL: 0.0126950, MAP: 0.0048767, MRR: 0.0141003, NDCG: 0.0093017, F1: 0.0058593, HIT_RATE: 0.0380851, ARHR: 0.0143652, RMSE: nan, NOVELTY: 0.0069260, AVERAGE_POPULARITY: 0.0723231, DIVERSITY_MEAN_INTER_LIST: 0.9915237, DIVERSITY_HERFINDAHL: 0.9986002, COVERAGE_ITEM: 0.7364666, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2726624, SHANNON_ENTROPY: 11.5216207, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356401, PRECISION: 0.0029070, PRECISION_RECALL_MIN_DEN: 0.0096900, RECALL: 0.0096900, MAP: 0.0035210, MRR: 0.0101840, NDCG: 0.0068917, F1: 0.0044723, HIT_RATE: 0.0290700, ARHR: 0.0103736, RMSE: nan, NOVELTY: 0.0069897, AVERAGE_POPULARITY: 0.0602189, DIVERSITY_MEAN_INTER_LIST: 0.9934525, DIVERSITY_HERFINDAHL: 0.9989169, COVERAGE_ITEM: 0.7789487, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3069102, SHANNON_ENTROPY: 11.8946725, 
