SearchBayesianSkoptObject: New best config found. Config 11: {'FUSION_ITEM_CBF_CF': 0.9406660812810054, 'FUSION_P3ALPHA': 0.46968240782289705, 'USERCBFCF': 0.7152322561643585, 'ITEM_CBF': 0.37384983411049305, 'IALS': 0.5903056201625881, 'RP3BETA': 0.35351956316999283, 'SSLIM_BPR': 0.11261293404415765} - results: ROC_AUC: 0.1370314, PRECISION: 0.0224316, PRECISION_RECALL_MIN_DEN: 0.0747719, RECALL: 0.0747719, MAP: 0.0360874, MRR: 0.0974555, NDCG: 0.0616130, F1: 0.0345101, HIT_RATE: 0.2243158, ARHR: 0.1027490, RMSE: 0.9614045, NOVELTY: 0.0060411, AVERAGE_POPULARITY: 0.3005239, DIVERSITY_MEAN_INTER_LIST: 0.9842517, DIVERSITY_HERFINDAHL: 0.9984191, COVERAGE_ITEM: 0.4881860, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1765463, SHANNON_ENTROPY: 10.6429257, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.27891324630552544, 'FUSION_P3ALPHA': 0.20173297247925975, 'USERCBFCF': 0.34611634921423723, 'ITEM_CBF': 0.6048125686489841, 'IALS': 0.7391975876361677, 'RP3BETA': 0.056164192949281, 'SSLIM_BPR': 0.06398187526346379} - results: ROC_AUC: 0.1240295, PRECISION: 0.0203744, PRECISION_RECALL_MIN_DEN: 0.0679146, RECALL: 0.0679146, MAP: 0.0321882, MRR: 0.0879455, NDCG: 0.0555150, F1: 0.0313452, HIT_RATE: 0.2037437, ARHR: 0.0921689, RMSE: 0.9682120, NOVELTY: 0.0059424, AVERAGE_POPULARITY: 0.2757623, DIVERSITY_MEAN_INTER_LIST: 0.9869239, DIVERSITY_HERFINDAHL: 0.9986863, COVERAGE_ITEM: 0.4735334, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1965277, SHANNON_ENTROPY: 10.8417269, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.6600605721741903, 'FUSION_P3ALPHA': 0.5315681594360123, 'USERCBFCF': 0.9466506527378816, 'ITEM_CBF': 0.013365490161409758, 'IALS': 0.0535840649445445, 'RP3BETA': 0.4212158400526357, 'SSLIM_BPR': 0.5433319300083356} - results: ROC_AUC: 0.1331989, PRECISION: 0.0216779, PRECISION_RECALL_MIN_DEN: 0.0722596, RECALL: 0.0722596, MAP: 0.0351817, MRR: 0.0949196, NDCG: 0.0598484, F1: 0.0333506, HIT_RATE: 0.2167789, ARHR: 0.1001185, RMSE: 0.9756689, NOVELTY: 0.0060576, AVERAGE_POPULARITY: 0.3178398, DIVERSITY_MEAN_INTER_LIST: 0.9817618, DIVERSITY_HERFINDAHL: 0.9981701, COVERAGE_ITEM: 0.4607732, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1804499, SHANNON_ENTROPY: 10.5204881, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.6499601777654979, 'FUSION_P3ALPHA': 0.35519752414091527, 'USERCBFCF': 0.05623318946543633, 'ITEM_CBF': 0.08161451441609859, 'IALS': 0.24269650894771838, 'RP3BETA': 0.6448451890171558, 'SSLIM_BPR': 0.515277248408155} - results: ROC_AUC: 0.1332659, PRECISION: 0.0218323, PRECISION_RECALL_MIN_DEN: 0.0727744, RECALL: 0.0727744, MAP: 0.0350588, MRR: 0.0946684, NDCG: 0.0598958, F1: 0.0335882, HIT_RATE: 0.2183233, ARHR: 0.0998085, RMSE: 0.9767392, NOVELTY: 0.0060467, AVERAGE_POPULARITY: 0.3146233, DIVERSITY_MEAN_INTER_LIST: 0.9823046, DIVERSITY_HERFINDAHL: 0.9982244, COVERAGE_ITEM: 0.4787780, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1756601, SHANNON_ENTROPY: 10.5402948, 
SearchBayesianSkoptObject: New best config found. Config 15: {'FUSION_ITEM_CBF_CF': 0.8161392951309766, 'FUSION_P3ALPHA': 0.44409977489689745, 'USERCBFCF': 0.04868749654952788, 'ITEM_CBF': 0.256067509248816, 'IALS': 0.14826272179133917, 'RP3BETA': 0.01327207865747149, 'SSLIM_BPR': 0.06973645193564183} - results: ROC_AUC: 0.1367206, PRECISION: 0.0223760, PRECISION_RECALL_MIN_DEN: 0.0745866, RECALL: 0.0745866, MAP: 0.0362224, MRR: 0.0979557, NDCG: 0.0617063, F1: 0.0344246, HIT_RATE: 0.2237598, ARHR: 0.1032041, RMSE: 0.9828399, NOVELTY: 0.0061338, AVERAGE_POPULARITY: 0.2661169, DIVERSITY_MEAN_INTER_LIST: 0.9873271, DIVERSITY_HERFINDAHL: 0.9987266, COVERAGE_ITEM: 0.5463098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1929466, SHANNON_ENTROPY: 10.9609181, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.3014270462119208, 'FUSION_P3ALPHA': 0.7488501167310965, 'USERCBFCF': 0.507209655453181, 'ITEM_CBF': 0.18589965019687274, 'IALS': 0.9608408272717085, 'RP3BETA': 0.06288703497780092, 'SSLIM_BPR': 0.4333145722577728} - results: ROC_AUC: 0.1345490, PRECISION: 0.0219003, PRECISION_RECALL_MIN_DEN: 0.0730010, RECALL: 0.0730010, MAP: 0.0354058, MRR: 0.0956119, NDCG: 0.0603373, F1: 0.0336928, HIT_RATE: 0.2190029, ARHR: 0.1007987, RMSE: 0.9564258, NOVELTY: 0.0060189, AVERAGE_POPULARITY: 0.3133334, DIVERSITY_MEAN_INTER_LIST: 0.9830093, DIVERSITY_HERFINDAHL: 0.9982949, COVERAGE_ITEM: 0.3991349, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1771030, SHANNON_ENTROPY: 10.4377064, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.5685881266799339, 'FUSION_P3ALPHA': 0.9707727634112031, 'USERCBFCF': 0.8103256567101607, 'ITEM_CBF': 0.8462600098173431, 'IALS': 0.1826827096251469, 'RP3BETA': 0.4553033758088779, 'SSLIM_BPR': 0.9458177009998879} - results: ROC_AUC: 0.1324729, PRECISION: 0.0214122, PRECISION_RECALL_MIN_DEN: 0.0713741, RECALL: 0.0713741, MAP: 0.0346878, MRR: 0.0940319, NDCG: 0.0591477, F1: 0.0329419, HIT_RATE: 0.2141224, ARHR: 0.0989510, RMSE: 0.9649972, NOVELTY: 0.0060350, AVERAGE_POPULARITY: 0.2935665, DIVERSITY_MEAN_INTER_LIST: 0.9844656, DIVERSITY_HERFINDAHL: 0.9984405, COVERAGE_ITEM: 0.5075966, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1883219, SHANNON_ENTROPY: 10.7499435, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.6946444011996876, 'FUSION_P3ALPHA': 0.3321536698130419, 'USERCBFCF': 0.2725068944505296, 'ITEM_CBF': 0.8445112080310571, 'IALS': 0.15172312319438966, 'RP3BETA': 0.805985007162218, 'SSLIM_BPR': 0.4121101384047301} - results: ROC_AUC: 0.1312694, PRECISION: 0.0210354, PRECISION_RECALL_MIN_DEN: 0.0701180, RECALL: 0.0701180, MAP: 0.0344338, MRR: 0.0935013, NDCG: 0.0585067, F1: 0.0323622, HIT_RATE: 0.2103540, ARHR: 0.0983106, RMSE: 0.9738569, NOVELTY: 0.0059648, AVERAGE_POPULARITY: 0.2870368, DIVERSITY_MEAN_INTER_LIST: 0.9851263, DIVERSITY_HERFINDAHL: 0.9985065, COVERAGE_ITEM: 0.5343606, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1903608, SHANNON_ENTROPY: 10.8306568, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.8768590745152838, 'FUSION_P3ALPHA': 0.6446647639294051, 'USERCBFCF': 0.44764684137456834, 'ITEM_CBF': 0.8816036822686815, 'IALS': 0.6100651041682496, 'RP3BETA': 0.92154364538102, 'SSLIM_BPR': 0.35301293348103985} - results: ROC_AUC: 0.1342568, PRECISION: 0.0218138, PRECISION_RECALL_MIN_DEN: 0.0727127, RECALL: 0.0727127, MAP: 0.0351849, MRR: 0.0953007, NDCG: 0.0600734, F1: 0.0335597, HIT_RATE: 0.2181380, ARHR: 0.1003326, RMSE: 0.9559467, NOVELTY: 0.0059900, AVERAGE_POPULARITY: 0.2953110, DIVERSITY_MEAN_INTER_LIST: 0.9845481, DIVERSITY_HERFINDAHL: 0.9984487, COVERAGE_ITEM: 0.5061368, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1835486, SHANNON_ENTROPY: 10.7237861, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.7426835813693523, 'FUSION_P3ALPHA': 0.11508671874041557, 'USERCBFCF': 0.8911938221897714, 'ITEM_CBF': 0.29410379702936523, 'IALS': 0.9953808724023733, 'RP3BETA': 0.4433484416250991, 'SSLIM_BPR': 0.3918501352929532} - results: ROC_AUC: 0.1358146, PRECISION: 0.0224316, PRECISION_RECALL_MIN_DEN: 0.0747719, RECALL: 0.0747719, MAP: 0.0355555, MRR: 0.0957613, NDCG: 0.0610119, F1: 0.0345101, HIT_RATE: 0.2243158, ARHR: 0.1010979, RMSE: 0.9507785, NOVELTY: 0.0059456, AVERAGE_POPULARITY: 0.3358476, DIVERSITY_MEAN_INTER_LIST: 0.9803921, DIVERSITY_HERFINDAHL: 0.9980331, COVERAGE_ITEM: 0.4334144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1610116, SHANNON_ENTROPY: 10.3127066, 
