SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0977608, PRECISION: 0.0162609, PRECISION_RECALL_MIN_DEN: 0.0542030, RECALL: 0.0542030, MAP: 0.0255174, MRR: 0.0692164, NDCG: 0.0440367, F1: 0.0250168, HIT_RATE: 0.1626091, ARHR: 0.0728183, RMSE: nan, NOVELTY: 0.0064264, AVERAGE_POPULARITY: 0.3573403, DIVERSITY_MEAN_INTER_LIST: 0.9225912, DIVERSITY_HERFINDAHL: 0.9922547, COVERAGE_ITEM: 0.4362801, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0988870, SHANNON_ENTROPY: 8.8379800, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'ITEM_CBF_NUM': 1.0, 'ITEM_CBF_CAT': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0971382, PRECISION: 0.0152148, PRECISION_RECALL_MIN_DEN: 0.0507159, RECALL: 0.0507159, MAP: 0.0253359, MRR: 0.0692930, NDCG: 0.0428718, F1: 0.0234073, HIT_RATE: 0.1521477, ARHR: 0.0725917, RMSE: nan, NOVELTY: 0.0065956, AVERAGE_POPULARITY: 0.2812517, DIVERSITY_MEAN_INTER_LIST: 0.9380022, DIVERSITY_HERFINDAHL: 0.9937957, COVERAGE_ITEM: 0.4833198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1293824, SHANNON_ENTROPY: 9.4992333, 
SearchBayesianSkoptObject: New best config found. Config 13: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'ITEM_CF': 0.9414959537265776, 'USER_CF': 0.9975067199062191, 'SLIM_BPR': 0.4781583590072892, 'ITEM_CBF_NUM': 0.044292662217685914, 'ITEM_CBF_CAT': 0.6776734815927782, 'P3ALPHA': 0.9740068694448439, 'RP3BETA': 0.3038154269928634} - results: ROC_AUC: 0.1003739, PRECISION: 0.0160488, PRECISION_RECALL_MIN_DEN: 0.0534960, RECALL: 0.0534960, MAP: 0.0262478, MRR: 0.0711676, NDCG: 0.0446055, F1: 0.0246904, HIT_RATE: 0.1604879, ARHR: 0.0748835, RMSE: nan, NOVELTY: 0.0066343, AVERAGE_POPULARITY: 0.2759073, DIVERSITY_MEAN_INTER_LIST: 0.9364060, DIVERSITY_HERFINDAHL: 0.9936361, COVERAGE_ITEM: 0.6036767, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1425131, SHANNON_ENTROPY: 9.7083250, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0} - results: ROC_AUC: 0.0984519, PRECISION: 0.0158077, PRECISION_RECALL_MIN_DEN: 0.0526925, RECALL: 0.0526925, MAP: 0.0259137, MRR: 0.0706353, NDCG: 0.0440400, F1: 0.0243196, HIT_RATE: 0.1580774, ARHR: 0.0741133, RMSE: nan, NOVELTY: 0.0065410, AVERAGE_POPULARITY: 0.3233206, DIVERSITY_MEAN_INTER_LIST: 0.9262490, DIVERSITY_HERFINDAHL: 0.9926204, COVERAGE_ITEM: 0.4537443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1225364, SHANNON_ENTROPY: 9.2027516, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0997565, PRECISION: 0.0159475, PRECISION_RECALL_MIN_DEN: 0.0531585, RECALL: 0.0531585, MAP: 0.0261173, MRR: 0.0710964, NDCG: 0.0444003, F1: 0.0245347, HIT_RATE: 0.1594755, ARHR: 0.0746538, RMSE: nan, NOVELTY: 0.0065176, AVERAGE_POPULARITY: 0.3278570, DIVERSITY_MEAN_INTER_LIST: 0.9266056, DIVERSITY_HERFINDAHL: 0.9926561, COVERAGE_ITEM: 0.4492566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1184213, SHANNON_ENTROPY: 9.1492290, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 0.9623327448798072, 'USER_CF': 0.21069423384892622, 'SLIM_BPR': 0.9471406425704271, 'ITEM_CBF_NUM': 0.03929100924700913, 'ITEM_CBF_CAT': 0.018928125618487338, 'P3ALPHA': 0.1318350140193906, 'RP3BETA': 0.02601047402588664} - results: ROC_AUC: 0.0957966, PRECISION: 0.0151473, PRECISION_RECALL_MIN_DEN: 0.0504909, RECALL: 0.0504909, MAP: 0.0255026, MRR: 0.0693191, NDCG: 0.0428738, F1: 0.0233035, HIT_RATE: 0.1514728, ARHR: 0.0728369, RMSE: nan, NOVELTY: 0.0067893, AVERAGE_POPULARITY: 0.2199322, DIVERSITY_MEAN_INTER_LIST: 0.9432753, DIVERSITY_HERFINDAHL: 0.9943230, COVERAGE_ITEM: 0.5332252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1635707, SHANNON_ENTROPY: 10.0410175, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 0.9885877157192708, 'USER_CF': 0.6139221874319393, 'SLIM_BPR': 0.9484621344819596, 'ITEM_CBF_NUM': 0.9380700916708147, 'ITEM_CBF_CAT': 0.9065901377072574, 'P3ALPHA': 0.7180828795860295, 'RP3BETA': 0.21758760589247356} - results: ROC_AUC: 0.0863331, PRECISION: 0.0125102, PRECISION_RECALL_MIN_DEN: 0.0417008, RECALL: 0.0417008, MAP: 0.0233726, MRR: 0.0648812, NDCG: 0.0380894, F1: 0.0192465, HIT_RATE: 0.1251024, ARHR: 0.0674535, RMSE: nan, NOVELTY: 0.0065738, AVERAGE_POPULARITY: 0.2149665, DIVERSITY_MEAN_INTER_LIST: 0.9432990, DIVERSITY_HERFINDAHL: 0.9943254, COVERAGE_ITEM: 0.6188159, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1728020, SHANNON_ENTROPY: 10.1873047, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0995353, PRECISION: 0.0162802, PRECISION_RECALL_MIN_DEN: 0.0542673, RECALL: 0.0542673, MAP: 0.0262209, MRR: 0.0710017, NDCG: 0.0447821, F1: 0.0250464, HIT_RATE: 0.1628019, ARHR: 0.0747607, RMSE: nan, NOVELTY: 0.0066454, AVERAGE_POPULARITY: 0.2797794, DIVERSITY_MEAN_INTER_LIST: 0.9370286, DIVERSITY_HERFINDAHL: 0.9936983, COVERAGE_ITEM: 0.4913220, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1369151, SHANNON_ENTROPY: 9.5541357, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'ITEM_CF': 0.020736418518019776, 'USER_CF': 0.9834331708621603, 'SLIM_BPR': 0.9617450211838605, 'ITEM_CBF_NUM': 0.0953788971886487, 'ITEM_CBF_CAT': 0.9772314569800903, 'P3ALPHA': 0.8935718453990155, 'RP3BETA': 0.5711940453713186} - results: ROC_AUC: 0.0925058, PRECISION: 0.0141494, PRECISION_RECALL_MIN_DEN: 0.0471645, RECALL: 0.0471645, MAP: 0.0242691, MRR: 0.0666167, NDCG: 0.0406687, F1: 0.0217682, HIT_RATE: 0.1414935, ARHR: 0.0696703, RMSE: nan, NOVELTY: 0.0064478, AVERAGE_POPULARITY: 0.2487936, DIVERSITY_MEAN_INTER_LIST: 0.9382071, DIVERSITY_HERFINDAHL: 0.9938162, COVERAGE_ITEM: 0.6208705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1676849, SHANNON_ENTROPY: 9.9885152, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 0.9305812304318531, 'USER_CF': 0.932755631771794, 'SLIM_BPR': 0.05538526317738547, 'ITEM_CBF_NUM': 0.029505042087298546, 'ITEM_CBF_CAT': 0.9433370660666136, 'P3ALPHA': 0.9856903075486113, 'RP3BETA': 0.06499251661149875} - results: ROC_AUC: 0.0933472, PRECISION: 0.0139083, PRECISION_RECALL_MIN_DEN: 0.0463610, RECALL: 0.0463610, MAP: 0.0247270, MRR: 0.0680906, NDCG: 0.0409348, F1: 0.0213974, HIT_RATE: 0.1390831, ARHR: 0.0710801, RMSE: nan, NOVELTY: 0.0064033, AVERAGE_POPULARITY: 0.2208547, DIVERSITY_MEAN_INTER_LIST: 0.9410288, DIVERSITY_HERFINDAHL: 0.9940983, COVERAGE_ITEM: 0.6623412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1763332, SHANNON_ENTROPY: 10.2098692, 
