CrossSearchBayesianSkopt: New best config found. Config 11: {'topK': 59, 'alpha': 0.3030365384541405, 'beta': 0.3176058124001942, 'normalize_similarity': True} - results: ROC_AUC: 0.079379±0.0010, PRECISION: 0.010691±0.0001, PRECISION_RECALL_MIN_DEN: 0.106914±0.0013, RECALL: 0.106914±0.0013, MAP: 0.057466±0.0008, MRR: 0.057466±0.0008, NDCG: 0.069198±0.0009, F1: 0.019439±0.0002, HIT_RATE: 0.106914±0.0013, ARHR: 0.057466±0.0008, RMSE: 0.933090±0.0003, NOVELTY: 0.007048±0.0000, AVERAGE_POPULARITY: 0.197728±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.993578±0.0000, DIVERSITY_HERFINDAHL: 0.999352±0.0000, COVERAGE_ITEM: 0.897367±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.322226±0.0007, SHANNON_ENTROPY: 12.303287±0.0040, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 373, 'alpha': 0.6756095322588626, 'beta': 1.9971016181203656, 'normalize_similarity': True} - results: ROC_AUC: 0.000771±0.0002, PRECISION: 0.000123±0.0000, PRECISION_RECALL_MIN_DEN: 0.001230±0.0003, RECALL: 0.001230±0.0003, MAP: 0.000466±0.0001, MRR: 0.000466±0.0001, NDCG: 0.000645±0.0002, F1: 0.000224±0.0001, HIT_RATE: 0.001230±0.0003, ARHR: 0.000466±0.0001, RMSE: 0.998176±0.0001, NOVELTY: 0.009329±0.0000, AVERAGE_POPULARITY: 0.003570±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.994593±0.0000, DIVERSITY_HERFINDAHL: 0.999454±0.0000, COVERAGE_ITEM: 0.375312±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350494±0.0005, SHANNON_ENTROPY: 11.623926±0.0022, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 399, 'alpha': 1.3013632807899447, 'beta': 0.03277637277357349, 'normalize_similarity': False} - results: ROC_AUC: 0.029035±0.0005, PRECISION: 0.004280±0.0001, PRECISION_RECALL_MIN_DEN: 0.042795±0.0007, RECALL: 0.042795±0.0007, MAP: 0.020319±0.0005, MRR: 0.020319±0.0005, NDCG: 0.025575±0.0004, F1: 0.007781±0.0001, HIT_RATE: 0.042795±0.0007, ARHR: 0.020319±0.0005, RMSE: 0.998427±0.0000, NOVELTY: 0.007430±0.0000, AVERAGE_POPULARITY: 0.090949±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.998491±0.0000, DIVERSITY_HERFINDAHL: 0.999843±0.0000, COVERAGE_ITEM: 0.824493±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.475135±0.0015, SHANNON_ENTROPY: 13.197202±0.0057, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 871, 'alpha': 0.4705328480320362, 'beta': 0.05351410639100097, 'normalize_similarity': False} - results: ROC_AUC: 0.072951±0.0014, PRECISION: 0.010033±0.0002, PRECISION_RECALL_MIN_DEN: 0.100330±0.0020, RECALL: 0.100330±0.0020, MAP: 0.053227±0.0010, MRR: 0.053227±0.0010, NDCG: 0.064340±0.0011, F1: 0.018242±0.0004, HIT_RATE: 0.100330±0.0020, ARHR: 0.053227±0.0010, RMSE: 1.136615±0.0059, NOVELTY: 0.005633±0.0000, AVERAGE_POPULARITY: 0.562192±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.907233±0.0003, DIVERSITY_HERFINDAHL: 0.990718±0.0000, COVERAGE_ITEM: 0.503963±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099450±0.0004, SHANNON_ENTROPY: 8.615553±0.0032, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 701, 'alpha': 1.3700792823391115, 'beta': 1.6627536049654967, 'normalize_similarity': True} - results: ROC_AUC: 0.001801±0.0003, PRECISION: 0.000313±0.0000, PRECISION_RECALL_MIN_DEN: 0.003132±0.0003, RECALL: 0.003132±0.0003, MAP: 0.001067±0.0002, MRR: 0.001067±0.0002, NDCG: 0.001546±0.0002, F1: 0.000570±0.0000, HIT_RATE: 0.003132±0.0003, ARHR: 0.001067±0.0002, RMSE: 0.995418±0.0001, NOVELTY: 0.009004±0.0000, AVERAGE_POPULARITY: 0.005894±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.997417±0.0000, DIVERSITY_HERFINDAHL: 0.999736±0.0000, COVERAGE_ITEM: 0.602011±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.402772±0.0012, SHANNON_ENTROPY: 12.518937±0.0066, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 56, 'alpha': 1.3848148767909303, 'beta': 1.9191643867807224, 'normalize_similarity': False} - results: ROC_AUC: 0.001878±0.0002, PRECISION: 0.000357±0.0000, PRECISION_RECALL_MIN_DEN: 0.003565±0.0004, RECALL: 0.003565±0.0004, MAP: 0.001108±0.0001, MRR: 0.001108±0.0001, NDCG: 0.001673±0.0002, F1: 0.000648±0.0001, HIT_RATE: 0.003565±0.0004, ARHR: 0.001108±0.0001, RMSE: 0.999993±0.0000, NOVELTY: 0.008934±0.0000, AVERAGE_POPULARITY: 0.006461±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998317±0.0000, DIVERSITY_HERFINDAHL: 0.999826±0.0000, COVERAGE_ITEM: 0.679027±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.489229±0.0014, SHANNON_ENTROPY: 12.967300±0.0030, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 357, 'alpha': 1.6622649263465532, 'beta': 1.1692267588388359, 'normalize_similarity': True} - results: ROC_AUC: 0.003077±0.0002, PRECISION: 0.000547±0.0000, PRECISION_RECALL_MIN_DEN: 0.005468±0.0002, RECALL: 0.005468±0.0002, MAP: 0.001882±0.0002, MRR: 0.001882±0.0002, NDCG: 0.002709±0.0002, F1: 0.000994±0.0000, HIT_RATE: 0.005468±0.0002, ARHR: 0.001882±0.0002, RMSE: 0.991587±0.0003, NOVELTY: 0.008712±0.0000, AVERAGE_POPULARITY: 0.009306±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.997962±0.0000, DIVERSITY_HERFINDAHL: 0.999791±0.0000, COVERAGE_ITEM: 0.721417±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.423708±0.0016, SHANNON_ENTROPY: 12.847481±0.0085, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 113, 'alpha': 1.8875795729532607, 'beta': 1.1169890310513293, 'normalize_similarity': True} - results: ROC_AUC: 0.003170±0.0002, PRECISION: 0.000559±0.0000, PRECISION_RECALL_MIN_DEN: 0.005593±0.0003, RECALL: 0.005593±0.0003, MAP: 0.001905±0.0002, MRR: 0.001905±0.0002, NDCG: 0.002757±0.0002, F1: 0.001017±0.0000, HIT_RATE: 0.005593±0.0003, ARHR: 0.001905±0.0002, RMSE: 0.990344±0.0003, NOVELTY: 0.008613±0.0000, AVERAGE_POPULARITY: 0.010885±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.997713±0.0000, DIVERSITY_HERFINDAHL: 0.999766±0.0000, COVERAGE_ITEM: 0.727386±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.402131±0.0022, SHANNON_ENTROPY: 12.770369±0.0108, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 120, 'alpha': 0.4815269568300219, 'beta': 1.6249435518690363, 'normalize_similarity': True} - results: ROC_AUC: 0.000844±0.0002, PRECISION: 0.000137±0.0000, PRECISION_RECALL_MIN_DEN: 0.001367±0.0003, RECALL: 0.001367±0.0003, MAP: 0.000499±0.0001, MRR: 0.000499±0.0001, NDCG: 0.000702±0.0002, F1: 0.000249±0.0001, HIT_RATE: 0.001367±0.0003, ARHR: 0.000499±0.0001, RMSE: 0.998217±0.0001, NOVELTY: 0.009339±0.0000, AVERAGE_POPULARITY: 0.003507±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.994451±0.0000, DIVERSITY_HERFINDAHL: 0.999439±0.0000, COVERAGE_ITEM: 0.364650±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.348845±0.0011, SHANNON_ENTROPY: 11.575804±0.0017, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 899, 'alpha': 1.4811051851417931, 'beta': 1.7118661398947292, 'normalize_similarity': False} - results: ROC_AUC: 0.002106±0.0002, PRECISION: 0.000377±0.0000, PRECISION_RECALL_MIN_DEN: 0.003770±0.0003, RECALL: 0.003770±0.0003, MAP: 0.001237±0.0001, MRR: 0.001237±0.0001, NDCG: 0.001823±0.0002, F1: 0.000686±0.0001, HIT_RATE: 0.003770±0.0003, ARHR: 0.001237±0.0001, RMSE: 0.999993±0.0000, NOVELTY: 0.008959±0.0000, AVERAGE_POPULARITY: 0.006399±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998446±0.0000, DIVERSITY_HERFINDAHL: 0.999839±0.0000, COVERAGE_ITEM: 0.695074±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.490248±0.0008, SHANNON_ENTROPY: 13.016220±0.0031, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 510, 'alpha': 0.40101420405820176, 'beta': 0.6416237503079817, 'normalize_similarity': False} - results: ROC_AUC: 0.038014±0.0004, PRECISION: 0.005223±0.0001, PRECISION_RECALL_MIN_DEN: 0.052227±0.0007, RECALL: 0.052227±0.0007, MAP: 0.027309±0.0006, MRR: 0.027309±0.0006, NDCG: 0.033203±0.0006, F1: 0.009496±0.0001, HIT_RATE: 0.052227±0.0007, ARHR: 0.027309±0.0006, RMSE: 0.935138±0.0005, NOVELTY: 0.008676±0.0000, AVERAGE_POPULARITY: 0.034402±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998472±0.0000, DIVERSITY_HERFINDAHL: 0.999841±0.0000, COVERAGE_ITEM: 0.841265±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.472252±0.0018, SHANNON_ENTROPY: 13.214068±0.0028, 
