SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 1.0, 'ADV_TOP_POP': 1.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0391761, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079912, MRR: 0.0234879, NDCG: 0.0166308, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237308, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'TOP_POP': 0.08780965491249305, 'ADV_TOP_POP': 0.9884431717483027, 'USER_CBF': 0.005810258395695157} - results: ROC_AUC: 0.0396867, PRECISION: 0.0078139, PRECISION_RECALL_MIN_DEN: 0.0260462, RECALL: 0.0260462, MAP: 0.0083936, MRR: 0.0239011, NDCG: 0.0172906, F1: 0.0120213, HIT_RATE: 0.0781387, ARHR: 0.0245409, RMSE: 0.9399564, NOVELTY: 0.0048954, AVERAGE_POPULARITY: 0.8700457, DIVERSITY_MEAN_INTER_LIST: 0.3862075, DIVERSITY_HERFINDAHL: 0.9386123, COVERAGE_ITEM: 0.0010814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7429826, SHANNON_ENTROPY: 4.1560327, 
SearchBayesianSkoptObject: New best config found. Config 13: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.9444908491724129, 'ADV_TOP_POP': 0.0214957223729948, 'USER_CBF': 0.007450735951893163} - results: ROC_AUC: 0.0396638, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079991, MRR: 0.0235025, NDCG: 0.0166447, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237499, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.9626419516603463, 'ADV_TOP_POP': 0.04996075793839529, 'USER_CBF': 0.9960029835868531} - results: ROC_AUC: 0.0396150, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079747, MRR: 0.0234293, NDCG: 0.0166177, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0236768, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.020380558851441747, 'ADV_TOP_POP': 0.01208862455818505, 'USER_CBF': 0.04182803194411445} - results: ROC_AUC: 0.0394657, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080243, MRR: 0.0236140, NDCG: 0.0166756, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238435, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.020563819654406793, 'ADV_TOP_POP': 0.9898507951817228, 'USER_CBF': 0.052916030416909524} - results: ROC_AUC: 0.0387035, PRECISION: 0.0076822, PRECISION_RECALL_MIN_DEN: 0.0256073, RECALL: 0.0256073, MAP: 0.0084993, MRR: 0.0240969, NDCG: 0.0172421, F1: 0.0118187, HIT_RATE: 0.0768218, ARHR: 0.0247973, RMSE: 0.9399564, NOVELTY: 0.0049284, AVERAGE_POPULARITY: 0.8373309, DIVERSITY_MEAN_INTER_LIST: 0.5605549, DIVERSITY_HERFINDAHL: 0.9560432, COVERAGE_ITEM: 0.0022709, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5074453, SHANNON_ENTROPY: 4.7632180, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.060136266388228346, 'ADV_TOP_POP': 0.9953407360913538, 'USER_CBF': 0.9882794687428887} - results: ROC_AUC: 0.0390267, PRECISION: 0.0077480, PRECISION_RECALL_MIN_DEN: 0.0258267, RECALL: 0.0258267, MAP: 0.0083851, MRR: 0.0242185, NDCG: 0.0172460, F1: 0.0119200, HIT_RATE: 0.0774802, ARHR: 0.0246869, RMSE: 0.9399564, NOVELTY: 0.0048915, AVERAGE_POPULARITY: 0.8752796, DIVERSITY_MEAN_INTER_LIST: 0.2745092, DIVERSITY_HERFINDAHL: 0.9274449, COVERAGE_ITEM: 0.0014599, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5028957, SHANNON_ENTROPY: 4.0515223, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
