SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.9352237041298584, 'ADV_TOP_POP': 0.035322367812424156, 'USER_CBF': 0.9849521258988068} - results: ROC_AUC: 0.0448417, PRECISION: 0.0092845, PRECISION_RECALL_MIN_DEN: 0.0309482, RECALL: 0.0309482, MAP: 0.0092254, MRR: 0.0263764, NDCG: 0.0197474, F1: 0.0142838, HIT_RATE: 0.0928446, ARHR: 0.0270263, RMSE: 0.9399564, NOVELTY: 0.0049134, AVERAGE_POPULARITY: 0.8551711, DIVERSITY_MEAN_INTER_LIST: 0.3317215, DIVERSITY_HERFINDAHL: 0.9331649, COVERAGE_ITEM: 0.0025412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3443911, SHANNON_ENTROPY: 4.3678659, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'TOP_POP': 0.053963640310867325, 'ADV_TOP_POP': 0.977636012091434, 'USER_CBF': 0.9448466410289567} - results: ROC_AUC: 0.0418602, PRECISION: 0.0084065, PRECISION_RECALL_MIN_DEN: 0.0280217, RECALL: 0.0280217, MAP: 0.0090914, MRR: 0.0260047, NDCG: 0.0186683, F1: 0.0129331, HIT_RATE: 0.0840650, ARHR: 0.0266395, RMSE: 0.9399564, NOVELTY: 0.0049494, AVERAGE_POPULARITY: 0.8175327, DIVERSITY_MEAN_INTER_LIST: 0.6215814, DIVERSITY_HERFINDAHL: 0.9621445, COVERAGE_ITEM: 0.0060557, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2339818, SHANNON_ENTROPY: 5.0951680, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.9978516348122973, 'ADV_TOP_POP': 0.996727882892733, 'USER_CBF': 0.10775558398581689} - results: ROC_AUC: 0.0405387, PRECISION: 0.0078139, PRECISION_RECALL_MIN_DEN: 0.0260462, RECALL: 0.0260462, MAP: 0.0086974, MRR: 0.0250285, NDCG: 0.0176650, F1: 0.0120213, HIT_RATE: 0.0781387, ARHR: 0.0255603, RMSE: 0.9399564, NOVELTY: 0.0049295, AVERAGE_POPULARITY: 0.8459000, DIVERSITY_MEAN_INTER_LIST: 0.3703694, DIVERSITY_HERFINDAHL: 0.9370288, COVERAGE_ITEM: 0.0050284, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2155133, SHANNON_ENTROPY: 4.6339128, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'TOP_POP': 0.9819388054248802, 'ADV_TOP_POP': 0.05674054592977164, 'USER_CBF': 0.8970693433961989} - results: ROC_AUC: 0.0411591, PRECISION: 0.0088235, PRECISION_RECALL_MIN_DEN: 0.0294118, RECALL: 0.0294118, MAP: 0.0086537, MRR: 0.0246376, NDCG: 0.0186047, F1: 0.0135747, HIT_RATE: 0.0882353, ARHR: 0.0252993, RMSE: 0.9399564, NOVELTY: 0.0048994, AVERAGE_POPULARITY: 0.8659315, DIVERSITY_MEAN_INTER_LIST: 0.3817728, DIVERSITY_HERFINDAHL: 0.9381689, COVERAGE_ITEM: 0.0015680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5174334, SHANNON_ENTROPY: 4.2198258, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.08460051562627892, 'ADV_TOP_POP': 0.9349308776769878, 'USER_CBF': 0.010408211631301791} - results: ROC_AUC: 0.0380374, PRECISION: 0.0072212, PRECISION_RECALL_MIN_DEN: 0.0240708, RECALL: 0.0240708, MAP: 0.0079554, MRR: 0.0227674, NDCG: 0.0162381, F1: 0.0111096, HIT_RATE: 0.0722125, ARHR: 0.0233167, RMSE: 0.9399564, NOVELTY: 0.0050158, AVERAGE_POPULARITY: 0.7673815, DIVERSITY_MEAN_INTER_LIST: 0.7185043, DIVERSITY_HERFINDAHL: 0.9718347, COVERAGE_ITEM: 0.0077859, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2613266, SHANNON_ENTROPY: 5.6335136, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.020380558851441747, 'ADV_TOP_POP': 0.01208862455818505, 'USER_CBF': 0.04182803194411445} - results: ROC_AUC: 0.0479252, PRECISION: 0.0092625, PRECISION_RECALL_MIN_DEN: 0.0308750, RECALL: 0.0308750, MAP: 0.0100414, MRR: 0.0286239, NDCG: 0.0206173, F1: 0.0142500, HIT_RATE: 0.0926251, ARHR: 0.0293741, RMSE: 0.9399564, NOVELTY: 0.0049294, AVERAGE_POPULARITY: 0.8393338, DIVERSITY_MEAN_INTER_LIST: 0.4445126, DIVERSITY_HERFINDAHL: 0.9444415, COVERAGE_ITEM: 0.0027034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3807726, SHANNON_ENTROPY: 4.6246370, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'TOP_POP': 0.9970438108264416, 'ADV_TOP_POP': 0.017821112263415876, 'USER_CBF': 0.958738256392742} - results: ROC_AUC: 0.0417109, PRECISION: 0.0088674, PRECISION_RECALL_MIN_DEN: 0.0295581, RECALL: 0.0295581, MAP: 0.0086694, MRR: 0.0246803, NDCG: 0.0186735, F1: 0.0136422, HIT_RATE: 0.0886743, ARHR: 0.0253442, RMSE: 0.9399564, NOVELTY: 0.0049006, AVERAGE_POPULARITY: 0.8647335, DIVERSITY_MEAN_INTER_LIST: 0.3859360, DIVERSITY_HERFINDAHL: 0.9385851, COVERAGE_ITEM: 0.0014599, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5572996, SHANNON_ENTROPY: 4.2250680, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'TOP_POP': 0.09184578288043178, 'ADV_TOP_POP': 0.9317536630007752, 'USER_CBF': 0.9999458214669437} - results: ROC_AUC: 0.0419090, PRECISION: 0.0083845, PRECISION_RECALL_MIN_DEN: 0.0279485, RECALL: 0.0279485, MAP: 0.0090555, MRR: 0.0259090, NDCG: 0.0186097, F1: 0.0128993, HIT_RATE: 0.0838455, ARHR: 0.0265377, RMSE: 0.9399564, NOVELTY: 0.0049463, AVERAGE_POPULARITY: 0.8201569, DIVERSITY_MEAN_INTER_LIST: 0.6131446, DIVERSITY_HERFINDAHL: 0.9613010, COVERAGE_ITEM: 0.0052987, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2607666, SHANNON_ENTROPY: 5.0580809, 
SearchBayesianSkoptObject: New best config found. Config 19: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.9835626804595573, 'ADV_TOP_POP': 0.15449894665931, 'USER_CBF': 0.03722319428389554} - results: ROC_AUC: 0.0393300, PRECISION: 0.0078797, PRECISION_RECALL_MIN_DEN: 0.0262657, RECALL: 0.0262657, MAP: 0.0082478, MRR: 0.0240913, NDCG: 0.0172949, F1: 0.0121226, HIT_RATE: 0.0787972, ARHR: 0.0244174, RMSE: 0.9399564, NOVELTY: 0.0048784, AVERAGE_POPULARITY: 0.8894584, DIVERSITY_MEAN_INTER_LIST: 0.0872623, DIVERSITY_HERFINDAHL: 0.9087243, COVERAGE_ITEM: 0.0020005, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3114678, SHANNON_ENTROPY: 3.6831146, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0480243, PRECISION: 0.0093723, PRECISION_RECALL_MIN_DEN: 0.0312409, RECALL: 0.0312409, MAP: 0.0109328, MRR: 0.0309070, NDCG: 0.0215989, F1: 0.0144189, HIT_RATE: 0.0937226, ARHR: 0.0318526, RMSE: 0.9399564, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.7986571, DIVERSITY_MEAN_INTER_LIST: 0.6162227, DIVERSITY_HERFINDAHL: 0.9616087, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4639314, SHANNON_ENTROPY: 5.0522562, 
