SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2642, 'shrink': 818, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0916589, PRECISION: 0.0162947, PRECISION_RECALL_MIN_DEN: 0.0543155, RECALL: 0.0543155, MAP: 0.0222504, MRR: 0.0609046, NDCG: 0.0407496, F1: 0.0250687, HIT_RATE: 0.1629465, ARHR: 0.0637919, RMSE: 2.7219602, NOVELTY: 0.0057370, AVERAGE_POPULARITY: 0.4544801, DIVERSITY_MEAN_INTER_LIST: 0.9499715, DIVERSITY_HERFINDAHL: 0.9949926, COVERAGE_ITEM: 0.3137605, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1483826, SHANNON_ENTROPY: 9.4481762, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 2530, 'shrink': 1192, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0740197, PRECISION: 0.0128622, PRECISION_RECALL_MIN_DEN: 0.0428739, RECALL: 0.0428739, MAP: 0.0173881, MRR: 0.0490720, NDCG: 0.0322389, F1: 0.0197880, HIT_RATE: 0.1286217, ARHR: 0.0506008, RMSE: 0.9480431, NOVELTY: 0.0050601, AVERAGE_POPULARITY: 0.7388299, DIVERSITY_MEAN_INTER_LIST: 0.7685839, DIVERSITY_HERFINDAHL: 0.9768547, COVERAGE_ITEM: 0.0453095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0789938, SHANNON_ENTROPY: 6.2739141, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1877, 'shrink': 641, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0948338, PRECISION: 0.0168250, PRECISION_RECALL_MIN_DEN: 0.0560832, RECALL: 0.0560832, MAP: 0.0234039, MRR: 0.0643875, NDCG: 0.0425578, F1: 0.0258845, HIT_RATE: 0.1682495, ARHR: 0.0672523, RMSE: 0.8325911, NOVELTY: 0.0053411, AVERAGE_POPULARITY: 0.6003779, DIVERSITY_MEAN_INTER_LIST: 0.8826956, DIVERSITY_HERFINDAHL: 0.9882653, COVERAGE_ITEM: 0.1553393, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1035489, SHANNON_ENTROPY: 7.9405651, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 2251, 'shrink': 1291, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0901767, PRECISION: 0.0161211, PRECISION_RECALL_MIN_DEN: 0.0537370, RECALL: 0.0537370, MAP: 0.0219198, MRR: 0.0600218, NDCG: 0.0402090, F1: 0.0248017, HIT_RATE: 0.1612110, ARHR: 0.0628398, RMSE: 1.8775154, NOVELTY: 0.0058015, AVERAGE_POPULARITY: 0.4353308, DIVERSITY_MEAN_INTER_LIST: 0.9554273, DIVERSITY_HERFINDAHL: 0.9955381, COVERAGE_ITEM: 0.3358205, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1564300, SHANNON_ENTROPY: 9.6350196, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 409, 'shrink': 695, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0662761, PRECISION: 0.0113629, PRECISION_RECALL_MIN_DEN: 0.0378762, RECALL: 0.0378762, MAP: 0.0163005, MRR: 0.0454564, NDCG: 0.0293617, F1: 0.0174813, HIT_RATE: 0.1136287, ARHR: 0.0471328, RMSE: 1.7978139, NOVELTY: 0.0067241, AVERAGE_POPULARITY: 0.2270366, DIVERSITY_MEAN_INTER_LIST: 0.9911571, DIVERSITY_HERFINDAHL: 0.9991109, COVERAGE_ITEM: 0.6560692, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2812895, SHANNON_ENTROPY: 11.7851467, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 212, 'shrink': 301, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0548581, PRECISION: 0.0094104, PRECISION_RECALL_MIN_DEN: 0.0313680, RECALL: 0.0313680, MAP: 0.0128784, MRR: 0.0363971, NDCG: 0.0237684, F1: 0.0144775, HIT_RATE: 0.0941040, ARHR: 0.0374946, RMSE: 0.9975797, NOVELTY: 0.0061465, AVERAGE_POPULARITY: 0.3266627, DIVERSITY_MEAN_INTER_LIST: 0.9811714, DIVERSITY_HERFINDAHL: 0.9981124, COVERAGE_ITEM: 0.4346039, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1676396, SHANNON_ENTROPY: 10.4419835, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2178, 'shrink': 1145, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0940152, PRECISION: 0.0167767, PRECISION_RECALL_MIN_DEN: 0.0559225, RECALL: 0.0559225, MAP: 0.0231419, MRR: 0.0635765, NDCG: 0.0422171, F1: 0.0258104, HIT_RATE: 0.1677674, ARHR: 0.0664588, RMSE: 0.8489429, NOVELTY: 0.0053110, AVERAGE_POPULARITY: 0.6139910, DIVERSITY_MEAN_INTER_LIST: 0.8726911, DIVERSITY_HERFINDAHL: 0.9872649, COVERAGE_ITEM: 0.1459313, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0999712, SHANNON_ENTROPY: 7.8028906, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1253, 'shrink': 688, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0764715, PRECISION: 0.0132430, PRECISION_RECALL_MIN_DEN: 0.0441434, RECALL: 0.0441434, MAP: 0.0182399, MRR: 0.0509725, NDCG: 0.0334718, F1: 0.0203739, HIT_RATE: 0.1324302, ARHR: 0.0528249, RMSE: 0.9592354, NOVELTY: 0.0051749, AVERAGE_POPULARITY: 0.6656543, DIVERSITY_MEAN_INTER_LIST: 0.8504485, DIVERSITY_HERFINDAHL: 0.9850407, COVERAGE_ITEM: 0.0774263, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0826000, SHANNON_ENTROPY: 7.0435764, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 459, 'shrink': 1462, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0892611, PRECISION: 0.0158415, PRECISION_RECALL_MIN_DEN: 0.0528050, RECALL: 0.0528050, MAP: 0.0219344, MRR: 0.0602265, NDCG: 0.0399472, F1: 0.0243715, HIT_RATE: 0.1584149, ARHR: 0.0629738, RMSE: 0.8456785, NOVELTY: 0.0061249, AVERAGE_POPULARITY: 0.3259783, DIVERSITY_MEAN_INTER_LIST: 0.9810501, DIVERSITY_HERFINDAHL: 0.9981003, COVERAGE_ITEM: 0.3781563, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2104111, SHANNON_ENTROPY: 10.5643015, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 3000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0946822, PRECISION: 0.0170323, PRECISION_RECALL_MIN_DEN: 0.0567742, RECALL: 0.0567742, MAP: 0.0231804, MRR: 0.0635285, NDCG: 0.0425014, F1: 0.0262035, HIT_RATE: 0.1703225, ARHR: 0.0664945, RMSE: 0.8175307, NOVELTY: 0.0055881, AVERAGE_POPULARITY: 0.4744999, DIVERSITY_MEAN_INTER_LIST: 0.9481744, DIVERSITY_HERFINDAHL: 0.9948129, COVERAGE_ITEM: 0.1972966, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1400447, SHANNON_ENTROPY: 9.0065345, 
