CrossSearchBayesianSkopt: New best config found. Config 11: {'topK': 131, 'shrink': 1936, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.080004±0.0008, PRECISION: 0.010935±0.0001, PRECISION_RECALL_MIN_DEN: 0.109352±0.0007, RECALL: 0.109352±0.0007, MAP: 0.057715±0.0007, MRR: 0.057715±0.0007, NDCG: 0.069931±0.0006, F1: 0.019882±0.0001, HIT_RATE: 0.109352±0.0007, ARHR: 0.057715±0.0007, RMSE: 0.895122±0.0028, NOVELTY: 0.005894±0.0000, AVERAGE_POPULARITY: 0.413806±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.959243±0.0002, DIVERSITY_HERFINDAHL: 0.995919±0.0000, COVERAGE_ITEM: 0.678670±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.164299±0.0006, SHANNON_ENTROPY: 10.176839±0.0040, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 188, 'shrink': 200, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.058515±0.0008, PRECISION: 0.007975±0.0000, PRECISION_RECALL_MIN_DEN: 0.079747±0.0005, RECALL: 0.079747±0.0005, MAP: 0.042436±0.0007, MRR: 0.042436±0.0007, NDCG: 0.051262±0.0006, F1: 0.014499±0.0001, HIT_RATE: 0.079747±0.0005, ARHR: 0.042436±0.0007, RMSE: 0.901043±0.0041, NOVELTY: 0.004691±0.0000, AVERAGE_POPULARITY: 0.094902±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.997248±0.0000, DIVERSITY_HERFINDAHL: 0.999719±0.0000, COVERAGE_ITEM: 0.860200±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.412928±0.0004, SHANNON_ENTROPY: 12.938332±0.0056, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 116, 'shrink': 745, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.061213±0.0011, PRECISION: 0.008383±0.0002, PRECISION_RECALL_MIN_DEN: 0.083825±0.0016, RECALL: 0.083825±0.0016, MAP: 0.044805±0.0010, MRR: 0.044805±0.0010, NDCG: 0.054013±0.0011, F1: 0.015241±0.0003, HIT_RATE: 0.083825±0.0016, ARHR: 0.044805±0.0010, RMSE: 0.973169±0.0002, NOVELTY: 0.005509±0.0000, AVERAGE_POPULARITY: 0.543063±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.909157±0.0006, DIVERSITY_HERFINDAHL: 0.990911±0.0001, COVERAGE_ITEM: 0.537432±0.0054, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109532±0.0007, SHANNON_ENTROPY: 8.827074±0.0113, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 75, 'shrink': 438, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.075053±0.0010, PRECISION: 0.010150±0.0001, PRECISION_RECALL_MIN_DEN: 0.101504±0.0010, RECALL: 0.101504±0.0010, MAP: 0.054651±0.0008, MRR: 0.054651±0.0008, NDCG: 0.065750±0.0008, F1: 0.018455±0.0002, HIT_RATE: 0.101504±0.0010, ARHR: 0.054651±0.0008, RMSE: 0.927935±0.0045, NOVELTY: 0.005508±0.0000, AVERAGE_POPULARITY: 0.201143±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.991975±0.0000, DIVERSITY_HERFINDAHL: 0.999192±0.0000, COVERAGE_ITEM: 0.854847±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.322833±0.0007, SHANNON_ENTROPY: 12.183121±0.0040, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 179, 'shrink': 152, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.059913±0.0009, PRECISION: 0.008269±0.0001, PRECISION_RECALL_MIN_DEN: 0.082686±0.0013, RECALL: 0.082686±0.0013, MAP: 0.044040±0.0010, MRR: 0.044040±0.0010, NDCG: 0.053140±0.0010, F1: 0.015034±0.0002, HIT_RATE: 0.082686±0.0013, ARHR: 0.044040±0.0010, RMSE: 0.892780±0.0011, NOVELTY: 0.005429±0.0000, AVERAGE_POPULARITY: 0.581988±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.885609±0.0007, DIVERSITY_HERFINDAHL: 0.988556±0.0001, COVERAGE_ITEM: 0.517275±0.0050, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098192±0.0006, SHANNON_ENTROPY: 8.413349±0.0104, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 72, 'shrink': 1075, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.052953±0.0008, PRECISION: 0.007155±0.0001, PRECISION_RECALL_MIN_DEN: 0.071546±0.0008, RECALL: 0.071546±0.0008, MAP: 0.038864±0.0007, MRR: 0.038864±0.0007, NDCG: 0.046597±0.0007, F1: 0.013008±0.0001, HIT_RATE: 0.071546±0.0008, ARHR: 0.038864±0.0007, RMSE: 0.922330±0.0015, NOVELTY: 0.005976±0.0000, AVERAGE_POPULARITY: 0.071370±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.998653±0.0000, DIVERSITY_HERFINDAHL: 0.999860±0.0000, COVERAGE_ITEM: 0.948094±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.534514±0.0005, SHANNON_ENTROPY: 13.503264±0.0016, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 169, 'shrink': 1186, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.060135±0.0009, PRECISION: 0.008252±0.0001, PRECISION_RECALL_MIN_DEN: 0.082515±0.0015, RECALL: 0.082515±0.0015, MAP: 0.044193±0.0009, MRR: 0.044193±0.0009, NDCG: 0.053226±0.0010, F1: 0.015003±0.0003, HIT_RATE: 0.082515±0.0015, ARHR: 0.044193±0.0009, RMSE: 0.895328±0.0012, NOVELTY: 0.005438±0.0000, AVERAGE_POPULARITY: 0.577298±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.888735±0.0008, DIVERSITY_HERFINDAHL: 0.988868±0.0001, COVERAGE_ITEM: 0.520562±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099460±0.0006, SHANNON_ENTROPY: 8.465041±0.0112, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 199, 'shrink': 118, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.059590±0.0009, PRECISION: 0.008203±0.0001, PRECISION_RECALL_MIN_DEN: 0.082025±0.0014, RECALL: 0.082025±0.0014, MAP: 0.043731±0.0011, MRR: 0.043731±0.0011, NDCG: 0.052755±0.0011, F1: 0.014914±0.0003, HIT_RATE: 0.082025±0.0014, ARHR: 0.043731±0.0011, RMSE: 0.876943±0.0010, NOVELTY: 0.005411±0.0000, AVERAGE_POPULARITY: 0.591098±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.879400±0.0005, DIVERSITY_HERFINDAHL: 0.987935±0.0001, COVERAGE_ITEM: 0.512885±0.0060, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.095669±0.0005, SHANNON_ENTROPY: 8.313953±0.0075, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 184, 'shrink': 225, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.069756±0.0011, PRECISION: 0.009391±0.0001, PRECISION_RECALL_MIN_DEN: 0.093906±0.0011, RECALL: 0.093906±0.0011, MAP: 0.050797±0.0009, MRR: 0.050797±0.0009, NDCG: 0.061015±0.0009, F1: 0.017074±0.0002, HIT_RATE: 0.093906±0.0011, ARHR: 0.050797±0.0009, RMSE: 0.944506±0.0003, NOVELTY: 0.005095±0.0000, AVERAGE_POPULARITY: 0.191254±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.991863±0.0000, DIVERSITY_HERFINDAHL: 0.999181±0.0000, COVERAGE_ITEM: 0.848889±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.345053±0.0007, SHANNON_ENTROPY: 12.297972±0.0044, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 164, 'shrink': 502, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036747±0.0006, PRECISION: 0.004901±0.0001, PRECISION_RECALL_MIN_DEN: 0.049015±0.0010, RECALL: 0.049015±0.0010, MAP: 0.026904±0.0005, MRR: 0.026904±0.0005, NDCG: 0.032154±0.0006, F1: 0.008912±0.0002, HIT_RATE: 0.049015±0.0010, ARHR: 0.026904±0.0005, RMSE: 0.986278±0.0041, NOVELTY: 0.006280±0.0000, AVERAGE_POPULARITY: 0.033409±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.999161±0.0000, DIVERSITY_HERFINDAHL: 0.999910±0.0000, COVERAGE_ITEM: 0.969895±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.609631±0.0010, SHANNON_ENTROPY: 13.761445±0.0018, 
