SearchBayesianSkopt: New best config found. Config 11: {'topK': 802, 'shrink': 90, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0856680, PRECISION: 0.0146052, PRECISION_RECALL_MIN_DEN: 0.0486841, RECALL: 0.0486841, MAP: 0.0203752, MRR: 0.0568397, NDCG: 0.0371841, F1: 0.0224696, HIT_RATE: 0.1460523, ARHR: 0.0589434, RMSE: 1.0664771, NOVELTY: 0.0064788, AVERAGE_POPULARITY: 0.1751488, DIVERSITY_MEAN_INTER_LIST: 0.9913641, DIVERSITY_HERFINDAHL: 0.9991142, COVERAGE_ITEM: 0.4565018, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3385695, SHANNON_ENTROPY: 11.5530442, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 994, 'shrink': 212, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0434824, PRECISION: 0.0078953, PRECISION_RECALL_MIN_DEN: 0.0263178, RECALL: 0.0263178, MAP: 0.0098253, MRR: 0.0283981, NDCG: 0.0189722, F1: 0.0121467, HIT_RATE: 0.0789533, ARHR: 0.0289370, RMSE: 16.6019399, NOVELTY: 0.0049873, AVERAGE_POPULARITY: 0.7857986, DIVERSITY_MEAN_INTER_LIST: 0.7125508, DIVERSITY_HERFINDAHL: 0.9712391, COVERAGE_ITEM: 0.0150852, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1367871, SHANNON_ENTROPY: 5.6371191, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 545, 'shrink': 857, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0680286, PRECISION: 0.0112279, PRECISION_RECALL_MIN_DEN: 0.0374264, RECALL: 0.0374264, MAP: 0.0161084, MRR: 0.0460023, NDCG: 0.0292411, F1: 0.0172737, HIT_RATE: 0.1122791, ARHR: 0.0471451, RMSE: 0.6896044, NOVELTY: 0.0066892, AVERAGE_POPULARITY: 0.1617046, DIVERSITY_MEAN_INTER_LIST: 0.9941358, DIVERSITY_HERFINDAHL: 0.9993913, COVERAGE_ITEM: 0.5992430, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4247822, SHANNON_ENTROPY: 12.2867929, 
SearchBayesianSkopt: New best config found. Config 14: {'topK': 612, 'shrink': 1391, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0887614, PRECISION: 0.0147394, PRECISION_RECALL_MIN_DEN: 0.0491314, RECALL: 0.0491314, MAP: 0.0214901, MRR: 0.0603839, NDCG: 0.0385775, F1: 0.0226760, HIT_RATE: 0.1473943, ARHR: 0.0623806, RMSE: 0.9221154, NOVELTY: 0.0064829, AVERAGE_POPULARITY: 0.1645943, DIVERSITY_MEAN_INTER_LIST: 0.9918918, DIVERSITY_HERFINDAHL: 0.9991670, COVERAGE_ITEM: 0.4931062, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3514435, SHANNON_ENTROPY: 11.6957179, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 119, 'shrink': 452, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0179086, PRECISION: 0.0028853, PRECISION_RECALL_MIN_DEN: 0.0096175, RECALL: 0.0096175, MAP: 0.0039868, MRR: 0.0118547, NDCG: 0.0074379, F1: 0.0044389, HIT_RATE: 0.0288526, ARHR: 0.0119075, RMSE: 0.9124655, NOVELTY: 0.0046105, AVERAGE_POPULARITY: 0.0062127, DIVERSITY_MEAN_INTER_LIST: 0.9987210, DIVERSITY_HERFINDAHL: 0.9998498, COVERAGE_ITEM: 0.6512571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5692441, SHANNON_ENTROPY: 13.1010290, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 601, 'shrink': 820, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0638296, PRECISION: 0.0107135, PRECISION_RECALL_MIN_DEN: 0.0357116, RECALL: 0.0357116, MAP: 0.0157508, MRR: 0.0455684, NDCG: 0.0283521, F1: 0.0164823, HIT_RATE: 0.1071349, ARHR: 0.0464105, RMSE: 3.0791254, NOVELTY: 0.0049502, AVERAGE_POPULARITY: 0.8217755, DIVERSITY_MEAN_INTER_LIST: 0.5687479, DIVERSITY_HERFINDAHL: 0.9568621, COVERAGE_ITEM: 0.0131387, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1082433, SHANNON_ENTROPY: 5.0467855, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 42, 'shrink': 938, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0617110, PRECISION: 0.0098859, PRECISION_RECALL_MIN_DEN: 0.0329531, RECALL: 0.0329531, MAP: 0.0146798, MRR: 0.0426940, NDCG: 0.0264147, F1: 0.0152091, HIT_RATE: 0.0988593, ARHR: 0.0433668, RMSE: 0.8775527, NOVELTY: 0.0050619, AVERAGE_POPULARITY: 0.6575880, DIVERSITY_MEAN_INTER_LIST: 0.8183078, DIVERSITY_HERFINDAHL: 0.9818125, COVERAGE_ITEM: 0.1028927, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0931076, SHANNON_ENTROPY: 7.1071056, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 143, 'shrink': 750, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0759400, PRECISION: 0.0126146, PRECISION_RECALL_MIN_DEN: 0.0420488, RECALL: 0.0420488, MAP: 0.0183804, MRR: 0.0527161, NDCG: 0.0331659, F1: 0.0194071, HIT_RATE: 0.1261463, ARHR: 0.0539286, RMSE: 15.5167776, NOVELTY: 0.0050392, AVERAGE_POPULARITY: 0.7529263, DIVERSITY_MEAN_INTER_LIST: 0.7394619, DIVERSITY_HERFINDAHL: 0.9739297, COVERAGE_ITEM: 0.0289808, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1013508, SHANNON_ENTROPY: 6.0065875, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 761, 'shrink': 531, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0640594, PRECISION: 0.0106688, PRECISION_RECALL_MIN_DEN: 0.0355625, RECALL: 0.0355625, MAP: 0.0147521, MRR: 0.0425684, NDCG: 0.0272735, F1: 0.0164135, HIT_RATE: 0.1066875, ARHR: 0.0434124, RMSE: 5.6048159, NOVELTY: 0.0049930, AVERAGE_POPULARITY: 0.7911009, DIVERSITY_MEAN_INTER_LIST: 0.6643734, DIVERSITY_HERFINDAHL: 0.9664225, COVERAGE_ITEM: 0.0273587, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0812053, SHANNON_ENTROPY: 5.5664108, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 994, 'shrink': 1453, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0883272, PRECISION: 0.0149407, PRECISION_RECALL_MIN_DEN: 0.0498024, RECALL: 0.0498024, MAP: 0.0214096, MRR: 0.0598458, NDCG: 0.0386587, F1: 0.0229857, HIT_RATE: 0.1494073, ARHR: 0.0620094, RMSE: 0.6272481, NOVELTY: 0.0061143, AVERAGE_POPULARITY: 0.2449935, DIVERSITY_MEAN_INTER_LIST: 0.9842951, DIVERSITY_HERFINDAHL: 0.9984075, COVERAGE_ITEM: 0.4555285, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3003882, SHANNON_ENTROPY: 11.1146686, 
