SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 371, 'user_shrink': 1769, 'item_topK': 1213, 'item_shrink': 1565} - results: ROC_AUC: 0.0529077, PRECISION: 0.0090381, PRECISION_RECALL_MIN_DEN: 0.0301271, RECALL: 0.0301271, MAP: 0.0128879, MRR: 0.0365275, NDCG: 0.0233706, F1: 0.0139048, HIT_RATE: 0.0903812, ARHR: 0.0375650, RMSE: 0.9741201, NOVELTY: 0.0049268, AVERAGE_POPULARITY: 0.8435259, DIVERSITY_MEAN_INTER_LIST: 0.3131839, DIVERSITY_HERFINDAHL: 0.9313165, COVERAGE_ITEM: 0.0320087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0318024, SHANNON_ENTROPY: 4.3063312, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 793, 'user_shrink': 778, 'item_topK': 832, 'item_shrink': 603} - results: ROC_AUC: 0.0458896, PRECISION: 0.0081423, PRECISION_RECALL_MIN_DEN: 0.0271411, RECALL: 0.0271411, MAP: 0.0108399, MRR: 0.0305976, NDCG: 0.0202099, F1: 0.0125267, HIT_RATE: 0.0814234, ARHR: 0.0315329, RMSE: 1.7801234, NOVELTY: 0.0049164, AVERAGE_POPULARITY: 0.8496276, DIVERSITY_MEAN_INTER_LIST: 0.2217990, DIVERSITY_HERFINDAHL: 0.9221785, COVERAGE_ITEM: 0.0122195, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0608109, SHANNON_ENTROPY: 3.9551322, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 586, 'user_shrink': 1697, 'item_topK': 459, 'item_shrink': 1498} - results: ROC_AUC: 0.0515952, PRECISION: 0.0089578, PRECISION_RECALL_MIN_DEN: 0.0298594, RECALL: 0.0298594, MAP: 0.0125007, MRR: 0.0354222, NDCG: 0.0228683, F1: 0.0137812, HIT_RATE: 0.0895781, ARHR: 0.0364469, RMSE: 0.9648005, NOVELTY: 0.0049236, AVERAGE_POPULARITY: 0.8453271, DIVERSITY_MEAN_INTER_LIST: 0.3036399, DIVERSITY_HERFINDAHL: 0.9303621, COVERAGE_ITEM: 0.0247634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0375646, SHANNON_ENTROPY: 4.2389868, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1718, 'user_shrink': 519, 'item_topK': 1418, 'item_shrink': 263} - results: ROC_AUC: 0.0500640, PRECISION: 0.0086551, PRECISION_RECALL_MIN_DEN: 0.0288503, RECALL: 0.0288503, MAP: 0.0121326, MRR: 0.0343322, NDCG: 0.0221467, F1: 0.0133155, HIT_RATE: 0.0865509, ARHR: 0.0353402, RMSE: 0.8588488, NOVELTY: 0.0049341, AVERAGE_POPULARITY: 0.8363972, DIVERSITY_MEAN_INTER_LIST: 0.2388638, DIVERSITY_HERFINDAHL: 0.9238849, COVERAGE_ITEM: 0.0342795, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0276314, SHANNON_ENTROPY: 4.1092738, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 186, 'user_shrink': 1013, 'item_topK': 135, 'item_shrink': 1426} - results: ROC_AUC: 0.0570300, PRECISION: 0.0101625, PRECISION_RECALL_MIN_DEN: 0.0338749, RECALL: 0.0338749, MAP: 0.0139270, MRR: 0.0391166, NDCG: 0.0255943, F1: 0.0156346, HIT_RATE: 0.1016248, ARHR: 0.0404178, RMSE: 0.9421413, NOVELTY: 0.0049403, AVERAGE_POPULARITY: 0.8292674, DIVERSITY_MEAN_INTER_LIST: 0.4221845, DIVERSITY_HERFINDAHL: 0.9422158, COVERAGE_ITEM: 0.0222763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498514, SHANNON_ENTROPY: 4.6036944, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 898, 'user_shrink': 338, 'item_topK': 396, 'item_shrink': 1901} - results: ROC_AUC: 0.0505924, PRECISION: 0.0088095, PRECISION_RECALL_MIN_DEN: 0.0293651, RECALL: 0.0293651, MAP: 0.0123169, MRR: 0.0350503, NDCG: 0.0225320, F1: 0.0135531, HIT_RATE: 0.0880954, ARHR: 0.0359857, RMSE: 0.9390609, NOVELTY: 0.0049203, AVERAGE_POPULARITY: 0.8475103, DIVERSITY_MEAN_INTER_LIST: 0.2921721, DIVERSITY_HERFINDAHL: 0.9292154, COVERAGE_ITEM: 0.0233036, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0380179, SHANNON_ENTROPY: 4.1857221, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 1908, 'user_shrink': 1434, 'item_topK': 1107, 'item_shrink': 954} - results: ROC_AUC: 0.0399876, PRECISION: 0.0074257, PRECISION_RECALL_MIN_DEN: 0.0247524, RECALL: 0.0247524, MAP: 0.0094437, MRR: 0.0270313, NDCG: 0.0180024, F1: 0.0114242, HIT_RATE: 0.0742571, ARHR: 0.0276699, RMSE: 0.7730249, NOVELTY: 0.0049062, AVERAGE_POPULARITY: 0.8584362, DIVERSITY_MEAN_INTER_LIST: 0.1430812, DIVERSITY_HERFINDAHL: 0.9143072, COVERAGE_ITEM: 0.0032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1956496, SHANNON_ENTROPY: 3.6932774, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 459, 'user_shrink': 319, 'item_topK': 1708, 'item_shrink': 1028} - results: ROC_AUC: 0.0440950, PRECISION: 0.0078767, PRECISION_RECALL_MIN_DEN: 0.0262556, RECALL: 0.0262556, MAP: 0.0104357, MRR: 0.0296581, NDCG: 0.0195275, F1: 0.0121180, HIT_RATE: 0.0787669, ARHR: 0.0304630, RMSE: 2.3299384, NOVELTY: 0.0049134, AVERAGE_POPULARITY: 0.8529970, DIVERSITY_MEAN_INTER_LIST: 0.2086348, DIVERSITY_HERFINDAHL: 0.9208622, COVERAGE_ITEM: 0.0147067, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0500376, SHANNON_ENTROPY: 3.9205250, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 308, 'user_shrink': 1695, 'item_topK': 557, 'item_shrink': 1316} - results: ROC_AUC: 0.0858521, PRECISION: 0.0138568, PRECISION_RECALL_MIN_DEN: 0.0461893, RECALL: 0.0461893, MAP: 0.0221720, MRR: 0.0617550, NDCG: 0.0382467, F1: 0.0213182, HIT_RATE: 0.1385680, ARHR: 0.0640957, RMSE: 0.9764491, NOVELTY: 0.0051158, AVERAGE_POPULARITY: 0.7301984, DIVERSITY_MEAN_INTER_LIST: 0.7104002, DIVERSITY_HERFINDAHL: 0.9710356, COVERAGE_ITEM: 0.2180589, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0441527, SHANNON_ENTROPY: 6.3445483, 
SearchBayesianSkopt: New best config found. Config 20: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 34, 'user_shrink': 1748, 'item_topK': 81, 'item_shrink': 53} - results: ROC_AUC: 0.1210707, PRECISION: 0.0190832, PRECISION_RECALL_MIN_DEN: 0.0636107, RECALL: 0.0636107, MAP: 0.0320669, MRR: 0.0875710, NDCG: 0.0540190, F1: 0.0293588, HIT_RATE: 0.1908321, ARHR: 0.0917934, RMSE: 0.9722033, NOVELTY: 0.0059912, AVERAGE_POPULARITY: 0.3365831, DIVERSITY_MEAN_INTER_LIST: 0.9760948, DIVERSITY_HERFINDAHL: 0.9976034, COVERAGE_ITEM: 0.7138686, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1965885, SHANNON_ENTROPY: 10.7336905, 
