SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': False, 'user_topK': 371, 'user_shrink': 1769, 'item_topK': 1213, 'item_shrink': 1565} - results: ROC_AUC: 0.0933398, PRECISION: 0.0147032, PRECISION_RECALL_MIN_DEN: 0.0490105, RECALL: 0.0490105, MAP: 0.0239740, MRR: 0.0660783, NDCG: 0.0409818, F1: 0.0226202, HIT_RATE: 0.1470316, ARHR: 0.0689466, RMSE: 0.9462894, NOVELTY: 0.0065775, AVERAGE_POPULARITY: 0.1028287, DIVERSITY_MEAN_INTER_LIST: 0.9963123, DIVERSITY_HERFINDAHL: 0.9996251, COVERAGE_ITEM: 0.9239254, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3901901, SHANNON_ENTROPY: 12.8399554, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': False, 'user_topK': 793, 'user_shrink': 778, 'item_topK': 832, 'item_shrink': 603} - results: ROC_AUC: 0.1029716, PRECISION: 0.0164329, PRECISION_RECALL_MIN_DEN: 0.0547765, RECALL: 0.0547765, MAP: 0.0266043, MRR: 0.0731620, NDCG: 0.0455630, F1: 0.0252814, HIT_RATE: 0.1643294, ARHR: 0.0764471, RMSE: 0.8302800, NOVELTY: 0.0063363, AVERAGE_POPULARITY: 0.2060964, DIVERSITY_MEAN_INTER_LIST: 0.9793243, DIVERSITY_HERFINDAHL: 0.9979264, COVERAGE_ITEM: 0.8619627, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2920182, SHANNON_ENTROPY: 11.7808293, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': False, 'user_topK': 586, 'user_shrink': 1697, 'item_topK': 459, 'item_shrink': 1498} - results: ROC_AUC: 0.0737420, PRECISION: 0.0123185, PRECISION_RECALL_MIN_DEN: 0.0410618, RECALL: 0.0410618, MAP: 0.0188608, MRR: 0.0532649, NDCG: 0.0331791, F1: 0.0189516, HIT_RATE: 0.1231853, ARHR: 0.0548918, RMSE: 1.4762430, NOVELTY: 0.0049698, AVERAGE_POPULARITY: 0.8134643, DIVERSITY_MEAN_INTER_LIST: 0.5511467, DIVERSITY_HERFINDAHL: 0.9551113, COVERAGE_ITEM: 0.0639632, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0342418, SHANNON_ENTROPY: 5.2079266, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1718, 'user_shrink': 519, 'item_topK': 1418, 'item_shrink': 263} - results: ROC_AUC: 0.0742302, PRECISION: 0.0124235, PRECISION_RECALL_MIN_DEN: 0.0414118, RECALL: 0.0414118, MAP: 0.0189187, MRR: 0.0523194, NDCG: 0.0331903, F1: 0.0191132, HIT_RATE: 0.1242355, ARHR: 0.0545045, RMSE: 0.7078935, NOVELTY: 0.0050356, AVERAGE_POPULARITY: 0.7071955, DIVERSITY_MEAN_INTER_LIST: 0.5355395, DIVERSITY_HERFINDAHL: 0.9535506, COVERAGE_ITEM: 0.4343336, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0683428, SHANNON_ENTROPY: 6.0470064, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 186, 'user_shrink': 1013, 'item_topK': 135, 'item_shrink': 1426} - results: ROC_AUC: 0.0926347, PRECISION: 0.0149008, PRECISION_RECALL_MIN_DEN: 0.0496695, RECALL: 0.0496695, MAP: 0.0236700, MRR: 0.0658334, NDCG: 0.0409408, F1: 0.0229244, HIT_RATE: 0.1490085, ARHR: 0.0683719, RMSE: 0.9831084, NOVELTY: 0.0052198, AVERAGE_POPULARITY: 0.6677192, DIVERSITY_MEAN_INTER_LIST: 0.8100761, DIVERSITY_HERFINDAHL: 0.9810026, COVERAGE_ITEM: 0.2449311, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0616176, SHANNON_ENTROPY: 7.1837064, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 898, 'user_shrink': 338, 'item_topK': 396, 'item_shrink': 1901} - results: ROC_AUC: 0.0724114, PRECISION: 0.0120652, PRECISION_RECALL_MIN_DEN: 0.0402175, RECALL: 0.0402175, MAP: 0.0182516, MRR: 0.0509553, NDCG: 0.0321921, F1: 0.0185619, HIT_RATE: 0.1206524, ARHR: 0.0528164, RMSE: 0.8311942, NOVELTY: 0.0050035, AVERAGE_POPULARITY: 0.7902205, DIVERSITY_MEAN_INTER_LIST: 0.5074587, DIVERSITY_HERFINDAHL: 0.9507427, COVERAGE_ITEM: 0.0868343, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0315255, SHANNON_ENTROPY: 5.2063874, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 1908, 'user_shrink': 1434, 'item_topK': 1107, 'item_shrink': 954} - results: ROC_AUC: 0.0477527, PRECISION: 0.0082288, PRECISION_RECALL_MIN_DEN: 0.0274294, RECALL: 0.0274294, MAP: 0.0116236, MRR: 0.0334672, NDCG: 0.0212301, F1: 0.0126597, HIT_RATE: 0.0822883, ARHR: 0.0341584, RMSE: 0.9035706, NOVELTY: 0.0049071, AVERAGE_POPULARITY: 0.8591120, DIVERSITY_MEAN_INTER_LIST: 0.2378623, DIVERSITY_HERFINDAHL: 0.9237848, COVERAGE_ITEM: 0.0117329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0640873, SHANNON_ENTROPY: 4.0053095, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 459, 'user_shrink': 319, 'item_topK': 1708, 'item_shrink': 1028} - results: ROC_AUC: 0.0517868, PRECISION: 0.0088528, PRECISION_RECALL_MIN_DEN: 0.0295093, RECALL: 0.0295093, MAP: 0.0127284, MRR: 0.0363336, NDCG: 0.0230272, F1: 0.0136197, HIT_RATE: 0.0885278, ARHR: 0.0372388, RMSE: 0.9177149, NOVELTY: 0.0049196, AVERAGE_POPULARITY: 0.8497296, DIVERSITY_MEAN_INTER_LIST: 0.2927961, DIVERSITY_HERFINDAHL: 0.9292778, COVERAGE_ITEM: 0.0261152, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0347821, SHANNON_ENTROPY: 4.2143462, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 308, 'user_shrink': 1695, 'item_topK': 557, 'item_shrink': 1316} - results: ROC_AUC: 0.0787651, PRECISION: 0.0129240, PRECISION_RECALL_MIN_DEN: 0.0430798, RECALL: 0.0430798, MAP: 0.0201897, MRR: 0.0565222, NDCG: 0.0351770, F1: 0.0198830, HIT_RATE: 0.1292395, ARHR: 0.0585112, RMSE: 0.9736248, NOVELTY: 0.0050379, AVERAGE_POPULARITY: 0.7726014, DIVERSITY_MEAN_INTER_LIST: 0.6374596, DIVERSITY_HERFINDAHL: 0.9637420, COVERAGE_ITEM: 0.1318194, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0349815, SHANNON_ENTROPY: 5.7627892, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1102568, PRECISION: 0.0181009, PRECISION_RECALL_MIN_DEN: 0.0603365, RECALL: 0.0603365, MAP: 0.0283825, MRR: 0.0768018, NDCG: 0.0489975, F1: 0.0278476, HIT_RATE: 0.1810095, ARHR: 0.0808922, RMSE: 0.9811339, NOVELTY: 0.0062999, AVERAGE_POPULARITY: 0.1777510, DIVERSITY_MEAN_INTER_LIST: 0.9734841, DIVERSITY_HERFINDAHL: 0.9973424, COVERAGE_ITEM: 0.6397945, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2368209, SHANNON_ENTROPY: 11.0363659, 
